IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2498896533; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Gomes; Vila Gomes; RESIDENTIAL; 60; 60; Comprar; 495000; 1; 0; 2; 2; 523; 05590120; Condomínio Garden Home Butantã Apto conta com: Porcelanato na sala e nos quartos Armários embutidos na cozinha e na suíte. Terraço Gourmet Área de lazer: piscinas, fitness, salão de festas, churrasqueira, playground, sauna, brinquedoteca, salão de jogos. Região repleta de comércios, serviços e fácil acesso ao Bonfiglioli, metrô Butantã, Rodovia Raposo Tavares, USP e marginais. -; BS:Rua Pereira do Lago 312, BS:Rua Pereira do Lago, BS:Rua Cabral de Menezes 20, BS:Parada Coronel Camisao, BS:Rua Pereira do Lago 144, TS:Rua Pereira do Lago 312, TS:Rua Pereira do Lago, TS:Rua Cabral de Menezes 20, TS:Parada Coronel Camisao, TS:Rua Pereira do Lago 144, CS:Rainha da Vila Gomes, CS:Cidade dos Pães, CS:D'Amar, PH:Droga Star, PH:Farmácia Ananda
2432229983; APARTMENT; UNIT; BR; São Paulo; SP; Rua Coronel Camisão; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Gomes; Vila Gomes; RESIDENTIAL; 0; 62; Comprar; 420000; 2; 1; 2; 2; 800; 05590120; Apartamento bem localizado, próximo à USP e com fácil acesso à Raposo Tavares, Av. Corifeu de Azevedo Marques e estação Butantã de metrô (linha amarela). Imóvel mobiliado em ótimo estado de conservação. Andar alto. Duas vagas de garagem e depósito no subsolo. Condomínio com piscina, churrasqueira, playground e salão de festa. Direto com o proprietário. Não aceitamos troca.; BS:Rua Pereira do Lago 312, BS:Rua Pereira do Lago, BS:Rua Cabral de Menezes 20, BS:Parada Coronel Camisao, BS:Rua Pereira do Lago 144, TS:Rua Pereira do Lago 312, TS:Rua Pereira do Lago, TS:Rua Cabral de Menezes 20, TS:Parada Coronel Camisao, TS:Rua Pereira do Lago 144, CS:Rainha da Vila Gomes, CS:Cidade dos Pães, CS:D'Amar, PH:Droga Star, PH:Farmácia Ananda
2441705486; APARTMENT; UNIT; BR; São Paulo; SP; Rua Monte Caseros; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Gomes; Vila Gomes; RESIDENTIAL; 95; 92; Comprar; 799000; 2; 1; 3; 3; 820; 05590130; Lindo Apartamento no Butantã, próximo ao Metrô e de frente para o Bosque da USP. 3 quartos, sendo uma suíte, lavado e banheiro completo adicional. Quartos com armários planejados. Ampla cozinha americana com móveis planejados integrada à sala de jantar e estar. Varanda Gourmet fechada com vidro e com armários sob medida. Deposito no estacionamento. Ampla área de serviços com bancada de granito e armários planejados. 2 vagas e lazer total com 2x piscinas, brinquedoteca, salão de festa, área gourmet e muito mais. Próximo a USP, praça Elis Regina, saída para Raposo Tavares (rodoanel) e Metrô Butantã. (Varanda com vista para o bosque da USP). O prédio possui, Piscinas (adulto e infantil), Solarium, Quadra Coberta, Academia, Churrasqueira, Sala de Jogos, Espaço Gourmet, Brinquedoteca, Salão de Festas, Playground. Contas de Luz, água e gás individualizados; BS:Parada Coronel Camisao, BS:Rua Pereira do Lago 312, BS:Rua Cabral de Menezes 20, BS:Rua Pereira do Lago, BS:Rua Pereira do Lago 144, TS:Parada Coronel Camisao, TS:Rua Pereira do Lago 312, TS:Rua Cabral de Menezes 20, TS:Rua Pereira do Lago, TS:Rua Pereira do Lago 144, CS:Rainha da Vila Gomes, CS:Cidade dos Pães, CS:D'Amar, PH:Droga Star, PH:Farmácia Ananda
2450790627; APARTMENT; UNIT; BR; São Paulo; SP; Rua Monte Caseros; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Gomes; Vila Gomes; RESIDENTIAL; 62; 62; Comprar; 400000; 1; 0; 2; 2; 750; 05590130; Apartamento R. Monte Caseros (vila Gomes Butantã) Reformado! Ótimo apartamento reformado recentemente com 2 quartos, armários nos quartos e cozinha,1 vaga de garagem e 62 metros quadrados. Ótima localização no Butantã próximo da USP, à 5 minutos da estação Butantã do metrô. Área arborizada, com grande infraestrutura, Shoppings, padarias, mercados, bancos, etc. De fácil locomoção, à 2 quarteirões da avenida Corifeu. Sala muito espaçosa com piso de porcelanato, varanda integrada com fechamento de vidro muito bem ventilada e com ótima vista. Cozinha reformada com pisos e pia em mesmo tom. Armários planejados embutidos. Gás encanado e coifa de parede. Quartos reformulados com piso de porcelanato e armários embutidos. Quarto principal muito amplo e com espaço para closet. Banheiro com box de vidro e armários sob medida. Área de serviço com tanque e banheiro de empregada.; BS:Parada Coronel Camisao, BS:Rua Cabral de Menezes 20, BS:Rua Pereira do Lago 312, BS:Rua Pereira do Lago, BS:Avenida Engenheiro Heitor Antônio Eiras Garcia 21, TS:Parada Coronel Camisao, TS:Rua Cabral de Menezes 20, TS:Rua Pereira do Lago 312, TS:Rua Pereira do Lago, TS:Avenida Engenheiro Heitor Antônio Eiras Garcia 21, CS:Rainha da Vila Gomes, CS:Cidade dos Pães, CS:D'Amar, PH:Droga Star, PH:Farmácia Ananda
2463456219; HOME; UNIT; BR; São Paulo; SP; Rua Ministro Adauto Lúcio Cardoso; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Gomes; Vila Gomes; RESIDENTIAL; 0; 140; Comprar; 848000; 2; 3; 4; 3; 500; 05589000; A melhor localização da região do Butantã - Próximo ao Lgo. do Bonfiglioli - Em condomínio - 03 SUÍTES, 2 delas com armários planejados, sala grande dois ambientes , lavabo , Cozinha repleta de armários - Lavanderia ,banheiro e quarto de empregada - Entrada lateral , 2 vagas de garagem cobertas - Agende sua visita com: Elaine (11) 9.9200.4500 (vivo e zap) - Creci: 88858-F.<br><br>Condições comerciais: Aceita financiamento; BS:Avenida Engenheiro Heitor Antônio Eiras Garcia 21, BS:Avenida Engenheiro Heitor Antônio Eiras Garcia 70, BS:Avenida Corifeu de Azevedo Marques 2777, BS:Rua Cabral de Menezes 20, BS:Avenida Corifeu de Azevedo Marques 2772, TS:Avenida Engenheiro Heitor Antônio Eiras Garcia 21, TS:Avenida Engenheiro Heitor Antônio Eiras Garcia 70, TS:Avenida Corifeu de Azevedo Marques 2777, TS:Rua Cabral de Menezes 20, TS:Avenida Corifeu de Azevedo Marques 2772, CS:Rainha da Vila Gomes, CS:Cidade dos Pães, CS:D'Amar, PH:Droga Star, PH:Farmácia Ananda
2446237375; APARTMENT; UNIT; BR; São Paulo; SP; Rua Coronel Camisão; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Gomes; Vila Gomes; RESIDENTIAL; 110; 66; Comprar; 510000; 2; 1; 2; 2; 500; 05590120; Lindo apartamento de 2 dormitórios com suíte, repleto de armários, acabamento de primeira, com terraço gourmet, 2 vagas de garagem e depósito. Próximo a USP e ao metrô Butantã. Prédio com lazer completo. Condomínio barato. Vale a pena conhecer. Falar com a Mari 99533.6603 CRECI 146133F CNAI 17667<br><br>Condições comerciais: Aceita financiamento; BS:Rua Pereira do Lago 312, BS:Rua Pereira do Lago, BS:Rua Cabral de Menezes 20, BS:Rua Pereira do Lago 144, BS:Parada Coronel Camisao, TS:Rua Pereira do Lago 312, TS:Rua Pereira do Lago, TS:Rua Cabral de Menezes 20, TS:Rua Pereira do Lago 144, TS:Parada Coronel Camisao, CS:Rainha da Vila Gomes, CS:Cidade dos Pães, CS:D'Amar, PH:Droga Star, PH:Farmácia Ananda
2499455327; APARTMENT; UNIT; BR; São Paulo; SP; Rua Coronel Camisão; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Gomes; Vila Gomes; RESIDENTIAL; 80; 65; Comprar; 490000; 2; 1; 2; 2; 610; 05590120; Venha morar no Butantã, ao lado da USP e a somente 5 minutos do metrô Butantã.<br>Conheça este apartamento na Rua Coronel Camisão, no Butantã.<br><br>Lindo apartamento de 65m² com 1 confortável Suíte, sala estendida dando um ótimo espaço de circulação, ótimo terraço com churrasqueira e incrível vista para o bairro, cozinha com armários e lavanderia em uma região privilegiada do Butantã Fácil aceso para a Raposo Tavares, Rodoanel, Mercados, padarias, farmácias, Shoppings e metrô.<br><br>O Condomínio oferece lazer com: piscina adulto e infantil, quadra poliesportiva, sala de ginástica, salão de jogos, churrasqueira, playground, salão de festas e portaria 24 horas.<br><br>A região oferece um ótimo padrão de serviços, tais como, padarias de ótima qualidade, farmácias, bancos, agência do correio, academia de ginástica, supermercados, restaurantes, uma diversidade de lojas e ótimos parques.<br><br>Você estará a aproximadamente a 5 minutos de carro do metrô Butantã, e também com transporte público de qualidade para as mais diversas regiões de São Paulo.<br><br>Fácil acesso às Avenidas Faria Lima, Rebouças e Paulista, à Marginal Pinheiros e Marginal Tietê, às rodovias Raposo Tavares, Regis Bitencourt, Castelo Branco e ao Rodoanel.<br><br>Agende sua visita com Oswaldo Sbarai - Creci 134.066<br>Tel / Whats: 9 4 7 8 1 - 1 8 0 1<br><br>O apartamento está localizado no bairro Vila Gomes com 65 metros quadrados com 2 quartos sendo 1 suíte e 2 banheiros<br>Possui academia, espaço gourmet, área de brinquedo para as crianças, salão de festas, sacada.<br>Vai lhe possibilitar curtir os dias mais quentes na piscina, praticar diversos esportes na quadra poliesportiva. Espaço reservado para preparar o seu churrasco.<br>Encontra-se em um condomínio protegido por muros.<br>Elevador que garante o transporte das suas malas e compras.; BS:Rua Pereira do Lago 312, BS:Rua Pereira do Lago, BS:Rua Cabral de Menezes 20, BS:Rua Pereira do Lago 144, BS:Parada Coronel Camisao, TS:Rua Pereira do Lago 312, TS:Rua Pereira do Lago, TS:Rua Cabral de Menezes 20, TS:Rua Pereira do Lago 144, TS:Parada Coronel Camisao, CS:Rainha da Vila Gomes, CS:Cidade dos Pães, CS:D'Amar, PH:Droga Star, PH:Farmácia Ananda
2496911301; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua Iacurana; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Gomes; Vila Gomes; RESIDENTIAL; 249; 119; Comprar; 500000; 2; 1; 4; 3; 0; 05590090; Com FÁCIL ACESSO À AVENIDA COMENDADOR ALBERTO BONFIGLIOLI, a casa fica a 700 metros ou 9 minutos de caminhada do centro comercial do Jardim Bonfiglioli, QUE POSSUI, PONTO DE ÔNIBUS, CORREIOS, BANCOS, FARMÁCIAS, SUPERMERCADOS, ACADEMIAS, BARES E RESTAURANTES. O imóvel fica próximo a grandes e movimentadas avenidas da região E A 1,4 KM DO PORTÃO 3 DA USP. TENHA TUDO ACESSÍVEL! <br><br>O sobrado está REPLETO DE ARMÁRIOS PLANEJADOS!! A casa tem 3 dormitórios sendo 1 SUÍTE, lavabo, sala de jantar, sala de estar com solarium, COZINHA COM ARMÁRIOS, área de serviço com banheiro e dependência de empregada, quintal e 02 vagas de garagem. <br><br>Renato Rocha | 9.<br>CRECI 152113-F; BS:Rua Cabral de Menezes 20, BS:Avenida Engenheiro Heitor Antônio Eiras Garcia 21, BS:Avenida Engenheiro Heitor Antônio Eiras Garcia 70, BS:Rua Pereira do Lago 312, BS:Rua Pereira do Lago, TS:Rua Cabral de Menezes 20, TS:Avenida Engenheiro Heitor Antônio Eiras Garcia 21, TS:Avenida Engenheiro Heitor Antônio Eiras Garcia 70, TS:Rua Pereira do Lago 312, TS:Rua Pereira do Lago, CS:Rainha da Vila Gomes, CS:Cidade dos Pães, CS:D'Amar, PH:Droga Star, PH:Farmácia Ananda
2493897323; APARTMENT; UNIT; BR; São Paulo; SP; Praça General Araripe de Faria; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Gomes; Vila Gomes; RESIDENTIAL; 62; 62; Comprar; 569000; 2; 1; 2; 2; 790; 05590020; Maravilhoso apartamento junto a USP e Metrô Butantã, com 62 m² , 2 dormitórios, sendo 1 suíte, varanda gourmet e 2 vagas de garagem. Prédio semi novo. Excelente oportunidade! Aceita troca por casa ou sobrado de valor um pouco maior. Agende sua visita agora mesmo.; BS:Rua Pereira do Lago, BS:Rua Pereira do Lago 312, BS:Rua Pereira do Lago 144, BS:Rua Cabral de Menezes 20, BS:Avenida Corifeu de Azevedo Marques 1495, TS:Rua Pereira do Lago, TS:Rua Pereira do Lago 312, TS:Rua Pereira do Lago 144, TS:Rua Cabral de Menezes 20, TS:Avenida Corifeu de Azevedo Marques 1495, CS:Rainha da Vila Gomes, CS:D'Amar, CS:Cidade dos Pães, PH:Droga Star
2448041999; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Gomes; Vila Gomes; RESIDENTIAL; 145; 145; Comprar; 800000; 2; 3; 4; 3; 1130; 05590130; Cobertura Com vista maravilhosa,ensolarada,espaço interno bem aproveitado piso em porcelanato, exelente estado de consrvação, condominio com lazer completo,rua tranquila e arborizada,ao lado da Usp, facil acesso ao metro linha amarela.; BS:Parada Coronel Camisao, BS:Rua Pereira do Lago 144, BS:Rua Pereira do Lago 312, BS:Rua Pereira do Lago, BS:Avenida Corifeu de Azevedo Marques 1495, TS:Parada Coronel Camisao, TS:Rua Pereira do Lago 144, TS:Rua Pereira do Lago 312, TS:Rua Pereira do Lago, TS:Avenida Corifeu de Azevedo Marques 1495, CS:Rainha da Vila Gomes, CS:Cidade dos Pães, CS:D'Amar, PH:Droga Star
