IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2461609720; APARTMENT; UNIT; BR; São Paulo; SP; Rua Caioaba; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Graciosa; Vila Graciosa; RESIDENTIAL; 62; 62; Comprar; 489000; 1; 1; 2; 2; 460; 03160060; Descritivo: Apartamento a venda na Vila Prudente em São Paulo com 02 dormitórios, 01 suíte, 02 banheiros sociais, cozinha top, varanda e uma vista privilegiada. Venha para um dos melhores condomínios da região e desfrute com sua família e amigos toda qualidade de vida que você merece. Possui 01 vagas de garagem coberta, piscina adulto e infantil, academia, salão de festas, quadras esportivas, children care, sala de jogos e segurança 24 horas.<br>O apartamento está localizado a poucos minutos de diversas opções de serviços e lazer, como escolas, padarias, hipermercados.<br>O Imóvel aceita financiamento. -; BS:Avenida Sapopemba 2629, BS:Avenida Sapopemba 2748, BS:Avenida Adutora do Rio Claro 41, BS:Avenida Adutora do Rio Claro 26, BS:Rua Doutor Gabriel de Resende 453, TS:Oratório, TS:Avenida Sapopemba 2629, TS:Avenida Sapopemba 2748, TS:Avenida Adutora do Rio Claro 41, TS:Avenida Adutora do Rio Claro 26, CS:Padraira Total Sucesso, CS:Padaria Novo Cruzeiro, CS:Bonas, CS:Casa de Carnes Vale do Douro, CS:Bella Regente, PH:Droga Leste
2490541678; APARTMENT; UNIT; BR; São Paulo; SP; Rua Caioaba; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Graciosa; Vila Graciosa; RESIDENTIAL; 62; 62; Comprar; 420000; 1; 1; 2; 2; 460; 03160060; Apto com 61,6m sendo 2 dois dormitórios uma vaga de garagem <br><br>Todo com armários Planejados inclusive lavandeira e sacada <br>Piso laminado e piso vinílico.<br> <br>Lazer completo <br><br>"Valores e disponibilidade Sujeitos a confirmação no momento da consulta."<br><br>Entre em contato conosco pelo whatsApp <br> -; BS:Avenida Sapopemba 2629, BS:Avenida Sapopemba 2748, BS:Avenida Adutora do Rio Claro 41, BS:Avenida Adutora do Rio Claro 26, BS:Rua Doutor Gabriel de Resende 453, TS:Oratório, TS:Avenida Sapopemba 2629, TS:Avenida Sapopemba 2748, TS:Avenida Adutora do Rio Claro 41, TS:Avenida Adutora do Rio Claro 26, CS:Padraira Total Sucesso, CS:Padaria Novo Cruzeiro, CS:Bonas, CS:Casa de Carnes Vale do Douro, CS:Bella Regente, PH:Droga Leste
2491167157; APARTMENT; UNIT; BR; São Paulo; SP; Rua Caioaba; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Graciosa; Vila Graciosa; RESIDENTIAL; 90; 90; Comprar; 600000; 2; 2; 3; 2; 620; 03160060; Apto, com 90m², 03 dormitórios, 02 suítes , sendo um reversível com quarto ampliado, 02 vagas, sala com teto rebaixado com iluminação especial e varanda, todos os banheiros com gabinetes, box e espelhos, cozinha americana planejada, escritório, área de serviço com armário. Piso laminado na sala e dormitórios. Água e gás individualizados. Apto quitado. Lazer completo (piscina adulto e infantil, mirante, academia, salão de festas com espaço gourmet, brinquedoteca, Playground, quadra de esportes, salão de jogos, churrasqueira com forno de pizza, espaço). Sistema de segurança e portaria 24hs). <br>Excelente localização, próximo à estação de metrô Oratório, ótima infraestrutura de comércio e serviços, como Shopping, padarias, restaurantes, supermercados, farmácia, escolas, etc...,além de fácil acesso a vias de ligação como a Salim Farah Maluf, Av. Prof. Luiz Ignácio Anhaia Mello, entre outras; BS:Avenida Sapopemba 2629, BS:Avenida Sapopemba 2748, BS:Avenida Adutora do Rio Claro 41, BS:Avenida Adutora do Rio Claro 26, BS:Rua Doutor Gabriel de Resende 453, TS:Oratório, TS:Avenida Sapopemba 2629, TS:Avenida Sapopemba 2748, TS:Avenida Adutora do Rio Claro 41, TS:Avenida Adutora do Rio Claro 26, CS:Padraira Total Sucesso, CS:Padaria Novo Cruzeiro, CS:Bonas, CS:Casa de Carnes Vale do Douro, CS:Bella Regente, PH:Droga Leste
2273095475; APARTMENT; UNIT; BR; São Paulo; SP; Rua Caioaba; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Graciosa; Vila Graciosa; RESIDENTIAL; 90; 90; Comprar; 700000; 2; 1; 2; 3; 650; 03160060; Lindo apartamento - 90mts - semi novo - com 3 dormitórios (sendo um suíte) com armários - sala com 2 ambientes com lavabo e sacada gourmet fechada com vidros - cozinha planejada - área de serviço - 2 vagas - lazer completo de Clube. -; BS:Avenida Sapopemba 2629, BS:Avenida Sapopemba 2748, BS:Avenida Adutora do Rio Claro 41, BS:Avenida Adutora do Rio Claro 26, BS:Rua Doutor Gabriel de Resende 453, TS:Oratório, TS:Avenida Sapopemba 2629, TS:Avenida Sapopemba 2748, TS:Avenida Adutora do Rio Claro 41, TS:Avenida Adutora do Rio Claro 26, CS:Padraira Total Sucesso, CS:Padaria Novo Cruzeiro, CS:Bonas, CS:Casa de Carnes Vale do Douro, CS:Bella Regente, PH:Droga Leste
2493025947; APARTMENT; UNIT; BR; São Paulo; SP; Rua Caioaba; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Graciosa; Vila Graciosa; RESIDENTIAL; 64; 64; Comprar; 370000; 1; 1; 2; 2; 450; 03160060; Apartamento com 2 dormitórios sendo 1 suíte com armários embutidos, living para 2 ambientes com piso vinilico, sacada, cozinha americana planejada, 1 vaga de garagem. Lazer com piscina, salão de festas, salão de jogos, playground, academia, churrasqueira, quadra.<br><br>Boa localização, próximo a estação Oratório do Monotrilho, amplo comércio,próximo a serviços, escolas, comércio geral, farmácia, supermercado, padaria, restaurantes, delivery etransporte.<br><br>As informações e valor do imóvelanunciado, podem sofrer alterações. Consulte-nos. -; BS:Avenida Sapopemba 2629, BS:Avenida Adutora do Rio Claro 41, BS:Avenida Sapopemba 2748, BS:Avenida Adutora do Rio Claro 26, BS:Rua Doutor Gabriel de Resende 453, TS:Oratório, TS:Avenida Sapopemba 2629, TS:Avenida Adutora do Rio Claro 41, TS:Avenida Sapopemba 2748, TS:Avenida Adutora do Rio Claro 26, CS:Padraira Total Sucesso, CS:Padaria Novo Cruzeiro, CS:Bonas, CS:Casa de Carnes Vale do Douro, CS:Bella Regente, PH:Droga Leste
2493549924; APARTMENT; UNIT; BR; São Paulo; SP; Rua do Oratório; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Graciosa; Vila Graciosa; RESIDENTIAL; 70; 58; Comprar; 320000; 1; 1; 2; 2; 600; 03116000; O apartamento está localizado no bairro da Moocatem 58 metros quadrados com 2 quartos sendo 1 suite e 2 banheiros<br>Possui salão para festas e eventos, espaço jardinado, parquinho com diferentes brinquedos, área de fitness, espaço gourmet.<br>Vai lhe possibilitar curtir os dias mais quentes na piscina, praticar diversos esportes na quadra poliesportiva.Elevador para mais praticidade no dia-a-dia.<br>Encontra-se na privacidade de um condomínio fechado.<br>Espaço reservado para preparar o seu churrasco.; BS:Parada Oratório, BS:Parada Inhomirim, BS:Rua Taquari, BS:Rua Taquari 156, BS:Parada Guaimbé, TS:Parada Oratório, TS:Rua Taquari, TS:Rua Taquari 156, TS:Parada Guaimbé, TS:Juventus - Mooca, CS:Opala Pães e Doçes, CS:Padaria Monte Líbano, CS:Cassandoca Pães e Gastronomia, CS:Hot Brad Pães Frances Ultra Congelados, CS:Padaria Falcão, PH:Sinete 24Horas, PH:Drogaria Itamonte
2497765180; APARTMENT; UNIT; BR; São Paulo; SP; Rua Caioaba; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Graciosa; Vila Graciosa; RESIDENTIAL; 69; 69; Comprar; 370000; 1; 1; 2; 3; 480; 03160060; LINDO APARTAMENTO LOCALIZADO NA VILA GRACIOSA:<br><br>- 69 METROS QUADRADOS;<br>- 03 DORMITÓRIOS SENDO 01 SUÍTE;<br>- 02 BANHEIROS;<br>- 01 VAGA DE GARAGEM;<br>- ÁREADE SERVIÇO.<br><br>CONDOMÍNIO POSSUI:<br><br>-PISCINA;<br>-SALÃO DE FESTAS;<br>- PORTARIA 24 HORAS;<br>- CONDOMÍNIO FECHADO.<br><br>LOCALIZAÇÃO:<br><br><br>- 450 METROS DA AV. VILA EMA;<br>- 800 METROS DO METRO ORATÓRIO.<br><br><br>PARA MAIORES INFORMAÇÕES FAVOR ENTRAR EM CONTATO NO TELEFONE/WHATSAPP:<br><br>/ / <br><br>WWW.HIDAKAIMOVEIS.COM.BR<br><br><br><br>ENCONTRAMOS O MELHOR CRÉDITO IMOB<br><br><i>As informações estão sujeitas a alterações. Consulte o corretor responsável.</i><br> <br><br><br>Chave do anúncio: 31ws6BAJp40d0cKs; BS:Avenida Adutora do Rio Claro 41, BS:Avenida Sapopemba 2629, BS:Avenida Adutora do Rio Claro 26, BS:Avenida Sapopemba 2748, BS:Rua Doutor Gabriel de Resende 360, TS:Avenida Adutora do Rio Claro 41, TS:Oratório, TS:Avenida Sapopemba 2629, TS:Avenida Adutora do Rio Claro 26, TS:Avenida Sapopemba 2748, CS:Padraira Total Sucesso, CS:Padaria Novo Cruzeiro, CS:Bonas, CS:Casa de Carnes Vale do Douro, CS:Bella Regente, PH:Droga Leste
2499476691; APARTMENT; UNIT; BR; São Paulo; SP; Rua Caioaba; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Graciosa; Vila Graciosa; RESIDENTIAL; 63; 63; Comprar; 510000; 2; 1; 2; 2; 519; 03160060; Apartamento em condomínio de 63m², Com 02 Dormitórios planejados sendo 01 Suíte, sala ampla, Cozinha planejada, banheiro social, área de serviço e 02 Vagas de garagem.<br>Lazer no condomínio.<br>Localização privilegiada.<br>Solicite informações. -; BS:Avenida Sapopemba 2629, BS:Avenida Sapopemba 2748, BS:Avenida Adutora do Rio Claro 41, BS:Avenida Adutora do Rio Claro 26, BS:Rua Doutor Gabriel de Resende 453, TS:Oratório, TS:Avenida Sapopemba 2629, TS:Avenida Sapopemba 2748, TS:Avenida Adutora do Rio Claro 41, TS:Avenida Adutora do Rio Claro 26, CS:Padraira Total Sucesso, CS:Padaria Novo Cruzeiro, CS:Bonas, CS:Casa de Carnes Vale do Douro, CS:Bella Regente, PH:Droga Leste
2499302077; APARTMENT; UNIT; BR; São Paulo; SP; Rua Caioaba; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Graciosa; Vila Graciosa; RESIDENTIAL; 69; 69; Comprar; 360000; 1; 1; 2; 3; 500; 03160060; Apartamento 03 dormitórios, sendo 01 suíte com armários planejados, sala 02 ambientes, cozinha com armários planejados, 03 banheiros, área de serviço, sacada e 01 vaga.<br>Azulejo e piso carpete de madeira.<br><br>OS VALORES AQUI MENCIONADOS DEVERÃO SER CONFIRMADOS COM A IMOBILIÁRIA, VEZ QUE, OS MESMOS PODERÃO SER ALTERADOS PELOS PROPRIETÁRIOS SEM PRÉVIO AVISO -; BS:Avenida Sapopemba 2629, BS:Avenida Adutora do Rio Claro 41, BS:Avenida Sapopemba 2748, BS:Avenida Adutora do Rio Claro 26, BS:Rua Doutor Gabriel de Resende 453, TS:Oratório, TS:Avenida Sapopemba 2629, TS:Avenida Adutora do Rio Claro 41, TS:Avenida Sapopemba 2748, TS:Avenida Adutora do Rio Claro 26, CS:Padraira Total Sucesso, CS:Padaria Novo Cruzeiro, CS:Bonas, CS:Casa de Carnes Vale do Douro, CS:Bella Regente, PH:Droga Leste
2492178490; APARTMENT; UNIT; BR; São Paulo; SP; Rua Caioaba; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Graciosa; Vila Graciosa; RESIDENTIAL; 62; 62; Comprar; 420000; 1; 1; 2; 2; 460; 03160060; Condômino Fiore Gardenia da Cyrela <br>Apartamento com 62 metros, 2 dormitórios, 1 suíte, com armários Planejados inclusive lavandeira e sacada . <br>Piso laminado e piso vinílico . Instalados agora janeiro 2020 . Apartamento quitado. 4 elevadores . 23 andares 4 de cada lado como se fosse 2 Torres . <br>Ano 2010 . Lazer completo<br>Vila Prudente é um bairro pertencente ao distrito homônimo, no município de São Paulo. Atualmente ocupa uma área de 2,5 Km², mas, na sua origem, tinha apenas 1,05 Km².[1] Santo Emídio é o padroeiro do bairro e era o santo de devoção de seus fundadores.<br>Avenidas e Ruas: Todas pavimentadas, com redes de distribuição de eletricidade, água e coleta de esgoto. Algumas com rede gás.[2]<br>Estações do Metrô: Estações Vila Prudente, da Linha 2 Verde e Linha 15 Prata (Monotrilho), na Av. Prof. Luiz Inácio de Anhaia Mello.[2]<br>Estações de Trem: Estação Ipiranga da CPTM, Linha 10 Turquesa.[2]<br>Linhas de ônibus: Diversas, nas ruas do Orfanato, Ibitirama, Cap. Pacheco Chaves e Dianópolis. Também nas avenidas Prof. Luiz Inácio de Anhaia Mello e Paes de Barros.[2]<br>Corredores de ônibus: Dois, sendo um na Av. Paes de Barros e outro na Av. Prof. Luiz Inácio de Anhaia Mello.[2]<br>Terminais de ônibus: Na Av. Prof. Luiz Inácio de Anhaia Mello.[2]<br>Ciclovias: Uma, na Av. Prof. Luiz Inácio de Anhaia Mello.[2]<br>Cinemas: No shopping center da Rua Cap. Pacheco Chaves.[2]<br>Escolas: Duas públicas de ensino infantil, três públicas de ensino fundamental e médio, cinco da rede privada, uma universidade privada e uma escola do SESI.[2]<br>Bibliotecas: Uma, na Praça Centenário de Vila Prudente.[2]<br>Saúde: Vigilância em Saúde e Unidade Básica de Saúde, na Praça Centenário de Vila Prudente.[2]<br>Outros: Uma agência dos Correios, o Cartório de Registros Civis do Distrito e dois monumentos históricos.<br>Fica difícil compreender a formação dos bairros paulistanos sem o conhecimento de algumas características da cidade. A grande participação de imigrantes europeus, não oriundos da Península Ibérica, e a pequena participação dos negros, são coisas pouco comuns nas outras regiões do país onde a presença do colonizador português foi mais efetiva. Essa é a razão do breve relato que segue.<br><br>Durante quase três séculos a cidade de São Paulo viveu à margem das grandes correntes econômicas da vida brasileira. Para além do núcleo que lhe deu origem havia fazendas, sítios e chácaras onde seus proprietários eram pessoas simples, que trabalhavam na terra com a ajuda de seus familiares e, eventualmente, alguns índios. Praticavam a lavoura de subsistência, voltada para o mercado local, e não tinham recursos financeiros para terem escravos africanos. Algumas fazendas pertenciam à igreja, como a de Santo André e a de São Caetano; que pertenciam aos monges Beneditinos. No vasto território desta cidade havia diversos núcleos isolados, distantes um do outro, e dependentes do núcleo central. No início do século XIX a predominância da população feminina livre era evidente, pois a população ma...; BS:Avenida Sapopemba 2629, BS:Avenida Sapopemba 2748, BS:Avenida Adutora do Rio Claro 41, BS:Avenida Adutora do Rio Claro 26, BS:Rua Doutor Gabriel de Resende 453, TS:Oratório, TS:Avenida Sapopemba 2629, TS:Avenida Sapopemba 2748, TS:Avenida Adutora do Rio Claro 41, TS:Avenida Adutora do Rio Claro 26, CS:Padraira Total Sucesso, CS:Padaria Novo Cruzeiro, CS:Bonas, CS:Casa de Carnes Vale do Douro, CS:Bella Regente, PH:Droga Leste
