IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2496237624; HOME; UNIT; BR; São Paulo; SP; Rua Engenheiro Sá Rocha; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Ida; Vila Ida; RESIDENTIAL; 744; 560; Comprar; 5900000; 6; 3; 5; 4; 0; 05454020; Este sobrado possui uma arquitetura moderna latente. <br>Amplos espaços e em cada ambiente uma disposição original e extremamente criativa. <br> <br>A sala de tevê e sala de jantar estão estrategicamente voltadas para o jardim e piscina/espaço gourmet. <br>O imóvel dispõe também de sala de ginástica. <br>Os 4 dormitórios (3 são suítes) são lindos. <br>A casa é muito clara, confira as fotos, mas agende uma visita pessoalmente para entender as potencialidades deste imóvel moderno e único no Alto de Pinheiros. <br> <br>O bairro é ótimo. <br>Está perto de uma série de facilidades como shoppings, escolas, clubes, centros comerciais e muito mais. <br> <br> <br>Visite com a Bamberg. <br>Especialista em imóveis únicos no Alto de Pinheiros e nos bairros mais tradicionais da cidade de São Paulo.; BS:Praça Coronel Cipriano de Moraes, BS:Rua Alvilândia, BS:Rua Alvilândia 231, BS:Rua Dona Elisa Moraes Mendes 641, BS:Rua Dona Elisa Moraes Mendes 942, TS:Praça Coronel Cipriano de Moraes, TS:Rua Alvilândia, TS:Rua Alvilândia 231, TS:Rua Dona Elisa Moraes Mendes 641, TS:Rua Dona Elisa Moraes Mendes 942, CS:Padaria Karla, CS:Celeste, CS:Supermercado Bom Vizinho, CS:Padaria Laika, PH:Drograia São Paulo, PH:Drogaverde, PH:Farma Civica, PH:Pharmasol
2490226909; HOME; UNIT; BR; São Paulo; SP; Rua Cardeal Cagliori; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Ida; Vila Ida; RESIDENTIAL; 418; 418; Comprar; 3650000; 4; 2; 5; 4; 0; 05454030; Esta casa tem localização privilegiada próxima à Praça Panamericana e ao Parque Villa-Lobos, um bairro arborizado e servido de diversos comércios. A propriedade conta com ambientes amplos e cheios de iluminação natural na área social, que dispõe de sala de estar, jantar e escritório. Na parte externa há piscina, churrasqueira e bastante verde.; BS:Praça Coronel Cipriano de Moraes, BS:Rua Alvilândia, BS:Rua Alvilândia 231, BS:Rua Dona Elisa Moraes Mendes 641, BS:Rua Dona Elisa Moraes Mendes 942, TS:Praça Coronel Cipriano de Moraes, TS:Rua Alvilândia, TS:Rua Alvilândia 231, TS:Rua Dona Elisa Moraes Mendes 641, TS:Rua Dona Elisa Moraes Mendes 942, CS:Celeste, CS:Padaria Karla, CS:Supermercado Bom Vizinho, CS:Padaria Laika, PH:Drograia São Paulo, PH:Drogaverde, PH:Farma Civica, PH:Pharmasol
2431133281; APARTMENT; UNIT; BR; São Paulo; SP; Rua Sucuriú; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Ida; Vila Ida; RESIDENTIAL; 0; 120; Comprar; 1200000; 2; 1; 3; 3; 1100; 05454100; OPORTUNIDADE! Apartamento totalmente recém reformado, arejado e iluminado, com parte hidraulica e eletrica novas. Totalmente mobiliado, pronto para morar. Sala de TV com caixas de SOM embutidas no teto BOSE, Quartos e cozinha com armarios embutidos novos. Sala de estar e jantar com moveis novos, pronto para o uso. Ar condicionado em todos os quartos (será vendido com o apartamento). Apartamento bem localizado, 5 min do Parque Villa Lobos, bairro muito arborizado, muitas opções de supermercado e restaurantes no entorno. Shopping Villa Lobos a 10 min de distância. Lazer completo no terreo com piscina, quadra poliesportiva e salão de festas.; BS:Praça Coronel Cipriano de Moraes, BS:Rua Alvilândia, BS:Rua Alvilândia 231, BS:Rua Dona Elisa Moraes Mendes 641, BS:Rua Dona Elisa Moraes Mendes 942, TS:Praça Coronel Cipriano de Moraes, TS:Rua Alvilândia, TS:Rua Alvilândia 231, TS:Rua Dona Elisa Moraes Mendes 641, TS:Rua Dona Elisa Moraes Mendes 942, CS:Padaria Karla, CS:Celeste, CS:Supermercado Bom Vizinho, CS:Padaria Laika, PH:Drograia São Paulo, PH:Drogaverde, PH:Farma Civica, PH:Pharmasol, PH:Farmacia Carrefour
2434188609; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Ida; Vila Ida; RESIDENTIAL; 120; 120; Comprar; 980000; 2; 2; 4; 3; 850; 05454100; Alto de Pinheiros, lugar nobre, unidade de 120 m² com 3 dormitórios 2 suítes 4 banheiros e 2 vagas, todo reformado, elétrica e hidráulica em perfeito estado. Prédio e lazer todo restaurado e pintado.; BS:Praça Coronel Cipriano de Moraes, BS:Rua Alvilândia, BS:Rua Alvilândia 231, BS:Rua Dona Elisa Moraes Mendes 641, BS:Rua Dona Elisa Moraes Mendes 942, TS:Praça Coronel Cipriano de Moraes, TS:Rua Alvilândia, TS:Rua Alvilândia 231, TS:Rua Dona Elisa Moraes Mendes 641, TS:Rua Dona Elisa Moraes Mendes 942, CS:Padaria Karla, CS:Celeste, CS:Leticia, CS:Supermercado Bom Vizinho, CS:Padaria Laika, PH:Drograia São Paulo, PH:Drogaverde, PH:Farma Civica, PH:Pharmasol, PH:Farmacia Carrefour
2453127203; HOME; UNIT; BR; São Paulo; SP; Rua Boquim; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Ida; Vila Ida; RESIDENTIAL; 323; 280; Comprar; 1980000; 3; 2; 5; 4; 0; 05454001; Excelente sobrado na Vila Ida, amplo e arejado, localizado em uma rua tranquila e arborizada. Possui 4 quartos, sendo 2 suítes espaçosas, com armários embutidos e 1 sala de TV/Som (no andar superior). Living em L, sala de jantar, cozinha ampla, banheiro social e jardim interno. Para comodidade o imóvel possui amplo quintal, área de serviço, depósito de materiais e 3 vagas de garagens cobertas. Há espaço para edificação de churrasqueira e/ou piscina A1Z1.; BS:Praça Coronel Cipriano de Moraes, BS:Rua Alvilândia, BS:Rua Alvilândia 231, BS:Rua Dona Elisa Moraes Mendes 641, BS:Rua Dona Elisa Moraes Mendes 942, TS:Praça Coronel Cipriano de Moraes, TS:Rua Alvilândia, TS:Rua Alvilândia 231, TS:Rua Dona Elisa Moraes Mendes 641, TS:Rua Dona Elisa Moraes Mendes 942, CS:Celeste, CS:Padaria Karla, CS:Supermercado Bom Vizinho, CS:Padaria Laika, CS:Padaria Dona Deola, PH:Drogaverde, PH:Drograia São Paulo, PH:Farma Civica, PH:Pharmasol, PH:Weleda Farmácia
2444857794; APARTMENT; UNIT; BR; São Paulo; SP; Avenida São Gualter; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Ida; Vila Ida; RESIDENTIAL; 0; 116; Comprar; 1170000; 3; 3; 4; 4; 1000; 05455002; O apartamento no bairro Vila Ida tem 116 metros quadrados com 4 quartos sendo 3 suites e 4 banheiros. Fica próximo a hospitais, padarias, transporte coletivo, escolas, museus, estacionamentos, hospitais, farmácias, universidades.<br>Possui área de fitness, espaço gourmet, espaço jardinado, parquinho com diferentes brinquedos, salão de festas.<br>Vai lhe possibilitar curtir os dias mais quentes na piscina, praticar diversos esportes na quadra poliesportiva.Está em um condomínio protegido por grades.<br>Espaço reservado para preparar o seu churrasco.<br>Elevador que garante o transporte das suas malas e compras.; BS:Rua Dona Elisa Moraes Mendes 1280, BS:Rua Dona Elisa Moraes Mendes 942, BS:Rua Dona Elisa Moraes Mendes 641, BS:Rua Alvilândia, BS:Rua Alvilândia 231, TS:Rua Dona Elisa Moraes Mendes 1280, TS:Rua Dona Elisa Moraes Mendes 942, TS:Rua Dona Elisa Moraes Mendes 641, TS:Rua Alvilândia, TS:Rua Alvilândia 231, CS:Leticia, CS:Padaria Karla, CS:Panificadora Vipão, CS:Santa Torta, CS:Celeste, PH:Drogaverde, PH:Drogaria e Perfumaria Akyali, PH:Farmácia da Vila, PH:Formularium, PH:Farmacia Ubiratan
2495641614; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Ida; Vila Ida; RESIDENTIAL; 546; 278; Comprar; 2500000; 4; 1; 4; 3; 0; 05454020; Linda casa térrea com ambientes amplos e arejados, com piscina, churrasqueira, salão de festas, em região privilegiadave e tranquila no Alto de Pinheiros, próximo a comércio, bancos e escolas.<br><br><br>Imóvel no bairro Alto de Pinheiros com 278m² área construída, 3 dormitório(s), 1 suíte(s), 4 vaga(s), 4 banheiro(s), piscina, dep. de empregados, casa terrea.<br><br>A Coelho da Fonseca está aberta todos os dias, inclusive aos domingos e feriados.; BS:Rua Alvilândia, BS:Praça Coronel Cipriano de Moraes, BS:Rua Alvilândia 231, BS:Rua Dona Elisa Moraes Mendes 641, BS:Rua Dona Elisa Moraes Mendes 942, TS:Rua Alvilândia, TS:Praça Coronel Cipriano de Moraes, TS:Rua Alvilândia 231, TS:Rua Dona Elisa Moraes Mendes 641, TS:Rua Dona Elisa Moraes Mendes 942, CS:Padaria Karla, CS:Leticia, CS:Celeste, CS:Supermercado Bom Vizinho, CS:Padaria Laika, PH:Drograia São Paulo, PH:Drogaverde, PH:Farma Civica, PH:Pharmasol
2495642019; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Ida; Vila Ida; RESIDENTIAL; 463; 219; Comprar; 1900000; 2; 3; 4; 3; 0; 05454030; Casa térrea. Desnível nas salas com tabuas largas e suítes amplas. Rua tranquila e arborizada. Fácil acesso às escolas, comércio e grandes avenidas!!<br><br><br>Imóvel no bairro Alto de Pinheiros com 219m² área construída, 3 dormitório(s), 3 suíte(s), 2 vaga(s), 4 banheiro(s).<br><br>A Coelho da Fonseca está aberta todos os dias, inclusive aos domingos e feriados.; BS:Praça Coronel Cipriano de Moraes, BS:Rua Alvilândia, BS:Rua Alvilândia 231, BS:Rua Dona Elisa Moraes Mendes 641, BS:Rua Dona Elisa Moraes Mendes 942, TS:Praça Coronel Cipriano de Moraes, TS:Rua Alvilândia, TS:Rua Alvilândia 231, TS:Rua Dona Elisa Moraes Mendes 641, TS:Rua Dona Elisa Moraes Mendes 942, CS:Celeste, CS:Leticia, CS:Padaria Karla, CS:Supermercado Bom Vizinho, CS:Padaria Laika, PH:Drograia São Paulo, PH:Drogaverde, PH:Farma Civica, PH:Pharmasol
2496948041; APARTMENT; UNIT; BR; São Paulo; SP; Rua Sararé; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Ida; Vila Ida; RESIDENTIAL; 89; 89; Comprar; 900000; 1; 1; 3; 2; 1300; 05452010; Venha morar num dos bairros mais cobiçados da Zona Oeste! Bairro rodeado de verde, rua tranquila e prazerosa de se morar! O apartamento tem ótima distribuição interna e bem iluminado. O Alto de Pinheiros é a melhor localização da cidade, o bairro mais arborizado, e com poucos novos empreendimentos imobiliários na região, o que proporciona a mesma exclusividade das casas, mas com segurança e lazer de condomínios mais modernos. Venha conhecer o seu novo lar!1610; BS:Praça Coronel Cipriano de Moraes, BS:Rua Alvilândia, BS:Rua Alvilândia 231, BS:Rua Dona Elisa Moraes Mendes 641, BS:Rua Dona Elisa Moraes Mendes 942, TS:Praça Coronel Cipriano de Moraes, TS:Rua Alvilândia, TS:Rua Alvilândia 231, TS:Rua Dona Elisa Moraes Mendes 641, TS:Rua Dona Elisa Moraes Mendes 942, CS:Leticia, CS:Celeste, CS:Padaria Karla, CS:Supermercado Bom Vizinho, CS:Padaria Laika, PH:Drogaverde, PH:Drograia São Paulo, PH:Farma Civica, PH:Pharmasol, PH:Weleda Farmácia
2453258285; APARTMENT; UNIT; BR; São Paulo; SP; Rua Sucuriú; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Ida; Vila Ida; RESIDENTIAL; 150; 110; Comprar; 905000; 2; 1; 3; 3; 816; 05454100; Amplo apartamento com 3 dor.. 1 suíte ambiente arejado e iluminado. imóvel bem conservado repleto de armários, condomínio tranquilo com ótimas opções de lazer. Localização excelente com comércios variados, próximo as ruas Pio XI e Cerro Corá a 15 minutos do Metro Vila Madalena 5 minutos do Parque Villa Lobos.<br>Agende uma visita e confira. -; BS:Praça Coronel Cipriano de Moraes, BS:Rua Alvilândia, BS:Rua Alvilândia 231, BS:Rua Dona Elisa Moraes Mendes 641, BS:Rua Dona Elisa Moraes Mendes 942, TS:Praça Coronel Cipriano de Moraes, TS:Rua Alvilândia, TS:Rua Alvilândia 231, TS:Rua Dona Elisa Moraes Mendes 641, TS:Rua Dona Elisa Moraes Mendes 942, CS:Padaria Karla, CS:Celeste, CS:Supermercado Bom Vizinho, CS:Padaria Laika, PH:Drograia São Paulo, PH:Drogaverde, PH:Farma Civica, PH:Pharmasol, PH:Farmacia Carrefour
