IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2499262297; APARTMENT; UNIT; BR; São Paulo; SP; Rua Corinto; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Indiana; Vila Indiana; RESIDENTIAL; 0; 98; Comprar; 690000; 2; 1; 2; 3; 1100; 05586060; Apartamento com 98 metros quadrados, 3 quartos sendo 1 suite, 2 vagas demarcadas.<br>Possui ar condicionado nos 3 quartos e um mini escritório para seu home office!<br><br>Localização em área com excelente infraestrutura de comércio, e ótimo estado de conservação!!<br><br>Diferenciais no condomínio:<br>-2 Churrasqueiras.<br>-Salão de jogos.<br>-Salão de festas.<br>-Sauna.<br>-Academia.<br>-Piscina adulto e infantil aquecidas.<br>-Área verde ao lado do condomínio.<br><br>Colado a mata tombada do Instituto Butantã, a 400 mts do portão de pedestre da USP e próximo ao metrô Butantã.; BS:Rua do Lago, BS:Biblioteca da Farmácia e Química, BS:CEPAM, BS:Parada Santanesia, BS:Farmácia e Química, TS:Rua do Lago, TS:Biblioteca da Farmácia e Química, TS:CEPAM, TS:Avenida Corifeu de Azevedo Marques, TS:Parada Santanesia, CS:Rainha da Vila Gomes, CS:Cidade dos Pães, CS:Estrela do Butantã, PH:Droga Star
2458740404; APARTMENT; UNIT; BR; São Paulo; SP; Rua Sousa Reis; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Indiana; Vila Indiana; RESIDENTIAL; 140; 105; Comprar; 679000; 2; 1; 4; 3; 1250; 05586080; Lindo apartamento com vista para USP a 350 mts do portão de pedestre, com 3 dormitórios, suíte ampla, sala com terraço, cozinha, dependência de empregada. Prédio com lazer completo. Próximo ao metrô Butantã. Vale a pena conhecer. Falar com a Mari 99533.6603 CRECI 146133F CNAI 17667.<br><br>Condições comerciais: Aceita financiamento; BS:Rua do Lago, BS:Biblioteca da Farmácia e Química, BS:Acesso Vila Indiana, BS:Instituto de Biociências, BS:CEPAM, TS:Rua do Lago, TS:Biblioteca da Farmácia e Química, TS:Acesso Vila Indiana, TS:Instituto de Biociências, TS:CEPAM, CS:Rainha da Vila Gomes, CS:Cidade dos Pães, CS:Estrela do Butantã, PH:Droga Star
2455147981; APARTMENT; UNIT; BR; São Paulo; SP; Rua Barroso Neto; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Indiana; Vila Indiana; RESIDENTIAL; 0; 65; Comprar; 500000; 1; 1; 2; 2; 1020; 05585010; Vila Indiana, Usp, 2 dormitórios, sendo 1 suíte com armários, piso laminado, 1 wc social, sala 2 ambientes com varanda, cozinha com armários, área de serviço, 1 vaga de garagem. Agende uma visita!<br><br>Condições comerciais: Aceita financiamento.; BS:Parada Santanesia, BS:Avenida Corifeu de Azevedo Marques 674, BS:Avenida Corifeu de Azevedo Marques 547, BS:CEPAM, BS:Biblioteca da Farmácia e Química, TS:Parada Santanesia, TS:Avenida Corifeu de Azevedo Marques 674, TS:Avenida Corifeu de Azevedo Marques, TS:Avenida Corifeu de Azevedo Marques 547, TS:CEPAM, CS:Rainha da Vila Gomes, CS:Estrela do Butantã, CS:Cidade dos Pães, PH:Droga Star
2177105694; APARTMENT; UNIT; BR; São Paulo; SP; Rua Corinto; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Indiana; Vila Indiana; RESIDENTIAL; 150; 95; Comprar; 870000; 2; 1; 3; 3; 1070; 05586060; Lindíssimo apto. colado na mata, próximo a USP e ao metrô Butantã. São 3 dormitórios, com suíte e suíte de empregada. Linda Vista, 2 vagas de garagem cobertas e paralelas, terraço, sala e cozinha grandes. Prédio com lazer de clube. Vale a pena conhecer. Falar com a Mari 9.9533.6603 CRECI 146133F CNAI 17667<br><br>Condições comerciais: Aceita financiamento.; BS:Acesso Vila Indiana, BS:Parada Coronel Camisao, BS:Rua do Lago, BS:Avenida Engenheiro Heitor Antônio Eiras Garcia 70, BS:Avenida Engenheiro Heitor Antônio Eiras Garcia 21, TS:Acesso Vila Indiana, TS:Parada Coronel Camisao, TS:Rua do Lago, TS:Avenida Engenheiro Heitor Antônio Eiras Garcia 21, TS:Avenida Engenheiro Heitor Antônio Eiras Garcia 70, CS:Rainha da Vila Gomes, CS:Cidade dos Pães, CS:D'Amar, PH:Droga Star, PH:Farmácia Ananda
2427745732; APARTMENT; UNIT; BR; São Paulo; SP; Rua Iquiririm; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Indiana; Vila Indiana; RESIDENTIAL; 110; 68; Comprar; 560000; 2; 1; 2; 2; 685; 05586000; Apartamento com 2 dormitórios, sendo 1 suíte, 2 vagas de garagem. Próximo a USP, OBA e metrô Butantã. Prédio com lazer. Vale a pena conhecer. Falar com a Mari 99533.6603 CRECI 146133F CNAI 17667<br><br>Condições comerciais: Aceita financiamento.; BS:Parada Santanesia, BS:Avenida Corifeu de Azevedo Marques 674, BS:Avenida Corifeu de Azevedo Marques 547, BS:Avenida Corifeu de Azevedo Marques 1495, BS:Avenida Corifeu de Azevedo Marques 291, TS:Parada Santanesia, TS:Avenida Corifeu de Azevedo Marques 674, TS:Avenida Corifeu de Azevedo Marques, TS:Avenida Corifeu de Azevedo Marques 547, TS:Avenida Corifeu de Azevedo Marques 1495, CS:Rainha da Vila Gomes, CS:Estrela do Butantã, CS:Cidade dos Pães, PH:Droga Star, PH:Center Fórmula
2450846465; APARTMENT; UNIT; BR; São Paulo; SP; Rua Leonardo Mota; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Indiana; Vila Indiana; RESIDENTIAL; 190; 145; Comprar; 1350000; 3; 3; 5; 4; 1920; 05586090; Lindo apartamento de 4 dormitórios, sendo 3 suítes, debruçado sobre a mata, repleto de armários, sala 3 ambientes com sacada, cozinha, face norte. Próximo ao metrô Butantã. Colado a USP, 3 vagas e um depósito grande no subsolo. Prédio com lazer completo. Vale a pena conhecer. Um prazer para poucos. Falar com a Mari 9.9533.6603 CRECI 146133F CNAI 17667.<br><br>Condições comerciais: Aceita financiamento; BS:Rua do Lago, BS:Biblioteca da Farmácia e Química, BS:CEPAM, BS:Acesso Vila Indiana, BS:Instituto de Biociências, TS:Rua do Lago, TS:Biblioteca da Farmácia e Química, TS:CEPAM, TS:Acesso Vila Indiana, TS:Instituto de Biociências, CS:Rainha da Vila Gomes, CS:Cidade dos Pães, CS:Estrela do Butantã, PH:Droga Star
2477653376; APARTMENT; UNIT; BR; São Paulo; SP; Rua Monte Caseros; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Indiana; Vila Indiana; RESIDENTIAL; 0; 165; Comprar; 1600000; 3; 3; 4; 3; 1700; 05590130; Não perca essa oportunidade de conhecer essa maravilhosa COBERTURA DUPLEX, localizada ao lado da USP, com 165 m² em um condomínio novo e moderno... 3 suítes, closet, sala ampliada com varanda gourmet com vista para USP, uma cozinha magnífica repleta de armários, depósito e 3 vagas de garagem. Agende uma visita com o corretor responsável...<br><br>Condições comerciais: Aceita financiamento.; BS:Parada Coronel Camisao, BS:Rua Pereira do Lago 312, BS:Rua Cabral de Menezes 20, BS:Rua Pereira do Lago, BS:Rua Pereira do Lago 144, TS:Parada Coronel Camisao, TS:Rua Pereira do Lago 312, TS:Rua Cabral de Menezes 20, TS:Rua Pereira do Lago, TS:Rua Pereira do Lago 144, CS:Rainha da Vila Gomes, CS:Cidade dos Pães, CS:D'Amar, PH:Droga Star, PH:Farmácia Ananda
2498318785; APARTMENT; UNIT; BR; São Paulo; SP; Rua Leonardo Mota; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Indiana; Vila Indiana; RESIDENTIAL; 200; 114; Comprar; 1250000; 2; 1; 3; 3; 0; 05586090; O apartamento está localizado no bairro Vila Indiana com 114 metros quadrados com 3 quartos sendo 1 suite e 3 banheiros<br>Possui área de fitness, área de brinquedo para as crianças, salão para festas e eventos, espaço jardinado, espaço gourmet.<br>Vai lhe possibilitar curtir os dias mais quentes na piscina, praticar diversos esportes na quadra poliesportiva.Espaço reservado para preparar o seu churrasco.<br>Está em um condomínio protegido por grades.<br>Elevador para mais praticidade no dia-a-dia.; BS:Rua do Lago, BS:Biblioteca da Farmácia e Química, BS:CEPAM, BS:Instituto de Biociências, BS:Acesso Vila Indiana, TS:Rua do Lago, TS:Biblioteca da Farmácia e Química, TS:CEPAM, TS:Instituto de Biociências, TS:Avenida Corifeu de Azevedo Marques, CS:Rainha da Vila Gomes, CS:Cidade dos Pães, CS:Estrela do Butantã, PH:Droga Star
2469497382; APARTMENT; UNIT; BR; São Paulo; SP; Rua Barroso Neto; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Indiana; Vila Indiana; RESIDENTIAL; 0; 65; Comprar; 580000; 1; 1; 2; 2; 1012; 05585010; Lindo apartamento, próximo a USP, metrô Butantã, sacolão Oba. São 2 dormitórios sendo uma suíte, terraço e 1 vaga de garagem coberta e demarcada. Prédio com lazer, gerador e portaria 24hs. Vale a pena conhecer. Falar com a Mari 9.9533.6603 CRECI 146133F CNAI 17667<br><br>Condições comerciais: Aceita financiamento; BS:Parada Santanesia, BS:Avenida Corifeu de Azevedo Marques 674, BS:Avenida Corifeu de Azevedo Marques 547, BS:CEPAM, BS:Biblioteca da Farmácia e Química, TS:Parada Santanesia, TS:Avenida Corifeu de Azevedo Marques 674, TS:Avenida Corifeu de Azevedo Marques, TS:Avenida Corifeu de Azevedo Marques 547, TS:CEPAM, CS:Rainha da Vila Gomes, CS:Estrela do Butantã, CS:Cidade dos Pães, PH:Droga Star
2427464699; APARTMENT; UNIT; BR; São Paulo; SP; Rua Sousa Reis; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Indiana; Vila Indiana; RESIDENTIAL; 0; 101; Comprar; 789000; 2; 1; 3; 3; 1000; 05586080; MARAVILHOSO APARTAMENTO NO BUTANTÃ-VILA INDIANA. COM 3 DORMITÓRIOS, SENDO 1 SUÍTE COM ARMÁRIOS PLANEJADOS, SALA 2 AMBIENTES COM SACADA, VISTA PRIVILEGIADA, 2 WC, COZINHA COM ARMÁRIOS PLANEJADOS, ÁREA DE SERVIÇO, 2 VAGAS DE GARAGEM, LAZER COMPLETO. RUA SEM SAÍDA, PRÓXIMO À AVENIDA CORIFEU DE AZEVEDO MARQUES, USP, METRÔ BUTANTÃ, ETC. AGENDE UMA VISITA COM A CORRETORA BETE 99103.5595.97543..8961<br><br>Condições comerciais: Aceita financiamento.; BS:Rua do Lago, BS:Acesso Vila Indiana, BS:Biblioteca da Farmácia e Química, BS:Instituto de Biociências, BS:CEPAM, TS:Rua do Lago, TS:Acesso Vila Indiana, TS:Biblioteca da Farmácia e Química, TS:Instituto de Biociências, TS:Avenida Corifeu de Azevedo Marques, CS:Rainha da Vila Gomes, CS:Cidade dos Pães, CS:Estrela do Butantã, PH:Droga Star
2486521693; APARTMENT; UNIT; BR; São Paulo; SP; Rua Corinto; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Indiana; Vila Indiana; RESIDENTIAL; 200; 95; Comprar; 780000; 2; 1; 2; 3; 0; 05586060; Vendo espaçoso apartamento pronto para morar, de três dormitórios, duas vagas cobertas, condomínio com lazer completo e segurança 24h em localização privilegiada da Vila Indiana, próximo ao metrô Butantã e entrada de pedestres da USP.; BS:Rua do Lago, BS:Biblioteca da Farmácia e Química, BS:CEPAM, BS:Parada Santanesia, BS:Farmácia e Química, TS:Rua do Lago, TS:Biblioteca da Farmácia e Química, TS:CEPAM, TS:Avenida Corifeu de Azevedo Marques, TS:Parada Santanesia, CS:Rainha da Vila Gomes, CS:Cidade dos Pães, CS:Estrela do Butantã, PH:Droga Star
2447660005; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Indiana; Vila Indiana; RESIDENTIAL; 101; 101; Comprar; 750000; 2; 1; 3; 3; 1160; 05586080; Vila Indiana - Apartamento em perfeito estado de conservação, ensolarado com vista privilegiada,Ótima ventilação e iluminação, espaço interno bem aproveitado, rua sem saída e arborizada. Condomínio com lazer completo ,localização privilegiada , 15 minutos da Linha Amarela Estação Butantã.; BS:Rua do Lago, BS:Biblioteca da Farmácia e Química, BS:Acesso Vila Indiana, BS:Instituto de Biociências, BS:CEPAM, TS:Rua do Lago, TS:Biblioteca da Farmácia e Química, TS:Acesso Vila Indiana, TS:Instituto de Biociências, TS:CEPAM, CS:Rainha da Vila Gomes, CS:Cidade dos Pães, CS:Estrela do Butantã, PH:Droga Star
2470002220; APARTMENT; UNIT; BR; São Paulo; SP; Rua Iquiririm; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Indiana; Vila Indiana; RESIDENTIAL; 64; 64; Comprar; 440000; 2; 1; 2; 3; 750; 05586000; Lindo apto de 3 dormitórios sendo uma suite próximo ao metro Butantã.; BS:Parada Santanesia, BS:Avenida Corifeu de Azevedo Marques 674, BS:Avenida Corifeu de Azevedo Marques 547, BS:Avenida Corifeu de Azevedo Marques 1495, BS:Avenida Corifeu de Azevedo Marques 291, TS:Parada Santanesia, TS:Avenida Corifeu de Azevedo Marques 674, TS:Avenida Corifeu de Azevedo Marques, TS:Avenida Corifeu de Azevedo Marques 547, TS:Avenida Corifeu de Azevedo Marques 1495, CS:Rainha da Vila Gomes, CS:Estrela do Butantã, CS:Cidade dos Pães, PH:Droga Star, PH:Center Fórmula
2243435571; APARTMENT; UNIT; BR; São Paulo; SP; Rua Leonardo Mota; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Indiana; Vila Indiana; RESIDENTIAL; 190; 145; Comprar; 1150000; 3; 2; 5; 4; 1600; 05586090; Lindo apartamento de 4 dormitórios, sendo 3 suítes, debruçado sobre a mata, repleto de armários, sala 3 ambientes com sacada, cozinha, face norte. Próximo ao metrô Butantã. Colado a USP, 3 vagas e um depósito grande no subsolo. Prédio com lazer completo. Vale a pena conhecer. Um prazer para poucos. Falar com a Mari 99533.6603 CRECI 146133F CNAI 17667.; BS:Rua do Lago, BS:Biblioteca da Farmácia e Química, BS:CEPAM, BS:Acesso Vila Indiana, BS:Instituto de Biociências, TS:Rua do Lago, TS:Biblioteca da Farmácia e Química, TS:CEPAM, TS:Acesso Vila Indiana, TS:Instituto de Biociências, CS:Rainha da Vila Gomes, CS:Cidade dos Pães, CS:Estrela do Butantã, PH:Droga Star
2427490349; APARTMENT; UNIT; BR; São Paulo; SP; Rua Leonardo Mota; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Indiana; Vila Indiana; RESIDENTIAL; 0; 116; Comprar; 950000; 2; 1; 3; 3; 1100; 05586090; Lindo apartamento super bem localizado próximo a USP e a estação de metro Butantã. São 116m2, 3 dormitórios, sendo 1 suíte, sala 2 ambientes, lavabo, 3 banheiros, 2 vagas de garagem e depósito no sub-solo. Condomínio com lazer completo.<br><br>Condições comerciais: Aceita financiamento.; BS:Rua do Lago, BS:Biblioteca da Farmácia e Química, BS:CEPAM, BS:Parada Santanesia, BS:Acesso Vila Indiana, TS:Rua do Lago, TS:Biblioteca da Farmácia e Química, TS:Avenida Corifeu de Azevedo Marques, TS:CEPAM, TS:Parada Santanesia, CS:Rainha da Vila Gomes, CS:Cidade dos Pães, CS:Estrela do Butantã, PH:Droga Star
70271483; APARTMENT; UNIT; BR; São Paulo; SP; Rua Iquiririm; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Indiana; Vila Indiana; RESIDENTIAL; 123; 65; Comprar; 560000; 1; 1; 2; 2; 550; 05586000; Ótimo apto de 2 dorms sendo uma suite, a menos de 1 km da estação de metro Butanta. Armários embutidos nos dormitórios, sala ampla para 3 ambientes com sacada, cozinha planejada, banheiro social, uma vaga de garagem coberta. Aquecimento a gás, andar alto. Condomínio com salão de festas, playground, quadra poliesportiva, churrasqueira com cozinha de apoio e bicicletário. Portaria 24 hs, 2 elevadores, antena coletiva, tv a cabo, internet, interfone, jardim. Excelente localização, a 50 metros da Av. Corifeu de Azevedo Marques, 500 metros do portão da USP, 900 metros da estação Butantã do Metrô. A poucos minutos dos Shoppings: Eldorado, Iguatemi, Vila Lobos. Fácil acesso a Raposo Tavares, Marginal Pinheiros e vias importantes da zona oeste.<br>(No momento, para investimento pois esta locado) -; BS:Parada Santanesia, BS:Avenida Corifeu de Azevedo Marques 674, BS:Avenida Corifeu de Azevedo Marques 547, BS:Avenida Corifeu de Azevedo Marques 1495, BS:Biblioteca da Farmácia e Química, TS:Parada Santanesia, TS:Avenida Corifeu de Azevedo Marques, TS:Avenida Corifeu de Azevedo Marques 674, TS:Avenida Corifeu de Azevedo Marques 547, TS:Avenida Corifeu de Azevedo Marques 1495, CS:Rainha da Vila Gomes, CS:Estrela do Butantã, CS:Cidade dos Pães, PH:Droga Star, PH:Center Fórmula
2427675586; APARTMENT; UNIT; BR; São Paulo; SP; Rua Sousa Reis; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Indiana; Vila Indiana; RESIDENTIAL; 0; 92; Comprar; 660000; 2; 1; 2; 3; 990; 05586080; Apartamento de 3 dormitórios, sala com sacada, 2 vagas. Colado a USP e próximo ao metrô Butantã, lugar super tranquilo. Prédio com lazer completo. Vale a pena conhecer. Falar com a Mari 99533.6603 CRECI 146133F CNAI 17667<br><br>Condições comerciais: Aceita financiamento; BS:Rua do Lago, BS:Acesso Vila Indiana, BS:Biblioteca da Farmácia e Química, BS:Instituto de Biociências, BS:CEPAM, TS:Rua do Lago, TS:Acesso Vila Indiana, TS:Biblioteca da Farmácia e Química, TS:Instituto de Biociências, TS:Avenida Corifeu de Azevedo Marques, CS:Rainha da Vila Gomes, CS:Cidade dos Pães, CS:Estrela do Butantã, PH:Droga Star
2470182143; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Indiana; Vila Indiana; RESIDENTIAL; 65; 65; Comprar; 560000; 1; 1; 2; 2; 521; ; - Assoalho de madeira jatobá.- Armários embutidos em madeira maciça nos quartos, sendo 2 na suite e 1 no quarto. - Banheiros com armário e gabinete também em madeira maciça e box Blindex até o teto. - Cozinha e área de serviço com móveis planejados + mesa e fogão.- Água com aquecimento a gás.- 9º andar. - Torre única de 13 andares, garagem coberta, salão de festas, playground, quadra poliesportiva, churrasqueira com cozinha de apoio, bicicletário. - Portaria 24 hs, 2 elevadores, antena coletiva, tv a cabo, internet, interfone, jardim. - Documentação Ok no Cartório de Registro de Imóveis (Aceita Financiamento Bancário). - Atualizado em: -; BS:Avenida Corifeu de Azevedo Marques 1495, BS:Parada Santanesia, BS:Rua do Lago, BS:Rua Pereira do Lago 144, BS:Parada Coronel Camisao, TS:Avenida Corifeu de Azevedo Marques, TS:Avenida Corifeu de Azevedo Marques 1495, TS:Parada Santanesia, TS:Rua do Lago, TS:Rua Pereira do Lago 144, CS:Rainha da Vila Gomes, CS:Cidade dos Pães, CS:Estrela do Butantã, CS:D'Amar, PH:Droga Star
