IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2498754594; APARTMENT; UNIT; BR; São Paulo; SP; Rua João Teixeira da Silva; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Invernada; Vila Invernada; RESIDENTIAL; 76; 76; Comprar; 520000; 2; 0; 2; 3; 500; 03348040; Descrição do imóvel : Imóvel com dois quartos, sendo um com suíte e duas vagas de garagem.<br><br>Descrição do condomínio: Instalações do condomínio com Salão de festas, Playground, Academia, Quadra Esportiva, Sauna, churrasqueira e piscina.<br><br>Destaques da localização: Próximo ao metrô São Lucas, e Carrão. Próximo ao Shopping Anália Franco e ao Hospital Montemagno.; BS:Rua Bruna 289, BS:Rua General Argolo 665, BS:Avenida Vereador Abel Ferreira 1811, BS:Avenida Vereador Abel Ferreira, BS:Praça São Luís do Curu 60, TS:Rua Bruna 289, TS:Rua General Argolo 665, TS:Avenida Vereador Abel Ferreira 1811, TS:Praça São Luís do Curu 60, TS:Avenida Vereador Abel Ferreira, CS:Julio's Casa de Pães, CS:Casa de Carnes Vale do Douro, CS:Padraira Total Sucesso, CS:Bella Regente, CS:Rei do Mate Leroy Merlin, PH:Drogaria Moretti
2454584754; HOME; UNIT; BR; São Paulo; SP; Rua Piranji; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Invernada; Vila Invernada; RESIDENTIAL; 0; 140; Comprar; 750000; 3; 2; 5; 3; 0; 03349050; Sobrado novo! Proximo ao shopping do Analia Franco, exatos 800 metros Proximo ao hospital Vitória fica no meio de dois metros.. Vila Prudente e Tatuapé Ponto de onibus menos de 150 metros Casa com camera e cerca eletrica portão automatico Cozinha com movel planejado e quarto do casal tambem sala com Sanca e porcelanato na casa toda Aceito troca por imovel quitado; BS:Rua General Argolo 665, BS:Praça São Luís do Curu 60, BS:Rua General Argolo 810, BS:Rua Doutor Gabriel de Resende 57, BS:Rua Doutor Gabriel de Resende 102, TS:Rua General Argolo 665, TS:Praça São Luís do Curu 60, TS:Rua General Argolo 810, TS:Rua Doutor Gabriel de Resende 57, TS:Rua Doutor Gabriel de Resende 102, CS:Casa de Carnes Vale do Douro, CS:Julio's Casa de Pães, CS:Bella Regente, CS:Padraira Total Sucesso, CS:Rei do Mate Leroy Merlin, PH:Drogaria Moretti
2478928373; HOME; UNIT; BR; São Paulo; SP; Rua Piranji; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Invernada; Vila Invernada; RESIDENTIAL; 85; 85; Comprar; 517000; 0; 1; 3; 3; 0; 03349050; Vendo Sobrado Novo!! 500m² do Shoping Anália Franco e Carrefour, e Futuro metrô , Com 85m², 3 Dormitórios, sendo 1 Suíte, 1 Lavabo,Sala, Cozinha, Area de Serviço, sacada, 2 Vagas Cobertas; BS:Rua General Argolo 665, BS:Praça São Luís do Curu 60, BS:Rua General Argolo 810, BS:Rua Doutor Gabriel de Resende 57, BS:Rua Doutor Gabriel de Resende 102, TS:Rua General Argolo 665, TS:Praça São Luís do Curu 60, TS:Rua General Argolo 810, TS:Rua Doutor Gabriel de Resende 57, TS:Rua Doutor Gabriel de Resende 102, CS:Casa de Carnes Vale do Douro, CS:Bella Regente, CS:Julio's Casa de Pães, CS:Padraira Total Sucesso, CS:Rei do Mate Leroy Merlin, PH:Drogaria Moretti
2478926992; HOME; UNIT; BR; São Paulo; SP; Rua Piranji; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Invernada; Vila Invernada; RESIDENTIAL; 90; 90; Comprar; 517000; 0; 1; 3; 3; 0; 03349050; Vendo Sobrado Novo!!! 500 m² do Shoping Anália Franco,Carrefour,e futuro Metrô, Com 90 m² ,3 Dormitórios,Sendo uma Suíte,Sala, Cozinha,Lavabo,Sacada Area de Serviço, 2 Vagas Cobertas.; BS:Rua General Argolo 665, BS:Praça São Luís do Curu 60, BS:Rua General Argolo 810, BS:Rua Doutor Gabriel de Resende 57, BS:Rua Doutor Gabriel de Resende 102, TS:Rua General Argolo 665, TS:Praça São Luís do Curu 60, TS:Rua General Argolo 810, TS:Rua Doutor Gabriel de Resende 57, TS:Rua Doutor Gabriel de Resende 102, CS:Casa de Carnes Vale do Douro, CS:Bella Regente, CS:Julio's Casa de Pães, CS:Padraira Total Sucesso, CS:Rei do Mate Leroy Merlin, PH:Drogaria Moretti
2478926254; HOME; UNIT; BR; São Paulo; SP; Rua Lefosse; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Invernada; Vila Invernada; RESIDENTIAL; 884; 71; Alugar/Comprar; 1600; 2; 1; 3; 3; 400; 03349015; Sobrado em condomínio fechado, 71,5 m², 3 dorms, 1 suite, 3 banheiros, lavanderia com churrasqueira, 2 vagas cobertas.; BS:Rua Bruna 289, BS:Avenida Luca 354, BS:Avenida Luca 96, BS:Avenida Luca 81, BS:Rua Doutor Gabriel de Resende 360, TS:Rua Bruna 289, TS:Avenida Luca 354, TS:Avenida Luca 96, TS:Avenida Luca 81, TS:Avenida Montemagno 559, CS:Padraira Total Sucesso, CS:Casa de Carnes Vale do Douro, CS:Julio's Casa de Pães, CS:Padaria Novo Cruzeiro, CS:Bonas, PH:Drogaria Moretti
2495005992; HOME; UNIT; BR; São Paulo; SP; Rua Lefosse; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Invernada; Vila Invernada; RESIDENTIAL; 884; 71; Alugar/Comprar; 1500; 2; 1; 3; 3; 250; 03349015; Sobrado novo em condomínio fechado,71 m², 3 dorms, 1 suite, 2 vagas, churrasqueira.; BS:Rua Bruna 289, BS:Rua Bruna 553, BS:Avenida Montemagno 559, BS:Avenida Vereador Abel Ferreira 1811, BS:Avenida Luca 354, TS:Rua Bruna 289, TS:Rua Bruna 553, TS:Avenida Montemagno 559, TS:Avenida Vereador Abel Ferreira 1811, TS:Avenida Luca 354, CS:Julio's Casa de Pães, CS:Casa de Carnes Vale do Douro, CS:Padraira Total Sucesso, CS:Rei do Mate Leroy Merlin, CS:Padaria Novo Cruzeiro, PH:Drogaria Moretti
2498864477; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Invernada; Vila Invernada; RESIDENTIAL; 127; 127; Comprar; 530000; 2; 1; 3; 3; 0; 03349050; Privativa de 127m². 03 dormitórios (01 Suíte ? ar condicionado), sala de jantar e estar, cozinha, banheiro, lavado, área de serviço, veneziana tipo blackout, porcelanato instalado, a 300m do Shopping Anália Franco . 02 Vagas de Garagem. <br> <br>Agende sua visita!; BS:Rua General Argolo 665, BS:Praça São Luís do Curu 60, BS:Rua General Argolo 810, BS:Rua Doutor Gabriel de Resende 57, BS:Rua Doutor Gabriel de Resende 102, TS:Rua General Argolo 665, TS:Praça São Luís do Curu 60, TS:Rua General Argolo 810, TS:Rua Doutor Gabriel de Resende 57, TS:Rua Doutor Gabriel de Resende 102, CS:Casa de Carnes Vale do Douro, CS:Bella Regente, CS:Julio's Casa de Pães, CS:Padraira Total Sucesso, CS:Rei do Mate Leroy Merlin, PH:Drogaria Moretti
2478924646; HOME; UNIT; BR; São Paulo; SP; Rua Piranji; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Invernada; Vila Invernada; RESIDENTIAL; 75; 75; Comprar; 465000; 0; 2; 3; 2; 0; 03349050; Vendo Sobrado Novo!!! 500m² do Shoping Anàlia Franco , Carrefour e o Futuro metrô, Com 75m² , 2 Dormitórios, Sendo Duas Suítes, 1 Lavabo,Cozinha, Area de Serviço., Sacada , 2 Vagas.; BS:Rua General Argolo 665, BS:Praça São Luís do Curu 60, BS:Rua General Argolo 810, BS:Rua Doutor Gabriel de Resende 57, BS:Rua Doutor Gabriel de Resende 102, TS:Rua General Argolo 665, TS:Praça São Luís do Curu 60, TS:Rua General Argolo 810, TS:Rua Doutor Gabriel de Resende 57, TS:Rua Doutor Gabriel de Resende 102, CS:Casa de Carnes Vale do Douro, CS:Bella Regente, CS:Julio's Casa de Pães, CS:Padraira Total Sucesso, CS:Rei do Mate Leroy Merlin, PH:Drogaria Moretti
2495004863; HOME; UNIT; BR; São Paulo; SP; Rua Lefosse; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Invernada; Vila Invernada; RESIDENTIAL; 884; 71; Alugar/Comprar; 1600; 2; 1; 3; 3; 400; 03349015; Sobrado em condomínio fechado, 71,5 m², 3 dorms, 1 suite, 3 banheiros, lavanderia com churrasqueira, 2 vagas cobertas.; BS:Rua Bruna 289, BS:Rua Bruna 553, BS:Avenida Montemagno 559, BS:Avenida Vereador Abel Ferreira 1811, BS:Avenida Luca 354, TS:Rua Bruna 289, TS:Rua Bruna 553, TS:Avenida Montemagno 559, TS:Avenida Vereador Abel Ferreira 1811, TS:Avenida Luca 354, CS:Julio's Casa de Pães, CS:Casa de Carnes Vale do Douro, CS:Padraira Total Sucesso, CS:Rei do Mate Leroy Merlin, CS:Padaria Novo Cruzeiro, PH:Drogaria Moretti
2496945460; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua Sertões de Canindé; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Invernada; Vila Invernada; RESIDENTIAL; 230; 230; Comprar; 990000; 4; 1; 5; 3; 0; 03350020; Sobrado maravilhoso, próximo ao Koga Koga com acabamento impecável, com Churrasqueira, 4 vagas, próximo a futura estação linha 2 verde do metrô, estuda permuta por apartamento na região do Anália Franco, Tatuapé.<br>Agende sua visita!!; BS:Avenida Sapopemba 1444, BS:Avenida Sapopemba 1635, BS:Rua Marumbi, BS:Rua Almirante Alexandrino 480, BS:Rua Almirante Alexandrino 100, TS:Avenida Sapopemba 1444, TS:Avenida Sapopemba 1635, TS:Rua Almirante Alexandrino 480, TS:Rua Almirante Alexandrino 100, TS:Avenida Sapopemba 1323, CS:Bella Regente, CS:Casa de Carnes Vale do Douro, CS:Julio's Casa de Pães, CS:Padraira Total Sucesso, CS:Rei do Mate Leroy Merlin, PH:Drogaria Moretti
2458150024; HOME; UNIT; BR; São Paulo; SP; Rua Aparecida Campanhola Parra; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Invernada; Vila Invernada; RESIDENTIAL; 87; 135; Comprar; 365000; 0; 0; 1; 3; 0; 03350000; sobrado na vila invernada<br><br>Sobrados próximo ao shopping Anália Franco e futuras instalações do metrô, ampla malha rodoviária e grandes comércios com 1 e 2 dorm, sala, cozinha, banheiro e lavanderia.<br><br>Peça pela ref PL718; BS:Avenida Vereador Abel Ferreira, BS:Rua General Argolo 665, BS:Praça São Luís do Curu 60, BS:Rua Almirante Alexandrino 121, BS:Rua Almirante Alexandrino 100, TS:Avenida Vereador Abel Ferreira, TS:Rua General Argolo 665, TS:Praça São Luís do Curu 60, TS:Rua Almirante Alexandrino 121, TS:Rua Almirante Alexandrino 100, CS:Julio's Casa de Pães, CS:Casa de Carnes Vale do Douro, CS:Bella Regente, CS:Rei do Mate Leroy Merlin, CS:Padraira Total Sucesso, PH:Drogaria Moretti, PH:Neo Farma  Manipulação, PH:Neo Farma Manipulação
