IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2489142377; APARTMENT; UNIT; BR; São Paulo; SP; Rua Amoipira; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Isa; Vila Isa; RESIDENTIAL; 61; 61; Comprar; 369000; 1; 1; 2; 2; 350; 04689070; Muito bem localizado o PRAÇA MARAJOARA esta em fase acelerada de CONSTRUÇÃO com a entrega prevista para JUNHO de 2021. <br><br>São apartamentos de 61 m² com 02 dormitórios, suíte, varanda gourmet a carvão integrada com a cozinha e a sala, 01 vaga de garagem. Opção de planta com 01 suíte sala ampliada.<br><br>Temos também apartamentos de 81 m², 03 dormitórios, suíte, varanda gourmet a carvão integrada com a cozinha e a sala, 01 ou 02 vagas de garagem. Opção de planta com 02 dormitórios sala ampliada.<br><br>O empreendimento está sendo construído em um terreno de 7.635 m², 03 torres com 08 pavimentos cada, 08 apartamentos por andar, 03 elevadores, 204 unidades no total. <br><br>ÁREA LAZER: <br>Salão de festas adulto e infantil, piscina adulto e infantil, deck molhado, solaruim, pet place, praça de jogos, jogos e coworking, horta, ginastica funcional, academia, churrasqueiras, festas gourmet, playground, brinquedoteca e quadra poliesportiva. <br><br>DESENVOLVIMENTO:<br>Incorporação: Kallas e Kazzas<br>Projeto de Paisagismo: Kallas + Mardegan Arquitetura Paisagística<br>Projeto de Decoração: Suíte Arquitetos<br>Projeto Arquitetônico: MCAA<br><br>LOCALIZAÇÃO: <br>Fácil acesso a Marginal Pinheiros, Avenida Washington Luís e Aeroporto de Congonhas, Av. das Nações Unidas, Av. Interlagos, Av. Sabará,Av. Adolfo Pinheiros.<br>Shoppings- Interlagos, SP Market, Boa Vista, Market Place, Morumbi. Estação de Trem, Metrô, e várias linhas de ônibus.<br>Supermercados- Extra, Carrefour, Pão de Açúcar, Atacadão Rodão e Assaí.<br>Colégios- Magister, 12 de outubro, Jesus Maria José, Santa Maria, Alicerce, Adventista, Pueri Domus, Paralelo, Metodista, Suíço-Brasileira, Marajoara, Magno, Pinheiro, Arte de Crescer, Ra-Fá-Fá, Albert Einstein.<br>Universidades- SENAC, Unip, Ibirapuera e Estácio.<br><br>ESTE ANÚNCIO CONTÉM VÍDEO DO APARTAMENTO DECORADO.<br><br>Amigo cliente gostou do apartamento!!!<br><br>TEMOS A MELHOR NEGOCIAÇÃO!!!<br><br>Corretores vendem sonho!!! EU VENDO SONHO E O PREÇO QUE VOCÊ QUER PAGAR..(LEILÃO DE PREÇO É AQUI).<br><br>AGORA ME DIGA O QUE DESEJA FAZER:<br>Quer agendar uma Visita!<br>Deseja outras informações!<br>Simulação de pagamento!<br>JÁ CONHECE! MANDE SUA PROPOSTA!<br><br>Valores sempre sofrem alterações..<br><br>Farei o meu melhor por você!<br><br>Adriano José Caglioni<br><br>CRECI: Físico= 190891-F Jurídico= 33377-J; BS:Av. Interlagos, 3060, BS:GGD Metals, BS:Av. Das Nações Unidas, 22013, BS:Av. Interlagos, 1661, BS:Av. Interlagos, 3501, TS:Cemitério do Campo Grande, TS:Av. Interlagos, 3060, TS:GGD Metals, TS:Av. Das Nações Unidas, 22013, TS:Av. Interlagos, 1661, CS:Panificadora Bandeirantes, CS:Belfort Panificadora, CH:Hospital Vida's, CH:Ambulatório Médico de Especialidades Jardim dos Prados
2489143477; APARTMENT; UNIT; BR; São Paulo; SP; Rua Amoipira; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Isa; Vila Isa; RESIDENTIAL; 81; 81; Comprar; 489000; 1; 1; 2; 3; 400; 04689070; Muito bem localizado o PRAÇA MARAJOARA esta em fase acelerada de CONSTRUÇÃO com a entrega prevista para JUNHO de 2021. <br><br>São apartamentos de 81 m² com 03 dormitórios, suíte, varanda gourmet a carvão integrada com a cozinha e a sala, 01 ou 02 vagas de garagem. Opção de planta com 02 dormitórios sala ampliada.<br><br>Temos também apartamentos de 61 m² 02 dormitórios, suíte, varanda gourmet a carvão integrada com a cozinha e a sala, 01 vaga de garagem. Opção de planta com 01 suíte sala ampliada.<br><br>O empreendimento está sendo construído em um terreno de 7.635 m², 03 torres com 08 pavimentos cada, 08 apartamentos por andar, 03 elevadores, 204 unidades no total. <br><br>ÁREA LAZER: <br>Salão de festas adulto e infantil, piscina adulto e infantil, deck molhado, solaruim, pet place, praça de jogos, jogos e coworking, horta, ginastica funcional, academia, churrasqueiras, festas gourmet, playground, brinquedoteca e quadra poliesportiva. <br><br>DESENVOLVIMENTO:<br>Incorporação: Kallas e Kazzas<br>Projeto de Paisagismo: Kallas + Mardegan Arquitetura Paisagística<br>Projeto de Decoração: Suíte Arquitetos<br>Projeto Arquitetônico: MCAA<br><br>LOCALIZAÇÃO: <br>Fácil acesso a Marginal Pinheiros, Avenida Washington Luís e Aeroporto de Congonhas, Av. das Nações Unidas, Av. Interlagos, Av. Sabará,Av. Adolfo Pinheiros.<br>Shoppings- Interlagos, SP Market, Boa Vista, Market Place, Morumbi. Estação de Trem, Metrô, e várias linhas de ônibus.<br>Supermercados- Extra, Carrefour, Pão de Açúcar, Atacadão Rodão e Assaí.<br>Colégios- Magister, 12 de outubro, Jesus Maria José, Santa Maria, Alicerce, Adventista, Pueri Domus, Paralelo, Metodista, Suíço-Brasileira, Marajoara, Magno, Pinheiro, Arte de Crescer, Ra-Fá-Fá, Albert Einstein.<br>Universidades- SENAC, Unip, Ibirapuera e Estácio.<br><br>ESTE ANÚNCIO CONTÉM VÍDEO DO APARTAMENTO DECORADO.<br><br>Amigo cliente gostou do apartamento!!!<br><br>TEMOS A MELHOR NEGOCIAÇÃO!!!<br><br>Corretores vendem sonho!!! EU VENDO SONHO E O PREÇO QUE VOCÊ QUER PAGAR..(LEILÃO DE PREÇO É AQUI).<br><br>AGORA ME DIGA O QUE DESEJA FAZER:<br>Quer agendar uma Visita!<br>Deseja outras informações!<br>Simulação de pagamento!<br>JÁ CONHECE! MANDE SUA PROPOSTA!<br><br>Valores sempre sofrem alterações..<br><br>Farei o meu melhor por você!<br><br>Adriano José Caglioni<br><br>CRECI: Físico= 190891-F Jurídico= 33377-J; BS:Av. Interlagos, 3060, BS:GGD Metals, BS:Av. Interlagos, 1661, BS:Shopping Interlagos, BS:Av. Das Nações Unidas, 22013, TS:Cemitério do Campo Grande, TS:Av. Interlagos, 3060, TS:GGD Metals, TS:Av. Interlagos, 1661, TS:Shopping Interlagos, CS:Panificadora Bandeirantes, CS:Belfort Panificadora, CH:Hospital Vida's, CH:Ambulatório Médico de Especialidades Jardim dos Prados
2499630491; APARTMENT; UNIT; BR; São Paulo; SP; Rua Pacaritambo; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Isa; Vila Isa; RESIDENTIAL; 0; 41; Comprar; 240000; 1; 0; 1; 2; 0; 04689005; O apartamento está localizado no bairro Vila Isa com 41 metros quadrados com 2 quartos e 1 banheiro<br>Possui academia, espaço gourmet, área verde de jardim, parquinho infantil, espaço para festas.<br>Vai lhe possibilitar curtir os dias mais quentes na piscina, praticar diversos esportes na quadra poliesportiva.Churrasqueira para você aproveitar nos momentos de descontração.<br>Elevador para mais praticidade no dia-a-dia.; BS:Av. Interlagos, 3060, BS:GGD Metals, BS:Av. Interlagos, 3501, BS:Av. Das Nações Unidas, 22013, BS:Shopping Interlagos, TS:Cemitério do Campo Grande, TS:Av. Interlagos, 3060, TS:GGD Metals, TS:Av. Interlagos, 2729, TS:Av. Interlagos, 3501, CS:Panificadora Bandeirantes, CS:Belfort Panificadora, CH:Hospital Vida's, CH:Ambulatório Médico de Especialidades Jardim dos Prados
2499454806; APARTMENT; UNIT; BR; São Paulo; SP; Rua Pacaritambo; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Isa; Vila Isa; RESIDENTIAL; 0; 43; Comprar; 160000; 1; 0; 1; 2; 0; 04689005; O apartamento está localizado no bairro Vila Isa tem 43 metros quadrados com 2 quartos e 1 banheiro<br>Possui academia, parquinho com diferentes brinquedos, salão de festas.<br>Vai lhe possibilitar curtir os dias mais quentes na piscina, praticar diversos esportes na quadra poliesportiva.Churrasqueira para você aproveitar nos momentos de descontração.<br>Encontra-se em um condomínio protegido por muros.<br>Elevador que garante o transporte das suas malas e compras.; BS:Av. Interlagos, 3060, BS:GGD Metals, BS:Av. Interlagos, 3501, BS:Av. Das Nações Unidas, 22013, BS:Shopping Interlagos, TS:Cemitério do Campo Grande, TS:Av. Interlagos, 3060, TS:GGD Metals, TS:Av. Interlagos, 2729, TS:Av. Interlagos, 3501, CS:Panificadora Bandeirantes, CS:Belfort Panificadora, CH:Hospital Vida's, CH:Ambulatório Médico de Especialidades Jardim dos Prados
2448247609; APARTMENT; UNIT; BR; São Paulo; SP; Rua Quararibéia; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Isa; Vila Isa; RESIDENTIAL; 82; 82; Comprar; 590000; 2; 1; 2; 3; 690; 04689160; Apartamento super moderno e funcional, totalmente reformado com mobiliário e acabamentos de primeira, projeto executado com arquiteto. Acabamentos em mármore importado com mobiliário de altíssima qualidade. O apartamento de 82 metros quadrados no bairro Vila Isa com 3 quartos sendo 1 suíte e 2 banheiros, possuímos 2 vagas de garagem cobertas. O condomínio possui academia, espaço jardinado, espaço gourmet, playground, salão de festa, quadra e 2 piscinas com lazer completo.; BS:Av. Interlagos, 3060, BS:GGD Metals, BS:Av. Interlagos, 1661, BS:Shopping Interlagos, BS:Av. Das Nações Unidas, 22013, TS:Cemitério do Campo Grande, TS:Av. Interlagos, 3060, TS:GGD Metals, TS:Av. Interlagos, 2729, TS:Av. Interlagos, 1661, CS:Panificadora Bandeirantes, CS:Belfort Panificadora, CH:Hospital Vida's, CH:Ambulatório Médico de Especialidades Jardim dos Prados
2496319345; APARTMENT; UNIT; BR; São Paulo; SP; Rua Amoipira; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Isa; Vila Isa; RESIDENTIAL; 61; 61; Comprar; 421780; 1; 1; 2; 2; 428; 04689070; Condomínio Vila Nova Sabará - Praça Marajoara<br><br>Última fase de construção !!!<br><br>Um ponto privilegiado da Avenida Nossa Senhora do Sabará, cercado por bairros nobres, próximo a tudo o que você precisa para viver bem e com fácil acesso ao transporte público e as vias importantes da cidade!<br><br>06 minutos Hospital e Maternidade Vida's;<br>10 minutos até os principais Super Mercados;<br>10 minutos Shopping SP Market;<br>14 minutos Shopping Interlagos;<br>17 minutos Estação Jurubatuba;<br>18 minutos Estação Socorro;<br>33 minutos Aeroporto Congonhas;<br><br>Compões de uma ampla area de lazer:<br><br>Playground;<br>Ginástica ao Ar Livre;<br>Piscina com Raia de 25 m;<br>Prainha;<br>Solarium;<br>Piscina Infantil;<br>Quadra Recreativa;<br>Praça de Jogos;<br>Praça de Chegada;<br>Salão de Festas Infantil;<br>Salão de Festas Adulto;<br>Salão de Jogos;<br>Fitness;<br>Brinquedoteca;<br><br>Lucas Cabral Assessoria e Consultoria Imobiliária<br><br>Valor para pagamento a vista!<br>Aceitamos seu FGTS;<br>Consulte condições para pagamento finan -; BS:Av. Interlagos, 3060, BS:GGD Metals, BS:Av. Interlagos, 1661, BS:Shopping Interlagos, BS:Av. Das Nações Unidas, 22013, TS:Cemitério do Campo Grande, TS:Av. Interlagos, 3060, TS:GGD Metals, TS:Av. Interlagos, 1661, TS:Shopping Interlagos, CS:Panificadora Bandeirantes, CS:Belfort Panificadora, CH:Hospital Vida's, CH:Ambulatório Médico de Especialidades Jardim dos Prados
2499128079; APARTMENT; UNIT; BR; São Paulo; SP; Rua Pacaritambo; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Isa; Vila Isa; RESIDENTIAL; 0; 43; Comprar; 249000; 1; 0; 1; 2; 0; 04689005; O apartamento está localizado no bairro Vila Isa com unidades de 41, 42 e 43m² quadrados com 2 Dorms. <br>Possui academia, parquinho infantil, salão para festas e eventos.<br>Vai lhe possibilitar curtir os dias mais quentes na piscina e 2 churrasqueiras para você aproveitar nos momentos de descontração.<br>Elevador que garante o transporte das suas malas e compras.; BS:Av. Interlagos, 3060, BS:GGD Metals, BS:Av. Interlagos, 3501, BS:Av. Das Nações Unidas, 22013, BS:Shopping Interlagos, TS:Cemitério do Campo Grande, TS:Av. Interlagos, 3060, TS:GGD Metals, TS:Av. Interlagos, 2729, TS:Av. Interlagos, 3501, CS:Panificadora Bandeirantes, CS:Belfort Panificadora, CH:Hospital Vida's, CH:Ambulatório Médico de Especialidades Jardim dos Prados
2481604112; APARTMENT; UNIT; BR; São Paulo; SP; Rua Geraldo de Mendonça Mello; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Isa; Vila Isa; RESIDENTIAL; 213; 125; Comprar; 690000; 2; 1; 3; 4; 800; 04689165; Maravilhoso Apartamento MOBILIADO com 2 VAGAS na Vila Isa, Vila Campo Grande.. Ampla sala com 3 ambientes e 2 varandas Decoração de primeira linha. Boa incidência de sol. São 4 dormitórios sendo 1 suíte, 3 banheiros, 1 lavabo Todo o apartamento possui móveis planejados. Dependência de empregada Prédio Arborizado e aconchegante. 2 elevadores, 19 andares * Esse valor refere-se para pagamento à vista. Lazer com salão de festas com e sem churrasqueira, salão de jogos, quadra poliesportiva, playground, brinquedoteca. Localização excelente, rua fechada, com acesso exclusivo à moradores. Próximo à escolas, supermercados, shopping SP Market e Interlagos. Agende sua visita!; BS:Av. Interlagos, 3060, BS:GGD Metals, BS:Av. Das Nações Unidas, 22013, BS:Av. Interlagos, 3501, BS:Shopping Interlagos, TS:Cemitério do Campo Grande, TS:Av. Interlagos, 3060, TS:GGD Metals, TS:Av. Das Nações Unidas, 22013, TS:Av. Interlagos, 2729, CS:Panificadora Bandeirantes, CS:Belfort Panificadora, CH:Hospital Vida's, CH:Ambulatório Médico de Especialidades Jardim dos Prados
2495922079; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Isa; Vila Isa; RESIDENTIAL; 81; 81; Comprar; 550000; 1; 1; 2; 3; 550; 04689160; Descrição<br><br>Apartamento de 81m² em uma das regiões mais procuradas: Vila Isa.<br><br>Características do Imóvel:<br>3 Dormitórios sendo uma suíte | Sala para 2 ambientes | Cozinha americana | Varanda Gourmet | Área de serviços | Banheiro social | 1 Vaga<br><br>Lazer:<br>Piscina adulto e infantil | Playground | Brinquedoteca | Quadra poliesportiva | Churrasqueira | Salão de festas | Salão de jogos adulto e infantil | Academia .<br><br>Acessibilidade:<br>Fácil acesso a varias linhas de ônibus, 20 minutos da estação de trem, 10 minutos do Shoppings Interlagos, SP Market e farto comércio.<br><br>Não perca esta oportunidade!<br>Valor de venda R$ 550.000,00<br><br>Trabalhamos também com venda e financiamento de imóveis em até 420 meses, limitado pela idade, com assessoria completa. Corretores profissionais com mais de 10 anos de mercado e especializados na região.<br><br>Agende já sua visita!<br>Visitas somente com o corretor.<br>Five Imóveis<br><br>Avenida Interlagos, 1.717 - Interlagos<br><br>Imobiliária: <br><br>Marília (whatsapp) <br><br>Creci: 31.751-J<br>(As informações estão sujeitas a alterações sem aviso prévio. Reservamo-nos ao direito de possíveis erros: ortográficos, descrições, valores, fotográficos ou erros técnicos. Dúvidas, consulte-nos) -; BS:Av. Interlagos, 3060, BS:GGD Metals, BS:Av. Das Nações Unidas, 22013, BS:Av. Interlagos, 3501, BS:Shopping Interlagos, TS:Cemitério do Campo Grande, TS:Av. Interlagos, 3060, TS:GGD Metals, TS:Av. Das Nações Unidas, 22013, TS:Av. Interlagos, 2729, CS:Panificadora Bandeirantes, CS:Belfort Panificadora, CH:Hospital Vida's, CH:Ambulatório Médico de Especialidades Jardim dos Prados
2494008060; APARTMENT; UNIT; BR; São Paulo; SP; Rua Quararibéia; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Isa; Vila Isa; RESIDENTIAL; 61; 61; Comprar; 550000; 1; 1; 2; 2; 470; 04689160; Apartamento à venda no Campo grande 2 dormitórios 1 suíte 1 vaga <br> <br>Apartamento à venda no Campo grande com 2 dormitórios, sendo 1 suíte e 1 vaga de garagem. Ótima localização. Condomínio conta com: <br>-Churrasqueira <br>-Piscina <br>-Piscina Infantil <br>-Playground <br>-Quadra Poliesportiva <br>-Salão De Festa <br>-Salão De Jogos<br>somente na Revenda imóvel comprou ganhou cozinha finitura; BS:Av. Interlagos, 3060, BS:GGD Metals, BS:Av. Interlagos, 1661, BS:Shopping Interlagos, BS:Av. Das Nações Unidas, 22013, TS:Cemitério do Campo Grande, TS:Av. Interlagos, 3060, TS:GGD Metals, TS:Av. Interlagos, 2729, TS:Av. Interlagos, 1661, CS:Panificadora Bandeirantes, CS:Belfort Panificadora, CH:Hospital Vida's, CH:Ambulatório Médico de Especialidades Jardim dos Prados
