IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2498426020; HOME; UNIT; BR; São Paulo; SP; Rua Comendador Michel Scaff; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Joaniza; Vila Joaniza; RESIDENTIAL; 112; 137; Alugar/Comprar; 2000; 2; 1; 2; 3; 0; 04403140; Sobrado para venda ou locação na Vila Joaniza na altura da Agência dos Correios da Avenida Yervant Kissajikian. Local com grande facilidade de acesso para o comércio, serviços e condução. <br><br>Imóvel com 3 dormitórios, sendo 1 suíte + banheiro social na parte de cima. Parte de baixo com sala e cozinha grandes. Nos fundos edícula com dois pavimentos na qual fica a lavanderia e um dormitório/despensa e a lavanderia na parte de baixo e um terraço na parte de cima. Garagem coberta para 2 carro com lavabo. Casa inteira com piso de cerâmica, dormitórios e cozinha com armários embutidos.<br><br>Garantias aceitas: 03 meses de depósito, Fiador ou seguro fiança. <br><br>Para alugar o imóvel é necessário não ter restrição cadastral no SPC/SERASA (nome limpo).<br><br>Visite nosso site e agende uma visita online a este imóvel; BS:Parada Rubens Facchini, BS:Parada Paulo Albernaz, BS:Parada Rodrigues Montemor, BS:Parada Pq. do Nabuco, BS:Shopping Interlagos, TS:Parada Rodrigues Montemor, TS:Shopping Interlagos, TS:Av. Interlagos, 1661, TS:Parada Públio Pimentel, TS:Av. Interlagos, 2729, CS:Master Carnes, CS:Padaria Bom Vizinho, CS:Max Carnes, CS:Belfort Panificadora, CS:Panificadora Bandeirantes, PH:Bifarma
2498035539; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Yervant Kissajikian; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Joaniza; Vila Joaniza; RESIDENTIAL; 40; 40; Comprar; 197000; 1; 0; 1; 2; 299; 04428000; Apartamento a venda na Vila Joaniza, Avenida Yervant Kissajikian a partir de R$197.000,00 com vaga para motocicleta.<br>Temos com vaga para carro, consultar valores.<br>Prédio em lançamento, previsão de entrega para o mês de Julho de 2022.<br>Faça sua proposta com entrada facilitada durante o período de obra.<br>Obs: as fotos são do apartamento decorado!<br>As unidades serão entregues sem mobília. -; BS:Parada Rodrigues Montemor, BS:Parada Públio Pimentel, BS:Parada Paulo Albernaz, BS:Parada Rio Grande do Sul, BS:Parada Santo Afonso, TS:Parada Rodrigues Montemor, TS:Parada Públio Pimentel, TS:Parada Rio Grande do Sul, TS:Parada Santo Afonso, TS:Ponto final linha 5178-10 e 5129-41, CS:Master Carnes, CS:Padaria Bom Vizinho, CS:Tennessee Loja de Carnes - Loja Missionária, CS:Max Carnes, CS:Padaria Santo Afonso, PH:Bifarma
2496136081; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua Domingos Fernandes Bittencourt; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Joaniza; Vila Joaniza; RESIDENTIAL; 135; 135; Alugar/Comprar; 2200; 2; 1; 4; 3; 0; 04403120; Casa para venda ou locação, residencial ou comercial, pertinho da pracinha da Joaniza( 1 quadra de ponto de ônibus, banco, posto de saúde, feira livre, grandes comércios). Dormitórios amplos, 1 é suíte com armários, sala para 2 ambientes, lavabo, copa, cozinha grande sem armários, gabinete novo, lavanderia coberta. corredor lateral, quintal ao fundo e um terraço bem espaçoso. Portão é automático para duas vagas com cobertura nova e estão sendo colocados box e gabinetes novos nos banheiros e gabinete novo na cozinha.; BS:Parada Paulo Albernaz, BS:Parada Rubens Facchini, BS:Parada Rodrigues Montemor, BS:Parada Pq. do Nabuco, BS:Parada Públio Pimentel, TS:Parada Rodrigues Montemor, TS:Parada Públio Pimentel, TS:Shopping Interlagos, TS:Av. Interlagos, 1661, TS:Parada Rio Grande do Sul, CS:Master Carnes, CS:Padaria Bom Vizinho, CS:Max Carnes, CS:Nova Bagdá Carnes e Rotisserie, CS:Flor da Catarina Pães e Doces, PH:Bifarma
2488461102; HOME; UNIT; BR; São Paulo; SP; Rua Frei Heitor Pinto; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Joaniza; Vila Joaniza; RESIDENTIAL; 350; 160; Comprar; 700000; 2; 2; 3; 3; 0; 04404130; A casa está localizado no bairro Vila Joaniza.<br>Próximo da Av. Cupece - Cidade Ademar.<br>3 quartos sendo 1 suítes, armários, e 2 banheiros, sala TV, sala de jantar, escritórios , entrada lateral, quintal, churrasqueira, lavanderia coberta.<br>Aceita financiamento pelo banco.<br>Reformada recente.; BS:Parada Paulo Albernaz, BS:Parada Rodrigues Montemor, BS:Parada Rubens Facchini, BS:Parada Públio Pimentel, BS:Parada Pq. do Nabuco, TS:Parada Rodrigues Montemor, TS:Parada Públio Pimentel, TS:Parada Rio Grande do Sul, TS:Parada Santo Afonso, TS:Shopping Interlagos, CS:Master Carnes, CS:Padaria Bom Vizinho, CS:Max Carnes, CS:Nova Bagdá Carnes e Rotisserie, CS:Flor da Catarina Pães e Doces, PH:Bifarma
2463433606; HOME; UNIT; BR; São Paulo; SP; Rua Lourenço Antônio Bragança; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Joaniza; Vila Joaniza; RESIDENTIAL; 150; 150; Comprar; 750000; 2; 1; 3; 3; 0; 04403160; Excelente oportunidade na região, segurança 24 horas.<br>Scheid Imóveis, desde 1995 com total transparência e segurança em todos os nossos serviços.; BS:Parada Rubens Facchini, BS:Parada Paulo Albernaz, BS:Parada Rodrigues Montemor, BS:Parada Pq. do Nabuco, BS:Shopping Interlagos, TS:Parada Rodrigues Montemor, TS:Shopping Interlagos, TS:Av. Interlagos, 1661, TS:Parada Públio Pimentel, TS:Av. Interlagos, 2729, CS:Master Carnes, CS:Padaria Bom Vizinho, CS:Max Carnes, CS:Belfort Panificadora, CS:Panificadora Bandeirantes, PH:Bifarma
2463432023; COMMERCIAL_PROPERTY; UNIT; BR; São Paulo; SP; Avenida Yervant Kissajikian; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Joaniza; Vila Joaniza; COMMERCIAL; 500; 1000; Comprar; 3000000; 0; 0; 4; 0; 0; 04428000; Scheid Imóveis, desde 1995 com total transparência e segurança em todos os nossos serviços.; BS:Parada Públio Pimentel, BS:Parada Rio Grande do Sul, BS:Ponto final linha 5178-10 e 5129-41, BS:Parada Rodrigues Montemor, BS:Parada Santo Afonso, TS:Parada Públio Pimentel, TS:Parada Rio Grande do Sul, TS:Ponto final linha 5178-10 e 5129-41, TS:Parada Rodrigues Montemor, TS:Parada Santo Afonso, CS:Tennessee Loja de Carnes - Loja Missionária, CS:Master Carnes, CS:Padaria Bom Vizinho, CS:Padaria Santo Afonso, CS:Tennessee, CH:UBS VILA IMPÉRIO II, CH:Unidade Básica de Saúde São Jorge, CH:UBS VILA Império, CH:UBS MANOEL SOARES DE OLIVEIRA (JARDIM MÍRIAM), CH:UBS Vila Constância - Dr Vicente Octavio Guida
2494900074; HOME; UNIT; BR; São Paulo; SP; Rua Gregório de Morais Rego; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Joaniza; Vila Joaniza; RESIDENTIAL; 173; 173; Comprar; 365000; 2; 0; 2; 3; 0; 04436060; Casa assobradada, com 2 moradias. Casa principal com cômodos amplos, 2 dormitórios, sala ampla, cozinha, banheiro e terraço com área de serviço. Casa de baixo com 2 dormitórios, sala, cozinha, banheiro, quintal pequeno e área de serviço ( parte de baixo precisa de reforma). 2 vagas de garagem. Muito boa oportunidade. Consulte!; BS:Av. Interlagos, 1661, BS:Shopping Interlagos, BS:Parada Rubens Facchini, BS:Parada Pq. do Nabuco, BS:Av. Interlagos, 3060, TS:Av. Interlagos, 1661, TS:Shopping Interlagos, TS:Av. Interlagos, 2729, TS:Av. Interlagos, 3060, TS:GGD Metals, CS:Belfort Panificadora, CS:Panificadora Bandeirantes, CS:Bandeirantes V, CS:Max Carnes, CS:Master Carnes, PH:Bifarma
2462134698; HOME; UNIT; BR; São Paulo; SP; Avenida Gaspar de Brito; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Joaniza; Vila Joaniza; RESIDENTIAL; 100; 100; Comprar; 370000; 2; 0; 2; 2; 0; 04403110; Casa de 2 dormitórios amplos, corredor lateral, 2 vagas de garagem em ótimo local da Vila Joaniza! Pode ser usado para residencia ou comércio, pois a rua é larga, de passagem e com ótimo movimento. Venha e Confira!; BS:Parada Paulo Albernaz, BS:Parada Rubens Facchini, BS:Parada Rodrigues Montemor, BS:Parada Pq. do Nabuco, BS:Parada Públio Pimentel, TS:Parada Rodrigues Montemor, TS:Parada Públio Pimentel, TS:Shopping Interlagos, TS:Av. Interlagos, 1661, TS:Parada Rio Grande do Sul, CS:Master Carnes, CS:Padaria Bom Vizinho, CS:Max Carnes, CS:Belfort Panificadora, CS:Panificadora Bandeirantes, PH:Bifarma
2463174616; COMMERCIAL_PROPERTY; UNIT; BR; São Paulo; SP; Rua Francisco de Baldim; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Joaniza; Vila Joaniza; COMMERCIAL; 201; 138; Comprar; 2350000; 0; 0; 3; 0; 0; 04403290; Condução na porta com vários comércios ao redor. <br>EXCELENTE PRÉDIO COMERCIAL NO CENTRO DA VILA JOANIZA, MUITO BEM LOCALIZADO<br>Scheid Imóveis, desde 1995 com total transparência e segurança em todos os nossos serviços.; BS:Parada Paulo Albernaz, BS:Parada Rubens Facchini, BS:Parada Rodrigues Montemor, BS:Parada Públio Pimentel, BS:Parada Pq. do Nabuco, TS:Parada Rodrigues Montemor, TS:Parada Públio Pimentel, TS:Shopping Interlagos, TS:Av. Interlagos, 1661, TS:Parada Rio Grande do Sul, CS:Master Carnes, CS:Padaria Bom Vizinho, CS:Max Carnes, CS:Tennessee Loja de Carnes - Loja Missionária, PH:Bifarma
2477838787; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua Desembargador Olavo Ferreira Prado; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Joaniza; Vila Joaniza; RESIDENTIAL; 238; 238; Comprar; 535000; 4; 1; 4; 4; 0; 04427000; Sobrado enorme de 3 pavimentos em terreno 10x25. Na garagem cabem até 4 carros,sala da pra fazer 3 ambientes, cozinha grande com armários embutidos, quintal ensolarado com área aberta e fechada, terraço acima da garagem, edicula com banheiro . 3 dormitórios amplos ( 1 suite com closet), 1 dormitório menor que pode ser reversível. Perto da sala tem mais um dormitório que pode ser escritório ou deposito. Ótima casa para investidor ( possibilidade de dividir em ate 6 moradias), ideal para escolas/creches. Venha conferir.; BS:Parada Públio Pimentel, BS:Parada Rodrigues Montemor, BS:Parada Rio Grande do Sul, BS:Parada Santo Afonso, BS:Parada Paulo Albernaz, TS:Parada Públio Pimentel, TS:Parada Rodrigues Montemor, TS:Parada Rio Grande do Sul, TS:Parada Santo Afonso, TS:Ponto final linha 5178-10 e 5129-41, CS:Master Carnes, CS:Padaria Bom Vizinho, CS:Tennessee Loja de Carnes - Loja Missionária, CS:Padaria Santo Afonso, CS:Max Carnes, PH:Bifarma
