IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2499245681; HOME; UNIT; BR; São Paulo; SP; Rua Antônio Pádua de Oliveira; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Libanesa; Vila Libanesa; RESIDENTIAL; 140; 100; Comprar; 270000; 2; 1; 2; 3; 0; 03193120; Imóvel recém reformado,possui 100 metros quadrados com 3 quartos sendo 1 suíte e 2 banheiros, churrasqueira, garagem com vaga para dois carros. Vai lhe possibilitar todo o conforto do ar condicionado nos dias mais quentes. <br>DIVIDA BANCARIA<br>NÃO ACEITAMOS FGTS COMO ENTRADA.; BS:Avenida Sapopemba 1952, BS:Avenida Sapopemba 1985, BS:Avenida Sapopemba 1728, BS:Avenida Adutora do Rio Claro 26, BS:Avenida Sapopemba 1635, TS:Avenida Sapopemba 1952, TS:Avenida Sapopemba 1985, TS:Avenida Sapopemba 1728, TS:Avenida Sapopemba 1635, TS:Avenida Adutora do Rio Claro 26, CS:Center J, CS:Bella Regente, CS:Natural da Praça, CS:Padaria Dom Henrique, CS:Emporium MR, PH:Droga Leste, PH:Drogaria Itamonte, PH:Drogaria Moretti
2498821373; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua Padre Leonel Franca; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Libanesa; Vila Libanesa; RESIDENTIAL; 190; 190; Comprar; 950000; 4; 1; 3; 3; 0; 03193070; Sobrado com 3 dormitórios e 4 vagas com fino acabamento em porcelanato, escada em granito, cozinha ampla com acabamento em azulejo retificado nas paredes e piso em porcelanato de alta qualidade, lavabo com pia em granito com cuba de sobrepor, janelas da sala em vidro temperado dando ótima luminosidade ao ambiente, a 5 minutos do metrô vila prudente e próximo a escolas, mercados, postos de saúde, feiras, transporte para o metrô vila prudente, rua tranqüila, bairro calmo, venha fazer uma proposta por este imóvel ou por outras oportunidades que temos a sua disposição. acesse nosso site.; BS:Avenida Sapopemba 1952, BS:Avenida Sapopemba 1985, BS:Avenida Sapopemba 1728, BS:Avenida Sapopemba 1635, BS:Rua Almirante Alexandrino 480, TS:Avenida Sapopemba 1952, TS:Avenida Sapopemba 1985, TS:Avenida Sapopemba 1728, TS:Avenida Sapopemba 1635, TS:Rua Almirante Alexandrino 480, CS:Bella Regente, CS:Casa de Carnes Vale do Douro, CS:Center J, CS:Natural da Praça, CS:Padraira Total Sucesso, PH:Drogaria Itamonte, PH:Drogaria Moretti, PH:Droga Leste
2483426630; HOME; UNIT; BR; São Paulo; SP; Rua Carmelo Adam; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Libanesa; Vila Libanesa; RESIDENTIAL; 279; 279; Comprar; 680000; 2; 2; 6; 3; 0; 03193130; Sobrado com ambientes amplos, integrados e com boa decoração. <br> Em um terreno de 5,5 x 33m você encontrará; Sala para 3 ambientes, copa, cozinha planejada, lavanderia, suíte master com closet, sacada, salão de festas, churrasqueira, edícula com banheiro e muito espaço para você usar como desejar. <br><br> Localização:<br> A região proporciona o acesso a vários Shoppings, como o Central Plaza, o Mooca Plaza e o Anália Franco. O transporte é facilitado muito próximo às Estações Vila Prudente da Linha Verde do metrô, Estação Tamanduateí e Monotrilho três excelentes opções de transporte público. Além disso, é possível chegar com rapidez à Marginal Tietê e às Rodovias Dutra e Ayrton Senna, através da Avenida Salim Farah Maluf . Se precisar, Hospitais Vila Alpina, São Cristóvão, Villa Lobos, CEMA .<br><br> www.rafaelterranova.com.br<br> Código: 2227 <br><br> Consulte, <br> valores e disponibilidade podem sofrer alteração sem aviso prévio. <br>; BS:Avenida Sapopemba 1952, BS:Avenida Sapopemba 1985, BS:Avenida Sapopemba 1728, BS:Parada Chamantá, BS:Parada Juventus, TS:Avenida Sapopemba 1952, TS:Avenida Sapopemba 1985, TS:Avenida Sapopemba 1728, TS:Parada Chamantá, TS:Parada Juventus, CS:Center J, CS:Natural da Praça, CS:Padaria Dom Henrique, CS:Emporium MR, CS:Bella Regente, PH:Drogaria Itamonte, PH:Droga Leste, PH:Drogaria Moretti
1040670021; SHED_DEPOSIT_WAREHOUSE; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Libanesa; Vila Libanesa; COMMERCIAL; 153; 153; Comprar; 370000; 0; 0; 2; 0; 0; 03193120; Excelente oportunidade na Mooca.<br>Terreno com 153m2 e galpão com 90 m2 .<br>2 salas, 2 banheiros e quintal nos fundos de 7x5m <br>Porta nova de aço 3,5 alt x 5,0m com motor novo <br>todo material para finalização da cobertura incluso. (telha sanduíche zinco com isopor novas) disponíveis no local.<br>Localizado a 50m da futura estação de metrô.<br><br>*<br>Somos especializados no atendimento a Pessoa Jurídica, com foco em imoveis comerciais, industriais e logísticos, com certeza podemos ajudar a sua empresa a encontrar o imóvel ideal.<br>* <br>Obs: anuncio cadastrado de acordo com informações do proprietário, e pode sofrer alterações sem aviso prévio.; BS:Avenida Sapopemba 1952, BS:Avenida Sapopemba 1985, BS:Avenida Sapopemba 1728, BS:Avenida Sapopemba 1635, BS:Avenida Adutora do Rio Claro 26, TS:Avenida Sapopemba 1952, TS:Avenida Sapopemba 1985, TS:Avenida Sapopemba 1728, TS:Avenida Sapopemba 1635, TS:Avenida Adutora do Rio Claro 26, CS:Center J, CS:Bella Regente, CS:Natural da Praça, CS:Padaria Dom Henrique, CS:Emporium MR, PH:Droga Leste, PH:Drogaria Itamonte, PH:Drogaria Moretti
2498516329; HOME; UNIT; BR; São Paulo; SP; Rua Padre Leonel Franca; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Libanesa; Vila Libanesa; RESIDENTIAL; 92; 135; Comprar; 800000; 2; 1; 3; 3; 0; 03193070; SOBRADO NOVO 3 DORMITÓRIOS 1 SUITE SALA AMPLA COZINHA LAVANDERIA 3 BANHEIROS 2 VAGAS ACABAMENTO DE PRIMEIRA IMÓVEL BEM LOCALIZADO PRÓXIMO DE MERCADOS PADARIA FACIAL ACESSO PARA CONDUÇÕES E FUTURA ESTAÇA DE METRO ORATÓRIO. <br>A Bella Casa é a imobiliária da Mooca que mais tem avaliações positivas no Google. Nosso trabalho é totalmente focado em qualidade e agilidade nos serviços, levando aos clientes a melhor experiência na compra, venda ou locação de imóveis. Possuímos mais de 4 mil imóveis em nossos cadastros, pós venda e jurídico próprio e uma experiente equipe.<br><br>WHATSAPP <br><br>--- 11 .9...6...3.....6....4...9...1...8..2 ---; BS:Avenida Sapopemba 1952, BS:Avenida Sapopemba 1985, BS:Avenida Sapopemba 1728, BS:Avenida Sapopemba 1635, BS:Rua Almirante Alexandrino 480, TS:Avenida Sapopemba 1952, TS:Avenida Sapopemba 1985, TS:Avenida Sapopemba 1728, TS:Avenida Sapopemba 1635, TS:Rua Almirante Alexandrino 480, CS:Bella Regente, CS:Casa de Carnes Vale do Douro, CS:Padraira Total Sucesso, CS:Center J, CS:Natural da Praça, PH:Drogaria Moretti, PH:Drogaria Itamonte, PH:Droga Leste
2485912010; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua Jacinto de Lima Santos; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Libanesa; Vila Libanesa; RESIDENTIAL; 75; 75; Comprar; 290000; 2; 0; 2; 2; 0; 03738090; - Sobrado com 2 dormitórios, sala, cozinha, banheiro, área de serviço coberta com mais um banheiro, 2 vagas de garagem cobertas. <br>- Próximo a Av. São Miguel, na altura da lombada eletrônica perto do supermercado Semar. <br>- Fácil acesso à transporte público, principais vias de acesso, comércio em geral inclusive Hipermercado Extra da Av. Tiquatira com Av. São Miguel e bancos. <br>- Aceita financiamento!!! <br> <br>Agende sua visita: ou pelo site: www.pedrodelima.com.br <br> <br>Todas as informações e valores exibidos neste portal são fornecidos pelos proprietários dos imóveis podendo sofrer alterações sem aviso prévio. Consulte nossos consultores.; BS:Linha 2728/10 Jd. do Castelo X Metrô Penha, BS:Parada Final 271-P, BS:Parada Final 271-A 51, TS:Parada Final 271-P, TS:Parada Final 271-A 51, TS:Engenheiro Goulart, CS:Center Carnes Ducastilho, CS:Emporio de Produtos Naturais, CS:Panificadora Nova Imperador do Trigo, CS:HOT BRAD Pães ultracongelados, CS:Doces Michele, VP:Ração Japonesa
2495440556; HOME; UNIT; BR; São Paulo; SP; Rua Antônio Pádua de Oliveira; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Libanesa; Vila Libanesa; RESIDENTIAL; 134; 134; Comprar; 590000; 2; 2; 3; 2; 200; 03193120; Sobrado de 3 andares em condomínio fechado, contendo 2 suítes planejadas, uma delas com closet, ar condicionado e varanda, lavabo, sala living 2 ambientes, cozinha planejada, lavanderia, área gourmet com quintal e churrasqueira na parte superior.<br>Pisos: laminado e porcelanato <br>2 vagas. -; BS:Avenida Sapopemba 1952, BS:Avenida Sapopemba 1985, BS:Avenida Sapopemba 1728, BS:Avenida Adutora do Rio Claro 26, BS:Avenida Sapopemba 1635, TS:Avenida Sapopemba 1952, TS:Avenida Sapopemba 1985, TS:Avenida Sapopemba 1728, TS:Avenida Adutora do Rio Claro 26, TS:Avenida Sapopemba 1635, CS:Bella Regente, CS:Center J, CS:Casa de Carnes Vale do Douro, CS:Natural da Praça, CS:Padaria Dom Henrique, PH:Droga Leste, PH:Drogaria Itamonte, PH:Drogaria Moretti
2498330100; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Libanesa; Vila Libanesa; RESIDENTIAL; 200; 200; Comprar; 650000; 8; 0; 1; 2; 0; 03193070; Excelente casa com 2 doirmitorios, sala cozinha, banheiro e quintal. Edicula com 1 dormitorio e banheiro, - Atualizado em: -; BS:Avenida Sapopemba 1952, BS:Avenida Sapopemba 1985, BS:Avenida Sapopemba 1728, BS:Avenida Sapopemba 1635, BS:Rua Almirante Alexandrino 480, TS:Avenida Sapopemba 1952, TS:Avenida Sapopemba 1985, TS:Avenida Sapopemba 1728, TS:Avenida Sapopemba 1635, TS:Rua Almirante Alexandrino 480, CS:Bella Regente, CS:Casa de Carnes Vale do Douro, CS:Center J, CS:Padraira Total Sucesso, CS:Natural da Praça, PH:Drogaria Moretti, PH:Drogaria Itamonte, PH:Droga Leste
2498651008; HOME; UNIT; BR; São Paulo; SP; Rua Santa Lina; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Libanesa; Vila Libanesa; RESIDENTIAL; 175; 150; Comprar; 900000; 2; 1; 3; 3; 0; 03131060; NÃO ACEITA PERMUTA!<br><br>Ótimo imóvel com 2 residências reformadas, bem localizada.<br><br>Sobrado: Contém 3 dormitórios, sendo 1 suíte com armários embutidos, wc social com box e gabinete, lavabo, sala living 2 ambientes, copa, cozinha com armários embutidos, lavanderia.<br><br>Casa térrea: Contém 1 dormitório com armários embutidos, wc social com box e gabinete, 2 salas, copa, cozinha planejada, lavanderia, quintal lateral.<br>2 vagas cobertas, casa toda em laje, nada para fazer, entrar e morar! -; BS:Avenida Sapopemba 1952, BS:Avenida Sapopemba 1985, BS:Avenida Sapopemba 1728, BS:Avenida Adutora do Rio Claro 26, BS:Avenida Adutora do Rio Claro 41, TS:Avenida Sapopemba 1952, TS:Avenida Sapopemba 1985, TS:Avenida Sapopemba 1728, TS:Avenida Adutora do Rio Claro 26, TS:Avenida Adutora do Rio Claro 41, CS:Bella Regente, CS:Casa de Carnes Vale do Douro, CS:Padraira Total Sucesso, CS:Center J, CS:Julio's Casa de Pães, PH:Drogaria Moretti, PH:Droga Leste, PH:Drogaria Itamonte
2475747540; HOME; UNIT; BR; São Paulo; SP; Rua Padre Leonel Franca; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Libanesa; Vila Libanesa; RESIDENTIAL; 175; 175; Comprar; 899000; 4; 3; 4; 3; 0; 03193070; Sobrado contendo 3 dormitórios, sendo 3 suítes, wc social, sala living 2 ambientes, cozinha planejada, lavanderia, terraço, quintal, churrasqueira com pia.<br>Pisos: Porcelanato<br>4 vagas, portão automático. -; BS:Avenida Sapopemba 1952, BS:Avenida Sapopemba 1985, BS:Avenida Sapopemba 1728, BS:Avenida Sapopemba 1635, BS:Rua Almirante Alexandrino 480, TS:Avenida Sapopemba 1952, TS:Avenida Sapopemba 1985, TS:Avenida Sapopemba 1728, TS:Avenida Sapopemba 1635, TS:Rua Almirante Alexandrino 480, CS:Bella Regente, CS:Center J, CS:Natural da Praça, CS:Casa de Carnes Vale do Douro, CS:Emporium MR, PH:Drogaria Itamonte, PH:Drogaria Moretti, PH:Droga Leste
