IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2494731715; SHED_DEPOSIT_WAREHOUSE; UNIT; BR; São Paulo; SP; Rua Drava; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Moinho Velho; Vila Moinho Velho; COMMERCIAL; 450; 450; Alugar/Comprar; 4000; 0; 0; 0; 0; 0; 04283000; Terreno a 800 metros do metro, metragem excelente para fazer vila com sobrados, ou excelente espaço para alugar para empresas. Negociamos carência para reforma!; BS:Parada Praça Gaúcha, BS:Ponto Final/Inicial Linha, BS:Passarela Antônio Vanzella, BS:Estação Rua do Grito, TS:SAO BERNARDO DO CAMPO (VILA EURO)/ SAO PAULO (TERMINAL SACOMA), TS:Parada Praça Gaúcha, TS:Ponto Final/Inicial Linha, TS:Passarela Antônio Vanzella, TS:Sacomã, CS:Denver 3, CS:M2, CS:Nossa Vila, CS:Café Donuts, CS:Mercado da Carne Ipiranga, PH:SOS Farma Ponte
2494165863; SHED_DEPOSIT_WAREHOUSE; UNIT; BR; São Paulo; SP; Rua Coronel Francisco Inácio; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Moinho Velho; Vila Moinho Velho; COMMERCIAL; 302; 302; Comprar; 860000; 0; 0; 0; 0; 0; 04286000; Casa /Galpão antigo e bem localizado.<br>Pode ser utilizado como residência ou comércio !!!<br>Nas proximidades podemos encontrar o supermercado Extra (1km); Colégio Vicentino Virgem Poderosa (190m); Restaurante "O Bacalhau do Porto (400m), entre outros serviços.<br>Agende sua visita conosco !! -; BS:Parada Praça Gaúcha, BS:Passarela Antônio Vanzella, BS:Ponto Final/Inicial Linha, BS:Estação Rua do Grito, TS:Parada Praça Gaúcha, TS:Passarela Antônio Vanzella, TS:SAO BERNARDO DO CAMPO (VILA EURO)/ SAO PAULO (TERMINAL SACOMA), TS:Ponto Final/Inicial Linha, TS:Parada E.E.Professor José Escobar, CS:Denver 3, CS:M2, CS:Nossa Vila, CS:Café Donuts, CS:Padaria Montreal, PH:SOS Farma Ponte
2491651243; APARTMENT; UNIT; BR; São Paulo; SP; Rua do Reno; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Moinho Velho; Vila Moinho Velho; RESIDENTIAL; 83; 50; Comprar; 357000; 1; 1; 2; 2; 597; 04284070; Apartamento seminovo, todo mobiliado porteira fechada, andar alto, recém modernizado, piso novo, impecável, entrar e morar, tudo de extremo bom gosto, todo planejado com armários novos e decorado, 49,75 m² de área útil e 83,44 m² de área total,12 min (1.200 m) a pé do metrô Sacomã, 8 min (800 m) a pé do Colégio Virgem Poderosa e Luterano, piso em laminado novo, são 2 dormitórios ambos com armários planejados, 2 banheiros com armários e box de vidro sendo1 suíte, sala boa com 2 ambientes toda decorado com gesso e luminárias integrada com varanda Grill deixou o ambientes charmoso e com belo espaço, cozinha americana toda planejada com armários novos, lavanderia com armários e aquecedor. Condomínio seminovo com belo espaço e muito verde com salão de festa e espaço gourmet com churrasqueira, excelente localização Miolo Nobre do Moinho Velho com total infraestrutura ao lado do comércio local, você faz tudo a pé, condução farta ao lado do prédio com ônibus ( 3 pontos ao metrô Sacomã, Alto do Ipiranga e Monotrilho) para todos os lugares, acesso fácil a rua Do Reno, Fausto, Tancredo Neves, Vergueiro, Nazaré, Silva Bueno. Com a Nova São Paulo a compra do seu imóvel é mais segura. Oferecemos assessoria gratuita em financiamento imobiliário, orientando o cliente em todo o processo de negociação. Você pode agendar sua visita ou tirar dúvidas também pelo whatsApp. Confira nossos telefones.; BS:Ponto Final/Inicial Linha, BS:Parada Praça Gaúcha, BS:Passarela Antônio Vanzella, BS:Estação Rua do Grito, BS:Parada AME Barradas, TS:SAO BERNARDO DO CAMPO (VILA EURO)/ SAO PAULO (TERMINAL SACOMA), TS:Ponto Final/Inicial Linha, TS:Parada E.E.Professor José Escobar, TS:Sacomã, TS:Alto do Ipiranga, CS:Denver 3, CS:M2, CS:Nossa Vila, CS:Café Donuts, CS:Mercado da Carne Ipiranga, PH:SOS Farma Ponte
2279235477; APARTMENT; UNIT; BR; São Paulo; SP; Rua Coronel Francisco Inácio; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Moinho Velho; Vila Moinho Velho; RESIDENTIAL; 0; 55; Comprar; 398000; 2; 1; 2; 2; 600; 04286000; Venda direto com proprietário. 55m2, dois banheiros, dois quartos, sacada fechada, ar condicionado, vidro anti-ruídos nos quartos, duas garagem cobertas e fixas, móveis embutidos, mármores trocados, nicho no banheiro, chuveiro a gás e uma banheira na suite (removível) Construção: 2016 Primeiro proprietário Torre: Única.; BS:Ponto Final/Inicial Linha, BS:Estação Rua do Grito, BS:Parada Praça Gaúcha, BS:Passarela Antônio Vanzella, BS:Estação Nossa Senhora Aparecida, TS:SAO BERNARDO DO CAMPO (VILA EURO)/ SAO PAULO (TERMINAL SACOMA), TS:Ponto Final/Inicial Linha, TS:Parada E.E.Professor José Escobar, TS:Sacomã, TS:Estação Rua do Grito, CS:Denver 3, CS:M2, CS:Nossa Vila, CS:Café Donuts, CS:22 de Julho, PH:SOS Farma Ponte
2438674791; APARTMENT; UNIT; BR; São Paulo; SP; Rua Regino Aragão; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Moinho Velho; Vila Moinho Velho; RESIDENTIAL; 0; 63; Comprar; 465000; 2; 1; 2; 2; 507; 04285020; Apartamento bem localizado, próximo ao Metro Sacomã linha verde e próximo ao parque Independência. Bairro muito tranquilo com farmácia e mercados, bancos e shopping Mooca e Plaza Sul e fácil acesso ao litoral. Imóvel arejado e bem iluminado, recém reformado, sacada envidraçada e estilo moderno, armários embutidos nos quartos. Lazer completo, brinquedoteca, sala de jogos, salão de festa e academia, prédio possui gerador e segurança 24h.; BS:Parada Praça Gaúcha, BS:Passarela Antônio Vanzella, BS:Ponto Final/Inicial Linha, BS:Estação Rua do Grito, TS:Parada Praça Gaúcha, TS:Passarela Antônio Vanzella, TS:SAO BERNARDO DO CAMPO (VILA EURO)/ SAO PAULO (TERMINAL SACOMA), TS:Ponto Final/Inicial Linha, TS:Parada E.E.Professor José Escobar, CS:Denver 3, CS:M2, CS:Nossa Vila, CS:Café Donuts, CS:Padaria Montreal, PH:SOS Farma Ponte
2496141012; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Moinho Velho; Vila Moinho Velho; RESIDENTIAL; 200; 200; Comprar; 570000; 2; 1; 3; 3; 0; ; Casa Térrea de 03 dormitórios, 01 suite, possui quintal, lavanderia, idade constr 40 anos.; BS:Ponto Final/Inicial Linha, BS:Parada Praça Gaúcha, BS:Passarela Antônio Vanzella, BS:Estação Rua do Grito, TS:SAO BERNARDO DO CAMPO (VILA EURO)/ SAO PAULO (TERMINAL SACOMA), TS:Ponto Final/Inicial Linha, TS:Parada E.E.Professor José Escobar, TS:Sacomã, TS:Parada Praça Gaúcha, CS:Denver 3, CS:M2, CS:Nossa Vila, CS:Café Donuts, CS:Mercado da Carne Ipiranga, PH:SOS Farma Ponte
2450984670; APARTMENT; UNIT; BR; São Paulo; SP; Rua Abrahão Calux; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Moinho Velho; Vila Moinho Velho; RESIDENTIAL; 0; 74; Comprar; 365000; 1; 1; 2; 3; 940; 04286100; Apartamento bem localizado, próximo a padarias, restaurantes, farmácias, supermercados, escolas, centro cultural, com farta condução até o metrô e fácil acesso a Anchieta e Imigrantes. Possui academia, área verde de jardim, parquinho infantil, salão de festas, churrasqueira e piscina, portaria 24 horas. Armários planejados, porcelanato, sacada envidraçada, janelas com tela de segurança. Abaixo do preço de mercado!!! Aceita permuta por apartamento menor ou casa de condomínio na mesma região.; BS:Passarela Antônio Vanzella, BS:Parada Praça Gaúcha, BS:Ponto Final/Inicial Linha, TS:Passarela Antônio Vanzella, TS:Parada Praça Gaúcha, TS:SAO BERNARDO DO CAMPO (VILA EURO)/ SAO PAULO (TERMINAL SACOMA), TS:Alto do Ipiranga, TS:Sacomã, CS:M2, CS:Denver 3, CS:Padaria Montreal, CS:Café Donuts, CS:Fiorella, PH:SOS Farma Ponte, PH:Styllus Farma
2433400492; APARTMENT; UNIT; BR; São Paulo; SP; Rua Américo Samarone; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Moinho Velho; Vila Moinho Velho; RESIDENTIAL; 69; 69; Comprar; 450000; 1; 0; 1; 2; 538; 04284000; Apartamento no Moinho Velho, próximo ao Metrô Sacomã, região alta, sem risco de enchente, ligado ao bairro do Ipiranga que é um bairro antigo e comercial, tendo toda infraestrutura, como: Faculdades, Escolas, Bancos, Hospitais, Clínicas, Laboratórios, Mercados, Açougues, Farmácias, Padarias, agende uma visita com o corretor. <br> <br>Com a Nova São Paulo a compra do seu imóvel é mais segura. Oferecemos assessoria gratuita em financiamento imobiliário, orientando o cliente em todo o processo de negociação. Você pode agendar sua visita ou tirar dúvidas também pelo whatsApp. Confira nossos telefones.; BS:Ponto Final/Inicial Linha, BS:Estação Rua do Grito, BS:Parada AME Barradas, BS:Parada Praça Gaúcha, BS:Passarela Antônio Vanzella, TS:SAO BERNARDO DO CAMPO (VILA EURO)/ SAO PAULO (TERMINAL SACOMA), TS:Ponto Final/Inicial Linha, TS:Parada E.E.Professor José Escobar, TS:Sacomã, TS:Estação Rua do Grito, CS:Denver 3, CS:M2, CS:Café Donuts, CS:Mercado da Carne Ipiranga, CS:22 de Julho, PH:SOS Farma Ponte
2448535617; APARTMENT; UNIT; BR; São Paulo; SP; Rua do Reno; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Moinho Velho; Vila Moinho Velho; RESIDENTIAL; 50; 50; Comprar; 350000; 1; 1; 1; 2; 550; 04284070; Apartamento com vista maravilhosa, andar alto e região alta, perto do Metrô Sacomã, região próximo do Ipiranga, bairro com toda infraestrutura, como: Hospitais, Faculdades, Escolas, Clínicas, Laboratórios, Bancos, Padarias, Mercados, Açougues, Farmácias, fácil acesso para Rodovia Anchieta, Avenida Tancredo Neves e grande ABCD, agende uma visita com o corretor o quanto antes. <br>Com a Nova São Paulo a compra do seu imóvel é mais segura. Oferecemos assessoria gratuita em financiamento imobiliário, orientando o cliente em todo o processo de negociação. Você pode agendar sua visita ou tirar dúvidas também pelo whatsApp. Confira nossos telefones.; BS:Ponto Final/Inicial Linha, BS:Parada Praça Gaúcha, BS:Passarela Antônio Vanzella, BS:Estação Rua do Grito, BS:Parada AME Barradas, TS:SAO BERNARDO DO CAMPO (VILA EURO)/ SAO PAULO (TERMINAL SACOMA), TS:Ponto Final/Inicial Linha, TS:Parada E.E.Professor José Escobar, TS:Sacomã, TS:Alto do Ipiranga, CS:Denver 3, CS:M2, CS:Nossa Vila, CS:Café Donuts, CS:Mercado da Carne Ipiranga, PH:SOS Farma Ponte
2450293357; APARTMENT; UNIT; BR; São Paulo; SP; Rua Coronel Francisco Inácio; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Moinho Velho; Vila Moinho Velho; RESIDENTIAL; 72; 72; Comprar; 399000; 1; 0; 2; 2; 750; 04286000; Apartamento perto do Metrô Sacomã, do lado do Ipiranga, bairro com toda infraestrutura, como: Hospitais, Faculdades, Laboratórios, Escolas, Clínicas, Bancos, Mercados, Farmácias, Açougues, Padarias, Mercadão Municipal do Ipiranga e fica de fácil acesso para Rodovia Anchieta, Avenida Tancredo Neves, grande ABC e Avenida do Estado, agende uma visita com o corretor o quanto antes. <br>Com a Nova São Paulo a compra do seu imóvel é mais segura. Oferecemos assessoria gratuita em financiamento imobiliário, orientando o cliente em todo o processo de negociação. Você pode agendar sua visita ou tirar dúvidas também pelo whatsApp. Confira nossos telefones.; BS:Ponto Final/Inicial Linha, BS:Parada AME Barradas, BS:Estação Rua do Grito, BS:Parada Praça Gaúcha, BS:Passarela Antônio Vanzella, TS:SAO BERNARDO DO CAMPO (VILA EURO)/ SAO PAULO (TERMINAL SACOMA), TS:Ponto Final/Inicial Linha, TS:Parada E.E.Professor José Escobar, TS:Sacomã, TS:Parada AME Barradas, CS:Denver 3, CS:M2, CS:Nossa Vila, CS:Café Donuts, CS:22 de Julho, PH:SOS Farma Ponte
