IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2490727316; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Dom Pedro I; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Monumento; Vila Monumento; RESIDENTIAL; 108; 108; Comprar; 861000; 2; 2; 4; 4; 790; 01552001; Apartamentos de 81 e 108m² com 3 ou 4 dorms, sendo 2 vagas determinadas. Um novo conceito de vila urbana: apartamentos com clima de casa. Las Villas Ipiranga são apartamentos de vila com aquele clima tranquilo, gostoso e exclusivo de uma casa. As plantas são espaçosas, com ambientes generosos, ideiais para o conforto da sua família.Agende sua visita Conrado Garcia - Europa Brokers Imoveis - Observação: 81m² a 108m² 3 a 4 dormitórios (1 a 3 suítes) Vila Monumento, São Paulo SP - Pontos Fortes: ÁREA DO TERRENO9.719,20 m²NÚMERO DE TORRES04 TorresPAVIMENTOSTérreo + 03 PavimentosUNIDADES POR PAVIMENTO08 UnidadesMETRAGEM81 m² e 108 m²DORMITÓRIOS03 Dormitórios (1 suíte) + Depósito Privativo 04 Dormitórios (2 Suítes) ou 03 Suítes com Sala Ampliada + Depósito PrivativoVAGAS02 VagasTOTAL DE UNIDADES124 Unidades - - Ar Condicionado - Portão Eletrônico - Vaga de Garagem Determinada - Área de Serviço - Cozinha - Deposito na Garagem - Churrasqueira - Bicicletário - Brinquedoteca - Churrasqueira - Churrasqueira e forno de pizza - Espaço Gourmet - Fitness - Piscina - Piscina Infantil - Playground - Praça das Mamães Pergolado - Salão de Festas - Salão de Jogos - Bares e Restaurantes - Escola - Farmácia - Shopping Center - Supermercado - Aeroporto - Metrô - Parques; BS:R. da Independência, 1072, BS:R. da Independência, 820, BS:Estação Alberto Lion, BS:R. da Independência, 560, BS:Estação Clube Atlético Ypiranga, TS:R. da Independência, 1072, TS:R. da Independência, 820, TS:Estação Alberto Lion, TS:R. da Independência, 560, TS:Estação Clube Atlético Ypiranga, CS:Padaria Famalicense, CS:Big bread, CS:Primícia Pães, CS:Confeitaria Karol, CS:Padaria Patriopan, PH:Rede Bem Drogarias, PH:Farto Drogarias, PH:Drogaria São José do Ipiranga, PH:Sinete 24Horas
2498266291; CONDOMINIUM; UNIT; BR; São Paulo; SP; Rua Agudos; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Monumento; Vila Monumento; RESIDENTIAL; 359; 242; Comprar; 2190000; 4; 2; 2; 4; 1202; 01548050; CASA EM CONDOMÍNIO FECHADO EM RUA SEM SAÍDA COM TRIPLA SEGURANÇA CONTÉM 04 DORMITÓRIOS, 02 SUÍTES, 01 MASTER, SALA DE ESTAR, SALA DE LAREIRA, SALA DE JANTAR, ÁREA GOURMET COM CHURRASQUEIRA, LAVABO, GALERIA, COPA, COZINHA, DEPÓSITO, ÁREA DE SERVIÇO, QUARTO DE EMPREGADA, WC DE EMPREGADA E 04 VAGAS INDIVIDUAIS EM GARAGEM PRIVATIVA COM PORTÃO AUTOMÁTICO ( garagem privativa fechada ).ÁREAS DE LAZER:<br><br> PISCINA COM DECK E CASCATA<br> SALA PARA FITNESS ( academia )<br> QUADRA POLIESPORTIVA COBERTA<br> QUADRA DE SQUASH<br> ÁREA AJARDINADA COM EUCALIPTOS<br> ESPAÇO DE CONVIVÊNCIA<br> SALÃO DE FESTAS COM COZINHA GOURMET -; BS:Av. Lins De Vasconcelos, 1392, BS:Av. Lins De Vasconcelos, 1729, BS:Av. Lins De Vasconcelos, 1197, BS:Av. Lacerda Franco, 1458, BS:Av. Lins De Vasconcelos, 2044, TS:Av. Lins De Vasconcelos, 1392, TS:Av. Lins De Vasconcelos, 1729, TS:Av. Lins De Vasconcelos, 1197, TS:Av. Lacerda Franco, 1458, TS:Av. Lins De Vasconcelos, 2044, CS:Primícia Pães, CS:Confeitaria Karol, CS:Santa Candida, CS:Padaria Patriopan, CS:Bolo da Madre, PH:Rede Bem Drogarias, PH:Drogaria São José do Ipiranga, PH:Farto Drogarias
2497624328; APARTMENT; UNIT; BR; São Paulo; SP; Rua Gaspar Fernandes; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Monumento; Vila Monumento; RESIDENTIAL; 100; 80; Comprar; 799000; 3; 1; 2; 3; 880; 01549000; Apartamento de 80 m², 3 dormitórios com armários embutidos (sendo 1 suíte), sala com sacada, cozinha com armários, área de serviço. O condomínio oferece: Academia, churrasqueira, segurança 24 horas, salão de festas, salão de jogos, quadra e playground. Ótima localização: Fácil acesso ao transporte público, próximo a Av Ricardo Jafet e Dom Pedro I, padaria, mercados, escolas, academia, feira livre, lanchonete e restaurantes. Com a Nova São Paulo a compra do seu imóvel é mais segura. Oferecemos assessoria gratuita em financiamento imobiliário, orientando o cliente em todo o processo de negociação. Você pode agendar sua visita ou tirar dúvidas também pelo whatsApp. Confira nossos telefones.. <br><br>. Pontos de Interesse mais Próximos: <br><br>Metrô SANTOS-IMIGRANTES a 2494m. <br>Ponto de onibus a 99m. <br>Ciclovia CICLOFAIXA NAZARE - TRECHO 1, com extensão de 607m a uma distância de 543m. <br>Escola SAO CAMILO CARDEAL MOTTA UNIDADE I (ENEM: 610.243) a 1116m. <br>Parque INDEPENDENCIA (Área: 90973m) a 1313m.; BS:R. da Independência, 1072, BS:R. da Independência, 820, BS:R. da Independência, 560, BS:Av. Lins De Vasconcelos, 1197, BS:Av. Lins De Vasconcelos, 1392, TS:R. da Independência, 1072, TS:R. da Independência, 820, TS:R. da Independência, 560, TS:Av. Lins De Vasconcelos, 1197, TS:Av. Lins De Vasconcelos, 1392, CS:Primícia Pães, CS:Confeitaria Karol, CS:Padaria Patriopan, CS:Big bread, CS:Santa Candida, PH:Rede Bem Drogarias, PH:Farto Drogarias, PH:Drogaria São José do Ipiranga
2496393298; HOME; UNIT; BR; São Paulo; SP; Travessa Buenópolis; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Monumento; Vila Monumento; RESIDENTIAL; 0; 140; Comprar; 49000; 3; 1; 4; 3; 0; 01553040; A casa está localizado no bairro Vila Monumento com 140 metros quadrados com 3 quartos sendo 1 suite e 4 banheiros 3 vagas de garagem , piscina.<br>Possui varanda.<br>Vai lhe possibilitar desfrutar de seu próprio quintal, todo o conforto do ar condicionado nos dias mais quentes.Já está com os móveis.<br>Imóvel com ótima localização !<br>Valor de entrada mais parcelas!!!; BS:R. da Independência, 1072, BS:Estação Clube Atlético Ypiranga, BS:R. da Independência, 820, BS:R. da Independência, 560, BS:Estação Alberto Lion, TS:R. da Independência, 1072, TS:Estação Clube Atlético Ypiranga, TS:R. da Independência, 820, TS:R. da Independência, 560, TS:Estação Alberto Lion, CS:Padaria Patriopan, CS:Primícia Pães, CS:Bolo da Madre, CS:Confeitaria Karol, CS:Padaria Famalicense, PH:Rede Bem Drogarias, PH:Drogaria São José do Ipiranga, PH:Farto Drogarias
2467575053; HOME; UNIT; BR; São Paulo; SP; Rua Professor Romeu Pellegrini; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Monumento; Vila Monumento; RESIDENTIAL; 0; 180; Comprar; 1150000; 2; 1; 2; 3; 0; 04261120; Imóvel lindo, excelente estado de conservação!!! Casa com 03 dormitórios sendo 01 suíte, banho social, sala 03 ambientes, lavabo, copa cozinha, lavanderia, quintal, edícula, piscina, entrada lateral, garagem para 03 carros, terreno plano. Ótima localização!!!; BS:Av. Lins De Vasconcelos, 1729, BS:Av. Lins De Vasconcelos, 2044, BS:Av. Lins De Vasconcelos, 1392, BS:Estação Clube Atlético Ypiranga, BS:Parada Cemitério Vila Mariana, TS:Av. Lins De Vasconcelos, 1729, TS:Av. Lins De Vasconcelos, 2044, TS:Av. Lins De Vasconcelos, 1392, TS:Estação Clube Atlético Ypiranga, TS:Parada Cemitério Vila Mariana, CS:Santa Candida, CS:Padaria Patriopan, CS:Bolo da Madre, CS:Primícia Pães, CS:Big Bread, PH:Rede Bem Drogarias, PH:Drogaria São José do Ipiranga
2433369381; APARTMENT; UNIT; BR; São Paulo; SP; Rua Vigário João Álvares; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Monumento; Vila Monumento; RESIDENTIAL; 0; 80; Comprar; 550000; 2; 1; 3; 3; 900; 01551040; Vila Monumento - apartamento de 80m², 3 dormitórios, sendo 1 suíte com banheira de hidromassagem e um closet , 2 vagas de garagem e lazer com piscina e sala de ginástica comuns. Apartamento reformado e decorado , cozinha americana e quarto closet com armarios planejados, área de serviço com excelente ventilação, wc empregada sendo utilizado como dispensa também, linda vista para o Museu do Ipiranga. Localização: 2min/carro dos Supermercados Hirota e Pão de Açucar; 4min/carro da Av. Lins de Vasconcelos e 5 min/pé do Museu do Ipiranga (fonte Google Maps).; BS:Estação Clube Atlético Ypiranga, BS:R. da Independência, 1072, BS:R. da Independência, 820, BS:R. da Independência, 560, BS:Av. Lins De Vasconcelos, 1197, TS:Estação Clube Atlético Ypiranga, TS:R. da Independência, 1072, TS:R. da Independência, 820, TS:R. da Independência, 560, TS:Av. Lins De Vasconcelos, 1197, CS:Primícia Pães, CS:Padaria Patriopan, CS:Confeitaria Karol, CS:Bolo da Madre, CS:Santa Candida, PH:Rede Bem Drogarias, PH:Drogaria São José do Ipiranga, PH:Farto Drogarias
2484504276; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Monumento; Vila Monumento; RESIDENTIAL; 73; 73; Comprar; 350000; 0; 1; 2; 2; 300; 04123020; <br><br>Fale conosco: -; BS:Av. Lins De Vasconcelos, 1729, BS:Av. Lins De Vasconcelos, 2044, BS:Av. Lins De Vasconcelos, 1392, BS:Parada Cemitério Vila Mariana, BS:Av. Lins De Vasconcelos, 1197, TS:Av. Lins De Vasconcelos, 1729, TS:Av. Lins De Vasconcelos, 2044, TS:Av. Lins De Vasconcelos, 1392, TS:Parada Cemitério Vila Mariana, TS:Av. Lins De Vasconcelos, 1197, CS:Santa Candida, CS:Primícia Pães, CS:Padaria Patriopan, CS:Bolo da Madre, CS:Confeitaria Karol, PH:Rede Bem Drogarias, PH:Drogaria São José do Ipiranga
2453183700; APARTMENT; UNIT; BR; São Paulo; SP; Rua Dom Mateus; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Monumento; Vila Monumento; RESIDENTIAL; 57; 57; Comprar; 345000; 1; 1; 2; 2; 596; 01548030; Apartamento de 57 m² localizado próximo ao Parque do Ipiranga, com 2 dormitórios sendo 1 suíte, sala para 2 ambientes com sanca de gesso, piso de madeira, gás encanado e uma vaga de garagem coberta. Lazer com churrasqueira, salão de festas e quadra poliesportiva. Local tranquilo com supermercados Hirota e Extra, restaurante, escolas e butiques. Condução à porta para Metrô Vila Mariana. Acesso fácil às Vias Imigrantes e Anchieta. Com a Nova São Paulo a compra do seu imóvel é mais segura. Oferecemos assessoria gratuita em financiamento imobiliário, orientando o cliente em todo o processo de negociação. Você pode agendar sua visita ou tirar dúvidas também pelo whatsApp. Confira nossos telefones.; BS:R. da Independência, 1072, BS:R. da Independência, 820, BS:Av. Lins De Vasconcelos, 1197, BS:R. da Independência, 560, BS:Av. Lins De Vasconcelos, 1392, TS:R. da Independência, 1072, TS:R. da Independência, 820, TS:Av. Lins De Vasconcelos, 1197, TS:R. da Independência, 560, TS:Av. Lins De Vasconcelos, 1392, CS:Primícia Pães, CS:Confeitaria Karol, CS:Santa Candida, CS:Big bread, CS:Padaria Patriopan, PH:Rede Bem Drogarias, PH:Farto Drogarias, PH:Drogaria São José do Ipiranga
2498684579; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Monumento; Vila Monumento; RESIDENTIAL; 67; 67; Comprar; 330000; 1; 1; 2; 2; 596; 01548030; Apartamento com 2 dormitórios à venda, 67 m² por R$ 330.000 - Vila Monumento - São Paulo/SP<br>Apartamento no bairro Vila Monumento com 2 quartos e 2 banheiros, sala, cozinha com gabinete de pia e armários, área de serviço e 1 vaga de garagem coberta. Fica a alguns minutos de restaurantes, transporte coletivo, universidades, farmácias, padarias, hospitais e escolas. Próximo ao Museu e a dois supermercados.<br>O condomínio possui dois salões de festa com churrasqueira, e duas quadras. No prédio, há mais um salão de festas. Segurança 24h... -; BS:R. da Independência, 1072, BS:R. da Independência, 820, BS:R. da Independência, 560, BS:Av. Lins De Vasconcelos, 1197, BS:Av. Lins De Vasconcelos, 1392, TS:R. da Independência, 1072, TS:R. da Independência, 820, TS:R. da Independência, 560, TS:Av. Lins De Vasconcelos, 1197, TS:Av. Lins De Vasconcelos, 1392, CS:Primícia Pães, CS:Confeitaria Karol, CS:Santa Candida, CS:Padaria Patriopan, CS:Big bread, PH:Rede Bem Drogarias, PH:Farto Drogarias, PH:Drogaria São José do Ipiranga
2435712912; HOME; UNIT; BR; São Paulo; SP; Rua Engenheiro Prudente; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Monumento; Vila Monumento; RESIDENTIAL; 0; 250; Comprar; 1000000; 2; 2; 5; 3; 0; 01550000; Casa grande, com ampla cozinha e quintal. Bem arejada e iluminada. Possui 3 quartos sendo 2 suítes. Armários embutidos 1 lavabo e mais um banheiro completo e um sótão Edícula com banheiro e dependência de empregada Churrasqueira Ótima localização a 15 min do centro e prox rod imigrantes Fica próximo aos mercados Pão de Açúcar e hirota. da padaria. Banco Itaú a algumas quadras e prox a Lins de Vasconcelos; BS:R. da Independência, 820, BS:R. da Independência, 1072, BS:R. da Independência, 560, BS:Av. Lins De Vasconcelos, 721, BS:Av. Lins De Vasconcelos, 1197, TS:R. da Independência, 820, TS:R. da Independência, 1072, TS:R. da Independência, 560, TS:Av. Lins De Vasconcelos, 721, TS:Av. Lins De Vasconcelos, 1197, CS:Primícia Pães, CS:Confeitaria Karol, CS:Big bread, CS:Padaria Famalicense, CS:Padaria Fluminense, PH:Rede Bem Drogarias, PH:Farto Drogarias, PH:Drogaria São José do Ipiranga
