IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2498884503; APARTMENT; UNIT; BR; São Paulo; SP; Rua Vinte e Dois de Agosto; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Nova Cachoeirinha; Vila Nova Cachoeirinha; RESIDENTIAL; 48; 48; Comprar; 265000; 1; 0; 1; 2; 280; 02617000; Apartamento 48 m², 2 dormitórios, 1 banheiro, com 1 vaga de garagem solta,andar alto, sol da manhã, sacada de frente para área de lazer, piso porcelanato, sala com parede de gesso estilo pedrinhas, com sanca e cortineiro, quarto casal com armário embutido, cozinha e área de serviço com móveis planejados. Área de lazer completa, piscina adulto e infantil, dois salões de festa, sala de jogos, duas quadras, duas churrasqueiras, duas academias, playground e bastante área verde.<br><br>Ligue e agende uma visita! (CA) -; BS:Ponto final 1745-10, BS:Terminal Cachoeirinha, BS:Avenida Direitos Humanos, TS:Avenida Doutor Francisco Ranieri 749, TS:Avenida Direitos Humanos, CS:Pães e Doces Arouquense, CS:Padaria Nova suzana, CS:Bettos, CS:Mercadao de carnes, CS:Algarve Padaria, PH:Bi Farma, PH:Drogaria Sao paulo, PH:Maqui Popular
2487254635; APARTMENT; UNIT; BR; São Paulo; SP; Rua Joaquina Maria dos Santos; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Nova Cachoeirinha; Vila Nova Cachoeirinha; RESIDENTIAL; 68; 68; Comprar; 350000; 2; 1; 2; 3; 420; 02860110; APARTAMENTO A VENDA NA VILA NOVA CACHOEIRINHA, 3 DORMITÓRIOS, 1 SUITE. 2 VAGAS DE GARAGEM. LAZER COMPLETO COM CHURRASQUEIRA, PISCINA, FITNESS. LOCALIZADO A 600 M DA AV. INAJAR DE SOUZA, 450 M DA PADARIA CHARLES POTEL, 1,7 KM DO MERCADO KANASHIRO.<br>68 m², 3 dormitórios sendo 1 suíte. Sala com 2 ambientes, sala de jantar e tv integrada ao terraço gourmet com ponto grill. 2 banheiros com ventilação e iluminação natural. Cozinha americana com bastante espaço para armários + área de serviço reservada.<br>Com direito a 2 vagas de garagem + deposito.<br>Lazer completo com: brinquedoteca, churrasqueira com forno de pizza, piscina adulto e infantil, solarium, playground, quadra recreativa, espaço teen, lan house, fitness, salão de festas, salão de jogos.<br>Localizado a 450 m da Padaria Charles Potel, 600 m da Av. Inajar de Souza, 4,9 km do Extra Freguesia do Ó, 1,7 km do Mercado Kanashiro, 900 m da Av. Imirim. Região com infraestrutura completa, incluindo rede bancária, restaurantes, supermercados, farmácias, escolas etc.<br><br>As informações estão sujeitas a alterações. Consulte o corretor responsável. Fotos ilustrativas.<br><br>MONTREAL BUSINESS<br>CRECI - 30023 J -; BS:Terminal Cachoeirinha, BS:Ponto final 1745-10, PH:Bi Farma, CH:Clínica Fares, SC:Sarina Tattoo, SC:Lojão da Vila, SC:Dia-a-Dia, SC:Besni, SC:Ks
2445123708; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Deputado Emílio Carlos; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Nova Cachoeirinha; Vila Nova Cachoeirinha; RESIDENTIAL; 48; 48; Comprar; 320000; 1; 0; 0; 2; 0; 02721200; Limão - Lindo apartamento, 2 dormitórios mobiliado com armários embutidos, sala para 2 ambientes com sacada, cozinha planejada, aquecimento a gás, condomínio com academia, playground, quadra, churrasqueira, salão de festas, segurança total, 1 vaga de garagem fácil acesso as Marginais. Agende sua visita!; BS:Terminal Cachoeirinha, BS:Ponto final 1745-10, CS:Bettos, CS:Padaria Nova suzana, CS:Mercadao de carnes, CS:Bella Floresta, PH:Bi Farma, PH:Drogaria Sao paulo, PH:Droga Mina, PH:Maqui Popular, PH:Promofarma, CH:Clínica Fares
2429040909; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Parada Pinto; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Nova Cachoeirinha; Vila Nova Cachoeirinha; RESIDENTIAL; 0; 62; Comprar; 265000; 1; 0; 1; 2; 465; 02611001; Oportunidade !!! Horto Florestal. Apartamento reformado recentemente, possui porcelanato em todos os ambientes e móveis planejados em excelente estado. São 2 dormitórios, 1 banheiro, sala com 2 ambientes, cozinha e lavanderia, localizado no quinto andar. Apto com uma vaga de Garagem. O prédio conta com Salão de festas, e no condomínio são 2 quadras esportivas, salão de jogos, pista de skate e 4 parquinhos para crianças muito bem cuidado e arborizado. Venda Direto com o Proprietário.; BS:Ponto final 1745-10, BS:Terminal Cachoeirinha, CS:Padaria Nova suzana, CS:Bettos, CS:Mercadao de carnes, CS:Pães e Doces Arouquense, PH:Bi Farma, PH:Drogaria Sao paulo, PH:Maqui Popular, PH:Promofarma, CH:Clínica Fares
2498438517; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Parada Pinto; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Nova Cachoeirinha; Vila Nova Cachoeirinha; RESIDENTIAL; 55; 55; Alugar/Comprar; 1450; 1; 0; 2; 2; 393; 02611001; Apartamento novo com 02 dormitórios, com lavabo, condomínio com piscina,, churrasqueira, próximo comércio local, escola, transporte na porta, ao lado do shopping e supermercado Andorinha, e da Av Conselheiro Moreira de Barros; BS:Ponto final 1745-10, BS:Avenida Direitos Humanos, BS:Avenida Doutor Francisco Ranieri 532, BS:Terminal Cachoeirinha, BS:Avenida Doutor Francisco Ranieri 255, TS:Avenida Doutor Francisco Ranieri 749, TS:Avenida Direitos Humanos, TS:Avenida Doutor Francisco Ranieri 532, TS:Avenida Doutor Francisco Ranieri 255, TS:Avenida Doutor Francisco Ranieri 202, CS:Pães e Doces Arouquense, CS:Padaria Nova suzana, CS:Bettos, CS:Mercadao de carnes, CS:Algarve Padaria, PH:Bi Farma, PH:Drogaria Sao paulo, PH:Maqui Popular, PH:Leda Farma
2497578001; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Parada Pinto; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Nova Cachoeirinha; Vila Nova Cachoeirinha; RESIDENTIAL; 67; 67; Comprar; 479000; 2; 1; 2; 3; 650; 02611001; O apartamento está localizado no bairro Vila Nova Cachoeirinha possui 67 metros quadrados com 3 quartos sendo 1 suite e 2 banheiros<br>Possui área de fitness, área de recreação infantil, salão de festas.Está em um condomínio protegido por grades.<br>Já está com os móveis.; BS:Avenida do Guacá 1057, BS:Avenida do Guacá 1060, BS:Avenida do Guacá 777, BS:Avenida Direitos Humanos, BS:Avenida do Guacá 589, TS:Avenida do Guacá 1057, TS:Avenida do Guacá 1060, TS:Avenida do Guacá 777, TS:Avenida Doutor Francisco Ranieri 749, TS:Avenida Direitos Humanos, CS:Algarve Padaria, CS:D'art Pães e Doces, CS:Pães e Doces Arouquense, PH:Droga Verde
2480148809; APARTMENT; UNIT; BR; São Paulo; SP; Rua Nicolau Tolentino de Almeida; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Nova Cachoeirinha; Vila Nova Cachoeirinha; RESIDENTIAL; 0; 52; Comprar; 235000; 1; 0; 1; 2; 450; 02671020; Apartamento com 02 quartos (piso laminado); 1 Banheiro (com box de vidro e piso frio); Sala de estar e jantar (piso laminado e SANCA); Área de serviço (piso frio); Cozinha ampla com ótima ventilação (piso frio); Área de serviço; 01 Vaga de garagem. Condomínio com 2 salões de festas, quadra poliesportiva e playground.; BS:Ponto final 1745-10, BS:Terminal Cachoeirinha, CS:Padaria Nova suzana, CS:Bettos, CS:Mercadao de carnes, CS:Pães e Doces Arouquense, PH:Bi Farma, PH:Drogaria Sao paulo, PH:Maqui Popular, CH:Clínica Fares
2499249596; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Parada Pinto; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Nova Cachoeirinha; Vila Nova Cachoeirinha; RESIDENTIAL; 60; 50; Comprar; 295000; 1; 0; 1; 2; 555; 02611900; Apartamento no Vitória Régia II, Bloco II, ao lado da portaria e <br>muito próximo da Avenida Parada Pinto.<br>9º andar com vista para serra e muito verde. <br>Contém: sala para 2 ambientes, 2 dormitórios com armários, banheiro social completo, cozinha planejada, área de serviço.<br>1 vaga para auto demarcada<br>Lazer com salão de festas, quadra poliesportiva, churrasqueira, academia ao ar livre, portaria 24 horas<br>Contato e visitas com corretor Makoto, creci 126498.<br>Tel. Tim WhatsApp.<br>Tel. Vivo.; BS:Avenida do Guacá 1057, BS:Avenida do Guacá 1060, BS:Avenida do Guacá 777, BS:Avenida Direitos Humanos, BS:Avenida do Guacá 589, TS:Avenida do Guacá 1057, TS:Avenida do Guacá 1060, TS:Avenida do Guacá 777, TS:Avenida Doutor Francisco Ranieri 749, TS:Avenida Direitos Humanos, CS:Algarve Padaria, CS:D'art Pães e Doces, CS:Pães e Doces Arouquense, PH:Droga Verde, PH:Leda Farma
2491461999; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Parada Pinto; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Nova Cachoeirinha; Vila Nova Cachoeirinha; RESIDENTIAL; 70; 70; Alugar/Comprar; 2600; 2; 1; 2; 3; 770; 02611001; Ótimo apartamento próximo ao horto florestal com 3 dormitórios sendo 1 suite, todos os dormitórios com armários planejados, sala para 2 ambientes bem decorada, cozinha ampla com armários planejados, lavanderia e 2 vagas. Condomínio completo, com churrasqueira, piscina, academia, quadra. brinquedoteca. Localização excelente. Agende sua visita. - Ref.: 169-IM394199; BS:Avenida do Guacá 1057, BS:Avenida do Guacá 1060, BS:Avenida do Guacá 777, BS:Avenida Direitos Humanos, BS:Avenida do Guacá 589, TS:Avenida do Guacá 1057, TS:Avenida do Guacá 1060, TS:Avenida do Guacá 777, TS:Avenida Doutor Francisco Ranieri 749, TS:Avenida Direitos Humanos, CS:Algarve Padaria, CS:D'art Pães e Doces, CS:Pães e Doces Arouquense, PH:Droga Verde
2498979671; HOME; UNIT; BR; São Paulo; SP; Rua Joaquim Alves Torres; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Nova Cachoeirinha; Vila Nova Cachoeirinha; RESIDENTIAL; 152; 152; Comprar; 580000; 2; 1; 3; 4; 0; 02612190; O caminho mais prático, transparente e seguro até o imóvel dos seus sonhos! Agende agora uma visita pelo nosso site buscando pelo código do imóvel.<br>CÓDIGO DO IMÓVEL: <br><br>Próximo a comércio, bancos,mercados,farmacias,escolas<br>Aceitamos propostas.<br><br>- Valor de venda:<br>- Condomínio: 580000<br>- IPTU: 0<br><br>O QuintoAndar é uma startup de tecnologia que revolucionou o jeito de alugar e comprar imóveis: rápido, fácil, online, sem fiador e o melhor, sem burocracia. Saiba mais no nosso site. CRECI-SP J24.344; BS:Ponto final 1745-10, BS:Terminal Cachoeirinha, BS:Avenida Direitos Humanos, BS:Avenida Doutor Francisco Ranieri 532, TS:Avenida Doutor Francisco Ranieri 749, TS:Avenida Direitos Humanos, TS:Avenida Doutor Francisco Ranieri 532, CS:Padaria Nova suzana, CS:Bettos, CS:Mercadao de carnes, CS:Pães e Doces Arouquense, PH:Bi Farma, PH:Drogaria Sao paulo, PH:Maqui Popular, PH:Leda Farma
