IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2434600094; APARTMENT; UNIT; BR; São Paulo; SP; Rua Lucinda Gomes Barreto; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Nova Manchester; Vila Nova Manchester; RESIDENTIAL; 104; 64; Comprar; 320000; 1; 1; 2; 3; 770; 03440040; $$$Oportunidade$$$Vendo apartamento de 64m, no Condomínio Morada do Sol, rua Lucinda Gomes Barreto, 264 - Vila Carrão, há 200 mts da Av. Conselheiro Carrão, ha 400 mts dà futura estação de Metrô na Av. Guilherme Giorgi. Próximo à padaria, supermercados, bancos, lotéricas e toda infra estrutura. Prédio com pintura nova, piscina adulto e infantil, salão de festas, churrasqueira, portaria 24 hs. $$$OPORTUNIDADE$$$ SOMENTE À VISTA; BS:Penha, BS:Parada Bendiapá, BS:Parada Ferreira França, BS:Ac. Metrô Vila Matilde, TS:Parada Bendiapá, TS:Parada Ferreira França, TS:Vila Matilde, CS:Padaria Paulista, CS:Frigo Central, CS:Padaria Marengo, CS:Manuella Padaria, CS:Padaria CERET, PH:Droganetto, PH:Drogaria Mais Formosa, PH:Farmelhor, PH:Farmatrix
2492764664; APARTMENT; UNIT; BR; São Paulo; SP; Rua Astarte; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Nova Manchester; Vila Nova Manchester; RESIDENTIAL; 63; 60; Comprar; 300000; 1; 0; 1; 2; 629; 03446090; Apartamento de 60 m² com 02 (dois) dormitórios, cozinha com armário, sala de estar e jantar com varanda, banheiro social, área de serviço e 01 (uma) vaga de garagem coberta (Tamanho G).<br><br>Lazer: Piscina, academia, salão de festas, churrasqueira, e portaria 24 horas.<br><br>Este apartamento é bom para quem procura conforto e comodidade, pois está situado em rua tranquila. Ele é bem iluminado, arejado, com vista ampla. O condomínio é bem equipado com diversas instalações, apropriado para quem busca lazer completo sem sair de casa.<br><br>Informações ligue para Assunção Imóveis , ou se preferir encaminhe whatsapp para 11 9 9 9 3 0 5 0 1 6; BS:Terminal Vila Carrao, TS:Terminal Vila Carrao, CS:Padaria Paulista, PH:Drogaria Mais Formosa, PH:Droganetto
2497950800; CONDOMINIUM; UNIT; BR; São Paulo; SP; Rua Tiúba; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Nova Manchester; Vila Nova Manchester; RESIDENTIAL; 160; 160; Comprar; 590000; 3; 1; 3; 3; 0; 03443015; SOBRADO AMPLO COM 03DORMITORIOS,SUITES,SALA, COZINHA BANHEIRO E LAVANDERIA. AREA DE LAZER NO TERRAÇO,PARTE DE CIMA!! ULTIMA UNIDADE !!! Aceita financiamento! - Data da Atualização:; BS:Penha, BS:Ac. Metrô Vila Matilde, BS:Terminal Metrô Vila Matilde, 0, TS:Vila Matilde, CS:Padaria Paulista, PH:Droganetto, PH:Drogaria Mais Formosa
2218865567; APARTMENT; UNIT; BR; São Paulo; SP; Rua Lucinda Gomes Barreto; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Nova Manchester; Vila Nova Manchester; RESIDENTIAL; 67; 67; Comprar; 425000; 1; 1; 2; 3; 650; 03440040; Apartamento á venda na Vila Manchester com sessenta e sete metros quadrados todo em porcelanato, conta com três dormitórios sendo uma suíte, living para dois ambientes com sanca de gesso e com sacada, cozinha com armários planejados, área de serviço. Uma vaga de garagem. Condomínio com piscina adulto e infantil , playground, salão de festas com churrasqueira. -; BS:Penha, BS:Parada Bendiapá, BS:Parada Ferreira França, BS:Ac. Metrô Vila Matilde, BS:Terminal Metrô Vila Matilde, 0, TS:Parada Bendiapá, TS:Parada Ferreira França, TS:Vila Matilde, CS:Padaria Paulista, CS:Frigo Central, CS:Padaria Marengo, CS:Manuella Padaria, PH:Droganetto, PH:Drogaria Mais Formosa, PH:Farmatrix, PH:Farmelhor
2490987991; APARTMENT; UNIT; BR; São Paulo; SP; Rua Lucinda Gomes Barreto; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Nova Manchester; Vila Nova Manchester; RESIDENTIAL; 75; 75; Comprar; 620000; 2; 1; 1; 3; 600; 03440040; Excelente Apartamento, numa das melhores ruas do bairro, impecável, acabamento diferenciado, pronto para morar.<br> <br>Ótima localização, Lazer Completo.<br><br>Consulte-nos para maiores informações:<br><br>(11) 98551_2000 Dercio<br>Tatuape_imoveis<br><br>; BS:Penha, BS:Parada Ferreira França, BS:Parada Bendiapá, BS:Ac. Metrô Vila Matilde, BS:Terminal Metrô Vila Matilde, 0, TS:Parada Ferreira França, TS:Parada Bendiapá, TS:Vila Matilde, CS:Padaria Paulista, PH:Droganetto, PH:Drogaria Mais Formosa, PH:Farmatrix, PH:Farmelhor
87612511; CONDOMINIUM; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Nova Manchester; Vila Nova Manchester; RESIDENTIAL; 800; 172; Comprar; 600000; 2; 1; 3; 3; 0; 03443015; Excelente Sobrado em Condomínio Fechado Com 3 Dormitórios ( Uma Suíte com Sacada ), Sala 2 Ambientes, Lavabo, Área de Serviços, Banheiro Social, Quintal Pequeno, Escada em Granito, Com Excelente Acabamento. Parte de Cima: Terraço Gourmet com Churrasqueira e Banheiro /Garagem Coberta para 2 Autos. Aceitamos Financiamento!!! M 3/10 -; BS:Penha, BS:Ac. Metrô Vila Matilde, BS:Terminal Metrô Vila Matilde, 0, TS:Vila Matilde, CS:Padaria Paulista, PH:Droganetto, PH:Drogaria Mais Formosa
2459530548; HOME; UNIT; BR; São Paulo; SP; Rua Gaspar de Lemos; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Nova Manchester; Vila Nova Manchester; RESIDENTIAL; 191; 191; Comprar; 700000; 2; 1; 3; 3; 0; 03443040; Amplo sobrado<br><br>3 dormitórios sendo 1 suíte. Sala. Lavabo. Copa. Cozinha. Banheiro social. Lavanderia. Dependência de empregada com banheiro. Despensa. Quintal. Corredor lateral. Jardim. Churrasqueira. Edícula. 2 vagas de garagem. <br><br>Ficam armários planejados.; BS:Penha, BS:Ac. Metrô Vila Matilde, BS:Terminal Metrô Vila Matilde, 0, BS:Parada Bendiapá, BS:Parada Ferreira França, TS:Vila Matilde, TS:Parada Bendiapá, TS:Parada Ferreira França, CS:Padaria Paulista, PH:Droganetto, PH:Drogaria Mais Formosa, PH:Farmelhor, PH:Farmatrix
1893335476; APARTMENT; UNIT; BR; São Paulo; SP; Rua São Felipe; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Nova Manchester; Vila Nova Manchester; RESIDENTIAL; 85; 85; Comprar; 600000; 2; 2; 3; 2; 620; 03085010; Olá, sou o apartamento que você está procurando. Venda direto da construtora. Entre em contato e faremos a melhor condição comercial.<br>Sucesso comprovado, alto padrão, torre única, 2 e 3 dormitórios com opção de 01 suíte(66 m²) ou 02 suítes(85 m²), ambos com varanda espaçosa equipada com churrasqueira, cozinha planejada e área de serviço.<br>Venha visitar o nosso decorado, tenho certeza que esse é o apartamento ideal para você e sua família.<br>O VERIZ CLUB HOME está localizado na região com o maior potencial de valorização do bairro. Um ótimo investimento para quem quer morar em um verdadeiro clube residencial com mais de 5.200 m² de terreno.<br>Aqui você encontrará conforto, lazer, segurança e economia.<br><br>Está próximo das melhores padarias, escolas, supermercados, farmácias, hospitais e shoppings da região. <br>Isso para lhe proporcionar conforto e facilidade na realização das tarefas do dia-a-dia.<br><br>Você precisa vir conhecer.<br>São as últimas unidades direto com a construtora.<br>Solicite a sua visita agora e não perca essa oportunidade.<br>Você e sua família merecem esse presente.<br><br>A validade desse valor é somente até esse final de semana.; BS:Parada Parque Piqueri, BS:Bus 257/299 to Aeroporto, BS:Terminal Aricanduva, BS:Parada Andarai Norte, TS:Carrão, TS:Parada Parque Piqueri, TS:Tatuapé, TS:Terminal Aricanduva, TS:Parada Andarai Norte, CS:Benfica, CS:Bella Tuiuti Pães e Bolos, CS:Mercadinho Happy Familia, CS:Dona Izulina, CS:Swift, PH:Neo Farma  Manipulação, PH:Neo Farma Manipulação
2478925303; HOME; UNIT; BR; São Paulo; SP; Rua Tiubá; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Nova Manchester; Vila Nova Manchester; RESIDENTIAL; 150; 150; Comprar; 590000; 3; 1; 2; 3; 120; 03443015; Excelente sobrado em condomínio com 3 dormitórios, 1 suíte, terraço gourmet e 3 vagas cobertas. Sala para dois ambientes com lavabo, cozinha ampla, iluminada e bem arejada com área de serviço espaçosa. No piso superior, 3 dormitórios, sendo 1 deles com suíte e sacada mais banheiro social. No último piso, amplo terraço privativo, com churrasqueira e lavabo. Perfeito para reuniões em família. Casa pronta para morar, toda em porcelanato. Privacidade total, 3 vagas de garagem que saem dentro da casa. Ótima localização, com fácil acesso às principais vias como Av. Aricanduva, Conselheiro Carrão. 15 minutos da estação de metrô Penha; BS:Ac. Metrô Vila Matilde, BS:Penha, BS:Terminal Metrô Vila Matilde, 0, TS:Vila Matilde, CS:Padaria Paulista, PH:Droganetto, PH:Drogaria Mais Formosa
2476643863; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua Gaspar de Lemos; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Nova Manchester; Vila Nova Manchester; RESIDENTIAL; 600; 80; Comprar; 500000; 1; 2; 3; 2; 0; 03443040; ESTE É O IMÓVEL QUE VOCÊ SEMPRE SONHOU!!! Sobrados em construção - com a entrega prevista para outubro 2020. O imóvel está muito bem localizado em um ótimo bairro da Vila Carrão, onde se concentra próximo Ao imóvel , cerca de uns 1500 metros um vasto e forte comércio da avenida Conselheiro Carrão, onde temos Padarias, Lojas de roupa e Calçados, Açougues, Docerias, Bancos, Praças, Delegacia 31º e com fácil acesso para a Radial Leste, Avenida Aricanduva e ao Terminal Ônibus Vila Carrão. Agende uma visita e venha conferir!!! ** Os dados deste imóvel são fornecidos pelo proprietário e estão sujeitos a alteração. Por gentileza, solicite confirmação das informações com os nossos corretores.; BS:Ac. Metrô Vila Matilde, BS:Penha, BS:Terminal Metrô Vila Matilde, 0, BS:Terminal Vila Carrao, TS:Vila Matilde, TS:Terminal Vila Carrao, CS:Padaria Paulista, PH:Droganetto, PH:Drogaria Mais Formosa
