IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2448830412; APARTMENT; UNIT; BR; São Paulo; SP; Rua Silva Coutinho; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Oratorio; Vila Oratório; RESIDENTIAL; 87; 87; Comprar; 399000; 1; 0; 2; 2; 798; 03192070; Excelente oportunidade para você e sua família. <br><br>Localizado em excelente região da Mooca está situado este lindo apartamento; distribuído em 87m², com 2 dormitórios, 2 banheiros, quarto e banheiro de empregada, uma linda sala espaçosa 2 ambientes, cozinha muito bem distribuída com um amplo espaço, lavanderia grande e arejada. <br><br>Pronto para morar, apartamento em excelente estado com localização privilegiada em tranquila rua da Moóca. Vaga fixa para carro, prédio com academia completa, salão de festas, churrasqueira, playground e quadra. Próximo aos mais importantes hospitais da região, com farmácias e supermercados de fácil acesso. IMPERDÍVEL! -; BS:Parada Juventus, BS:Parada São Cristóvão, BS:Parada São Cristovão, BS:Parada Bixira, BS:Avenida Sapopemba 1728, TS:Parada Juventus, TS:Parada São Cristovão, TS:Parada Bixira, TS:Avenida Sapopemba 1728, TS:Parada Chamantá, CS:Natural da Praça, CS:Center J, CS:Padaria Maria Luiza, CS:Emporium MR, CS:Bella Regente, PH:Drogaria Itamonte, PH:Drogaria Moretti
2499145108; HOME; UNIT; BR; São Paulo; SP; Rua São Pompônio; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Oratorio; Vila Oratório; RESIDENTIAL; 0; 140; Comprar; 430000; 3; 1; 2; 2; 0; 03189210; A casa térrea na Vila Oratório, possui 140 metros quadrados.<br>São dois dormitórios, (sendo 01 suíte), sala para dois ambientes, banheiro, cozinha, área de serviço e quintal.<br>Oportunidade incrível, agende sua visita !; BS:Avenida Sapopemba 1728, BS:Avenida Sapopemba 1635, BS:Avenida Sapopemba 1444, BS:Avenida Sapopemba 1952, BS:Avenida Sapopemba 1323, TS:Avenida Sapopemba 1728, TS:Avenida Sapopemba 1635, TS:Avenida Sapopemba 1444, TS:Avenida Sapopemba 1952, TS:Avenida Sapopemba 1323, CS:Bella Regente, CS:Casa de Carnes Vale do Douro, CS:Natural da Praça, CS:Center J, CS:Padaria Maria Luiza, PH:Drogaria Itamonte, PH:Drogaria Moretti
2499329944; HOME; UNIT; BR; São Paulo; SP; Rua São Pompônio; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Oratorio; Vila Oratório; RESIDENTIAL; 140; 140; Comprar; 455000; 3; 1; 2; 2; 0; 03189210; Sobrado bem localizado.<br>Possui 2 dormitórios, sendo 1 suíte, sala, cozinha, 2 banheiros e 3 vagas.<br>"Valores sujeitos a alteração sem prévio aviso, podem sofrer alteração sem nosso conhecimento.<br>Sujeito a confirmação de disponibilidade."<br><br>BEG Imóveis atendimento com qualidade e rapidez! -; BS:Avenida Sapopemba 1728, BS:Avenida Sapopemba 1635, BS:Avenida Sapopemba 1444, BS:Avenida Sapopemba 1952, BS:Avenida Sapopemba 1323, TS:Avenida Sapopemba 1728, TS:Avenida Sapopemba 1635, TS:Avenida Sapopemba 1444, TS:Avenida Sapopemba 1952, TS:Avenida Sapopemba 1323, CS:Bella Regente, CS:Casa de Carnes Vale do Douro, CS:Natural da Praça, CS:Center J, CS:Padaria Maria Luiza, PH:Drogaria Itamonte, PH:Drogaria Moretti
2443818999; APARTMENT; UNIT; BR; São Paulo; SP; Rua Silva Coutinho; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Oratorio; Vila Oratório; RESIDENTIAL; 86; 86; Comprar; 450000; 1; 0; 2; 2; 799; 03192070; Apartamento com dois quartos, sala para dois ambientes, cozinha e dependência de empregada recentemente reformado. uma vaga de garagem. Todos os ambientes com piso Laminado <br><br>Condomínio conta com Churrasqueira, Playground, Redário, Academia, Salão de Festa, Câmeras de e monitoramento de segurança, Porteiro e portão Eletrônico. <br><br>Excelente localização, fácil acesso as principais vias da região. <br><br>Condições <br>A Vista <br>Entrada + Financiamento <br><br>Acesse: www.lopesfracao.com.br e confira as nossas ofertas -; BS:Parada Juventus, BS:Parada São Cristóvão, BS:Parada São Cristovão, BS:Parada Bixira, BS:Avenida Sapopemba 1728, TS:Parada Juventus, TS:Parada São Cristovão, TS:Parada Bixira, TS:Avenida Sapopemba 1728, TS:Parada Chamantá, CS:Natural da Praça, CS:Center J, CS:Padaria Maria Luiza, CS:Emporium MR, CS:Bella Regente, PH:Drogaria Itamonte, PH:Drogaria Moretti
2496449846; APARTMENT; UNIT; BR; São Paulo; SP; Rua Corumbaiba; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Oratorio; Vila Oratório; RESIDENTIAL; 68; 68; Alugar/Comprar; 2200; 2; 1; 2; 2; 500; 03189010; Apartamento com 2 dormitórios, 1 suíte, 2 vagas. Boa localização com fácil acesso a Avenida Salim Maluf. REF. AF22206<br>* As informações e valores anunciados foram fornecidos pelo proprietário do imóvel e poderão ser alterados sem prévio aviso.; BS:Avenida Sapopemba 1728, BS:Avenida Sapopemba 1635, BS:Avenida Sapopemba 1444, BS:Avenida Sapopemba 1323, BS:Rua Almirante Alexandrino 480, TS:Avenida Sapopemba 1728, TS:Avenida Sapopemba 1635, TS:Avenida Sapopemba 1444, TS:Avenida Sapopemba 1323, TS:Rua Almirante Alexandrino 480, CS:Bella Regente, CS:Casa de Carnes Vale do Douro, CS:Big Pão Panif. e Confeitaria, CS:Center J, CS:Natural da Praça, PH:Drogaria Moretti, PH:Drogaria Itamonte
2467213302; HOME; UNIT; BR; São Paulo; SP; Rua Clemente Bonifácio; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Oratorio; Vila Oratório; RESIDENTIAL; 53; 55; Comprar; 275000; 0; 0; 1; 2; 0; 03192010; Sobrado sem vaga contendo 2 dormitórios, sala, cozinha planejada, wc social, quintal e lavanderia. (Boa localização) -; BS:Parada São Cristóvão, BS:Parada São Cristovão, BS:Parada Juventus, BS:Avenida Sapopemba 1728, BS:Avenida Sapopemba 1635, TS:Parada São Cristovão, TS:Parada Juventus, TS:Avenida Sapopemba 1728, TS:Avenida Sapopemba 1635, TS:Avenida Sapopemba 1444, CS:Bella Regente, CS:Natural da Praça, CS:Padaria Maria Luiza, CS:Center J, CS:Emporium MR, PH:Drogaria Itamonte, PH:Drogaria Moretti
2496759312; APARTMENT; UNIT; BR; São Paulo; SP; Rua Corumbaiba; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Oratorio; Vila Oratório; RESIDENTIAL; 68; 68; Comprar; 580000; 2; 1; 2; 3; 450; 03189010; Lindo apartamento mooca - 03 Dormitórios armários planejados, cozinha planejada, sala ampliada, podendo reverter o 3º dormitório, andar alto, ampla sacada gourmet, 02 vaas de garagem, condomínio baixo, lazer completo, excelente localização.; BS:Avenida Sapopemba 1728, BS:Avenida Sapopemba 1635, BS:Avenida Sapopemba 1444, BS:Avenida Sapopemba 1323, BS:Rua Almirante Alexandrino 480, TS:Avenida Sapopemba 1728, TS:Avenida Sapopemba 1635, TS:Avenida Sapopemba 1444, TS:Avenida Sapopemba 1323, TS:Avenida Sapopemba 1952, CS:Bella Regente, CS:Casa de Carnes Vale do Douro, CS:Big Pão Panif. e Confeitaria, CS:Center J, CS:Natural da Praça, PH:Drogaria Moretti, PH:Drogaria Itamonte
2499292676; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Oratorio; Vila Oratório; RESIDENTIAL; 140; 140; Comprar; 460000; 0; 1; 2; 2; 0; 03189210; Ampla casa térrea com 2 dormitórios sendo 1 suíte, sala, cozinha, ws, lavanderia, quarto de empregada e 3 vagas -; BS:Avenida Sapopemba 1728, BS:Avenida Sapopemba 1635, BS:Avenida Sapopemba 1444, BS:Avenida Sapopemba 1952, BS:Avenida Sapopemba 1323, TS:Avenida Sapopemba 1728, TS:Avenida Sapopemba 1635, TS:Avenida Sapopemba 1444, TS:Avenida Sapopemba 1952, TS:Avenida Sapopemba 1323, CS:Bella Regente, CS:Casa de Carnes Vale do Douro, CS:Natural da Praça, CS:Center J, CS:Padaria Maria Luiza, PH:Drogaria Itamonte, PH:Drogaria Moretti
2240835517; HOME; UNIT; BR; São Paulo; SP; Rua Tambiú; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Oratorio; Vila Oratório; RESIDENTIAL; 100; 130; Comprar; 730000; 2; 3; 4; 3; 0; 03192090; *** IMOVEL NUNCA HABITADO, OTIMA LOCALIZACAO ***<br><br>* TRES DORMITORIOS COM 3 SUITES<br><br>* SALA INTIMA E AMPLA SALA COM DOIS AMBIENTES COM ESCADA EM MARMORE* <br>* COZINHA COM COPA *<br><br>* BANHEIRO, LAVABO *<br><br>* LAVANDERIA SUPER ESPACOSA *<br><br>* QUINTAL EXCELENTE *<br><br>* GARAGEM PARA DOIS CARROS * -; BS:Parada Juventus, BS:Parada São Cristóvão, BS:Parada São Cristovão, BS:Avenida Sapopemba 1728, BS:Avenida Sapopemba 1952, TS:Parada Juventus, TS:Parada São Cristovão, TS:Avenida Sapopemba 1728, TS:Avenida Sapopemba 1635, TS:Avenida Sapopemba 1952, CS:Natural da Praça, CS:Center J, CS:Emporium MR, CS:Bella Regente, CS:Padaria Maria Luiza, PH:Drogaria Itamonte, PH:Drogaria Moretti, PH:Droga Leste
2461487264; APARTMENT; UNIT; BR; São Paulo; SP; Rua Darnilo Martins Pereira; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Oratorio; Vila Oratório; RESIDENTIAL; 94; 94; Comprar; 770000; 2; 2; 3; 2; 700; 03189060; Apartamento com ótimo acabamento, piso laminado, repleto de armários planejados, varanda e excelente iluminação.<br><br>O condomínio oferece, Piscina adulto e infantil, Academia, Salão de festas, Quadra,Poliesportiva, Playground, Churrasqueira, Lounge, Salão infantil, Pista de Cooper, de Skate e Sauna, Garagens Cobertas.<br><br>Localização privilegiada, rua tranquila, próximo ao comércio em geral, escolas, bancos, farta condução e fácil acesso à Marginal Tietê e às Rodovias Dutra e Ayrton Senna, através da Avenida Salim Farah Maluf.<br><br>"Valores sujeitos a alteração sem prévio aviso.<br>Sujeito a confirmação de disponibilidade!"<br> Agente já sua visita ! <br>Entre em contato conosco pelo WhatsApp <br> -; BS:Parada São Cristóvão, BS:Parada São Cristovão, BS:Parada Juventus, BS:Parada Bixira, BS:Avenida Sapopemba 572, TS:Parada São Cristovão, TS:Parada Juventus, TS:Parada Bixira, TS:Avenida Sapopemba 572, TS:Avenida Sapopemba 535, CS:Padaria Maria Luiza, CS:Padaria Falcão, CS:Natural da Praça, CS:Bella Regente, CS:Emporium MR, PH:Drogaria Itamonte, PH:Drogaria Moretti
