IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2494625809; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Paranagua; Vila Paranaguá; RESIDENTIAL; 47; 47; Comprar; 255000; 1; 0; 1; 2; 300; 03808120; Apartamento Vila Paranaguá 2 dormitórios <br><br>Lindo Apartamento Novinho, está no Contrapiso, andar alto, 14º andar. Vaga de Garagem solta e Coberta.<br><br>Escelente localização, próximo à Av. Paranaguá, Boturussú e Miguel Rachid, no centro comercial do Ermelino Matarazzo.<br><br>Lazer completo: Brinquedoteca, Churrasqueira, Piscina Adulto, Deck, Fitness, Playground, Piscina Infantil, Quadra de Esportes, Salão de Festas, Solarium<br><br>Para maiores informações ou agendamento de visitas, entrar em contato:<br><br>Telefone: <br>Whatsapp: <br><br>Telefone e Whatsapp: <br><br>E-mail: <br>Douglas Lopes do Amaral <br><br>CRECI J4306 <br><br>Aki imóveis o bom negócio é aqui -; BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, BS:Avenida Paranagua, TS:Comendador Ermelino, CS:Bom Dia Panificadora, CH:Posto de Saúde - Ubs Pedro de Souza Campos
2450117182; HOME; UNIT; BR; São Paulo; SP; Rua Francisco da Silva; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Paranagua; Vila Paranaguá; RESIDENTIAL; 104; 104; Comprar; 380000; 2; 1; 3; 3; 0; 03808070; Lindo sobrado, 3 de dormitórios (1 suíte), 3 banheiros (1 lavabo), sala, cozinha, lavanderia, churrasqueira e 2 vagas de garagem. Planejados na sala, cozinha, dormitório do casal e banheiros. Sala com sanca em led. Próximo a bancos, supermercados, feira livre, farmácias e fácil acesso a transportes públicos.; BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, BS:Avenida Paranagua, TS:Comendador Ermelino, CS:Bom Dia Panificadora, CH:Posto de Saúde - Ubs Pedro de Souza Campos
2497950012; CONDOMINIUM; UNIT; BR; São Paulo; SP; Rua Belém de São Francisco; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Paranagua; Vila Paranaguá; RESIDENTIAL; 65; 65; Comprar; 259000; 1; 2; 2; 2; 0; 03807310; SOBRADOS 02 SUÍTES + PORÃO C/ 35M2 ( PODE FAZER MAIS 02 DORM OU SALAS) 01 VAGA FINO ACABAMENTO C/ PORCELANATO POLIDO, GRANITO, ALUMÍNIO, PORTÃO AUTOMÁTICO, INTERFONE. Últimas unidades. - Data da Atualização:; BS:Avenida Paranagua, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, CS:Bom Dia Panificadora, CS:Nova Rio D'Ouro, CS:Fênix Casa de Pães, CH:Posto de Saúde - Ubs Pedro de Souza Campos, SC:Bezzerra Cama Mesa e banho, SC:Mini Extra, SC:Negreiros Supermercados - Ponte Rasa, SC:Mercado Yasmim
2480479307; CONDOMINIUM; UNIT; BR; São Paulo; SP; Rua Victória Simionato; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Paranagua; Vila Paranaguá; RESIDENTIAL; 58; 58; Comprar; 170000; 0; 0; 1; 1; 50; 03808170; Casa em condomínio Vila Paranaguá!!<br><br>Vila Paranaguá pertence a região leste de São Paulo.Com uma grande infraestrutura na região para atender o seu dia a dia.Supermercados,escolas,farmácias,padarias,hospitais,posto de saúde e muito mais.<br>Casa em condomínio térrea com 58 metros quadrados,1 dormitório,sal,cozinha e banheiro,área de serviço grande,possui apenas 1 vaga de moto.No condomínio possui apenas 6 casas com segurança eletrônica e portão automático.<br><br>ACEITA FINANCIAMENTO!!<br><br>Ótima infraestrutura no entorno. Entre em contato conosco pelo telefone e agende sua visita com um de nossos corretores.<br>Obs: Ano de construção, Valor de IPTU e/ou condomínio à confirmar. -; BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, BS:Avenida Paranagua, TS:Comendador Ermelino, CS:Bom Dia Panificadora, CH:Posto de Saúde - Ubs Pedro de Souza Campos
2493347568; APARTMENT; UNIT; BR; São Paulo; SP; Rua Antônio Pereira Simões; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Paranagua; Vila Paranaguá; RESIDENTIAL; 40; 40; Comprar; 195000; 0; 0; 1; 2; 0; 03808050; Apartamento Vila Paranaguá.<br><br>Composto por 02 dormitórios, 40 m², sala, cozinha, 01 banheiro, área de serviço, sem vaga de garagem.<br><br>ENTREGA PREVISTA PARA JULHO 2021.<br><br>Próximo à uma das principais vias do bairro, onde está amparado por comércios e conduções públicas fácil acesso à Avenida São Miguel, Rodovia Ayrton Senna, Rua Doutor Assis Ribeiro, Avenida Boturussu. <br><br>Valor e disponibilidade sujeitos a alteração sem aviso!<br><br>Aceita financiamento e utilização do FGTS ou seu Veículo Sob Avaliação! <br><br>Temos uma assessoria Bancária própria, pronta para lhe atender! <br><br>Ligue e faça sua simulação gratuita, e agende sua visita!<br><br>Siga nossas redes sociais<br>www.agnimoveis.com.br -; BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, BS:Avenida Paranagua, TS:Comendador Ermelino, CS:Bom Dia Panificadora, CH:Posto de Saúde - Ubs Pedro de Souza Campos
2497950878; CONDOMINIUM; UNIT; BR; São Paulo; SP; Rua Miguel Rachid; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Paranagua; Vila Paranaguá; RESIDENTIAL; 65; 65; Comprar; 261000; 1; 2; 2; 2; 0; 03808130; aproximadamente 70m², 2 Suítes, sala com lavabo, cozinha toda azulejada, lavanderia parcialmente coberta, 1 vaga de garagem, portão automatizado, área externa com luminárias e paisagismo. 01 SUITE NO TERREO E 01 SUITE NO PISO SUPERIOR! - Data da Atualização:; BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, BS:Avenida Paranagua, TS:Comendador Ermelino, CS:Bom Dia Panificadora, CH:Posto de Saúde - Ubs Pedro de Souza Campos
2498274492; CONDOMINIUM; UNIT; BR; São Paulo; SP; Rua Josefina Chiapetta; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Paranagua; Vila Paranaguá; RESIDENTIAL; 65; 65; Comprar; 240000; 1; 0; 2; 2; 0; 03808110; Já pensou adquirir um lindo sobrado pelo minha casa minha vida? Sobrado em condomínio com 2 dormitórios, sala, cozinha, lavabo, banheiro, área de serviço e vaga de garagem muito bem localizado. <br><br>- Facilidade na aprovação de financiamento <br>- Acabamento completo <br>- Cômodos bem distribuídos <br><br>Não perca mais tempo, entre já em contato com quem entende e irá te proporcionar todas as opções da Zona Leste <br>Pedro Henrique <br>Coordenador Imobiliário <br> <br>CRECI: 201270-F; BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, BS:Avenida Paranagua, TS:Comendador Ermelino, CS:Bom Dia Panificadora, CH:Posto de Saúde - Ubs Pedro de Souza Campos
2499306807; CONDOMINIUM; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Paranagua; Vila Paranaguá; RESIDENTIAL; 90; 60; Comprar; 300000; 1; 0; 1; 2; 0; 03808160; Lindos sobrados na região de Ermelino Matarazzo próximo a vários comércios como bancos, farmácia, mercados, lotérica ,sendo composto por 2 dórms , sala ,cozinha, área de serviço e 1 vaga de garagem coberta com espaço composto com churrasqueira e pia . Atualizado em:; BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, BS:Avenida Paranagua, TS:Comendador Ermelino, CS:Bom Dia Panificadora, CH:Posto de Saúde - Ubs Pedro de Souza Campos
2497198635; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Paranagua; Vila Paranaguá; COMMERCIAL; 150; 150; Comprar; 320000; 2; 0; 2; 3; 0; 03806007; EXCELENTE TERRENO COM DUAS CASAS NA REGIÃO DE ERMELINO MATARAZZO!!! - Data da Atualização:; BS:Avenida Paranagua, BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, TS:Comendador Ermelino, CS:Bom Dia Panificadora, CH:Posto de Saúde - Ubs Pedro de Souza Campos
2497865082; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Paranagua; Vila Paranaguá; RESIDENTIAL; 62; 62; Comprar; 302100; 0; 1; 2; 2; 540; 03806010; Lindo e espaçoso apto com 02 dormitórios com suite, sala de estar e sala de jantar., sacada, cozinha e lavanderia.<br>Cozinha com porcelanato e armários embutidos, quartos e salas com portas de madeira e piso laminado com armários embutidos.<br>Banheiros com box de vidro e armários embutidos , gesso em todos os cômodos, apartamento totalmente reformado e pronto para morar.<br>Situado próximo a escolas e todo comercio local alem de estar a 5 minutos da estação de trem e 15 minutos do metro com ônibus passando na porta.<br>Portaria 24 pronto para morar !!!!<br><br>Aceita financiamento.; BS:Avenida Paranagua, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, CS:Bom Dia Panificadora, CS:Nova Rio D'Ouro, CS:Fênix Casa de Pães, CH:Posto de Saúde - Ubs Pedro de Souza Campos, SC:Bezzerra Cama Mesa e banho, SC:Mini Extra, SC:Negreiros Supermercados - Ponte Rasa, SC:Mercado Yasmim
