IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2491866188; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua Jacaratinga; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Pirajussara; Vila Pirajussara; RESIDENTIAL; 130; 130; Comprar; 400000; 2; 0; 2; 3; 0; 05786120; Sobrado com 3 dormitórios, 2 banheiros, sala ampla, cozinha com armários planejados, toda em piso frio, lavanderia grande, terraço, garagem para 2 carros coberta.<br>Ótima oportunidade! Aceita FGTS e financiamento imobiliário, quitado. <br>Localizada em um bairro privilegiado com tudo ao redor 3 escolas particulares, faculdade, supermercados, lojas, bancos, terminal de ônibus Campo Limpo. <br>AGENDE SUA VISITA! <br>.; BS:Parada AME Taboão, BS:Estrada São Francisco, 1589B, TS:Parada AME Taboão, TS:Estrada São Francisco, 1589B, CS:S&m, PH:Farmacia&Cia
2497616235; APARTMENT; UNIT; BR; São Paulo; SP; Rua Santa Rosa Júnior; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Pirajussara; Vila Pirajussara; RESIDENTIAL; 83; 83; Comprar; 645000; 1; 0; 2; 2; 560; 05579010; OPORTUNIDADE! More a 7 minutos à pé da Estação de Metrô Butantã. Apartamento com 83m2, em condomínio antigo de excelente construção, a poucos metros da Universidade São Judas, Metrô Butantã, Shopping Eldorado e USP. São dois dormitórios, sala em L bem espaçosa, quarto de casal bem amplo, sol da manhã que entra na sala devido à janela que pega a parede toda, banheiro social espaçoso, quarto e banheiro de empregada, entrada social e de entrada de serviço, 1 vaga de garagem demarcada (sem rodizio). Condomínio com pouca área de lazer, o que favorece a taxa condomínial que é baixa para a região. Não perca esta oportunidade de morar numa ótima localização na região do Butantã. <br> <br> <br> - Características: Móveis Planejados, Portão Eletrônico, <br> <br> - Cômodos: Área de Serviço, Cozinha, Despensa, <br> <br> - Proximidades: Bares e Restaurantes, Escola, Farmácia, Shopping Center, Supermercado, <br> <br> IPTU mensal; BS:Parada Caxingui, BS:Parada Raul Sadi, BS:Avenida Doutor Vital Brasil 684, BS:Avenida Doutor Vital Brasil 559, BS:Rua Camargo 305, TS:Parada Raul Sadi, TS:Parada Caxingui, TS:Avenida Doutor Vital Brasil 684, TS:Avenida Doutor Vital Brasil 559, TS:Rua Camargo 305, CS:Estrela do Butantã, CS:Novo Pantanal, CS:Mareloi, CS:Santa Torta, CS:Panificadora Vipão, PH:Center Fórmula, PH:Droga Star, PH:Drogaria e Perfumaria Akyali, PH:Farmacia Ubiratan
2437209874; APARTMENT; UNIT; BR; São Paulo; SP; Avenida São Paulo Paraná; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Pirajussara; Vila Pirajussara; RESIDENTIAL; 0; 91; Comprar; 703000; 2; 1; 2; 2; 800; 05574001; 91 M² – Belo apartamento com 2 dormitórios, 1 suíte, escritório e living ampliado integrado a terraço envidraçado, com 2 vagas para automóveis. Possui entrada social e de serviço, diretamente na cozinha integrada à área de serviço e 2 banheiros. O empreendimento está num terreno de mais de 23 mil m², o ar puro vem da área verde de 6000m², que purifica e isola qualquer barulho fora do condomínio. Você vive no coração do Butantã como se estivesse no campo. Criado com o conceito de “clube de morar”, tudo o que você sempre sonhou está logo aqui, as áreas comuns de lazer foram pensadas para a diversão da família: é piscina, quadras, salões de festas, salões de jogos, spa, sauna, churrasqueiras, brinquedoteca, playground, pista de skate, redário e muito mais. Próximo a transporte coletivo, hipermercados, hospitais e shopping centers.; BS:Terminal Rodoviário Santa Maria, BS:Terminal Jardim Primeiro de Maio, TS:Terminal Rodoviário Santa Maria, TS:Terminal Jardim Primeiro de Maio, CS:Mercado dos Oliveiras, CH:Creche Municipal Roberto Arantes Lanhoso
2429011310; APARTMENT; UNIT; BR; São Paulo; SP; Avenida São Paulo Paraná; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Pirajussara; Vila Pirajussara; RESIDENTIAL; 108; 108; Comprar; 590000; 2; 1; 4; 3; 597; 05574001; Direto com proprietário. Cond. Smiley Home Resort apto. no 9° andar com muita privacidade voltado para reserva florestal. Excelente infra estrutura para adultos e principalmente crianças. Localização estratégica com fácil acesso ao Rodoanel, Raposo Tavares, Castelo Branco e Régis Bittencourt. Próximo ao Shopping Granja Vianna, padaria Dona Deola, supermercado Carrefour e ao colégio Rio Branco. Reformado com gesso, iluminação em LED, janelas de alumínio com persianas e redes de proteção, piso vinílico Durafloor, porcelanato nas áreas frias, aquecedor a gás, móveis planejados e vidros articulados na varanda. Pronto para morar.; BS:Terminal Rodoviário Santa Maria, BS:Terminal Jardim Primeiro de Maio, TS:Terminal Rodoviário Santa Maria, TS:Terminal Jardim Primeiro de Maio, CS:Mercado dos Oliveiras, CH:Creche Municipal Roberto Arantes Lanhoso
2494126794; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Pirajussara; Vila Pirajussara; RESIDENTIAL; 207; 207; Comprar; 450000; 0; 0; 1; 2; 0; 05580000; Butantã - Pertinho do metro <br>Ótima localização da para ir a pé ao metrô, proximo ao Instituto Butantan, facil acesso a Av Corifeu de Azevedo Marques e Vital Brasil, proximo a Rodovia Raposo Tavares e ao lado do comercio da região.<br>São duas casas no mesmo terreno, uma com dois dormitórios, sala, cozinha e wc, e a outra com um dormitório, sala, wc e cozinha, não tem garagem, linda vista para o bairro Butantã.<br>Se você esta procurando um imóvel para reforma ou para morar, acabou de achar, ligue agora e agende uma visita com Deise.<br> - Atualização:; BS:Parada Afonso Vaz, BS:Avenida Corifeu de Azevedo Marques 150, BS:Avenida Corifeu de Azevedo Marques 291, BS:Parada Caxingui, BS:Parada Raul Sadi, TS:Parada Afonso Vaz, TS:Avenida Corifeu de Azevedo Marques 150, TS:Avenida Corifeu de Azevedo Marques 291, TS:Parada Caxingui, TS:Parada Raul Sadi, CS:Estrela do Butantã, CS:Rainha da Vila Gomes, CS:Novo Pantanal, CS:Mareloi, CS:Santa Torta, PH:Center Fórmula, PH:Droga Star, PH:Drogaria e Perfumaria Akyali
2492324516; APARTMENT; UNIT; BR; São Paulo; SP; Rua Martinho Vaz de Barros; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Pirajussara; Vila Pirajussara; RESIDENTIAL; 76; 76; Comprar; 280000; 0; 0; 1; 3; 380; 05786150; Apartamento de 76m² com 3 dormitórios com sacada, sala com sacada, cozinha e área de serviço ampla. -; BS:Parada AME Taboão, BS:Estrada São Francisco, 1589B, TS:Parada AME Taboão, TS:Estrada São Francisco, 1589B, PH:Farmacia&Cia, CH:Unidade Básica de Saúde de Jardim Helena
2464193636; APARTMENT; UNIT; BR; São Paulo; SP; Avenida São Paulo Paraná; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Pirajussara; Vila Pirajussara; RESIDENTIAL; 77; 77; Comprar; 420000; 1; 1; 2; 2; 500; 05574001; Lindo apartamento de 77m², 2 dorm e 1 suíte e sala estendida, que pode ser revertido em mais um dormitório.<br>Linda vista para o Clube<br><br>O Smiley Home Resort é um residencial condomínio clube com conceito de resort devido ao seu enorme terreno de 23.500 m² que proporciona lazer completo para a família e muito verde com vegetação preservada. Pensando no dia a dia dos moradores, a construtora também projetou um Centro de Conveniência com 7 lojas e um quiosque no térreo, que beneficiará não só os moradores como o bairro todo.<br>Áreas de Convívio e Lazer<br>- Quadra Descoberta<br>- Quadra Poliesportiva Coberta<br>- Playground Terra do Nunca<br>- Praça Teen com Half Pipe e Xadrez Gigante<br>- Fitness<br>- Espaço Mulher - Sala de Massagem<br>- Sauna<br>- Espaço Zen<br>- Espaços Gourmet Externo<br>- Piscina Infantil e Adulto com Solarium - Pet Care<br>- Salão de Festas Infantil<br>- Cinema<br>- Espaço Circo<br>- Salões de Jogos Adulto e Teen<br>O Smiley Home Resort tem apartamentos de 77 até 108 m², podendo fa -; BS:Terminal Rodoviário Santa Maria, BS:Terminal Jardim Primeiro de Maio, TS:Terminal Rodoviário Santa Maria, TS:Terminal Jardim Primeiro de Maio, CS:Mercado dos Oliveiras, CH:Creche Municipal Roberto Arantes Lanhoso
2493549426; APARTMENT; UNIT; BR; São Paulo; SP; Avenida São Paulo Paraná; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Pirajussara; Vila Pirajussara; RESIDENTIAL; 77; 77; Comprar; 398000; 0; 1; 2; 3; 350; 05574001; Muito bem localizado no Butantã o SMILEY HOME RESORT já esta pronto pra MORAR.<br><br>Um verdadeiro RESORT com mais de 40 itens de lazer.<br><br>OPÇÕES DE PLANTA: <br>77 m²- 03 dormitórios suíte. Opção de planta 02 dormitórios suíte sala ampliada. Outra opção 02 dormitórios suíte, sala ampliada e cozinha aberta. 01 vaga de garagem.<br>91 m²- 03 dormitórios suíte. Opção de planta 02 dormitórios suíte, sala ampliada. 01 vaga de garagem.<br>108 m²- 04 dormitórios suíte. Opção de planta 03 dormitórios suíte sala ampliada. 02 vagas de garagem.<br><br>ÁREA DE LAZER:<br>Home office, lan house, hall social, sala de reunião, redário, xadrez gigante, pista de skate, atelier, playground baby, playground na areia, brinquedoteca, espaço circo, cinema, berçário, quadra coberta e descoberta, salão de festas adulto, espaço gourmet, churrasqueira, salão de jogos adulto, juvenil e infantil, espaço pet, fitness interno e externo, espaço mulher, spa com sala de massagem, espaço zen, circuito de caminhada, piscina adulto e infantil e solarium. <br><br>DESENVOLVIMENTO:<br>- Projeto de Arquitetura: Cambiaghi Arquitetura<br>- Projeto Paisagístico: Mera Arquitetura Paisagística<br>- Arquitetura de Interiores: VH Arquitetura<br><br>LOCALIZAÇÃO: <br>Quando a felicidade é muita, não dá para disfarçar o sorriso. O que queremos é que você tenha incontáveis motivos para rir e sorrir ainda mais dentro do SMILEY HOME RESORT.<br><br>Criado com o conceito de “clube de morar”, tudo o que você sempre sonhou está logo ali: a comodidade aqui é justamente ter tudo à mão. Localizado no KM 18,5 da Rodovia Raposo Tavares, o Smiley está rodeado de natureza e de conveniências para facilitar a sua vida.<br><br>Dentro do seu clube, respire fundo e sorria: o ar puro vem da área verde de 6.000 m², que purifica e isola qualquer barulho fora do condomínio. Você vive no coração do Butantã como se estivesse no campo. <br><br>Amigo cliente gostou do apartamento!!<br><br>AGORA ME DIGA O QUE DESEJA FAZER:<br>Quer agendar uma Visita!<br>Deseja outras informações!<br>JÁ CONHECE! MANDE SUA PROPOSTA!<br>Simulação de pagamento!<br>Valores sempre sofrem alterações..<br><br>Farei o meu melhor por você!<br><br>Adriano Caglioni<br><br>CRECI: Físico= 190891-F Jurídico= 33377-J; BS:Terminal Rodoviário Santa Maria, BS:Terminal Jardim Primeiro de Maio, TS:Terminal Rodoviário Santa Maria, TS:Terminal Jardim Primeiro de Maio, CS:Mercado dos Oliveiras, CH:Creche Municipal Roberto Arantes Lanhoso
2463311712; APARTMENT; UNIT; BR; São Paulo; SP; Avenida São Paulo Paraná; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Pirajussara; Vila Pirajussara; RESIDENTIAL; 77; 77; Comprar; 346500; 1; 1; 2; 2; 450; 05574001; Vendo apartamento de 77 m² com 2 dormitórios sendo 1 suíte, com living ampliado, 1 vaga, cozinha americana. Imóvel novo entregue no contra piso na sala e nos quartos e piso de porcelanato na varanda, cozinha e banheiros. Localizado ao lado do rodo anel, fácil acesso para as marginais e Rodovias. Agende sua visita agora.<br>- Next Homes, seu proximo imovel, muito proximo! Veja esta e outras ofertas pelo nosso site.; BS:Terminal Rodoviário Santa Maria, BS:Terminal Jardim Primeiro de Maio, TS:Terminal Rodoviário Santa Maria, TS:Terminal Jardim Primeiro de Maio, CS:Mercado dos Oliveiras, CH:Creche Municipal Roberto Arantes Lanhoso
2493646579; APARTMENT; UNIT; BR; São Paulo; SP; Avenida São Paulo Paraná; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Pirajussara; Vila Pirajussara; RESIDENTIAL; 91; 91; Comprar; 470000; 1; 1; 3; 3; 400; 05574001; Muito bem localizado no Butantã o SMILEY HOME RESORT já esta pronto pra MORAR.<br><br>Um verdadeiro RESORT com mais de 40 itens de lazer.<br><br>OPÇÕES DE PLANTA: <br>77 m²- 03 dormitórios suíte. Opção de planta 02 dormitórios suíte sala ampliada. Outra opção 02 dormitórios suíte, sala ampliada e cozinha aberta. 01 vaga de garagem.<br>91 m²- 03 dormitórios suíte. Opção de planta 02 dormitórios suíte, sala ampliada. 01 vaga de garagem.<br>108 m²- 04 dormitórios suíte. Opção de planta 03 dormitórios suíte sala ampliada. 02 vagas de garagem.<br><br>ÁREA DE LAZER:<br>Home office, lan house, hall social, sala de reunião, redário, xadrez gigante, pista de skate, atelier, playground baby, playground na areia, brinquedoteca, espaço circo, cinema, berçário, quadra coberta e descoberta, salão de festas adulto, espaço gourmet, churrasqueira, salão de jogos adulto, juvenil e infantil, espaço pet, fitness interno e externo, espaço mulher, spa com sala de massagem, espaço zen, circuito de caminhada, piscina adulto e infantil e solarium. <br><br>DESENVOLVIMENTO:<br>- Projeto de Arquitetura: Cambiaghi Arquitetura<br>- Projeto Paisagístico: Mera Arquitetura Paisagística<br>- Arquitetura de Interiores: VH Arquitetura<br><br>LOCALIZAÇÃO: <br>Quando a felicidade é muita, não dá para disfarçar o sorriso. O que queremos é que você tenha incontáveis motivos para rir e sorrir ainda mais dentro do SMILEY HOME RESORT.<br><br>Criado com o conceito de “clube de morar”, tudo o que você sempre sonhou está logo ali: a comodidade aqui é justamente ter tudo à mão. Localizado no KM 18,5 da Rodovia Raposo Tavares, o Smiley está rodeado de natureza e de conveniências para facilitar a sua vida.<br><br>Dentro do seu clube, respire fundo e sorria: o ar puro vem da área verde de 6.000 m², que purifica e isola qualquer barulho fora do condomínio. Você vive no coração do Butantã como se estivesse no campo. <br><br>Amigo cliente gostou do apartamento!!<br><br>AGORA ME DIGA O QUE DESEJA FAZER:<br>Quer agendar uma Visita!<br>Deseja outras informações!<br>JÁ CONHECE! MANDE SUA PROPOSTA!<br>Simulação de pagamento!<br>Valores sempre sofrem alterações..<br><br>Farei o meu melhor por você!<br><br>Adriano Caglioni<br><br>CRECI: Físico= 190891-F Jurídico= 33377-J; BS:Terminal Rodoviário Santa Maria, BS:Terminal Jardim Primeiro de Maio, TS:Terminal Rodoviário Santa Maria, TS:Terminal Jardim Primeiro de Maio, CS:Mercado dos Oliveiras, CH:Creche Municipal Roberto Arantes Lanhoso
