IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2496962308; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Prel; Vila Prel; RESIDENTIAL; 56; 56; Alugar/Comprar; 1659; 1; 0; 1; 2; 0; 05835004; Oportunidade lado do Metrô Campo limpo e Shopping Campo Limpo !<br>Venha morar em uma região com toda a infraestrutura para você e toda a sua familia.<br>Ao lado do Shopping Campo Limpo, Metrô Campo Limpo, Terminal Capelinha, Supermercados, Farmácias, Açougue, Hortifrúti e etc...<br>Apartamento recém reformado, com cozinha americana repleta de armários, Porcelanato em todo o apartamento, armários nos quartos, cozinha, banheiro e lavanderia , 1 vaga livre de carro e 1 vaga de moto.<br>Condomínio conta com Academia, Brinquedoteca, Playground, Salão de festas, quadra poliesportiva e vagas de visitantes.<br><br>Valor de R$ 1.659,00 e referente ao pacote <br>( Aluguel + condômino + IPTU+ Agua ).<br><br>Venda o Valor de R$ 300.000,00 e dependendo aceito troca menor valor ou carro<br><br>Ligue e agende sua visita! -; BS:Parada Nicolino Barra, BS:Terminal Capelinha, BS:Parada Hosp. Campo Limpo, BS:Terminal Metropolitano de Capão Redondo, BS:Parada Capão Redondo I, TS:Parada Nicolino Barra, TS:Campo Limpo, TS:Terminal Metropolitano de Capão Redondo, TS:Capão Redondo, TS:Vila das Belezas, CS:Padaria e Conveniência Nova América, CH:AMA / UBS Integrada Vila Prel, CH:UBS M'Boi - Brasília, CH:AMA Jardim São Luís, CH:UBS Jardim Celeste, CH:UBS Vila das Belezas
2494594939; APARTMENT; UNIT; BR; São Paulo; SP; Estrada do Campo Limpo; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Prel; Vila Prel; RESIDENTIAL; 104; 98; Comprar; 730000; 2; 1; 3; 3; 1050; 05777001; O apartamento está localizado no bairro Vila Prel tem 98 metros quadrados com 3 quartos sendo 1 suite e 3 banheiros<br>Possui área de fitness, espaço gourmet, jardim, área de brinquedo para as crianças, salão de festas.<br>Vai lhe possibilitar curtir os dias mais quentes na piscina, praticar diversos esportes na quadra poliesportiva, todo o conforto do ar condicionado nos dias mais quentes.<br>Além disso sistema de alarme.Espaço reservado para preparar o seu churrasco.<br>Está em um condomínio protegido por grades.<br>Elevador que garante o transporte das suas malas e compras....; BS:Parada Nicolino Barra, BS:Parada Hosp. Campo Limpo, BS:Terminal Capelinha, BS:Parada Cícero José Saraiva, BS:Terminal Metropolitano de Capão Redondo, TS:Parada Nicolino Barra, TS:Campo Limpo, TS:Vila das Belezas, TS:Terminal Metropolitano de Capão Redondo, TS:Capão Redondo, CS:Padaria e Conveniência Nova América, CH:AMA / UBS Integrada Vila Prel, CH:UBS M'Boi - Brasília, CH:UBS Vila das Belezas, CH:UBS Jardim Celeste, CH:AMA Jardim São Luís
2455197278; APARTMENT; UNIT; BR; São Paulo; SP; Estrada de Itapecerica; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Prel; Vila Prel; RESIDENTIAL; 50; 48; Comprar; 270000; 1; 0; 1; 2; 350; 05835004; Apartamento com c/ 50m², 2 dormitórios com porcelanato, sala com porcelanato, cozinha, 1 banheiro, área de serviço, varanda e 1 vaga de garagem.<br>O condomínio possui playground, bosque, portão automático, portaria com segurança 24 horas, quadra poliesportiva e churrasqueira.<br>O apartamento está localizado a 5 minutos da Marginal Pinheiros e João Dias. Está em frente ao ponto de ônibus e ao hospital Campo Limpo, próximo a padarias, bares, restaurantes, supermercados, postos de gasolina, farmácia, hospital, escolas e perto da linha Lilás do metrô..; BS:Parada Hosp. Campo Limpo, BS:Parada Cícero José Saraiva, BS:Parada Nicolino Barra, BS:Parada das Belezas, BS:Term. João Dias Lateral 2, TS:Vila das Belezas, TS:Parada Nicolino Barra, TS:Campo Limpo, TS:Term. João Dias Lateral 2, TS:Giovanni Gronchi, CS:Padaria e Conveniência Nova América, CS:Padaria Cruzeiro, PH:Drogaria Nova São Luiz
2498530699; APARTMENT; UNIT; BR; São Paulo; SP; Estrada de Itapecerica; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Prel; Vila Prel; RESIDENTIAL; 56; 56; Alugar/Comprar; 1400; 1; 0; 1; 2; 490; 05835004; Apto locação 56 mts - Condominio Padua ao lado Shop.Campo LImpo!!! sendo dois dormitorios com armarios, cozinha com armarios planejados com fogão embutido, area de serviço,banheiro, sala dois ambientes piso laminado nos quartos e sala, com sacada. 01 vaga de garagem coberta. lazer completo. Agende sua visita!!! -; BS:Parada Cícero José Saraiva, BS:Parada Hosp. Campo Limpo, BS:Parada das Belezas, BS:Parada Nicolino Barra, BS:Term. João Dias Lateral 2, TS:Vila das Belezas, TS:Parada Nicolino Barra, TS:Campo Limpo, TS:Term. João Dias Lateral 2, TS:Giovanni Gronchi, CS:Padaria e Conveniência Nova América, CS:Belas Artes, PH:Drogaria Nova São Luiz, PH:drogaria São Paulo
2483608187; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua Jesus Cristo; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Prel; Vila Prel; RESIDENTIAL; 104; 92; Comprar; 360000; 0; 2; 3; 2; 140; 05855270; Sobrado Magnífico Top de Linha 92 M2 de Área <br>Útil .Localização Metrô Capão Redondo .Linha <br>Lilás .Possui 2 Suites Planejadas Completas com Varandas. Sala Espaçosa decorada Lavabo. Cozinha Ampla com Armários Planejados . Ótima Área de Serviço . Portaria Independente .<br>Agende Visita com o Corretor.<br><br> C a r a c t e r í s t i c a s <br><br>Sobrado Magnífico com 2 Suites Planejadas, Aspecto Formidável . Condomínio Fechado com<br>Porteiro Eletrônico. Possui Sotão de 30M2 . Área de Lazer Churrasqueira, Playground . 01 Vaga de Garagem Coberta Vaga p. Moto. Portão Automático. Condomínio com Monitoramento 24 Horas. Localização 800 mtrs. Estação Capão Metro, Linha Lilás . Rua e Bairro Super Sossegado. perto de tudo.<br><br> 1561; BS:Parada Capão Redondo II, BS:Parada Capão Redondo I, BS:Terminal Metropolitano de Capão Redondo, BS:Terminal Capelinha, BS:Parada Nicolino Barra, TS:Capão Redondo, TS:Parada Nicolino Barra, TS:Campo Limpo, TS:Parada Mathias de Araújo, CS:Padaria e Pizzaria  Nova Fantástica, CS:Padaria e Conveniência Nova América, PH:Farmácia Vila Remo
2434760455; HOME; UNIT; BR; São Paulo; SP; Rua Urupema; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Prel; Vila Prel; RESIDENTIAL; 270; 270; Comprar; 850000; 4; 2; 5; 4; 374; 05780400; Linda casa com total acesso a metrô, escolas, padarias, mercado, sacolão, farmácias e hospital. Condomínio com segurança 24 Hrs, piscina, quadra poliesportiva, salões de festa, área verde com uma vizinhança totalmente familiar, ótimo para crianças. imóvel em perfeito estado de conservação, pronto para morar. OBS-. aceito permuta com imovel de até 400.00 .; BS:Parada Hosp. Campo Limpo, BS:Parada Cícero José Saraiva, BS:Parada Nicolino Barra, BS:Parada das Belezas, BS:Terminal Capelinha, TS:Vila das Belezas, TS:Parada Nicolino Barra, TS:Campo Limpo, TS:Term. João Dias Lateral 2, TS:Giovanni Gronchi, CS:Padaria e Conveniência Nova América, PH:Drogaria Nova São Luiz
2498842777; APARTMENT; UNIT; BR; São Paulo; SP; Estrada do Campo Limpo; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Prel; Vila Prel; RESIDENTIAL; 0; 97; Comprar; 650000; 2; 1; 3; 3; 850; 05777000; O apartamento no bairro Vila Prel tem 97 metros quadrados com 3 quartos sendo 1 suite e 3 banheiros<br>Possui salão de festas, jardim, espaço gourmet, academia, parquinho com diferentes brinquedos.<br>Vai lhe possibilitar praticar diversos esportes na quadra poliesportiva, curtir os dias mais quentes na piscina.Fica em um condomínio fechado.<br>Elevador que garante o transporte das suas malas e compras.<br>Espaço reservado para preparar o seu churrasco.; BS:Parada Nicolino Barra, BS:Parada Hosp. Campo Limpo, BS:Terminal Capelinha, BS:Parada Cícero José Saraiva, BS:Terminal Metropolitano de Capão Redondo, TS:Parada Nicolino Barra, TS:Campo Limpo, TS:Vila das Belezas, TS:Terminal Metropolitano de Capão Redondo, TS:Capão Redondo, CS:Padaria e Conveniência Nova América, CH:AMA / UBS Integrada Vila Prel, CH:UBS M'Boi - Brasília, CH:UBS Vila das Belezas, CH:UBS Jardim Celeste, CH:AMA Jardim São Luís
2486694567; APARTMENT; UNIT; BR; São Paulo; SP; Estrada de Itapecerica; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Prel; Vila Prel; RESIDENTIAL; 68; 68; Comprar; 409900; 1; 1; 2; 2; 418; 05835004; Apartamento 68m2 com localização na Vila das Belezas, contendo 2 dormitórios, 2 banheiros, sala, cozinha, próximo de shoppings, supermercados, estações de metrô, hospitais, escolas e etc. -; BS:Parada Hosp. Campo Limpo, BS:Parada Cícero José Saraiva, BS:Parada Nicolino Barra, BS:Parada das Belezas, BS:Term. João Dias Lateral 2, TS:Vila das Belezas, TS:Parada Nicolino Barra, TS:Campo Limpo, TS:Term. João Dias Lateral 2, TS:Giovanni Gronchi, CS:Padaria e Conveniência Nova América, CS:Padaria Cruzeiro, PH:Drogaria Nova São Luiz
2473262509; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Prel; Vila Prel; RESIDENTIAL; 60; 60; Comprar; 285000; 1; 0; 1; 2; 400; 05835909; Apartamento residencial para Venda<br>Vila Prel, São Paulo<br>2 dormitórios, 1 sala, 1 vaga<br>60,00 m² construída, 60,00 m² útil<br><br>Fale conosco: -; BS:Parada Nicolino Barra, BS:Terminal Capelinha, BS:Parada Hosp. Campo Limpo, BS:Terminal Metropolitano de Capão Redondo, BS:Parada Capão Redondo I, TS:Parada Nicolino Barra, TS:Campo Limpo, TS:Terminal Metropolitano de Capão Redondo, TS:Capão Redondo, TS:Vila das Belezas, CS:Padaria e Conveniência Nova América, CH:AMA / UBS Integrada Vila Prel, CH:UBS M'Boi - Brasília, CH:AMA Jardim São Luís, CH:UBS Jardim Celeste, CH:UBS Vila das Belezas
2463585819; CONDOMINIUM; UNIT; BR; São Paulo; SP; Rua Roberto Mesquita; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Prel; Vila Prel; RESIDENTIAL; 210; 210; Comprar; 799000; 3; 3; 4; 3; 380; 05780380; A casa possui energia solar, lareira, sistema de ar condicionado, duas suítes na área superior e uma suite em baixo, rica em armários, sala de jantar, cozinha americana com passa pratos e dispensa, lavanderia fechada, lavabo sala com dois ambientes e lareira, com duas garagens, e usualmente mais dois carros na calçada, toda parte estrutural da casa nova(sem colunas aparentes, energia e água com produtos tigre e metais DECA), o condomínio é de R$ 312,73, IPTU zero, impostos da reforma pagos. <br>aproveite essa oportunidade<br>Scheid Imóveis, desde 1995 com total transparência e segurança em todos os nossos serviços.; BS:Parada Hosp. Campo Limpo, BS:Parada Cícero José Saraiva, BS:Parada Nicolino Barra, BS:Parada das Belezas, BS:Terminal Capelinha, TS:Vila das Belezas, TS:Parada Nicolino Barra, TS:Campo Limpo, TS:Term. João Dias Lateral 2, TS:Giovanni Gronchi, CS:Padaria e Conveniência Nova América, PH:Drogaria Nova São Luiz
