IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2427714977; HOME; UNIT; BR; Jundiaí; SP; Rua Fernando Malavazzi; BR>Sao Paulo>NULL>Jundiai>Barrios>Vila Rica; Vila Rica; RESIDENTIAL; 112; 81; Comprar; 650000; 2; 1; 3; 3; 100; 13216360; www.urbb.com.br 15 exclusivas Casas conceito em Jundiai (região central). Personalização e Sustentabiidade. 2 ou 3 dorms, 2 ou 3 vagas, teto jardim ecológico, deck frontal com landscape inesquecível, mobiliario acústico, condomínio reduzido, segurança compartilhada. Rua sem saída. Muito verde e vida silvestre no entorno. Há casas prontas e com entrega para 2018. Atendimento por arquiteto.; CH:Hospital Paulo Sacramento, SC:Finamax S/A C.F.I., BR:Jack Lanches, SU:FATEC Jundiaí, SU:Escola Alceu de Toledo Pontes
2467922827; APARTMENT; UNIT; BR; Jundiaí; SP; ; BR>Sao Paulo>NULL>Jundiai>Barrios>Vila Rica; Vila Rica; RESIDENTIAL; 77; 77; Comprar; 400302; 0; 1; 1; 2; 0; 13216351; RESIDENCIAL ALLEGRO - JUNDIAÍ SP <br>ÚLTIMAS UNIDADES À VENDA! <br>ÓTIMO PARA MORADIA OU INVESTIMENTO! <br>FÁCIL ACESSO PARA O CENTRO DE JUNDIAÍ <br>UTILIZE SEU FGTS COMO PARTE DE PAGAMENTO! <br>PRONTO PARA MORAR.<br>APTO DE 02 DORM E 01 SUÍTE C/ CLOSET C/ 77,5 m2 - Uma vaga de garagem coberta <br>APTO DE 03 DORM E 01 SUÍTE C/ CLOSET C/ 90m2 - Duas vagas de garagens cobertas<br>APTO DE 03 DORM E 01 SUÍTE C/ CLOSET C/ 122m2 - Três vagas de garagens cobertas<br>Unidades tipo: Sol da Manhã: Finais 03, 04, 05 e 06 Sol da Tarde: Finais 01, 02, 07 e 08 <br>DESCRIÇÃO DO IMÓVEL: <br>Sala de Estar e Jantar, Cozinha, Área de Serviço, Dois ou Três dormitórios sendo uma suíte com closet.<br>ÁREA DE LAZER: <br>Piscina infantil, Piscina adulto Deck molhado, Solarium, Salão de festas, Salão de jogos,Sala de ginástica, Brinquedoteca, Playground, Churrasqueira, Quadra recreativa, Brinquedoteca, Câmeras de segurança, Churrasqueira Deck na piscina, Espaço Gourmet, Estacionamento para visitantes, Fitness, Sala de Ginástica Playground e Portaria 24 horas <br>LOCALIZAÇÃO: <br>A 10 minutos da Rodovia Anhanguera / Bandeirantes, A 10 minutos do Maxi Shopping, A 15 minutos do centro de Jundia, A 30 km da cidade de Campinas, A 40 km da cidade de São Paulo Consulte-nos sobre a disponibilidade e as informações do imóvel anunciado. Valores sujeitos a alteração.<br><br>Fale conosco: -; CH:Hospital Paulo Sacramento, CH:Oto.com Otorrinolaringologia, BR:Jack Lanches, BR:V² Café & Restaurante, SU:FATEC Jundiaí, SU:Escola Alceu de Toledo Pontes, SC:Finamax S/A C.F.I.
2429147084; APARTMENT; UNIT; BR; Jundiaí; SP; Rua Lúcia B. Passarin; BR>Sao Paulo>NULL>Jundiai>Barrios>Vila Rica; Vila Rica; RESIDENTIAL; 180; 180; Comprar; 880000; 2; 1; 4; 3; 1000; 13216351; Apto 3 dormitórios,1 suíte,todos com armários,sala 3 ambientes,lavabo,wc social com box vidro e gabinete,cozinha completa em armários,Lavanderia com armários,dependência empregada, WC serviço, 2 vagas cobertas. Condomínio completo em lazer. -; CH:Hospital Paulo Sacramento, CH:Oto.com Otorrinolaringologia, SC:Finamax S/A C.F.I., BR:Jack Lanches, BR:V² Café & Restaurante, SU:FATEC Jundiaí, SU:Escola Alceu de Toledo Pontes
2497248382; APARTMENT; UNIT; BR; Jundiaí; SP; ; BR>Sao Paulo>NULL>Jundiai>Barrios>Vila Rica; Vila Rica; RESIDENTIAL; 77; 77; Comprar; 450000; 2; 1; 2; 2; 450; 13216351; <b>Dependências:</b> (2) dormitórios: sendo (1) suíte; (2) banheiros; closet; sl. 2 ambientes; cozinha; área de serviço; Varanda;. <br><br><b>O que tem Perto:</b> Açougue, Banco, Casa Lotérica, Escola 1º Grau, Escola 2º Grau, Faculdade, Farmácia, Hospital, Lanchonete, Lojas, Mercado, Panificadora, Praça/Parque, Posto de Gasolina, Pré-escola, Pizzaria, Shopping, Sorveteria, Maternidade, Pet Shop, Posto de Saúde, . <br><br><b>Observações:</b> Allegro Residencial possui unidades com 2 dormitórios em 77m (1 ou 2 vagas) e 3 dormitórios em 90m (2 vagas). Suíte com closet, cozinha integrada com a sala e varanda grill, entregue com pisos em todo o apartamento e azulejo até o teto nas áreas molhadas.<br><br>O Empreendimento está a menos de 5 minutos do Maxi Shopping e do Centro da cidade, uma localização onde você terá tudo o que sua família precisa!<br><br>.; CH:Hospital Paulo Sacramento, CH:Oto.com Otorrinolaringologia, SU:FATEC Jundiaí, SU:Escola Alceu de Toledo Pontes, SC:Finamax S/A C.F.I., BR:Jack Lanches, BR:V² Café & Restaurante
2493093166; APARTMENT; UNIT; BR; Jundiaí; SP; ; BR>Sao Paulo>NULL>Jundiai>Barrios>Vila Rica; Vila Rica; RESIDENTIAL; 90; 90; Comprar; 530000; 0; 1; 1; 3; 0; 13216351; Residencial Allegro, um empreendimento sólido da FA Oliva! <br>Com 3 dormitórios, (sendo 1 suíte), com armários embutidos, sala 2 ambientes com sacada , sol da manhã, cozinha planejada, 2 vagas.<br><br>Fale conosco: -; SC:Finamax S/A C.F.I., BR:Jack Lanches, BR:V² Café & Restaurante, SU:FATEC Jundiaí, SU:Escola Alceu de Toledo Pontes, CH:Hospital Paulo Sacramento, CH:Oto.com Otorrinolaringologia
2491139639; APARTMENT; UNIT; BR; Jundiaí; SP; Rua Lúcia B. Passarin; BR>Sao Paulo>NULL>Jundiai>Barrios>Vila Rica; Vila Rica; RESIDENTIAL; 77; 77; Comprar; 420000; 1; 1; 2; 2; 420; 13216351; Vende-se apartamento no condomínio Residencial Allegro, bairro Vila Rica em Jundiaí.<br>Apartamento de 77m com 2 dormitórios sendo 1 suíte, cozinha, closet, lavanderia e banheiros planejados. Sacada fechada com vidros. 1 vaga de garagem coberta. Imóvel com aquecedor a gás. Vista para a piscina.<br>Área de lazer completa com piscina infantil, piscina adulto, salão de festas, salão de jogos, sala de ginástica, brinquedoteca, playground, churrasqueira e quadra recreativa.<br>Ótima localização próximo a comércios, mercados, shopping, hospital, escolas e restaurantes.<br>Fácil acesso as principais vias da cidades e rodovias.; SU:FATEC Jundiaí, SU:Escola Alceu de Toledo Pontes, CH:Hospital Paulo Sacramento, CH:Oto.com Otorrinolaringologia, BR:Jack Lanches, BR:V² Café & Restaurante, SC:Finamax S/A C.F.I.
2429161150; HOME; UNIT; BR; Jundiaí; SP; Rua Lúcia B. Passarin; BR>Sao Paulo>NULL>Jundiai>Barrios>Vila Rica; Vila Rica; RESIDENTIAL; 320; 172; Comprar; 600000; 2; 1; 2; 3; 0; 13216351; Casa térrea charmosa, ampla e arejada, com jardim frontal, jardim de inverno, e uma edícula com churrasqueira, banheiro, quarto e cozinha completa (entrada à parte). Gás de rua (água quente na torneira da cozinha), cozinha estilo americano com passa-prato para sala de jantar, que comporta mesa de 6 a 8 lugares. Equipada com ar condicionado na sala e 2 dormitórios, mais ventiladores de tetos nos 3 dormitórios. Repleta de armários embutidos nos 3 dormitórios, incluindo a suíte, banheiros, cozinha e quarto da edícula. Câmera de segurança, portão automático. Imóvel novo (construído em 2010), muito bem conservado, único Proprietário, vizinhança tranquila com segurança na rua, mercado e padaria próximos. Pode ser negociada mobiliada, caso haja interesse. ACEITA-SE PERMUTA COM APARTAMENTO EM SANTOS/SP.; BR:Jack Lanches, BR:V² Café & Restaurante, SU:FATEC Jundiaí, SU:Escola Alceu de Toledo Pontes, CH:Hospital Paulo Sacramento, CH:Oto.com Otorrinolaringologia, SC:Finamax S/A C.F.I.
2477963377; APARTMENT; UNIT; BR; Jundiaí; SP; ; BR>Sao Paulo>NULL>Jundiai>Barrios>Vila Rica; Vila Rica; RESIDENTIAL; 90; 90; Comprar; 491000; 2; 1; 2; 3; 550; 13216370; Residencial Allegr oJundiaí - Ponte São João2 dorms |90 metros Linda área de lazer, 2 vaga coberta Pronto para morar 5 minutos do Maxi ShoppingA 5 minutos do Centro de Jundiaí; CH:Hospital Paulo Sacramento, SC:Finamax S/A C.F.I., BR:Jack Lanches, SU:FATEC Jundiaí, SU:Escola Alceu de Toledo Pontes
2491118889; APARTMENT; UNIT; BR; Jundiaí; SP; Rua Lúcia B. Passarin; BR>Sao Paulo>NULL>Jundiai>Barrios>Vila Rica; Vila Rica; RESIDENTIAL; 77; 77; Comprar; 420000; 1; 1; 2; 2; 420; 13216351; "Condomínio Residencial Allegro Vila Rica-Jundiaí/SP"<br>Excelente Apartamento de 77 m²,02 Dormitórios,01 Suíte,01 Vaga Coberta,Sala de 02 Ambientes,Cozinha Planejada Ampla,Banheiros,Box Blindex,Área de Serviços,Repleto de Armários,Fino Acabamento,Varanda Envidraçada<br>Condomínio Clube Completo:Piscina infantil;Piscina adulto;Salão de Festas; Salão de jogos; Sala de ginástica; Brinquedoteca; Playground; Churrasqueira ,Quadra recreativa,Portaria e Segurança 24 hrs,etc<br>Localização Privilegiada,próximo ao Maxi Shopping,Cercado por Comércios e Serviços<br>Fácil acesso as Rodovias Anhanguera e Bandeirantes<br>Agende sua Visita Excelente Oportunidade!!! -; SC:Finamax S/A C.F.I., CH:Hospital Paulo Sacramento, CH:Oto.com Otorrinolaringologia, SU:FATEC Jundiaí, SU:Escola Alceu de Toledo Pontes, BR:Jack Lanches, BR:V² Café & Restaurante
2466808193; HOME; UNIT; BR; Jundiaí; SP; Rua Lúcia B. Passarin; BR>Sao Paulo>NULL>Jundiai>Barrios>Vila Rica; Vila Rica; RESIDENTIAL; 172; 172; Comprar; 610000; 2; 1; 2; 3; 0; 13216351; Código: 7367<br><br><br><br>Bairro: Vila Rica <br><br><br><br>Casa térrea 172 m² <br><br>* Móveis planejados em todos os cômodos <br><br>- 3 dormitórios sendo 1 suíte; <br><br>- 2 banheiros; <br><br>- Área de serviço; <br><br>- Jardim frontal e de inverno; <br><br>- Cozinha estilo americano; <br><br>- Sala de estar e jantar; <br><br>- Ar condicionado; <br><br>- Câmera de segurança e portão eletrônico; <br><br>- 2 vagas de garagem; <br><br>* Edícula com churrasqueira, banheiro, quarto e cozinha completa. <br><br><br><br>Excelente Oportunidade!!! <br><br>Ligue e agende sua visita <br><br><br><br><br><br><br><br>Reservamo-nos a qualquer erro de digitação e qualquer alteração no valor/descrição do imóvel a qualquer momento. <br><br><br><br>CRECI 29362 - J; SU:FATEC Jundiaí, SU:Escola Alceu de Toledo Pontes, CH:Hospital Paulo Sacramento, CH:Oto.com Otorrinolaringologia, BR:Jack Lanches, BR:V² Café & Restaurante, SC:Finamax S/A C.F.I.
