IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2495872677; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua Guaxuma; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Rio Branco; Vila Rio Branco; RESIDENTIAL; 0; 94; Comprar; 360000; 3; 2; 2; 2; 0; 03877000; No local temos 2 unidades com 74 M² Vlr $ 350 mil e com 94 M² Valor $ 360 mil <br><br>More na Vila Rio Branco em um sobrado novo com 2 suites, 3 vagas de garagem, sacada, sala, lavabo, ótima cozinha, lavanderia coberta e fechada, Excelente acabamento e localização, próximo ao comercial, condução farta, fácil acesso ao metrô. Não perca esta oportunidade, mande um e-mail ou ligue!!! Clique em nosso logo e veja mais oportunidades!; BS:Avenida Paranagua, CS:Panificadora Nova Imperador do Trigo, CS:Emporio de Produtos Naturais, CS:Center Carnes Ducastilho, CS:Delícia, CS:Bom Dia Panificadora, VP:Ração Japonesa, CH:Posto de Saúde - Ubs Pedro de Souza Campos
2478936977; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua Francisco de Souza Queiroz; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Rio Branco; Vila Rio Branco; RESIDENTIAL; 0; 250; Comprar; 550000; 4; 1; 3; 3; 0; 03874100; Belo sobrado em bairro tranquilo, a 4 km estação Vila Matilde do metrô, com diversos colégios próximos, academia e centros comerciais. Conta com 3 quartos bem grandes, sendo uma suíte com sacada. O imóvel possui 1 banheiro no térreo e outro no andar superior. Sala de estar ampla, sala de jantar e cozinha. Uma edícula com área de churrasco no piso superior, quintal lateral e uma garagem coberta com vaga para 4 veículos fechada com portão automático e todo fechado, proporcionando mais privacidade.; BS:Linha 2728/10 Jd. do Castelo X Metrô Penha, TS:Patriarca • Vila Ré, CS:Center Carnes Ducastilho, CS:Emporio de Produtos Naturais, CS:Panificadora Nova Imperador do Trigo, CS:Delícia, CS:Doces Michele, VP:Ração Japonesa
2495872076; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua Guaxuma; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Rio Branco; Vila Rio Branco; RESIDENTIAL; 0; 74; Comprar; 350000; 3; 2; 2; 2; 0; 03877000; More na Vila Rio Branco em um sobrado novo com 2 suites, 3 vagas de garagem, sacada, sala, lavabo, ótima cozinha, lavanderia coberta e fechada, Excelente acabamento e localização, próximo ao comercial, condução farta, fácil acesso ao metrô. Não perca esta oportunidade, mande um e-mail ou ligue!!! Clique em nosso logo e veja mais oportunidades!; BS:Avenida Paranagua, CS:Panificadora Nova Imperador do Trigo, CS:Emporio de Produtos Naturais, CS:Center Carnes Ducastilho, CS:Delícia, CS:Bom Dia Panificadora, VP:Ração Japonesa, CH:Posto de Saúde - Ubs Pedro de Souza Campos
2493874212; CONDOMINIUM; UNIT; BR; São Paulo; SP; Estrada de Mogi das Cruzes; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Rio Branco; Vila Rio Branco; RESIDENTIAL; 100; 65; Comprar; 250000; 1; 2; 2; 2; 50; 03890000; Lindos sobrados ao lado das Avenidas Mogi das Cruzes (Imperador) e São Miguel, condução na porta para o Metrô Patriarca (10 minutos), situado em rua tranquila, mas próximo de amplo comercio e meios de transporte fartos, Sobrados com 2 suites, sala para 2 ambientes, lavabo, cozinha grande, área de serviço coberta e 1 vaga de garagem. Excelente acabamento, porcelanato polido na sala e cozinha, escada em granito, pias em granito, vidros temperados, interfone, portão automatizado, etc. ***Aceita financiamento e FGTS*** Não perca esta oportunidade, mande e-mail e agende uma visita! ***Clique em nosso logo e veja mais oportunidades!; CS:Panificadora Nova Imperador do Trigo, CS:Emporio de Produtos Naturais, CS:Center Carnes Ducastilho, CS:Delícia, CS:Doces Michele, VP:Ração Japonesa, CH:Posto de Saúde - Ubs Pedro de Souza Campos, CH:UBS Vila Granada, SC:Lotericas Bolso Cheio, SC:Glamuor, SC:Negreiros Supermercados - Ponte Rasa, SC:Chama, SC:Moveis Itigunssu
2245975500; APARTMENT; UNIT; BR; São Paulo; SP; Rua dos Bolivianos; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Rio Branco; Vila Rio Branco; RESIDENTIAL; 39; 39; Comprar; 180000; 0; 0; 1; 2; 0; 03873100; Dispõe de 2 dormitórios, sala, cozinha, área de serviço, wc ,quintal , com vaga ou sem vaga de garagem.<br>Excelente localização tudo perto , próximo a Avenida Amador Bueno da Veiga , a poucos minutos para o Tiquatira .<br><br>Ultimas unidades corra ainda da tempo !!! -; CS:Panificadora Nova Imperador do Trigo, CS:Emporio de Produtos Naturais, CS:Center Carnes Ducastilho, CS:Delícia, CS:Bom Dia Panificadora, VP:Ração Japonesa, CH:Posto de Saúde - Ubs Pedro de Souza Campos, SC:Lotericas Bolso Cheio, SC:Glamuor, SC:Negreiros Supermercados - Ponte Rasa, SC:Chama, SC:Mini Extra
2476751628; HOME; UNIT; BR; São Paulo; SP; Rua Guaxuma; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Rio Branco; Vila Rio Branco; RESIDENTIAL; 95; 95; Comprar; 360000; 3; 2; 2; 2; 0; 03877000; Lindos sobrados novos á venda, possuem 2 (duas) suítes, sendo uma delas com sacada, sala para 2 (dois) ambientes, lavabo, cozinha, área de serviço, e 3 vagas de garagem. Excelente acabamento, todo revestido em porcelanato fosco. ótima localização, próximo á Estrada de Mogi Das Cruzes, com vários serviços de comércio e diversas linhas de ônibus. Venha fazer uma visita! -; BS:Avenida Paranagua, CS:Panificadora Nova Imperador do Trigo, CS:Emporio de Produtos Naturais, CS:Center Carnes Ducastilho, CS:Delícia, CS:Bom Dia Panificadora, VP:Ração Japonesa, CH:Posto de Saúde - Ubs Pedro de Souza Campos
2464366406; HOME; UNIT; BR; São Paulo; SP; Rua Guaxuma; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Rio Branco; Vila Rio Branco; RESIDENTIAL; 81; 81; Comprar; 358000; 3; 2; 2; 2; 0; 03877000; Sobrado frontal com 2 dormitórios, sendo 2 suítes, 3 vagas de garagem, sala ampla, cozinha e área de serviço. Com 80,74 m² de área construída, localizado entre Avenida São Miguel e Estrada Mogi das Cruzes ( antiga Av. Imperador ).<br><br>Documentação em ordem para financiamento e uso de FGTS. -; BS:Avenida Paranagua, CS:Panificadora Nova Imperador do Trigo, CS:Emporio de Produtos Naturais, CS:Center Carnes Ducastilho, CS:Delícia, CS:Bom Dia Panificadora, VP:Ração Japonesa, CH:Posto de Saúde - Ubs Pedro de Souza Campos
2490393689; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Rio Branco; Vila Rio Branco; RESIDENTIAL; 70; 95; Comprar; 360000; 3; 2; 3; 2; 0; ; Oportunidade. São 3 sobrados novos 73, 80 95 m² - Ambos tem 3 vagas para auto, sala, lavabo, cozinha área de serviço e 2 excelentes suítes. Construtora tradicional, acabamento diferenciado. Excelente localização, próximo a todo o comércio. Vale a pena conferir. Documentação Ok para financiamento e resgate de FGTS.<br>Sobrado A 80 m² R$ 360.000,00<br>Sobrado B 73 m² R$ 350.000,00<br>Sobrado C 94 m² R$ 360.000,00!!! - Data da Atualização:; BS:Linha 2728/10 Jd. do Castelo X Metrô Penha, CS:Panificadora Nova Imperador do Trigo, CS:Emporio de Produtos Naturais, CS:Center Carnes Ducastilho, CS:Delícia, CS:Doces Michele, VP:Ração Japonesa, CH:Posto de Saúde - Ubs Pedro de Souza Campos, CH:UBS Vila Granada
2485913590; HOME; UNIT; BR; São Paulo; SP; Avenida Lagoa Mirim; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Rio Branco; Vila Rio Branco; RESIDENTIAL; 187; 90; Comprar; 310000; 2; 0; 2; 2; 0; 03877110; Casa térrea com 2 dormitórios, sala, cozinha e banheiro. Nos fundos há uma pequena edicula, amplo quintal e corredor lateral. Ponto de ônibus para o metro Patriarca em frente e há 2 minutos andando do Centro da Ponte Rasa aonde há todos os comércios da região rua ampla e tranquila. <br> <br>Agende sua visita | (Whatsapp) ou pelo site: <br> <br>www.pedrodelima.com.br <br>Todas as informações e valores exibidos neste portal são fornecidos pelos proprietários dos imóveis podendo sofrer alterações sem aviso prévio. Consulte nossos consultores.; BS:Avenida Paranagua, CS:Panificadora Nova Imperador do Trigo, CS:Emporio de Produtos Naturais, CS:Center Carnes Ducastilho, CS:Bom Dia Panificadora, CS:Delícia, VP:Ração Japonesa, CH:Posto de Saúde - Ubs Pedro de Souza Campos
2485914249; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua Caraí; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Rio Branco; Vila Rio Branco; RESIDENTIAL; 146; 100; Comprar; 380000; 2; 2; 3; 3; 0; 03874030; Sobrado, contendo 3 dormitórios, 2 suítes , Sala para 2 ambientes, Cozinha , Lavanderia, edícula com quarto, banheiro e 2 Vagas de garagem. Ótima localização. <br> <br>Agende sua visita: ou pelo site: www.pedrodelima.com.br <br> <br>Todas as informações e valores exibidos neste portal são fornecidos pelos proprietários dos imóveis podendo sofrer alterações sem aviso prévio. Consulte nossos consultores.; BS:Avenida Paranagua, CS:Panificadora Nova Imperador do Trigo, CS:Emporio de Produtos Naturais, CS:Center Carnes Ducastilho, CS:Delícia, CS:Doces Michele, VP:Ração Japonesa, CH:Posto de Saúde - Ubs Pedro de Souza Campos
