IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2436687786; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Manoel dos Santos Braga; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Robertina; Vila Robertina; RESIDENTIAL; 110; 55; Comprar; 215000; 1; 0; 1; 2; 500; 03807320; Lindo apartamento localizado próximo à Av. São Miguel, bancos, farmácias, supermercados, muito bem localizado, contendo uma vaga de garagem e varanda. Andar alto! O condomínio possui piscina, quadra, churrasqueira, salão de festas, brinquedoteca, playground, etc... Aceita financiamento bancário!; BS:Avenida Paranagua, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, CS:Bom Dia Panificadora, CS:Nova Rio D'Ouro, CS:Fênix Casa de Pães, CH:Posto de Saúde - Ubs Pedro de Souza Campos, SC:Bezzerra Cama Mesa e banho, SC:Mini Extra, SC:Mercado Yasmim, SC:Negreiros Supermercados - Ponte Rasa
2431511299; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Manoel dos Santos Braga; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Robertina; Vila Robertina; RESIDENTIAL; 67; 67; Comprar; 330000; 1; 0; 1; 2; 570; 03807320; Apartamento 2 dormit´rios, 1 vaga<br>Lazer completo<br>Dois salões de festas<br>Uma churrasqueira<br>Quadra poliesportiva<br>Piscina adulto e infantil<br>Três elevadores<br>Cond. 530,00 água e gás incluso, proximo, a padarias, supermercados, e boas escolas<br>Obs: Ano de construção, Valor de IPTU e/ou condomínio à confirmar.<br>Aceito permuta por apartamento em Guarulhos -; BS:Avenida Paranagua, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, TS:Comendador Ermelino, CS:Bom Dia Panificadora, CS:Nova Rio D'Ouro, CS:Fênix Casa de Pães, CH:Posto de Saúde - Ubs Pedro de Souza Campos
2488885738; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua 21 de Setembro; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Robertina; Vila Robertina; RESIDENTIAL; 270; 270; Comprar; 450000; 2; 2; 3; 2; 0; 03807020; Sobrado bem localizado na região de Ermelino Matarazzo proximo a Hospital e varios comercios da região. -; BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, BS:Avenida Paranagua, TS:Comendador Ermelino, CS:Bom Dia Panificadora, CS:Fênix Casa de Pães, CH:Posto de Saúde - Ubs Pedro de Souza Campos
2442372077; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Manoel dos Santos Braga; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Robertina; Vila Robertina; RESIDENTIAL; 56; 56; Comprar; 260000; 1; 0; 1; 2; 515; 03807320; Lindo Apartamento com 2 dormitórios 56 M² e 1 vaga de garagem.<br>Com Planejados e lazer -; BS:Avenida Paranagua, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, CS:Bom Dia Panificadora, CS:Nova Rio D'Ouro, CS:Fênix Casa de Pães, CH:Posto de Saúde - Ubs Pedro de Souza Campos, SC:Bezzerra Cama Mesa e banho, SC:Mini Extra, SC:Mercado Yasmim, SC:Negreiros Supermercados - Ponte Rasa
2493348858; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Manoel dos Santos Braga; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Robertina; Vila Robertina; RESIDENTIAL; 64; 64; Comprar; 250000; 1; 0; 1; 2; 500; 03807320; Apartamento Ermelino Matarazzo.<br><br>Composto por 02 dormitórios, 64 m², cozinha, área de serviço, banheiro, 01 vaga de garagem.<br><br>Próximo à uma das principais vias do bairro, onde está amparado por comércios e conduções públicas fácil acesso.<br><br>Aceita financiamento e utilização do FGTS ou seu Veículo Sob Avaliação! <br><br>Temos uma assessoria Bancária própria, pronta para lhe atender! <br><br>Ligue e faça sua simulação gratuita, e agende sua visita!<br><br>Siga nossas redes sociais<br>www.agnimoveis.com.br -; BS:Avenida Paranagua, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, CS:Bom Dia Panificadora, CS:Fênix Casa de Pães, CS:Nova Rio D'Ouro, CS:Padaria Flor do Imperador, CH:Posto de Saúde - Ubs Pedro de Souza Campos, CH:UBS Vila Ramos, SC:Bezzerra Cama Mesa e banho, SC:Mini Extra, SC:Mercado Yasmim, SC:LCA Modas, SC:Craveiro
2490010776; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Manoel dos Santos Braga; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Robertina; Vila Robertina; RESIDENTIAL; 55; 55; Comprar; 244000; 1; 0; 1; 2; 465; 03807320; Villa Paradizo - São Miguel.<br><br>Apartamento a venda de 55 m2,2 dormitórios,sala com sacada,cozinha,banheiro,área de serviço e 1 vaga coberta livre.<br><br>Condomínio com<br>Piscina, Parquinho e Praça Infantil, Brinquedoteca e Quadra.<br><br>Ótima localização,região privilegiada com grande variedade de comércio no entorno.<br><br>Fácil acesso a Avenida São Miguel,Rodovia dos trabalhadores,Radial Leste e Marginais.<br><br>Ferrari Ramos Imóveis<br><br> whats<br>CRECI:33.114-J<br>www.ferrariramos.com.br -; BS:Avenida Paranagua, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, CS:Bom Dia Panificadora, CS:Nova Rio D'Ouro, CS:Fênix Casa de Pães, CH:Posto de Saúde - Ubs Pedro de Souza Campos, SC:Bezzerra Cama Mesa e banho, SC:Mini Extra, SC:Mercado Yasmim, SC:Negreiros Supermercados - Ponte Rasa
2485913812; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Manoel dos Santos Braga; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Robertina; Vila Robertina; RESIDENTIAL; 63; 63; Comprar; 260000; 1; 0; 1; 2; 519; 03807320; 2 dormitórios com piso frio , sala com sacada , cozinha com planejados , area de serviço , 1 vaga de garagem , próximo da avenida são miguel , supermercados , bancos , Centro comercial da ponte rasa. Todas as informações e valores exibidos neste portal são fornecidos pelos proprietários dos imóveis podendo sofrer alterações sem aviso prévio. Consulte nossos consultores. Agende sua visita ou pelo site: www.pedrodelima.com.br; BS:Avenida Paranagua, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, CS:Bom Dia Panificadora, CS:Nova Rio D'Ouro, CS:Fênix Casa de Pães, CH:Posto de Saúde - Ubs Pedro de Souza Campos, SC:Bezzerra Cama Mesa e banho, SC:Mini Extra, SC:Mercado Yasmim, SC:Negreiros Supermercados - Ponte Rasa
2476711186; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Robertina; Vila Robertina; RESIDENTIAL; 63; 63; Comprar; 290000; 1; 0; 1; 2; 600; 03807320; <b></b><i><b>LINDO APARTAMENTO LOCALIZADO VILA ROBERTINA:</b></i><br><br><b><i>- 63 METROS QUADRADOS;</i></b><br><b><i>- 02 DORMITÓRIOS;<br></i></b><b><i>- 01 BANHEIRO;<br></i></b><i><b>- VARANDA;<br></b></i><b><i>- 01 VAGA DE GARAGEM;</i></b><br><i><b>- AREÁDE SERVIÇO;</b></i><br><b><i>- ACEITA PET.</i></b><br><br><b><i>CONDOMÍNIO POSSUI:<br></i></b><br><i><b>- PISCINA;</b></i><br><i><b>- CHURRASQUEIRA;<br></b></i><b><i>- ACADEMIA;</i></b><br><i><b>- CHURRASQUEIRA;<br></b></i><i><b>- BRINQUEDOTECA;<br></b></i><b><i>- QUADRA;</i></b><br><b><i>- SALÃO DE JOGOS;</i></b><br><i><b>- SALÃO DE FESTAS.</b></i><br><br><b><i><br>VALORES:</i></b><br><br><b><i>VENDA: R$ 290.000,00</i></b><br><b><i>CONDOMÍNIO: R$ 600,00</i></b><br><br><b>PARA MAIORES INFORMAÇÕES FAVOR ENTRAR EM CONTATO NO TELEFONE/WHATSAPP:</b><br><b>/ / </b><br><b>WWW.HIDAKAIMOVEIS.COM.BR</b><br><b><br></b><br><b>ENCONTRAMOS O MELHOR CRÉDITO IMOBILIÁRIO PARA VOCÊ FAZER O FINANCIAMENTO DO IMÓVEL DOS SEUS SONHOS.</b><br><br> <br><br> <br> <br><br><br>Chave do anúncio: LmcFLdBgsG37SE0Y; BS:Avenida Paranagua, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, CS:Bom Dia Panificadora, CS:Fênix Casa de Pães, CS:Nova Rio D'Ouro, CS:Padaria Flor do Imperador, CH:Posto de Saúde - Ubs Pedro de Souza Campos, CH:UBS Vila Ramos, SC:Bezzerra Cama Mesa e banho, SC:Mini Extra, SC:Mercado Yasmim, SC:LCA Modas, SC:Craveiro
2485912514; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Manoel dos Santos Braga; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Robertina; Vila Robertina; RESIDENTIAL; 64; 55; Comprar; 290000; 1; 0; 1; 2; 460; 03807320; Apartamento contendo 2 Dormitórios, planejados, Banheiro com box e armários, Sala com planejados e sanca com iluminação de led, sacada, Cozinha rica em planejados, Lavanderia com planejados e vaga coberta. <br> <br>Agende sua visita | (Whatsapp) ou pelo site: <br> <br>www.pedrodelima.com.br <br>Todas as informações e valores exibidos neste portal são fornecidos pelos proprietários dos imóveis podendo sofrer alterações sem aviso prévio. Consulte nossos consultores.; BS:Avenida Paranagua, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, CS:Bom Dia Panificadora, CS:Nova Rio D'Ouro, CS:Fênix Casa de Pães, CH:Posto de Saúde - Ubs Pedro de Souza Campos, SC:Bezzerra Cama Mesa e banho, SC:Mini Extra, SC:Mercado Yasmim, SC:Negreiros Supermercados - Ponte Rasa
2482054565; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Manoel dos Santos Braga; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Robertina; Vila Robertina; RESIDENTIAL; 55; 55; Comprar; 244000; 1; 0; 1; 2; 490; 03807320; Apartamento São Miguel.<br><br>Situado na zona leste de São Paulo;Região favorecida por farto comércio no entorno para atender o seu dia a dia.Com 55 m², 2 dormitórios,sala 2 ambientes com sacada,cozinha,área de serviço e 1 vaga coberta livre.O condomínio conta com segurança 24 horas,Piscina, Parquinho e Praça Infantil, Brinquedoteca e Quadra.<br><br>ACEITA FINANCIAMENTO!!<br><br>Ótima infraestrutura no entorno. Entre em contato conosco pelo telefone e agende sua visita com um de nossos corretores.<br>Obs: Ano de construção, Valor de IPTU e/ou condomínio à confirmar. -; BS:Avenida Paranagua, BS:Linha 2719/10 Ermelino Matarazzo X Metrô Vila Matilde, BS:Linha 2720/10 Jd. Belém X Metrô Guilhermina, CS:Bom Dia Panificadora, CS:Nova Rio D'Ouro, CS:Fênix Casa de Pães, CH:Posto de Saúde - Ubs Pedro de Souza Campos, SC:Bezzerra Cama Mesa e banho, SC:Mini Extra, SC:Mercado Yasmim, SC:Negreiros Supermercados - Ponte Rasa
