IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2475466407; APARTMENT; UNIT; BR; São José dos Campos; SP; ; BR>Sao Paulo>NULL>Sao Jose dos Campos>Barrios>Vila Rubi; Vila Rubi; RESIDENTIAL; 98; 98; Comprar; 380000; 1; 1; 2; 3; 550; 12245591; Apto com 98m2 , com 3 dormitorios, sendo uma suite com closet, quartos grandes com armarios cozinha com porcelanato e armarios novos; BS:Vicentina Aranha, BS:Avenida São João, BS:Center Vale Shopping, BS:ETEP, BS:Praça Kennedy, TS:Vicentina Aranha, TS:Avenida São João, TS:Center Vale Shopping, TS:ETEP, TS:Praça Kennedy, CS:Vita Sol Orgânicos, CS:Pão Kent Padaria, CS:Naturalvalle, CS:Ema Hort Frut Mercearia, CS:Casa de Carnes Estrela do Sul, PH:Farma Conde, PH:Phitofarma, PH:Drogaria Chaparral, PH:Nostra Fórmula, PH:Drogaria Milenio
2485151141; APARTMENT; UNIT; BR; São José dos Campos; SP; ; BR>Sao Paulo>NULL>Sao Jose dos Campos>Barrios>Vila Rubi; Vila Rubi; RESIDENTIAL; 100; 100; Comprar; 350000; 1; 1; 2; 3; 360; 12245090; <b>Dependências:</b> (3) dormitórios: sendo (1) suíte; (2) banheiros; box no bwc; armários nos quartos; sl. 2 ambientes; cozinha; cozinha planejada; área de serviço;. <br><br><b>O que tem Perto:</b> Farmácia, Feiras, Lanchonete, Panificadora, Sorveteria, Pet Shop, . <br><br><b>Observações:</b> Consulte-nos sobre a disponibilidade e as informações do imóvel anunciado. Valores sujeitos a alteração..; BS:Vicentina Aranha, BS:Center Vale Shopping, BS:Avenida São João, BS:Parada Vale Sul Shopping, BS:Praça Kennedy, TS:Vicentina Aranha, TS:Center Vale Shopping, TS:Avenida São João, TS:Parada Vale Sul Shopping, TS:Praça Kennedy, CS:Ema Hort Frut Mercearia, CS:Pão Kent Padaria, CS:Vita Sol Orgânicos, CS:Naturalvalle, CS:Casa de Carnes Estrela do Sul, PH:Phitofarma, PH:Drogaria Chaparral, PH:Nostra Fórmula, PH:Drogaria Milenio
2475466633; APARTMENT; UNIT; BR; São José dos Campos; SP; ; BR>Sao Paulo>NULL>Sao Jose dos Campos>Barrios>Vila Rubi; Vila Rubi; RESIDENTIAL; 100; 100; Comprar; 350000; 1; 1; 2; 3; 430; 12245090; Apartamento na Vila Rubi<br><br>03 Dormitorios sendo uma suite, sala, cozinha, Lavanderia, 1 quarto, 02 Banheiros com Box <br><br>Obs Os Quarto estao com Guarda Roupa, e box nos Banheiro; BS:Vicentina Aranha, BS:Center Vale Shopping, BS:Avenida São João, BS:Parada Vale Sul Shopping, BS:Praça Kennedy, TS:Vicentina Aranha, TS:Center Vale Shopping, TS:Avenida São João, TS:Parada Vale Sul Shopping, TS:Praça Kennedy, CS:Ema Hort Frut Mercearia, CS:Pão Kent Padaria, CS:Vita Sol Orgânicos, CS:Naturalvalle, CS:Casa de Carnes Estrela do Sul, PH:Farma Conde, PH:Phitofarma, PH:Drogaria Chaparral, PH:Nostra Fórmula, PH:Drogaria Milenio
2479326025; APARTMENT; UNIT; BR; São José dos Campos; SP; Rua Nassau; BR>Sao Paulo>NULL>Sao Jose dos Campos>Barrios>Vila Rubi; Vila Rubi; RESIDENTIAL; 110; 98; Comprar; 380000; 1; 1; 2; 3; 550; 12245591; Apartamento Vila Adyana,Perto do Parque Santos dumont,localização Privilegiada,98 metros² de área útil,1 vaga de garagem,Sala ampla 2 ambientes,Banheiro social,3 dormitórios sendo uma suite,área de serviço,venha conhecer...á hora é agora..<br><br>Vendas: i9vale Imóveis - Creci: 28.674J, a sua imobiliária em SJC | Imóveis únicos em São José dos Campos, Jacareí, Região do Vale do Paraíba SP e Brasil - Casas em condomínio, Apartamentos, Terrenos e Comercial. Baixe nosso APP i9vale Imóveis em seu Smartphone e pesquise os imóveis diretamente de seu celular. -; BS:Vicentina Aranha, BS:Avenida São João, BS:Center Vale Shopping, BS:ETEP, BS:Praça Kennedy, TS:Vicentina Aranha, TS:Avenida São João, TS:Center Vale Shopping, TS:ETEP, TS:Praça Kennedy, CS:Vita Sol Orgânicos, CS:Naturalvalle, CS:Ema Hort Frut Mercearia, CS:Casa de Carnes Estrela do Sul, CS:Pão Kent Padaria, PH:Farma Conde, PH:Phitofarma, PH:Drogaria Chaparral, PH:Nostra Fórmula, PH:Drogaria Milenio
2492385512; APARTMENT; UNIT; BR; São José dos Campos; SP; ; BR>Sao Paulo>NULL>Sao Jose dos Campos>Barrios>Vila Rubi; Vila Rubi; RESIDENTIAL; 100; 100; Comprar; 349000; 0; 1; 2; 3; 430; 12245090; Apartamento com 100 m 2 , três quartos com armários embutidos, sendo uma suite, ampla sala, cozinha com armários planejados, área de serviço e dependência de empregada<br><br>A disposição para agendar visitas <br><br>Corretora Vivian Creci 177.775<br><br>Mais informações em www.corretoravivian.com.br; BS:Vicentina Aranha, BS:Center Vale Shopping, BS:Avenida São João, BS:Parada Vale Sul Shopping, BS:Praça Kennedy, TS:Vicentina Aranha, TS:Center Vale Shopping, TS:Avenida São João, TS:Parada Vale Sul Shopping, TS:Praça Kennedy, CS:Ema Hort Frut Mercearia, CS:Pão Kent Padaria, CS:Vita Sol Orgânicos, CS:Naturalvalle, CS:Casa de Carnes Estrela do Sul, PH:Phitofarma, PH:Drogaria Chaparral, PH:Nostra Fórmula, PH:Drogaria Milenio
2488218675; APARTMENT; UNIT; BR; São José dos Campos; SP; ; BR>Sao Paulo>NULL>Sao Jose dos Campos>Barrios>Vila Rubi; Vila Rubi; RESIDENTIAL; 119; 119; Comprar; 350000; 1; 1; 2; 3; 440; 12245090; Apartamento de 119 m² com 3 dormitórios sendo 1 suíte, sala de estar e sala de jantar, cozinha planejada, lavanderia, dormitório e banheiro de empregada e 1 vaga de garagem. -; BS:Vicentina Aranha, BS:Center Vale Shopping, BS:Avenida São João, BS:Parada Vale Sul Shopping, BS:Praça Kennedy, TS:Vicentina Aranha, TS:Center Vale Shopping, TS:Avenida São João, TS:Parada Vale Sul Shopping, TS:Praça Kennedy, CS:Ema Hort Frut Mercearia, CS:Pão Kent Padaria, CS:Vita Sol Orgânicos, CS:Naturalvalle, CS:Casa de Carnes Estrela do Sul, PH:Farma Conde, PH:Phitofarma, PH:Drogaria Chaparral, PH:Nostra Fórmula, PH:Drogaria Milenio
2465183795; APARTMENT; UNIT; BR; São José dos Campos; SP; Rua Guanahani; BR>Sao Paulo>NULL>Sao Jose dos Campos>Barrios>Vila Rubi; Vila Rubi; RESIDENTIAL; 100; 100; Comprar; 349000; 2; 0; 2; 3; 430; 12245090; Apartamento com 100 m2 , três quartos com armários embutidos, sendo uma suíte, ampla sala, cozinha com armários planejados, área de serviço e dependência de empregada. Bem localizado, próximo ao Shopping CenterVale e CTA, Anel Viário, o comércio é amplo e variado, com lojas de roupas, utensílios domésticos, bares, restaurantes, padarias, bancos, fácil acesso aos pontos de ônibus, faculdades, tudo de fácil acesso e em pequenos deslocamentos, facilitando assim os afazeres diários. -; BS:Vicentina Aranha, BS:Center Vale Shopping, BS:Avenida São João, BS:Praça Kennedy, BS:ETEP, TS:Vicentina Aranha, TS:Center Vale Shopping, TS:Avenida São João, TS:Praça Kennedy, TS:ETEP, CS:Ema Hort Frut Mercearia, CS:Pão Kent Padaria, CS:Vita Sol Orgânicos, CS:Naturalvalle, CS:Casa de Carnes Estrela do Sul, PH:Farma Conde, PH:Phitofarma, PH:Drogaria Chaparral, PH:Nostra Fórmula, PH:Drogaria Milenio
2488389388; APARTMENT; UNIT; BR; São José dos Campos; SP; ; BR>Sao Paulo>NULL>Sao Jose dos Campos>Barrios>Vila Rubi; Vila Rubi; RESIDENTIAL; 110; 110; Comprar; 350000; 0; 0; 2; 3; 430; 12245090; Apartamento, Amplo em Localização Privilegiada em São José dos Campos (atrás do Sesc, próximo ao Pq Santo Dumont) com 3 dormitórios, armários, banheiro social, sala ampla para 2 ambientes, cozinha ampla com copa e armários, lavanderia, vaga de garagem coberta.<br>agende sua visita com um de nossos corretores! -; BS:Vicentina Aranha, BS:Center Vale Shopping, BS:Avenida São João, BS:Praça Kennedy, BS:ETEP, TS:Vicentina Aranha, TS:Center Vale Shopping, TS:Avenida São João, TS:Praça Kennedy, TS:ETEP, CS:Ema Hort Frut Mercearia, CS:Pão Kent Padaria, CS:Vita Sol Orgânicos, CS:Naturalvalle, CS:Casa de Carnes Estrela do Sul, PH:Farma Conde, PH:Phitofarma, PH:Drogaria Chaparral, PH:Nostra Fórmula, PH:Drogaria Milenio
2477488637; APARTMENT; UNIT; BR; São José dos Campos; SP; Rua Nassau; BR>Sao Paulo>NULL>Sao Jose dos Campos>Barrios>Vila Rubi; Vila Rubi; RESIDENTIAL; 130; 130; Comprar; 570000; 2; 1; 3; 3; 1100; 12245591; Otimo Apartamento - Excelente localizacao<br><br>- 3 dormitorios; <br>- Sendo 1 suite master com hidro;<br>- Armarios planejados em todos os dormitorios, banheiro e cozinha;<br>- lavanderia;<br>- lavabo;<br>- sala teto rebaixado em gesso e iluminacao planejada; <br>- 2 vagas de garagem<br><br>- Lazer completo<br><br>- piscina<br>- quadra society<br>- academia<br>- playgraund<br>- churrasqueira<br>- sauna<br>- salao de festas<br>- salao de jogos; BS:Vicentina Aranha, BS:Avenida São João, BS:Center Vale Shopping, BS:ETEP, BS:Praça Kennedy, TS:Vicentina Aranha, TS:Avenida São João, TS:Center Vale Shopping, TS:ETEP, TS:Praça Kennedy, CS:Vita Sol Orgânicos, CS:Pão Kent Padaria, CS:Naturalvalle, CS:Ema Hort Frut Mercearia, CS:Casa de Carnes Estrela do Sul, PH:Phitofarma, PH:Drogaria Chaparral, PH:Nostra Fórmula, PH:Drogaria Milenio
2493602706; APARTMENT; UNIT; BR; São José dos Campos; SP; ; BR>Sao Paulo>NULL>Sao Jose dos Campos>Barrios>Vila Rubi; Vila Rubi; RESIDENTIAL; 130; 130; Comprar; 320000; 1; 0; 2; 3; 350; 12243260; PISO FRIO, ARMARIO EMBUTIDO, SALA AMPLA. REF 80258 - R$ 320.000,00 - Maciel Negócios Imobiliários Ltda - CRECI 11.956 J - www.imobiliariamaciel.com.br Atualizado em; BS:Extra, BS:ETEP, BS:Vicentina Aranha, BS:Colinas, BS:Anchieta, TS:Extra, TS:ETEP, TS:Vicentina Aranha, TS:Colinas, TS:Parada Vale Sul Shopping, CS:Casa de Carnes Estrela do Sul, CS:Prime Meat, CS:Sodiê Doces, CS:Vita Sol Orgânicos, CS:Naturalvalle, PH:Phitofarma, PH:Drogaria Chaparral, PH:Byofórmula, PH:Droga Quinze, PH:Terapêutica
