IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2499268525; APARTMENT; UNIT; BR; São Paulo; SP; Rua Val de Palmas; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Santa Clara; Vila Santa Clara; RESIDENTIAL; 70; 50; Comprar; 295000; 1; 0; 1; 2; 365; 03161080; Apartamento vago em excelente localização na região da Santa Clara, 2 dormitórios, sala 2 ambientes com sacada, banheiro social, cozinha com armários planejados, área de serviço e 1 vaga de garagem.<br>Condomínio com lazer completo (jardim, churrasqueira, piscina, playground, brinquedoteca, academia, salão de festas e salão de jogos). <br>Próximo à Estação do Monotrilho Oratório / Metrô Vila Prudente, com fácil acesso para as principais Avenidas da região (Anhaia Melo e Salim Maluf), com muitas opções de comércio nas imediações.; BS:Avenida Adutora do Rio Claro 41, BS:Avenida Adutora do Rio Claro 26, BS:Avenida Sapopemba 2629, BS:Avenida Sapopemba 2748, BS:Rua Doutor Gabriel de Resende 360, TS:Avenida Adutora do Rio Claro 41, TS:Avenida Adutora do Rio Claro 26, TS:Avenida Sapopemba 2629, TS:Avenida Sapopemba 2748, TS:Rua Doutor Gabriel de Resende 360, CS:Padraira Total Sucesso, CS:Casa de Carnes Vale do Douro, CS:Padaria Novo Cruzeiro, CS:Bonas, CS:Bella Regente, PH:Droga Leste
2491286494; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Santa Clara; Vila Santa Clara; RESIDENTIAL; 123; 123; Comprar; 500000; 2; 2; 3; 2; 0; 03273400; SOBRADO EM CONDOMINIO FECHADO<br><br>VILA SANTA CLARA, PRÓXIMO AO MONOTRILHO ORATÓRIO<br><br>2 DORMITÓRIOS, SENDO 2 SUÍTES, UMA COM CLOSET E SACADA<br>SALA DOIS AMBIENTES<br>COZINHA COM ARMÁRIOS PLANEJADOS<br>LAVABO<br>LAVANDERIA<br>2 VAGAS DE GARAGEM<br>123mt2<br><br>ACEITA FINANCIAMENTO BANCÁRIO, APENAS 20% DE ENTRADA!<br><br>VALOR: R$500.000 MIL REAIS! -; BS:Avenida Sapopemba 2748, BS:Avenida Sapopemba 3112, BS:Avenida Sapopemba 3013, BS:Avenida Sapopemba 3207, BS:Avenida Sapopemba 2629, TS:Oratório, TS:Avenida Sapopemba 3013, TS:Avenida Sapopemba 2748, TS:Avenida Sapopemba 3112, TS:Avenida Sapopemba 2629, CS:Padraira Total Sucesso, CS:Padaria Novo Cruzeiro, CS:Bonas, CS:Casa de Carnes Vale do Douro, CS:Bella Regente, CH:Consultório Dentário
2429373036; CONDOMINIUM; UNIT; BR; São Paulo; SP; Rua Advogado Modesto Naclério Homem; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Santa Clara; Vila Santa Clara; RESIDENTIAL; 112; 112; Comprar; 569900; 2; 1; 3; 3; 280; 03274110; SOMOS CORRESPONDENTE BANCÁRIO!!!<br>Habilitamos seu crédito de forma rápida e fácil!!!<br>Estudamos carro e FGTS como entrada!!!<br><br>**EXCELENTE SOBRADO TRIMONTE**<br><br>16 Maravilhosos Sobrados;<br>Unidades a partir de 112,00 m² de área útil;<br>Localização Privilegiada;<br>Arquitetura diferenciada;<br>3 Dorms (1 suíte);<br>Sala c/ 2 ambientes;<br>Lavabo;<br>Cozinha;<br>Garagem para 02 veículos;<br>Área de Serviço;<br>Lazer com piscina e churrasqueira;<br>Previsão de condomínio: R$280,00.<br><br><br>AGENDE JÁ A SUA VISITA!!<br><br>Documentação ok para Financiamento/FGTS ou Consórcio.<br><br>**Para maiores informações consulte nossos corretores**<br><br>Fone ou (Renato) ou (Juliana). -; BS:Avenida Sapopemba 3572, BS:Avenida Sapopemba 3381, BS:Avenida Sapopemba 3715, BS:Avenida Sapopemba 3280, BS:Avenida Sapopemba 3809, TS:Avenida Sapopemba 3572, TS:Avenida Sapopemba 3381, TS:Avenida Sapopemba 3715, TS:Avenida Sapopemba 3280, TS:Avenida Sapopemba 3809, CS:Bonas, CS:Padaria Novo Cruzeiro, CS:Padraira Total Sucesso, CS:Casa de Carnes Vale do Douro, CS:Julio's Casa de Pães, CH:Consultório Dentário
2498879730; APARTMENT; UNIT; BR; São Paulo; SP; Rua Barão de Caçapava; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Santa Clara; Vila Santa Clara; RESIDENTIAL; 35; 35; Comprar; 235000; 0; 0; 1; 1; 150; 03273540; Apartamento novo na Santa Clara contendo 1 dormitório, wc social, sala, cozinha e área de serviço. <br>Sem vaga.<br>Localizado a 100 metros da estação Oratório do monotrilho. -; BS:Avenida Sapopemba 3280, BS:Avenida Sapopemba 3207, BS:Avenida Sapopemba 3112, BS:Avenida Sapopemba 3381, BS:Avenida Sapopemba 3013, TS:Oratório, TS:Avenida Sapopemba 3280, TS:Avenida Sapopemba 3207, TS:Avenida Sapopemba 3112, TS:Avenida Sapopemba 3381, CS:Padaria Novo Cruzeiro, CS:Bonas, CS:Padraira Total Sucesso, CS:Casa de Carnes Vale do Douro, CS:Bella Regente, CH:Consultório Dentário
2498879728; APARTMENT; UNIT; BR; São Paulo; SP; Rua Barão de Caçapava; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Santa Clara; Vila Santa Clara; RESIDENTIAL; 35; 35; Comprar; 240000; 0; 0; 1; 1; 150; 03273540; Apartamento novo na Santa Clara contendo 1 dormitório, wc social, sala, cozinha e área de serviço.<br>Sem vaga.<br>Localizado a 600 metros da estação Oratório do monotrilho. -; BS:Avenida Sapopemba 3280, BS:Avenida Sapopemba 3207, BS:Avenida Sapopemba 3112, BS:Avenida Sapopemba 3381, BS:Avenida Sapopemba 3013, TS:Oratório, TS:Avenida Sapopemba 3280, TS:Avenida Sapopemba 3207, TS:Avenida Sapopemba 3112, TS:Avenida Sapopemba 3381, CS:Padaria Novo Cruzeiro, CS:Bonas, CS:Padraira Total Sucesso, CS:Casa de Carnes Vale do Douro, CS:Bella Regente, CH:Consultório Dentário
2245955481; HOME; UNIT; BR; São Paulo; SP; Rua Capitão Militão; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Santa Clara; Vila Santa Clara; RESIDENTIAL; 130; 130; Comprar; 545000; 2; 1; 2; 2; 0; 03273200; Sobrado Novo, (Condomínio Fechado), Ótima localização próximo de supermercado, bancos e comércio, com fino acabamento, com 130 metros sendo 02 dormitórios, 01 suíte, piso em porcelanato, sala 02 ambientes, lavabo, cozinha, área de serviço, quintal, 02 vagas no sub solo, condomínio com jardim e churrasqueira e portão automático. -; BS:Avenida Sapopemba 2748, BS:Avenida Sapopemba 2629, BS:Avenida Sapopemba 3013, BS:Avenida Sapopemba 3112, BS:Rua Doutor Gabriel de Resende 453, TS:Avenida Sapopemba 2748, TS:Avenida Sapopemba 2629, TS:Avenida Sapopemba 3013, TS:Avenida Sapopemba 3112, TS:Avenida Sapopemba 3207, CS:Padraira Total Sucesso, CS:Padaria Novo Cruzeiro, CS:Bonas, CS:Casa de Carnes Vale do Douro, CS:Bella Regente, CH:Consultório Dentário
90799538; CONDOMINIUM; UNIT; BR; São Paulo; SP; Rua Antônio Baião; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Santa Clara; Vila Santa Clara; RESIDENTIAL; 0; 82; Comprar; 418000; 2; 2; 3; 2; 0; 03274040; Ultimas unidades<br>Condomínio residencial - Melhor preço por metro quadrado da região.<br>Excelente localização em rua tranquila, perto de tudo o que você precisa para o seu dia-a-dia, escolas, shopping center, hipermercados, comércio em geral e facilidade de acesso e de transporte aos diversos pontos da cidade.<br>*Imagens do modelo decorado<br>• 2 suítes com varanda e 1 lavabo<br>• Terraço com churrasqueira privativa<br>• Sala de estar e cozinha tipo americana integradas à churrasqueira<br>• Área de serviço<br>• Estacionamento<br>• 2 vagas exclusivas cobertas<br>• Reservatório para captação de água de chuva<br>• Medidores de água e luz individualizados<br>• Central de gás<br>• Preparação para TV a cabo e telefonia<br>• Sistema de interfonia interno<br>• Bicicletário<br>• Espaço Gourmet com churrasqueira<br>• Área de convívio<br>• Salão de jogos<br>• Fitness<br>• Solarium<br>• Piscina adulto e infantil<br>• Vestiários<br>• Portaria 24 horas<br>• Muros com sensores<br>• Portões eletrônicos<br>• Acesso de veículos<br>• Acesso de pedestres<br>• Plataforma acesso P.N.E.<br><br>Entre em contato para maiores informações ou agende sua visita e venha conhecer este incrível projeto.; BS:Avenida Sapopemba 2629, BS:Avenida Sapopemba 2748, BS:Avenida Adutora do Rio Claro 41, BS:Avenida Sapopemba 3013, BS:Avenida Sapopemba 3112, TS:Oratório, TS:Avenida Sapopemba 2629, TS:Avenida Sapopemba 2748, TS:Avenida Sapopemba 3013, TS:Avenida Adutora do Rio Claro 41, CS:Padraira Total Sucesso, CS:Padaria Novo Cruzeiro, CS:Bonas, CS:Casa de Carnes Vale do Douro, CS:Bella Regente, PH:Droga Leste
2496171682; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Santa Clara; Vila Santa Clara; RESIDENTIAL; 104; 104; Comprar; 550000; 2; 1; 3; 3; 0; ; Maravilhoso Sobrado de 104m², com 3 dormitórios, sendo 1 suíte com sacada, sala, cozinha, área de serviço, 3 banheiros. 2 vagas de garagem. Excelente localização com toda infraestrutura do bairro com farto comércio, escolas, feira livre, próximo á Avenida Anhaia Mello e Estação do Monotrilho Oratório.<br>Aceita Financiamento e FGTS. - Data da Atualização:; BS:Avenida Sapopemba 2629, BS:Avenida Sapopemba 2748, BS:Avenida Adutora do Rio Claro 41, BS:Avenida Sapopemba 3013, BS:Avenida Sapopemba 3112, TS:Oratório, TS:Avenida Sapopemba 2629, TS:Avenida Sapopemba 2748, TS:Avenida Sapopemba 3013, TS:Avenida Adutora do Rio Claro 41, CS:Padraira Total Sucesso, CS:Padaria Novo Cruzeiro, CS:Bonas, CS:Casa de Carnes Vale do Douro, CS:Bella Regente, PH:Droga Leste
2489148503; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Vila Ema; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Santa Clara; Vila Santa Clara; RESIDENTIAL; 58; 58; Comprar; 380000; 1; 1; 2; 2; 520; 03282001; O apartamento no bairro Vila Ema tem 58 metros quadrados com 2 quartos sendo 1 suite e 2 banheiros<br>Possui academia, espaço gourmet, espaço jardinado, parquinho com diferentes brinquedos, espaço para festas.<br>Vai lhe possibilitar curtir os dias mais quentes na piscina, praticar diversos esportes na quadra poliesportiva.Fica em um condomínio fechado.<br>Churrasqueira para você aproveitar nos momentos de descontração.<br>Elevador para mais praticidade no dia-a-dia.<br>Já está com os móveis.; BS:Avenida Sapopemba 7420, BS:Avenida Sapopemba 7235, BS:Avenida Sapopemba 7098, BS:Avenida Sapopemba 7621, BS:Avenida Sapopemba 7688, TS:Vila Tolstói, TS:Avenida Sapopemba 7420, TS:Avenida Sapopemba 7235, TS:Avenida Sapopemba 7098, TS:Camilo Haddad, CS:Cerealista Ideal São Caetano, CS:Shell Select, CS:Bona's Conceito em Carnes, CS:Vila Moura Paes Ultra Congelados, PH:Drogaria Poupa Mais, PH:Drogaria Massao
2458100193; APARTMENT; UNIT; BR; São Paulo; SP; Rua Val de Palmas; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Santa Clara; Vila Santa Clara; RESIDENTIAL; 48; 48; Comprar; 315000; 1; 0; 1; 2; 350; 03161080; Condomínio novo, toda infraestrutura, dois salões de festa com churrasqueira, academia, piscina adulta e infantil, sala de CINEMA, playground, sala de leitura, salão de jogos, salão kids entre outros... Próximo estação monotrilho Oratório ( 800m ), futura estação à 300m na Av. Sapopemba, feira de domingo na rua de trás, supermercado Extra e DIA próximos ( este 100m), academia Xtream GOLD com promoção para moradores do condomínio, tudo isso na mesma RUA. Uma vaga de carro rotativa anualmente, outra vaga de moto podendo ser utilizada ou não ( custo de 10% do condomínio caso seja necessário ). <br><br>"Valores sujeitos a alteração sem prévio aviso.<br>Sujeito a confirmação de disponibilidade!"<br><br>Entre em contato conosco pelo whatsApp <br> -; BS:Avenida Adutora do Rio Claro 41, BS:Avenida Sapopemba 2629, BS:Avenida Adutora do Rio Claro 26, BS:Avenida Sapopemba 2748, BS:Rua Doutor Gabriel de Resende 360, TS:Avenida Adutora do Rio Claro 41, TS:Avenida Sapopemba 2629, TS:Avenida Adutora do Rio Claro 26, TS:Avenida Sapopemba 2748, TS:Rua Doutor Gabriel de Resende 360, CS:Padraira Total Sucesso, CS:Casa de Carnes Vale do Douro, CS:Padaria Novo Cruzeiro, CS:Bonas, CS:Bella Regente, CH:Consultório Dentário
