IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2493045598; HOME; UNIT; BR; São Paulo; SP; Rua Frei Orlando; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Santa Isabel; Vila Santa Isabel; RESIDENTIAL; 135; 135; Comprar; 735000; 3; 3; 1; 3; 0; 03432010; Acabamento impecável, piso laminado na parte superior da casa, suíte com sacada<br>Corredor lateral bem privado, quintal no fundo com churrasqueira com ótimo acabamento, Casa com espaços externos bastante privados, garagem para 3 carros, portão automático,<br>Frente 5,00 metros <br>Lateral Metros: 27, 00 metros <br><br>Imóvel localizado na rua Frei Orlando - Vila Santa Isabel <br>Fácil acesso a avenida Conselheiro Carrão <br>Próximo ao Supermercado Extra<br>Menos de 15 minutos até o Shopping Anália Franco <br><br>Documentação em ordem <br>WhastApp 9. (Corretor Lucas) -; BS:Terminal Vila Carrao, BS:Parada Ferreira França, BS:Parada Bendiapá, TS:Terminal Vila Carrao, TS:Parada Ferreira França, TS:Parada Bendiapá, CS:Padaria Paulista, PH:Drogaria Mais Formosa, PH:Droganetto, PH:Farmatrix
2497775587; COMMERCIAL_PROPERTY; UNIT; BR; São Paulo; SP; Rua Picinguaba; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Santa Isabel; Vila Santa Isabel; RESIDENTIAL; 45; 45; Comprar; 240000; 0; 0; 1; 2; 0; 03432000; 02 dormitórios, sala, cozinha, 01 banheiro.<br>Condomínio com churrasqueira, elevador.<br><br>entrega prevista para 01/2021; BS:Terminal Vila Carrao, BS:Parada Ferreira França, BS:Parada Bendiapá, TS:Terminal Vila Carrao, TS:Parada Ferreira França, TS:Parada Bendiapá, CS:Padaria Paulista, PH:Drogaria Mais Formosa, PH:Droganetto, PH:Farmatrix
2497775370; COMMERCIAL_PROPERTY; UNIT; BR; São Paulo; SP; Praça Deputado Norberto Mayer Filho; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Santa Isabel; Vila Santa Isabel; RESIDENTIAL; 45; 45; Comprar; 240000; 0; 0; 1; 2; 0; 03425070; 02 dormitórios, sala, cozinha, banheiro e área de serviço.<br>Entrega prevista para JAN/2021; BS:Parada Ferreira França, BS:Parada Bendiapá, BS:Terminal Vila Carrao, TS:Parada Ferreira França, TS:Parada Bendiapá, TS:Terminal Vila Carrao, CS:Padaria Paulista, CS:Padaria CERET, PH:Drogaria Mais Formosa, PH:Droganetto, PH:Farmatrix, PH:Farmelhor
2478924899; HOME; UNIT; BR; São Paulo; SP; Rua Coronel Goulart; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Santa Isabel; Vila Santa Isabel; RESIDENTIAL; 1; 250; Comprar; 750000; 3; 2; 3; 3; 0; 03432070; Sobrado com 3 dormitórios, sendo 2 suítes, churrasqueira, quintal, corredor lateral, armários na cozinha, piso laminado, próximo da Igreja Santa Isabel, próximo ao Metrô Carrão e principais avenidas.; BS:Terminal Vila Carrao, BS:Parada Ferreira França, BS:Parada Bendiapá, TS:Terminal Vila Carrao, TS:Parada Ferreira França, TS:Parada Bendiapá, CS:Padaria Paulista, PH:Drogaria Mais Formosa, PH:Droganetto, PH:Farmatrix
2471311902; APARTMENT; UNIT; BR; São Paulo; SP; Rua Frei Orlando; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Santa Isabel; Vila Santa Isabel; RESIDENTIAL; 75; 61; Comprar; 178000; 0; 0; 1; 2; 1; 03432010; APARTAMENTO EM CONSTRUÇÃO COM 2 DORMITÓRIO, SALA, COZINHA 1 BANHEIRO.<br>...OPORTUNIDADE PARA INVESTIDOR. <br><br>LOCAL ÓTIMO NO BAIRRO DA VILA SANTA ISABEL/ALTO DA VILA CARRÃO. COM TODA INFRAESTRUTURA QUE O BAIRRO OFERECE.<br><br>OBS: ESTE BAIRRO FICA ENTREM VILA CARRÃO, VILA FORMOSA JARDIM TÊXTIL E TATUAPÉ. PODE SER CONSIDERADO ALTO DO CARRÃO.<br><br> <br>TERMINO DE OBRA, PREVISTA PARA JULHO DE 2020.<br><br>AGENDE UMA VISITA.<br><br>PREÇO PARA INVESTIDORES...<br><br>NÃO ACEITA FINANCIAMENTO.<br><br> Atualizado em: .; BS:Terminal Vila Carrao, BS:Parada Ferreira França, BS:Parada Bendiapá, TS:Terminal Vila Carrao, TS:Parada Ferreira França, TS:Parada Bendiapá, CS:Padaria Paulista, PH:Drogaria Mais Formosa, PH:Droganetto, PH:Farmatrix
2487577808; APARTMENT; UNIT; BR; São Paulo; SP; Rua Frei Orlando; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Santa Isabel; Vila Santa Isabel; RESIDENTIAL; 43; 43; Comprar; 187000; 0; 0; 1; 2; 1; 03432010; APARTAMENTO COM 2 DORMITÓRIOS VILA SANTA IZABEL /VILA CARRÃO.<br><br>PRÉDIO BEM LOCALIZADO NO ALTO DA VILA CARRÃO. COMÉRCIOS PRÓXIMO.<br><br>PRÉDIO COM ELEVADOR E SALÃO DE FESTA. <br><br>FINAL DE OBRA 2020.<br><br>AGENDE SUA VISITA<br><br>NÃO DÁ FINANCIAMENTO NO MOMENTO. <br><br> Atualizado em: .; BS:Terminal Vila Carrao, BS:Parada Ferreira França, BS:Parada Bendiapá, TS:Terminal Vila Carrao, TS:Parada Ferreira França, TS:Parada Bendiapá, CS:Padaria Paulista, PH:Drogaria Mais Formosa, PH:Droganetto, PH:Farmatrix
2460406480; HOME; UNIT; BR; São Paulo; SP; Rua Benedito Galvão; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Santa Isabel; Vila Santa Isabel; RESIDENTIAL; 80; 70; Comprar; 460000; 2; 2; 1; 2; 0; 03433030; Sobrado com 2 suites, sala, cozinha, lavabo, area de serviço, 2 vagas. otimo local. aceita financiamnto. -; BS:Terminal Vila Carrao, BS:Parada Ferreira França, BS:Parada Bendiapá, BS:Avenida Montemagno 1021, TS:Terminal Vila Carrao, TS:Parada Ferreira França, TS:Parada Bendiapá, TS:Avenida Montemagno 1021, CS:Padaria Paulista, PH:Drogaria Mais Formosa, PH:Droganetto, PH:Farmatrix
2432758987; HOME; UNIT; BR; São Paulo; SP; Rua Saboó; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Santa Isabel; Vila Santa Isabel; RESIDENTIAL; 110; 160; Comprar; 520000; 0; 0; 3; 2; 0; 03432020; Área do terreno 110 m<br>Área construída 160 m<br>Salão 50 m<br>Assobradado 70 m<br>Residência 40 m<br>Locado:<br>Assobradado R$1050,00 IPTU<br>Residência ao lado R$850,00 IPTU<br>Salão desocupado locação R$1.000,00 + IPTU<br>Água e luz independentes <br>Assobradado: 01 dormitório/sala em L/ cozinha/ banheiro e quintal<br>Residência 01 quarto/ sala e banheiro<br>Salão 01 banheiro ( esquina )<br>Imóvel todo reformado.<br>( elétrica/ hidráulica/ acabamento )<br>IPTU 3.700,00 / Ano<br>Agende sua visita.; BS:Terminal Vila Carrao, BS:Parada Ferreira França, BS:Parada Bendiapá, TS:Terminal Vila Carrao, TS:Parada Ferreira França, TS:Parada Bendiapá, CS:Padaria Paulista, PH:Drogaria Mais Formosa, PH:Droganetto
2493346442; APARTMENT; UNIT; BR; São Paulo; SP; Rua Frei Orlando; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Santa Isabel; Vila Santa Isabel; RESIDENTIAL; 40; 40; Comprar; 179000; 0; 0; 1; 2; 100; 03432010; Apartamento com 2 dormitórios à venda na Vila Santa Isabel - São Paulo/SP.<br><br>Excelente apartamento, sendo Composto por 02 dormitórios, 40 m², sala, cozinha, banheiro, área de serviço, sem vaga de garagem.<br><br>- Salão de festas<br><br>- Localizado à 150 metros da Rua Taubaté.<br><br>- Prazo de Entrega de Obras : Dezembro/2020.<br><br>Próximo à uma das principais vias do bairro, onde está amparado por comércios e conduções públicas fácil acesso á Av. Conselheiro Carrão, Rua Taubaté, Av. Ver. Abel Ferreira e Avenida Aricanduva.<br><br>Aceita financiamento e utilização do FGTS ou seu Veículo Sob Avaliação!<br><br>Temos uma assessoria Bancária própria, pronta para lhe atender!<br><br>Ligue e faça sua simulação gratuita, e agende sua visita!<br><br>Siga nossas redes sociais<br>www.agnimoveis.com.br<br><br>" As informações foram fornecidas pelo proprietário e podem sofrer alterações sem prévio aviso" -; BS:Terminal Vila Carrao, BS:Parada Ferreira França, TS:Terminal Vila Carrao, TS:Parada Ferreira França, CS:Padaria Paulista, PH:Drogaria Mais Formosa, PH:Droganetto
2498053428; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Santa Isabel; Vila Santa Isabel; RESIDENTIAL; 50; 50; Comprar; 210000; 0; 0; 1; 1; 120; 03425070; Apartamento com 1 dormitório,sala, cozinha, banheiro, área de serviço, sacada<br>Apartamento novo -; BS:Parada Ferreira França, BS:Parada Bendiapá, BS:Terminal Vila Carrao, TS:Parada Ferreira França, TS:Parada Bendiapá, TS:Terminal Vila Carrao, CS:Padaria Paulista, CS:Padaria CERET, PH:Drogaria Mais Formosa, PH:Droganetto, PH:Farmatrix, PH:Farmelhor
