IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2444030703; HOME; UNIT; BR; Americana; SP; ; BR>Sao Paulo>NULL>Americana>Barrios>Vila Santa Maria; Vila Santa Maria; RESIDENTIAL; 176; 103; Comprar; 279000; 0; 0; 1; 2; 0; ; Casa térrea com 02 dormitórios,armários, cozinha ampla e área de serviço, sala de tv, banheiro social.02 vagas de garagem, excelente localização no bairro.Documentação 100%; BR:Fassina Lanches, BR:Feitiço Café, BR:Jota Chopp, BR:Bar Brahma, SC:Audrey Shoes, SC:Eliana Barca Esmalteria, SC:Angelo Vertti, SC:The Shoes Outlet, SC:Funerária Alves, SU:EE São Vicente de Paulo
2485117908; HOME; UNIT; BR; Americana; SP; ; BR>Sao Paulo>NULL>Americana>Barrios>Vila Santa Maria; Vila Santa Maria; RESIDENTIAL; 160; 120; Comprar; 365000; 0; 1; 2; 2; 0; ; Casa nova de fino acabamento ✔ 02 Dormitórios sendo uma suíte✔ Sala e Cozinha Integrada✔ Banheiro Social✔ Acabamento todo em porcelanato✔ Espaço Gourmet✔ Quintal gramado ( Espaço para piscina)✔ Garagem coberta✔ Área de lavanderia➡ Documentação 100% para financiamento; SC:Audrey Shoes, SC:Eliana Barca Esmalteria, SC:Angelo Vertti, SC:The Shoes Outlet, SC:Funerária Alves, SU:EE São Vicente de Paulo, BR:Fassina Lanches, BR:Feitiço Café, BR:Jota Chopp, BR:Bar Brahma
2495591379; HOME; UNIT; BR; Americana; SP; ; BR>Sao Paulo>NULL>Americana>Barrios>Vila Santa Maria; Vila Santa Maria; RESIDENTIAL; 150; 130; Alugar/Comprar; 1200; 2; 1; 2; 3; 0; 13471680; Excelente casa no bairro Santa Maria. Imóvel com 03 dormitórios sendo 01 suíte e closet, sala, cozinha com gabinete, banheiro social, área de serviço e 02 vagas de garagem com portão eletrônico. Para maiores informações entre em contato com nossa equipe (19)3406.2029 ou (19)97153.5002 -; SC:Audrey Shoes, SC:Eliana Barca Esmalteria, SC:Angelo Vertti, SC:The Shoes Outlet, SC:Funerária Alves, BR:Fassina Lanches, BR:Feitiço Café, BR:Jota Chopp, BR:Bar Brahma, SU:EE São Vicente de Paulo
2187175640; APARTMENT; UNIT; BR; Americana; SP; ; BR>Sao Paulo>NULL>Americana>Barrios>Vila Santa Maria; Vila Santa Maria; RESIDENTIAL; 60; 60; Comprar; 215000; 0; 0; 1; 2; 0; ; Apartamento com 02 dormitórios, sala dois ambientes com sacada, cozinha e área de serviço conjugada, banheiro social, 01 vaga de garagem. Condomínio R$. 243,00 com água e gás incluso. Documentação 100% - Aceita permuta com casa ou terreno de igual ou menor valor.; SU:EE São Vicente de Paulo, BR:Fassina Lanches, BR:Feitiço Café, BR:Jota Chopp, BR:Bar Brahma, SC:Audrey Shoes, SC:Eliana Barca Esmalteria, SC:Angelo Vertti, SC:The Shoes Outlet, SC:Funerária Alves
2497929223; HOME; UNIT; BR; Americana; SP; ; BR>Sao Paulo>NULL>Americana>Barrios>Vila Santa Maria; Vila Santa Maria; RESIDENTIAL; 120; 120; Comprar; 365000; 2; 1; 2; 2; 0; 13471630; Casa Nova e Espetacular No Jardim Paulistano, Americana-Sp. <br><br>. <br><br>'' Casa Moderna com ambientes modernos e conchegantes, muito bem distribuídos, Com 2 Quartos, Sendo 1 Suíte, Excelente Localidade a 5 Minutos do Centro de Americana''<br><br> >>Pra Saber Mais preencha o Formulário ou ligue (19)9.; BR:Fassina Lanches, BR:Feitiço Café, BR:Jota Chopp, BR:Bar Brahma, SC:Audrey Shoes, SC:Eliana Barca Esmalteria, SC:Angelo Vertti, SC:Urbamil Móveis Novos e Usados, SC:The Shoes Outlet, SU:EE São Vicente de Paulo
2491130124; RESIDENTIAL_ALLOTMENT_LAND; UNIT; BR; Americana; SP; ; BR>Sao Paulo>NULL>Americana>Barrios>Vila Santa Maria; Vila Santa Maria; RESIDENTIAL; 160; 160; Comprar; 140000; 0; 0; 0; 0; 0; 13471630; Terreno à venda na Vila Santa Maria em Americana<br><br>Terreno com declive, medidas 5mts x 32mts, total de 160m².<br><br>Estuda terreno em condomínio de maior valor na negociação.<br><br>Área Terreno: 160m².<br><br>WhatsAPP: http://bit.ly/2waHoEQ<br><br>www.IMOVEISemAMERICANA.com.br<br><br><br><br><br><br>; BR:Fassina Lanches, BR:Feitiço Café, BR:Jota Chopp, BR:Bar Brahma, SU:EE São Vicente de Paulo, SC:Audrey Shoes, SC:Eliana Barca Esmalteria, SC:Angelo Vertti, SC:Urbamil Móveis Novos e Usados, SC:The Shoes Outlet
2474200183; APARTMENT; UNIT; BR; Americana; SP; ; BR>Sao Paulo>NULL>Americana>Barrios>Vila Santa Maria; Vila Santa Maria; RESIDENTIAL; 55; 55; Comprar; 190000; 0; 1; 2; 2; 240; ; Apartamento com 02 dormitórios sendo uma suíte, sala de tv / jantar com sacada, sanca em gesso, cozinha com armários, lavanderia com brindex, piso laminado e frio.Documentação 100% para financiamento.Estuda troca com terreno, casa, carro, etc.; BR:Fassina Lanches, BR:Feitiço Café, BR:Jota Chopp, BR:Bar Brahma, SU:EE São Vicente de Paulo, SC:Audrey Shoes, SC:Eliana Barca Esmalteria, SC:Angelo Vertti, SC:The Shoes Outlet, SC:Funerária Alves
2483489105; HOME; UNIT; BR; Americana; SP; Rua Portugal; BR>Sao Paulo>NULL>Americana>Barrios>Vila Santa Maria; Vila Santa Maria; RESIDENTIAL; 118; 160; Comprar; 365000; 2; 1; 2; 2; 0; 13471615; 2 quartos sendo 1 suite<br>Terreno 160m2<br>Construção 118,60m2<br><br>Aceita terreno e carro a avaliar; SU:EE São Vicente de Paulo, SU:EMEI Bore, SC:Audrey Shoes, SC:Eliana Barca Esmalteria, SC:Angelo Vertti, SC:The Shoes Outlet, SC:Funerária Alves, BR:Fassina Lanches, BR:Feitiço Café, BR:Jota Chopp, BR:Bar Brahma
2489557952; RESIDENTIAL_ALLOTMENT_LAND; UNIT; BR; Americana; SP; Rua Inglaterra; BR>Sao Paulo>NULL>Americana>Barrios>Vila Santa Maria; Vila Santa Maria; RESIDENTIAL; 320; 320; Comprar; 300000; 0; 0; 0; 0; 0; 13471630; Lindo terreno - localização privilegiada - Santa Maria -; SU:EE São Vicente de Paulo, SC:Audrey Shoes, SC:Eliana Barca Esmalteria, SC:Urbamil Móveis Novos e Usados, SC:Angelo Vertti, SC:Funerária Alves, BR:Fassina Lanches, BR:Feitiço Café, BR:Jota Chopp, BR:Bar Brahma
2484777320; APARTMENT; UNIT; BR; Americana; SP; ; BR>Sao Paulo>NULL>Americana>Barrios>Vila Santa Maria; Vila Santa Maria; RESIDENTIAL; 67; 67; Comprar; 260000; 2; 1; 2; 3; 350; 13471612; *APARTAMENTO ALUGADO RENDENDO 820 REAIS MENSAIS<br>Apartamento residencial para venda em bairro próximo a área central da cidade.<br>Gás e água incluso no valor do condomínio!!<br>Aceita proposta<br>O imóvel conta com:<br>3 dormitórios com armários (sendo 1 suíte)<br>sala com painel e sacada<br>cozinha planejada com fogão e coifa<br>banheiro social<br>área de serviço <br>2 vagas de garagens. <br><br>Condomínio conta com:<br>área de lazer com churrasqueira e playground.<br>Agende sua visita Conosco!!<br><br>; BR:Jota Chopp, BR:Feitiço Café, BR:Bar Brahma, BR:Fassina Lanches, SC:Audrey Shoes, SC:Eliana Barca Esmalteria, SC:Urbamil Móveis Novos e Usados, SC:Sapatopé, SC:Funerária Alves, SU:EE São Vicente de Paulo, CH:Ubs Cariobinha De Posto Do Saúde
2494164595; APARTMENT; UNIT; BR; Americana; SP; ; BR>Sao Paulo>NULL>Americana>Barrios>Vila Santa Maria; Vila Santa Maria; RESIDENTIAL; 63; 63; Alugar/Comprar; 1000; 0; 0; 1; 2; 231; ; Apartamento<br>de ótimo acabamento em um bairro privilegiadoEquipado com moveis planejados de bom<br>acabamento Com dois dormitórios e bom tamanho,<br>banheiro social e boa iluminação <br><br>Garagem coberta para dois veículos; SU:EE São Vicente de Paulo, SC:Audrey Shoes, SC:Eliana Barca Esmalteria, SC:Angelo Vertti, SC:The Shoes Outlet, SC:Funerária Alves, BR:Fassina Lanches, BR:Feitiço Café, BR:Jota Chopp, BR:Bar Brahma
93316197; APARTMENT; UNIT; BR; Americana; SP; ; BR>Sao Paulo>NULL>Americana>Barrios>Vila Santa Maria; Vila Santa Maria; RESIDENTIAL; 60; 60; Comprar; 230000; 0; 1; 1; 2; 0; 13471613; Apartamento a venda no bairro Vila santa Maria em Americana<br>Com 2 dormitórios, sala 2 ambientes, cozinha planejada, banheiro social, área de serviço,1 suite 1 vaga de garagem. Condomínio com piscina, playground, espaço gourmet com churrasqueira, bicicletário.<br>ACEITA FINANCIAMENTO.<br>Área Útil: 60m².<br><br>Para demais informações ou realizar sua visita no imóvel fale conosco, através dos telefones: / , Ou, caso preferir, entre em contato através do e-mail: <br><br>; SC:Audrey Shoes, SC:Eliana Barca Esmalteria, SC:Urbamil Móveis Novos e Usados, SC:Sapatopé, SC:Funerária Alves, BR:Jota Chopp, BR:Feitiço Café, BR:Bar Brahma, BR:Fassina Lanches, SU:EE São Vicente de Paulo, CH:Ubs Cariobinha De Posto Do Saúde
2498357531; HOME; UNIT; BR; Americana; SP; ; BR>Sao Paulo>NULL>Americana>Barrios>Vila Santa Maria; Vila Santa Maria; RESIDENTIAL; 160; 118; Comprar; 350000; 2; 1; 1; 2; 0; 13471630; A casa no bairro Vila Santa Maria possui 118 metros quadrados com 2 quartos sendo 1 suite e 1 banheiro<br><br>CASA NOVA !!!<br><br>ACEITA FINANCIAMENTO.; BR:Fassina Lanches, BR:Feitiço Café, BR:Jota Chopp, BR:Bar Brahma, SU:EE São Vicente de Paulo, SC:Audrey Shoes, SC:Eliana Barca Esmalteria, SC:Urbamil Móveis Novos e Usados, SC:Angelo Vertti, SC:The Shoes Outlet
2487102491; APARTMENT; UNIT; BR; Americana; SP; ; BR>Sao Paulo>NULL>Americana>Barrios>Vila Santa Maria; Vila Santa Maria; RESIDENTIAL; 120; 89; Comprar; 312250; 2; 1; 2; 2; 170; 13471611; Apartamento amplo com fino acabamento,2 dormitórios (sendo 1 suíte e todos mobiliados), sala 2 ambientes, cozinha mobiliada com forno embutido e cooktop, banheiro social mobiliado, área de serviço mobiliada além de porta de blindex e persiana, ampla sacada com uma excelente vista.<br>Excelente localização a 3 min do centro.<br>2 Vagas de Garagem cobertas e automatizadas<br>Aquecimento central a gás individualizado<br>Possui Ar condicionado com função aquecedor.<br>Documentos em dia, aceita financiamento bancário.; BR:Jota Chopp, BR:Feitiço Café, BR:Bar Brahma, BR:Fassina Lanches, CH:Ubs Cariobinha De Posto Do Saúde, SC:Audrey Shoes, SC:Eliana Barca Esmalteria, SC:Urbamil Móveis Novos e Usados, SC:Sapatopé, SC:Sapiente
2475819251; APARTMENT; UNIT; BR; Americana; SP; ; BR>Sao Paulo>NULL>Americana>Barrios>Vila Santa Maria; Vila Santa Maria; RESIDENTIAL; 64; 64; Comprar; 230000; 1; 1; 2; 2; 250; 13471613; <b> Excelente Apartamento no Spazio Amalfi em Americana</b> <b><u>Com dois dormitórios com planejado</u></b> <b><u>Sendo um, uma suíte </u></b> <b><u>Sala de Jantar com planejado</u></b> <b><u>Sala de Estar</u></b> <b><u>Cozinha Planejada</u></b> <b><u>Varanda</u></b> <b><u>Ar concionado </u></b> <b><u>Uma Vaga de Garagem</u></b>; BR:Jota Chopp, BR:Feitiço Café, BR:Bar Brahma, BR:Fassina Lanches, SU:EE São Vicente de Paulo, SC:Audrey Shoes, SC:Eliana Barca Esmalteria, SC:Urbamil Móveis Novos e Usados, SC:Sapatopé, SC:Funerária Alves, CH:Ubs Cariobinha De Posto Do Saúde
2482647554; RESIDENTIAL_ALLOTMENT_LAND; UNIT; BR; Americana; SP; Rua Hungria; BR>Sao Paulo>NULL>Americana>Barrios>Vila Santa Maria; Vila Santa Maria; RESIDENTIAL; 200; 200; Comprar; 220000; 0; 0; 0; 0; 0; 13471730; Terreno no bairro Vila Santa Maria, com 200 m² de área total, todo murado, em ótima localização.<br><br>Para maiores informações, entre em contato com nossa equipe de corretores.<br>F: / -; SU:EE São Vicente de Paulo, SU:EMEI Bore, BR:Fassina Lanches, BR:Feitiço Café, BR:Bar Brahma, BR:Jota Chopp, SC:Audrey Shoes, SC:Eliana Barca Esmalteria, SC:EuroCharm, SC:Angelo Vertti, SC:The Shoes Outlet
2493591247; APARTMENT; UNIT; BR; Americana; SP; Rua Espanha; BR>Sao Paulo>NULL>Americana>Barrios>Vila Santa Maria; Vila Santa Maria; RESIDENTIAL; 60; 60; Comprar; 230000; 1; 1; 2; 2; 300; 13471613; Lindo apartamento de 60m² com acabamento de primeira. Possui 2 dormitórios com armários planejado sendo uma suíte, sala 2 ambientes com ar condicionado e sacada que proporciona uma linda vista da cidade, banheiro social, área de serviço, cozinha planejada e 1 vaga coberta de garagem. Condomínio oferece total segurança com cerca elétrica, portão elétrico, portaria, além de muito lazer, espaço gourmet com churrasqueira, playground, piscina adulta e infantil perfeito para desfrutar de bons momentos com amigos e familiares. Ótima localização, apenas cinco minutos do centro de Americana. <br>Não perca tempo e venha conhecer esse lindo apartamento. Ligue agora e agende uma visita! -; CS:Toda Hora, BR:Feitiço Café, BR:Jota Chopp, BR:Bar Brahma, BR:Fassina Lanches, SC:Audrey Shoes, SC:Eliana Barca Esmalteria, SC:Urbamil Móveis Novos e Usados, SC:Funerária Alves, SC:The Shoes Outlet, SU:EE São Vicente de Paulo
2443787647; RESIDENTIAL_ALLOTMENT_LAND; UNIT; BR; Americana; SP; Rua Inglaterra; BR>Sao Paulo>NULL>Americana>Barrios>Vila Santa Maria; Vila Santa Maria; RESIDENTIAL; 320; 320; Comprar; 305000; 0; 0; 0; 0; 0; 13471630; ***FOTO ILUSTRATIVA***<br>Terreno no bairro Santa Maria de 320 m², plano, todo murado em ótima localização, próximo de escolas, praça, supermercado, padaria, igreja, posto de gasolina.<br><br>Para obter uma consultoria imobiliária completa e de qualidade, basta entrar em contato com nossos consultores de vendas:<br>F: / - Whatsapp -; SU:EE São Vicente de Paulo, BR:Fassina Lanches, BR:Feitiço Café, BR:Jota Chopp, BR:Bar Brahma, SC:Audrey Shoes, SC:Eliana Barca Esmalteria, SC:Urbamil Móveis Novos e Usados, SC:Angelo Vertti, SC:The Shoes Outlet
2482675744; HOME; UNIT; BR; Americana; SP; ; BR>Sao Paulo>NULL>Americana>Barrios>Vila Santa Maria; Vila Santa Maria; RESIDENTIAL; 118; 118; Comprar; 360000; 2; 1; 2; 2; 0; 13471630; Casa à venda na Vila Santa Maria em Americana<br><br>Casa NOVA, 2 dormitórios (sendo 1 suíte), sala com pé direito alto, cozinha americana, banheiro social, área de serviço, fundos com amplo quintal e espaço gourmet com churrasqueira, acabamento em porcelanato, 2 vagas de garagem.<br><br>ACEITA FINANCIAMENTO.<br><br>Área Terreno: 160m².<br>Área Útil: 118m².<br><br>WhatsAPP: http://bit.ly/2waHoEQ<br><br>www.IMOVEISemAMERICANA.com.br<br><br><br><br><br><br>; SC:Audrey Shoes, SC:Eliana Barca Esmalteria, SC:Angelo Vertti, SC:Urbamil Móveis Novos e Usados, SC:The Shoes Outlet, BR:Fassina Lanches, BR:Feitiço Café, BR:Jota Chopp, BR:Bar Brahma, SU:EE São Vicente de Paulo
2450633761; HOME; UNIT; BR; Americana; SP; ; BR>Sao Paulo>NULL>Americana>Barrios>Vila Santa Maria; Vila Santa Maria; RESIDENTIAL; 117; 117; Comprar; 300000; 2; 1; 2; 2; 0; 13471650; <b>***ACEITA FINANCIAMENTO***</b>PARA MAIS INFORMAÇÕES LIGUE ***preço sujeito a alteração sem aviso prévio*** *** Valor sujeito a alteração sem aviso prévio ***; SU:EE São Vicente de Paulo, SC:Audrey Shoes, SC:Eliana Barca Esmalteria, BR:Fassina Lanches, BR:Feitiço Café, BR:Jota Chopp, BR:Bar Brahma
2202905524; APARTMENT; UNIT; BR; Americana; SP; ; BR>Sao Paulo>NULL>Americana>Barrios>Vila Santa Maria; Vila Santa Maria; RESIDENTIAL; 52; 52; Comprar; 205000; 0; 0; 1; 2; 360; ; Apartamento a venda com 52 metros 2 quartos, 01 banheiro sala, cozinha, lavanderia e 01 vaga de garagem; SU:EE São Vicente de Paulo, SC:Audrey Shoes, SC:Eliana Barca Esmalteria, SC:Angelo Vertti, SC:The Shoes Outlet, SC:Funerária Alves, BR:Fassina Lanches, BR:Feitiço Café, BR:Jota Chopp, BR:Bar Brahma
2430076626; APARTMENT; UNIT; BR; Americana; SP; ; BR>Sao Paulo>NULL>Americana>Barrios>Vila Santa Maria; Vila Santa Maria; RESIDENTIAL; 67; 67; Comprar; 280000; 2; 1; 2; 3; 320; 13471612; Apartamento com 3 dormitórios sendo 1 suite, dois wc, sacada, sala de jantar com papel de parede, cozinha planejada, área de serviço independente.<br>Os dormitórios possuem, piso laminado, armários planejados e papel de parede no dormitório do casal.<br>Nas demais dependências, o piso é cerâmico<br>Duas vagas de garagem, e uma localização privilegiada na vila Santa Maria.<br>Venha conhecer esse charmoso Apartamento.<br>agende sua vista pelo WhatsApp -; CS:Toda Hora, BR:Feitiço Café, BR:Jota Chopp, BR:Bar Brahma, BR:Fassina Lanches, SU:EE São Vicente de Paulo, SC:Audrey Shoes, SC:Eliana Barca Esmalteria, SC:Urbamil Móveis Novos e Usados, SC:Funerária Alves, SC:The Shoes Outlet
2490241219; APARTMENT; UNIT; BR; Americana; SP; ; BR>Sao Paulo>NULL>Americana>Barrios>Vila Santa Maria; Vila Santa Maria; RESIDENTIAL; 70; 70; Comprar; 240000; 1; 0; 2; 3; 200; 13471730; Apartamento de 3 dormitórios, 2 banheiros, 1 vaga de garagem coberta, piso porcelanato, sanca de gesso na sala, armários planejados nos quartos, cozinha e lavanderia.; BR:Fassina Lanches, BR:Feitiço Café, BR:Bar Brahma, BR:Jota Chopp, SU:EE São Vicente de Paulo, SU:EMEI Bore, SC:Audrey Shoes, SC:Eliana Barca Esmalteria, SC:Angelo Vertti, SC:The Shoes Outlet, SC:Funerária Alves
81969284; APARTMENT; UNIT; BR; Americana; SP; ; BR>Sao Paulo>NULL>Americana>Barrios>Vila Santa Maria; Vila Santa Maria; RESIDENTIAL; 70; 70; Comprar; 225000; 1; 1; 2; 3; 0; 13471612; Apartamento para venda, localizado na Vila Santa Maria em Americana, composto por 3 dormitórios sendo 1 suíte, banheiro social, sala com 2 ambientes e sacada, cozinha, área de serviço. Condomínio com cerca elétrica, câmera de vigilância, churrasqueira, playground e 1 vaga de garagem. <br>Com 70,00 M2 área útil e Valor R$ 225.000,00<br><br>Para demais informações ou realizar sua visita no imóvel fale conosco, através dos telefones: / , Ou, caso preferir, entre em contato através do e-mail: <br><br>; BR:Jota Chopp, BR:Feitiço Café, BR:Bar Brahma, BR:Fassina Lanches, SU:EE São Vicente de Paulo, CH:Ubs Cariobinha De Posto Do Saúde, SC:Audrey Shoes, SC:Eliana Barca Esmalteria, SC:Urbamil Móveis Novos e Usados, SC:Sapatopé, SC:Funerária Alves
2475817945; HOME; UNIT; BR; Americana; SP; ; BR>Sao Paulo>NULL>Americana>Barrios>Vila Santa Maria; Vila Santa Maria; RESIDENTIAL; 118; 118; Comprar; 235000; 2; 0; 2; 2; 0; 13471640; 2 DORMITÓRIOS, SALA, COZINHA, COPA, 2 BANHEIROS, ÁREA DE SERVIÇO, QUINTAL E 2 VAGAS NA GARAGEM.; CS:Toda Hora, CH:Ubs Cariobinha De Posto Do Saúde, SC:Audrey Shoes, SC:Eliana Barca Esmalteria, SC:Urbamil Móveis Novos e Usados, SC:Funerária Alves, SC:The Shoes Outlet, SU:EE São Vicente de Paulo
2488663312; APARTMENT; UNIT; BR; Americana; SP; ; BR>Sao Paulo>NULL>Americana>Barrios>Vila Santa Maria; Vila Santa Maria; RESIDENTIAL; 60; 60; Comprar; 230000; 1; 1; 2; 2; 280; 13471613; Apartamento residencial para Locação<br>Vila Santa Maria, Americana<br>2 dormitórios, 1 sala, 1 banheiro, 1 vaga<br>60,00 m² construída, 60,00 m² útil<br><br>; SU:EE São Vicente de Paulo, CH:Ubs Cariobinha De Posto Do Saúde, SC:Audrey Shoes, SC:Eliana Barca Esmalteria, SC:Urbamil Móveis Novos e Usados, SC:Sapatopé, SC:Funerária Alves, BR:Jota Chopp, BR:Feitiço Café, BR:Bar Brahma, BR:Fassina Lanches
2482675744; HOME; UNIT; BR; Americana; SP; ; BR>Sao Paulo>NULL>Americana>Barrios>Vila Santa Maria; Vila Santa Maria; RESIDENTIAL; 118; 118; Comprar; 360000; 2; 1; 2; 2; 0; 13471630; Casa à venda na Vila Santa Maria em Americana<br><br>Casa NOVA, 2 dormitórios (sendo 1 suíte), sala com pé direito alto, cozinha americana, banheiro social, área de serviço, fundos com amplo quintal e espaço gourmet com churrasqueira, acabamento em porcelanato, 2 vagas de garagem.<br><br>ACEITA FINANCIAMENTO.<br><br>Área Terreno: 160m².<br>Área Útil: 118m².<br><br>WhatsAPP: http://bit.ly/2waHoEQ<br><br>www.IMOVEISemAMERICANA.com.br<br><br><br><br><br><br>; SC:Audrey Shoes, SC:Eliana Barca Esmalteria, SC:Angelo Vertti, SC:Urbamil Móveis Novos e Usados, SC:The Shoes Outlet, BR:Fassina Lanches, BR:Feitiço Café, BR:Jota Chopp, BR:Bar Brahma, SU:EE São Vicente de Paulo
2494092744; APARTMENT; UNIT; BR; Americana; SP; ; BR>Sao Paulo>NULL>Americana>Barrios>Vila Santa Maria; Vila Santa Maria; RESIDENTIAL; 60; 60; Comprar; 220000; 1; 0; 1; 2; 280; 13471613; Apartamento residencial para Venda<br>Vila Santa Maria, Americana<br>2 dormitórios, 1 sala, 1 banheiro, 1 vaga<br>60,00 m² construída, 60,00 m² útil<br><br>; SC:Audrey Shoes, SC:Eliana Barca Esmalteria, SC:Urbamil Móveis Novos e Usados, SC:Sapatopé, SC:Funerária Alves, BR:Jota Chopp, BR:Feitiço Café, BR:Bar Brahma, BR:Fassina Lanches, SU:EE São Vicente de Paulo, CH:Ubs Cariobinha De Posto Do Saúde
2492114809; APARTMENT; UNIT; BR; Americana; SP; Rua Hermínio Sacilotto; BR>Sao Paulo>NULL>Americana>Barrios>Vila Santa Maria; Vila Santa Maria; RESIDENTIAL; 50; 50; Comprar; 228000; 1; 1; 2; 2; 0; 13471640; Apartamento no Colline Residencial, com 50m² de área útil, contendo 2 dormitórios, sendo 1 suíte, sala 2 ambientes com sacada, cozinha, wc social, área de serviço, 1 vaga de garagem<br><br>Para maiores informações entre em contato conosco.<br>F: / -; BR:Fassina Lanches, BR:Feitiço Café, BR:Jota Chopp, BR:Bar Brahma, SU:EE São Vicente de Paulo, SC:Audrey Shoes, SC:Eliana Barca Esmalteria, SC:Angelo Vertti, SC:The Shoes Outlet, SC:Funerária Alves
2479431799; APARTMENT; UNIT; BR; Americana; SP; Rua Suíça; BR>Sao Paulo>NULL>Americana>Barrios>Vila Santa Maria; Vila Santa Maria; RESIDENTIAL; 80; 80; Comprar; 190000; 1; 0; 1; 3; 300; 13471700; Apartamento para venda de 80m²; de área útil, com 3 dormitórios,sala, cozinha e banheiro, 1 vaga(indeterminada).Apartamento com armários embutidos na cozinha.(Os preços e informações poderão sofrer mudanças sem aviso prévio. Por este motivo, solicitamos a confirmação com nossos consultores).; SU:EE São Vicente de Paulo, SU:EMEI Bore, SC:Audrey Shoes, SC:Eliana Barca Esmalteria, SC:Angelo Vertti, SC:EuroCharm, SC:The Shoes Outlet, BR:Fassina Lanches, BR:Feitiço Café, BR:Bar Brahma, BR:Jota Chopp
2475820382; HOME; UNIT; BR; Americana; SP; ; BR>Sao Paulo>NULL>Americana>Barrios>Vila Santa Maria; Vila Santa Maria; RESIDENTIAL; 182; 182; Comprar; 500000; 4; 1; 3; 3; 0; 13471610; Sobrado com 3 dormitórios sendo 1 suite, sala, copa, cozinha planejada, 3 banheiros, área de serviço, área gourmet com armário, quintal e 4 vagas na garagem.; SC:Audrey Shoes, SC:Eliana Barca Esmalteria, SC:Urbamil Móveis Novos e Usados, SC:Funerária Alves, SC:Angelo Vertti, BR:Fassina Lanches, BR:Feitiço Café, BR:Jota Chopp, BR:Bar Brahma, SU:EE São Vicente de Paulo
