IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2462778276; RESIDENTIAL_ALLOTMENT_LAND; UNIT; BR; Santo André; SP; Avenida Doze de Outubro; BR>Sao Paulo>NULL>Santo Andre>Barrios>VILA SANTA TERESA; Vila Santa Teresa; RESIDENTIAL; 100; 100; Comprar; 398000; 0; 0; 0; 0; 0; 09030640; Terreno a venda na Vila Assunção em Santo André com 100m², de terreno e 57m² de construção antiga, excelente localização, ótimo para fazer um comércio, próximo a hospital, shopping, tróllebus, academia, padaria... Estuda Proposta. Não deixe passar esta oportunidade, venha conhecer e faça sua proposta. -; BS:Parada Santa Tereza, BS:Parada Paraíso, BS:Parada Mário Covas, BS:Parada Alfredo Flaquer, BS:Parada Gilda, TS:Parada Santa Tereza, TS:Parada Paraíso, TS:Parada Mário Covas, TS:Parada Alfredo Flaquer, TS:Parada Gilda, CS:Padaria Portugal, CS:Ofício da Carne, CS:Tradicional Bolos Caseiros, CS:Confeitaria ABC, CS:Padaria Paraíso, PH:Fórmula Magistral, PH:Própharmacos, PH:Alquimia Manipulação, PH:Active Farma, PH:Manipule
2274245561; APARTMENT; UNIT; BR; Santo André; SP; Avenida dos Andradas; BR>Sao Paulo>NULL>Santo Andre>Barrios>VILA SANTA TERESA; Vila Santa Teresa; RESIDENTIAL; 84; 84; Comprar; 450000; 2; 1; 2; 2; 530; 09030350; Apartamento de 84m², com 02 dormitórios, sendo 01 suíte planejada, sala ampla com varanda, cozinha planejada, ótima área de serviço e 02 vagas de garagem. Excelente localização próximo à comércios, fácil acesso às principais vias e excelente acabamento. Agende já sua visita com um de nossos corretores! -; BS:Parada Santa Tereza, BS:Parada Paraíso, BS:Parada Mário Covas, BS:Parada Alfredo Flaquer, BS:Parada Gilda, TS:Parada Santa Tereza, TS:Parada Paraíso, TS:Parada Mário Covas, TS:Parada Alfredo Flaquer, TS:Parada Gilda, CS:Empório Grão e Sabor, CS:Padaria Portugal, CS:Ofício da Carne, CS:Doce Lar, CS:Padaria Paraíso, PH:Fórmula Magistral, PH:Alquimia Manipulação, PH:Própharmacos, PH:Drogaria Paraíso, PH:Manipule
2427650975; APARTMENT; UNIT; BR; Santo André; SP; Avenida Doutor Alberto Benedetti; BR>Sao Paulo>NULL>Santo Andre>Barrios>VILA SANTA TERESA; Vila Santa Teresa; RESIDENTIAL; 50; 50; Comprar; 300000; 1; 0; 2; 1; 500; 09030340; Excelente apartamento, 50m², com 01 dormitório com armários planejados, cozinha americana com armários, 01 vaga. Estuda permuta por apto maior valor . Condomínio 500,00 incluso gás e água. -; BS:Parada Santa Tereza, BS:Parada Paraíso, BS:Parada Alfredo Flaquer, BS:Parada Mário Covas, BS:Parada Gilda, TS:Parada Santa Tereza, TS:Parada Paraíso, TS:Parada Alfredo Flaquer, TS:Parada Mário Covas, TS:Parada Gilda, CS:Padaria Portugal, CS:Ofício da Carne, CS:Doce Lar, CS:Tradicional Bolos Caseiros, CS:Confeitaria ABC, PH:Fórmula Magistral, PH:Alquimia Manipulação, PH:Própharmacos, PH:Active Farma, PH:Renova
2462777695; APARTMENT; UNIT; BR; Santo André; SP; Rua Tabaiares; BR>Sao Paulo>NULL>Santo Andre>Barrios>VILA SANTA TERESA; Vila Santa Teresa; RESIDENTIAL; 57; 57; Comprar; 369000; 2; 0; 1; 2; 400; 09030360; Apartamento a venda na Vila Assunção em Santo André com 2 dormitórios.<br>Localização privilegiada <br>Sendo 1 suíte, sala, cozinha, wc social, area de serviço, 2 vagas.<br>Venha conhecer.<br>Com sede em Santo André, A Donizete Imóveis está presente em todo ABC há mais de 30 anos, ajudando pessoas a realizarem o sonho de conquistar o seu primeiro imóvel. Conheça nossa imobiliária, nós temos mais de cinco mil imóveis ativos cadastrados em nosso banco de dados e corretores profissionais especializados na região para te ajudar a encontrar o seu imóvel ideal. <br><br>Agende uma visita e vivencie uma experiência única -; BS:Parada Santa Tereza, BS:Parada Alfredo Flaquer, BS:Parada Paraíso, BS:Parada Mário Covas, BS:Parada IV Centenário Ponto 2, TS:Parada Santa Tereza, TS:Parada Alfredo Flaquer, TS:Parada Paraíso, TS:Parada Mário Covas, TS:Parada IV Centenário Ponto 2, CS:Padaria Portugal, CS:Ofício da Carne, CS:Doce Lar, CS:Tradicional Bolos Caseiros, CS:Empório Grão e Sabor, PH:Fórmula Magistral, PH:Alquimia Manipulação, PH:Própharmacos, PH:Renova, PH:Active Farma
2449762981; APARTMENT; UNIT; BR; Santo André; SP; Avenida dos Andradas; BR>Sao Paulo>NULL>Santo Andre>Barrios>VILA SANTA TERESA; Vila Santa Teresa; RESIDENTIAL; 84; 84; Comprar; 320000; 2; 1; 1; 2; 700; 09030350; Maravilhoso Condomínio - Excelente localização próximo comércios - fácil acesso as principais vias apartamento com excelente acabamento 2 dormitórios sendo 1 suíte, sala ampla com varanda, cozinha planejada, ótima área de serviço, 2 vagas - agende sua visita com a Proativa Consultoria Imobiliária - Mais informações em nosso departamento comercial -; BS:Parada Santa Tereza, BS:Parada Paraíso, BS:Parada Mário Covas, BS:Parada Alfredo Flaquer, BS:Parada Gilda, TS:Parada Santa Tereza, TS:Parada Paraíso, TS:Parada Mário Covas, TS:Parada Alfredo Flaquer, TS:Parada Gilda, CS:Empório Grão e Sabor, CS:Padaria Portugal, CS:Ofício da Carne, CS:Doce Lar, CS:Padaria Paraíso, PH:Fórmula Magistral, PH:Alquimia Manipulação, PH:Própharmacos, PH:Drogaria Paraíso, PH:Manipule
2485090600; APARTMENT; UNIT; BR; Santo André; SP; Avenida Doze de Outubro; BR>Sao Paulo>NULL>Santo Andre>Barrios>VILA SANTA TERESA; Vila Santa Teresa; RESIDENTIAL; 84; 84; Comprar; 480000; 2; 1; 2; 3; 638; 09030640; Excelente Apartamento na Vila Assunção aliada a Região de bastante segurança e tranquilidade. <br>Torre Única, portaria virtual, salão de jogos e salão de festas. <br>A localização oferece toda infraestrutura de comercio e locomoção. <br>Apartamento possui uma excelente distribuição com 84 m² de área útil, 03 dormitórios sendo 01 suite, sala 02 ambientes, cozinha, lavanderia e 02 vagas de garagem fixas. <br><br>O imovel porteira fechada. <br><br>Agende uma visita com um de nossos corretores! -; BS:Parada Santa Tereza, BS:Parada Paraíso, BS:Parada Mário Covas, BS:Parada Alfredo Flaquer, BS:Parada Gilda, TS:Parada Santa Tereza, TS:Parada Paraíso, TS:Parada Mário Covas, TS:Parada Alfredo Flaquer, TS:Parada Gilda, CS:Padaria Portugal, CS:Padaria Paraíso, CS:Empório Grão e Sabor, CS:Ofício da Carne, CS:Tradicional Bolos Caseiros, PH:Fórmula Magistral, PH:Alquimia Manipulação, PH:Própharmacos, PH:Drogaria Paraíso, PH:Manipule
2442003729; APARTMENT; UNIT; BR; Santo André; SP; Avenida Doutor Alberto Benedetti; BR>Sao Paulo>NULL>Santo Andre>Barrios>VILA SANTA TERESA; Vila Santa Teresa; RESIDENTIAL; 90; 90; Comprar; 480000; 2; 1; 2; 3; 620; 09030340; -; BS:Parada Santa Tereza, BS:Parada Alfredo Flaquer, BS:Parada Paraíso, BS:Parada Mário Covas, BS:Parada IV Centenário Ponto 2, TS:Parada Santa Tereza, TS:Parada Alfredo Flaquer, TS:Parada Paraíso, TS:Parada Mário Covas, TS:Parada IV Centenário Ponto 2, CS:Padaria Portugal, CS:Ofício da Carne, CS:Doce Lar, CS:Tradicional Bolos Caseiros, CS:Empório Grão e Sabor, PH:Fórmula Magistral, PH:Alquimia Manipulação, PH:Própharmacos, PH:Active Farma, PH:Renova
2492809707; APARTMENT; UNIT; BR; Santo André; SP; Rua Tabaiares; BR>Sao Paulo>NULL>Santo Andre>Barrios>VILA SANTA TERESA; Vila Santa Teresa; RESIDENTIAL; 57; 57; Comprar; 370000; 2; 1; 2; 2; 380; 09030360; Maravilhoso Condomínio com Salão de Festa, academia, churrasqueira.<br> Excelente localização, próximo comércios e com fácil acesso as principais vias.<br>Apartamento com excelente acabamento. 2 dormitórios, sendo 1 suíte planejada, sala ampla com varanda, cozinha planejada, ótima área de serviço, 2 vagas - agende sua visita com a Proativa Consultoria Imobiliária -; BS:Parada Santa Tereza, BS:Parada Alfredo Flaquer, BS:Parada Paraíso, BS:Parada Mário Covas, BS:Parada IV Centenário Ponto 2, TS:Parada Santa Tereza, TS:Parada Alfredo Flaquer, TS:Parada Paraíso, TS:Parada Mário Covas, TS:Parada IV Centenário Ponto 2, CS:Padaria Portugal, CS:Ofício da Carne, CS:Doce Lar, CS:Tradicional Bolos Caseiros, CS:Empório Grão e Sabor, PH:Fórmula Magistral, PH:Alquimia Manipulação, PH:Própharmacos, PH:Renova, PH:Active Farma
2230035647; APARTMENT; UNIT; BR; Santo André; SP; Rua Pôrto Alegre; BR>Sao Paulo>NULL>Santo Andre>Barrios>VILA SANTA TERESA; Vila Santa Teresa; RESIDENTIAL; 90; 90; Comprar; 550000; 2; 1; 2; 3; 600; 09030610; Excelente apartamento com vista definitiva para o Parque Central, 5 minutos do Shopping ABC. São 92 m² distribuídos em 3 dormitórios, sendo 1 suíte,s ala 2 ambientes com sacada, cozinha planejada, 02 vagas. Estuda permuta por apartamento 500mil, em Campo Belo e região!! -; BS:Parada Santa Tereza, BS:Parada Alfredo Flaquer, BS:Parada Paraíso, BS:Parada Mário Covas, BS:Parada IV Centenário Ponto 2, TS:Parada Santa Tereza, TS:Parada Alfredo Flaquer, TS:Parada Paraíso, TS:Parada Mário Covas, TS:Parada IV Centenário Ponto 2, CS:Padaria Portugal, CS:Ofício da Carne, CS:Doce Lar, CS:Empório Grão e Sabor, CS:Tradicional Bolos Caseiros, PH:Fórmula Magistral, PH:Alquimia Manipulação, PH:Própharmacos, PH:Renova, PH:Active Farma
2465425728; APARTMENT; UNIT; BR; Santo André; SP; Avenida Doutor Alberto Benedetti; BR>Sao Paulo>NULL>Santo Andre>Barrios>VILA SANTA TERESA; Vila Santa Teresa; RESIDENTIAL; 91; 91; Comprar; 530000; 2; 1; 3; 3; 330; 09030340; Apartamento no contra piso , com 3 dormitórios , suite , wc social , sala com sacada , copa cozinha wc social , área de serviço , wc empregada , gás encanado , com lazer ( menos piscina )<br><br>Excelente localização a 2 minutos do Shopping ABC Parque Central e Hospital Mario Covas.<br><br><br>Características do Imóvel:<br>Acessibilidade Ambientes Integrados Closet Cozinha Grande Escada Escritório Gás Encanado Janelas de Alumínio Janelas Gr -; BS:Parada Santa Tereza, BS:Parada Alfredo Flaquer, BS:Parada Paraíso, BS:Parada Mário Covas, BS:Parada IV Centenário Ponto 2, TS:Parada Santa Tereza, TS:Parada Alfredo Flaquer, TS:Parada Paraíso, TS:Parada Mário Covas, TS:Parada IV Centenário Ponto 2, CS:Padaria Portugal, CS:Ofício da Carne, CS:Doce Lar, CS:Tradicional Bolos Caseiros, CS:Confeitaria ABC, PH:Fórmula Magistral, PH:Alquimia Manipulação, PH:Própharmacos, PH:Active Farma, PH:Renova
