IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2489728280; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Clavásio Alves da Silva; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Siqueira; Vila Siqueira; RESIDENTIAL; 45; 45; Comprar; 239000; 0; 0; 1; 2; 450; 02722030; 02 Dormitórios sendo 01 com armário planejado.<br>Sala para 02 ambientes com balcão para a cozinha.<br>Cozinha americana com armários <br>Banheiro com box<br><br>Excelente localização, próximo a Marginal, Carrefour, bancos e centro do Bairro do Limão.<br><br>01 Vaga (Livre, ampla e fixa).<br><br>Lazer com Playground, Salão de festas e Churrasqueira -; BS:Avenida Casa Verde 3467, BS:Parada Freguesia, BS:BrasilSul, BS:Parada CET, TS:Avenida Casa Verde 3467, TS:Parada Freguesia, TS:Parada CET, CS:A Lareira, CS:Padaria Champgne, CS:Bella Floresta, PH:Droga Mina
2499585813; APARTMENT; UNIT; BR; São Paulo; SP; Rua Dona Estela Borges Morato; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Siqueira; Vila Siqueira; RESIDENTIAL; 0; 54; Comprar; 350000; 1; 0; 1; 3; 485; 02722000; Condomínio Blue SKY, bairro do Limão - SP<br><br>O apartamento está localizado no bairro do Limão (zona norte de São Paulo) tem 54 metros quadrados com 3 dormitórios 1 banheiro, sacada e 1 vaga de garagem.<br>Piso laminado, Box no banheiro, móveis planejados nos 3 dormitórios, cozinha, sala, banheiro e lavanderia.<br><br>O condomínio possui, piscina, churrasqueira, sauna, playground, quadra, academia e muito mais.<br><br>Vai lhe possibilitar curtir os dias mais quentes na piscina, praticar diversos esportes na quadra poliesportiva.Churrasqueira para você aproveitar nos momentos de descontração.<br><br>Vale a pena conferir.<br><br>Valor venda R$350.000,00<br>(Estuda permuta em Guarulhos)<br><br>Agende sua visita!<br><br>TOLENTINO CORRETOR DE IMÓVEIS <br><br>CRECI 206.559f<br><br>#apartamento #imoveis #venda #condominio #bairrodolimao #sãopaulo <br>#tolentinocorretordeimoveis; BS:Parada Freguesia, BS:Avenida Casa Verde 3467, BS:BrasilSul, BS:Parada CET, TS:Parada Freguesia, TS:Avenida Casa Verde 3467, TS:Parada CET, CS:Padaria Champgne, CS:A Lareira, CS:Bella Floresta, PH:Droga Mina
2497685796; APARTMENT; UNIT; BR; São Paulo; SP; Rua Dona Estela Borges Morato; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Siqueira; Vila Siqueira; RESIDENTIAL; 0; 50; Comprar; 320000; 1; 0; 2; 2; 440; 02722000; 1030 CV - APARTAMENTO NO BAIRRO DO LIMÃO, # PORTARIA 24 HORAS #, PRÓXIMO AO CARREFOUR, BANCOS, ESCOLAS, ACADEMIAS, COMÉRCIO EM GERAL, COM FÁCIL ACESSO AS MARGINAIS, PELA PONTE JULIO DE MESQUITA OU FREGUESIA. * 2 dormitórios porcelanato fosco, ambos com armários. * 1 banheiro com gabinete, espelho, box e chuveiro. * cozinha americana, com armários planejados, coifa e cooktop* área de serviço . * sala para dois ambientes com painel e rack para tv. * sacada. * 1 vaga de garagem. *Lazer completo: academia, brinquedoteca, bicicletário, 2 churrasqueiras, forno de pizza, piscina adulto e infantil, playground, quadra, sauna, salão de festas. *Condomínio $ 440,00 com água e gás. * IPTU isento.; BS:Parada Freguesia, BS:Avenida Casa Verde 3467, BS:BrasilSul, BS:Parada CET, TS:Parada Freguesia, TS:Avenida Casa Verde 3467, TS:Parada CET, CS:Padaria Champgne, CS:A Lareira, CS:Bella Floresta, PH:Droga Mina
2494589211; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Sebastião Henriques; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Siqueira; Vila Siqueira; RESIDENTIAL; 0; 40; Comprar; 275000; 1; 0; 1; 2; 340; 02723050; O apartamento está localizado no bairro Vila Siqueira (Zona Norte) possui 40 metros quadrados com 2 quartos e 1 banheiro<br>Possui academia, espaço gourmet, jardim, área de brinquedo para as crianças, espaço para festas.<br>Vai lhe possibilitar curtir os dias mais quentes na piscina, praticar diversos esportes na quadra poliesportiva.Fica em um condomínio fechado.<br>Churrasqueira para você aproveitar nos momentos de descontração.<br>Já está com os móveis.; BS:Avenida Casa Verde 3467, BS:Parada Freguesia, BS:BrasilSul, TS:Avenida Casa Verde 3467, TS:Parada Freguesia, CS:A Lareira, CS:Padaria Champgne, CS:Bella Floresta, PH:Droga Mina
2437113542; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Siqueira; Vila Siqueira; RESIDENTIAL; 0; 58; Comprar; 298000; 1; 0; 1; 2; 430; 02722090; -; BS:Avenida Casa Verde 3467, BS:Parada Freguesia, BS:BrasilSul, TS:Avenida Casa Verde 3467, TS:Parada Freguesia, CS:A Lareira, CS:Bella Floresta, CS:Padaria Champgne, CS:Nova Baruel, PH:Droga Mina
2498596501; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Clavásio Alves da Silva; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Siqueira; Vila Siqueira; RESIDENTIAL; 0; 70; Comprar; 500000; 1; 0; 2; 2; 680; 02722030; Apartamento localizado no 9º andar com 70 m² de A.U. Apartamento recém reformado, sendo 02 dormitórios c/ piso porcelanato, sala p/ 02 ambientes, cozinha tipo americana, banheiro social, área de serviço e banheiro de serviço, despensa, com 01 vaga de garagem. Prédio possui Piscina, Jardim, Playground e Salão de Festas. Próximo ao 40º Distrito Policial , Avenida Imajar de Souza, Avenida Deputado Emilio Carlos e Rua Professor Dário Ribeiro. Próximo a transporte coletivo, comércios, escolas, hospitais, padarias, estacionamentos e supermercados.; BS:Avenida Casa Verde 3467, BS:Parada Freguesia, TS:Avenida Casa Verde 3467, TS:Parada Freguesia, CS:A Lareira, CS:Bella Floresta, CS:Padaria Champgne, PH:Droga Mina
2486143601; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Siqueira; Vila Siqueira; RESIDENTIAL; 0; 50; Comprar; 289000; 1; 0; 1; 2; 450; 02722000; O APARTAMENTO DA SUPERAÇÃO...<br><br>Nessa localização privilegiada do Bairro do Limão, vivem o Casal Priscila e Caio....<br><br>O Condomínio com lazer completo, foi uma grande conquista do casal que lutou pra valer pra conseguir esse imóvel....<br><br>Os 50 metros bem decorados traz aconchego e os ajuda a recarregar as energias.<br><br>A vista privilegiada fez com que eles não perdessem o foco e conseguissem se superar a cada dia.<br><br>Nesses 10 anos passaram por enormes desafios... MAS VENCERAM !<br><br>E agora estão prontos para uma nova etapa...<br><br>O CASAL SUPERAÇÃO está de mudança e ficaria muito feliz se você conseguisse manter essa energia de garra e preserverança desse lar !<br><br>Seja o novo proprietário desse apartamento de 2 Dormitorios e acesso fácil pra as principais vias e estradas da cidade.<br><br>OBSERVAÇÃO: DÉBITO DE FINANCIAMENTO BANCÁRIO NO VALOR DE R$ 40.000,00<br><br>Agende uma visita nesse apartamento com planta diferenciada e excelente custo benefício !; BS:Parada Freguesia, BS:Avenida Casa Verde 3467, BS:BrasilSul, BS:Parada CET, BS:Parada Editora Abril, TS:Parada Freguesia, TS:Avenida Casa Verde 3467, TS:Parada CET, TS:Parada Editora Abril, CS:Padaria Champgne, CS:A Lareira, CS:Bella Floresta, PH:Droga Mina
2427798816; APARTMENT; UNIT; BR; São Paulo; SP; Rua Dona Estela Borges Morato; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Siqueira; Vila Siqueira; RESIDENTIAL; 67; 50; Comprar; 350000; 1; 0; 1; 2; 470; 02722000; Apartamento decorado, impecável, com acabamento de primeira. Penúltimo andar com vista para a Marginal do Tietê. Piso em madeira maciça na sala e nos quartos. Porcelanato na cozinha, área de serviço e banheiro. Portas de correr embutidas na parede. Todo decorado. Traga apenas as roupas para morar.; BS:Parada Freguesia, BS:Avenida Casa Verde 3467, BS:BrasilSul, BS:Parada CET, BS:Parada Editora Abril, TS:Parada Freguesia, TS:Avenida Casa Verde 3467, TS:Parada CET, TS:Parada Editora Abril, CS:Padaria Champgne, CS:A Lareira, CS:Bella Floresta, PH:Droga Mina
2484671530; APARTMENT; UNIT; BR; São Paulo; SP; Rua Porto Nacional; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Siqueira; Vila Siqueira; RESIDENTIAL; 48; 48; Comprar; 280000; 0; 0; 1; 2; 315; 02817080; Apartamento todo reformado,rico em armários planejados. Imóvel com 2 dormitórios;sacada;barzinho de entrada,piso laminado na sala e quartos.Pedras de mármore no banheiro (branco prime), cozinha e lavanderia (preto São Gabriel); <br>Tela de proteção em todas as janelas,teto rebaixado e todos os cômodos com acabamento em gesso.Torneira com água quente na cozinha.Porcelanato no banheiro, cozinha e lavanderia.Móveis planejados de primeira linha.O condomínio possui elevadores,quadra poliesportiva,salão de festas,brinquedoteca,bicicletário,1 vaga de garagem.Sistema de biometria para entrar no condomínio,portaria 24 horas.Localizado próximo Estrada do Sabão -; BS:Ponto Final 971 D, TS:Ponto Final 971 D, CS:Pães e Doces Colosso, CS:Padaria Hortolândia, CS:Mercadinho Mirante, CS:Padaria Inverno Verão, PH:Droga Lema, PH:FarmaClick
2497058287; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Sebastião Henriques; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Siqueira; Vila Siqueira; RESIDENTIAL; 54; 54; Comprar; 390100; 0; 1; 2; 2; 0; 02723050; Apartamento com 53,59m², 2 dormitórios, sendo 1 suíte, terraço. <br>Condomínio com brinquedoteca, churrasqueira, espaço luau, salão de festas, fitness, salão de jogos, lavanderia coletiva, piscina adulto e infantil, solarium, playground, quadra gramada, redário. <br>Conheça a tendência do momento e aproveite para comprar o seu apartamento pela melhor oportunidade da região. <br>Marque uma visita ainda hoje, faça uma consulta com nossos corretores, apresente sua proposta, não perca a oportunidade de fechar um excelente negócio!; BS:Avenida Casa Verde 3467, BS:Parada Freguesia, BS:BrasilSul, TS:Avenida Casa Verde 3467, TS:Parada Freguesia, CS:A Lareira, CS:Padaria Champgne, CS:Bella Floresta, PH:Droga Mina
