IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2499353790; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Sofia; Vila Sofia; RESIDENTIAL; 66; 66; Comprar; 450000; 1; 0; 1; 2; 750; 04671010; Apartamento muito bem localizado com planta bem distribuída com lazer completo e pronto para Morar.<br>Local de fácil acesso para as principais avenidas e ruas da Região como : Av. Interlagos , Nações Unidas, Washington luis .<br>O Local possui um comércio diversificado com padarias,farmácias,lanchonetes, restaurantes , além de clínicas e escolas de qualidade.<br>Bairro com excelente infra estrutura de comércio , serviços e lazer . -; BS:Praça Andréa Dória, BS:Cemitério de Santo Amaro, BS:Parada Bonneville, BS:Parada Dom Francisco de Souza, BS:Parada Eusébio Stevaux B/C, TS:Praça Andréa Dória / Boa Vista Shopping, TS:Praça Andréa Dória, TS:Cemitério de Santo Amaro, TS:Parada Bonneville, TS:Alameda Santo Amaro 1 - Esquerdo, CS:Gêmel, CS:7 Molinos, CS:Belfort Panificadora, CS:Panificadora Bandeirantes, SC:Castelo do Óleo, SC:Bel-Air Ar Condicionado, SC:Autoban, SC:Mecânica Arini, SC:L&L Calhas
2434762592; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Sofia; Vila Sofia; RESIDENTIAL; 82; 82; Comprar; 100000000; 2; 1; 3; 3; 0; 04671090; Vendidoooooo; BS:Praça Andréa Dória, BS:Cemitério de Santo Amaro, BS:Parada Bonneville, BS:Parada Dom Francisco de Souza, BS:Parada Eusébio Stevaux B/C, TS:Praça Andréa Dória / Boa Vista Shopping, TS:Praça Andréa Dória, TS:Cemitério do Campo Grande, TS:Cemitério de Santo Amaro, TS:Parada Bonneville, CS:Gêmel, CS:Belfort Panificadora, CS:Panificadora Bandeirantes, CS:Bandeirantes V, CS:7 Molinos, CH:Ambulatório Médico de Especialidades Jardim dos Prados, CH:Hospital Vida's
2494037863; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Nossa Senhora do Sabará; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Sofia; Vila Sofia; RESIDENTIAL; 59; 59; Comprar; 380000; 1; 0; 1; 2; 650; 04685000; Oportunidade no Jardim Marajoara, condomínio com várias torres, em frente a corredor de ônibus, localização excelente com comércio de todos os segmentos. Condominio com área de lazer completo (piscina, quadra, salão de festas, churrasqueira). Apartamento com 2 dormitórios, com terraço, 1 vaga; BS:Praça Andréa Dória, BS:Cemitério de Santo Amaro, BS:Parada Bonneville, BS:Parada Dom Francisco de Souza, BS:Parada Eusébio Stevaux B/C, TS:Praça Andréa Dória / Boa Vista Shopping, TS:Praça Andréa Dória, TS:Cemitério de Santo Amaro, TS:Cemitério do Campo Grande, TS:Parada Bonneville, CS:Gêmel, CS:Belfort Panificadora, CS:Panificadora Bandeirantes, CH:Ambulatório Médico de Especialidades Jardim dos Prados, CH:Hospital Vida's
2498273904; HOME; UNIT; BR; São Paulo; SP; Avenida Nossa Senhora do Sabará; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Sofia; Vila Sofia; RESIDENTIAL; 110; 82; Comprar; 390000; 1; 2; 3; 2; 0; 04685003; A casa possui uma excelente localização, 2 quartos sendo 2 suítes, 3 banheiros e varanda. Finalizada a pouco tempo com um ótimo acabamento.; BS:Praça Andréa Dória, BS:Cemitério de Santo Amaro, BS:Parada Dom Francisco de Souza, BS:Parada Bonneville, BS:Parada Eusébio Stevaux B/C, TS:Praça Andréa Dória / Boa Vista Shopping, TS:Praça Andréa Dória, TS:Cemitério do Campo Grande, TS:Cemitério de Santo Amaro, TS:Parada Bonneville, CS:Gêmel, CS:Belfort Panificadora, CS:Panificadora Bandeirantes, CH:Ambulatório Médico de Especialidades Jardim dos Prados, CH:Hospital Vida's
2499550084; APARTMENT; UNIT; BR; São Paulo; SP; Rua Duque Costa; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Sofia; Vila Sofia; RESIDENTIAL; 75; 75; Comprar; 479000; 0; 1; 2; 3; 624; 04671160; 3 dormitórios, 1 suíte <br> <br>75m com sala ampla, cozinha, lavanderia. <br>Bem localizado e permite acesso rápido a academias, escolas, mercados, padarias, lotérica, restaurantes, hospitais, menos de 500 metros para Av. Whashington Luis e 1km a via Marginal Pinheiros.<br>www.revendaimovel.com.br; BS:Praça Andréa Dória, BS:Cemitério de Santo Amaro, BS:Parada Bonneville, BS:Estação Adolfo Pinheiro - 2, BS:Estação Adolfo Pinheiro - 1, TS:Cemitério do Campo Grande, TS:Praça Andréa Dória / Boa Vista Shopping, TS:Praça Andréa Dória, TS:Cemitério de Santo Amaro, TS:Parada Bonneville, CS:Gêmel, CS:Belfort Panificadora, CS:Bandeirantes V, CS:Panificadora Bandeirantes, CS:7 Molinos, CH:Ambulatório Médico de Especialidades Jardim dos Prados, CH:Hospital Vida's
2486787941; APARTMENT; UNIT; BR; São Paulo; SP; Rua Álvares de Azevedo; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Sofia; Vila Sofia; RESIDENTIAL; 0; 81; Comprar; 695000; 2; 1; 3; 3; 750; 04671040; Excelente apartamento no Jardim Marajoara, paralela a famosa Rua Sócrates. Apartamento em andar alto com linda vista, muito ensolarado e arejado. Armários embutidos em todos dormitórios e cozinha. Possui lavabo. Duas vagas com deposito. <br>Possui academia, espaço jardinado, parquinho com diferentes brinquedos, espaço para festas, depósito Reservado.<br>Vai lhe possibilitar curtir os dias mais quentes na piscina, praticar diversos esportes na quadra poliesportiva.Está em um condomínio protegido por grades.<br>Elevador que garante o transporte das suas malas e compras.; BS:Praça Andréa Dória, BS:Cemitério de Santo Amaro, BS:Parada Bonneville, BS:Parada Dom Francisco de Souza, BS:Parada Eusébio Stevaux B/C, TS:Praça Andréa Dória / Boa Vista Shopping, TS:Praça Andréa Dória, TS:Cemitério de Santo Amaro, TS:Cemitério do Campo Grande, TS:Parada Bonneville, CS:Gêmel, CS:Belfort Panificadora, CS:7 Molinos, CS:Panificadora Bandeirantes, CS:Bandeirantes V, CH:Ambulatório Médico de Especialidades Jardim dos Prados
2486790826; APARTMENT; UNIT; BR; São Paulo; SP; Rua Álvares de Azevedo; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Sofia; Vila Sofia; RESIDENTIAL; 0; 82; Comprar; 675000; 2; 1; 3; 3; 750; 04671040; O apartamento no bairro Vila Sofia com 82 metros quadrados com 3 quartos sendo 1 suite e 3 banheiros<br>Possui área de fitness, espaço gourmet, jardim, parquinho com diferentes brinquedos, salão de festas.<br>Vai lhe possibilitar curtir os dias mais quentes na piscina, praticar diversos esportes na quadra poliesportiva.Espaço reservado para preparar o seu churrasco.<br>Fica em um condomínio fechado.<br>Elevador que garante o transporte das suas malas e compras.; BS:Praça Andréa Dória, BS:Cemitério de Santo Amaro, BS:Parada Bonneville, BS:Parada Dom Francisco de Souza, BS:Parada Eusébio Stevaux B/C, TS:Praça Andréa Dória / Boa Vista Shopping, TS:Praça Andréa Dória, TS:Cemitério de Santo Amaro, TS:Cemitério do Campo Grande, TS:Parada Bonneville, CS:Gêmel, CS:Belfort Panificadora, CS:7 Molinos, CS:Panificadora Bandeirantes, CS:Bandeirantes V, CH:Ambulatório Médico de Especialidades Jardim dos Prados
92446729; APARTMENT; UNIT; BR; São Paulo; SP; Rua Sócrates; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Sofia; Vila Sofia; RESIDENTIAL; 0; 75; Comprar; 499000; 1; 1; 2; 3; 701; 04671072; OPORTUNIDADE VENDA RÁPIDA<br>O apartamento de 75 metros quadrados recem reformado , está localizado no bairro Vila Sofia com 3 quartos sendo 1 suíte e 2 banheiros. Fica a alguns minutos de restaurantes, farmácias, shoppings, hospitais, escolas e universidades.<br>Possui área de fitness, área verde de jardim, espaço gourmet, área de brinquedo para as crianças e espaço para festas.<br>O apartamento vai lhe possibilitar curtir os dias mais quentes na piscina.<br>Além disso, vigilância 24 horas e quadra para prática de diferentes esportes para você e sua família.<br>Fica em um condomínio fechado.<br>Elevador que garante o transporte das suas malas e compras.<br>Churrasqueira para você aproveitar nos momentos de descontração.; BS:Praça Andréa Dória, BS:Cemitério de Santo Amaro, BS:Parada Dom Francisco de Souza, BS:Parada Eusébio Stevaux B/C, BS:Parada Bonneville, TS:Cemitério do Campo Grande, TS:Praça Andréa Dória / Boa Vista Shopping, TS:Praça Andréa Dória, TS:Cemitério de Santo Amaro, TS:Parada Eusébio Stevaux B/C, CS:Belfort Panificadora, CS:Panificadora Bandeirantes, CS:Gêmel, CS:Bandeirantes V, CH:Ambulatório Médico de Especialidades Jardim dos Prados, CH:Hospital Vida's
2499353431; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Sofia; Vila Sofia; RESIDENTIAL; 82; 82; Comprar; 700000; 2; 2; 2; 2; 700; 04671040; Não perca sua chance de conhecer essa incrível condomínio em uma das melhores áreas de São Paulo. Possui todo o conforto e segurança que você e sua família precisam! -; BS:Praça Andréa Dória, BS:Cemitério de Santo Amaro, BS:Estação Adolfo Pinheiro - 1, BS:Estação Adolfo Pinheiro - 2, BS:Parada Estação Adolfo Pinheiro, TS:Praça Andréa Dória / Boa Vista Shopping, TS:Praça Andréa Dória, TS:Cemitério de Santo Amaro, TS:Estação Adolfo Pinheiro - 1, TS:Estação Adolfo Pinheiro - 2, CS:Gêmel, CS:7 Molinos, CS:Belfort Panificadora, CS:Bandeirantes V, SC:Autoban, SC:Chácara Flora, SC:St. Marché Chácara Flora, SC:Castelo do Óleo, SC:Bel-Air Ar Condicionado
2494010438; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Nossa Senhora do Sabará; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Sofia; Vila Sofia; RESIDENTIAL; 59; 59; Comprar; 380000; 1; 0; 1; 2; 650; 04685000; Oportunidade no Jardim Marajoara, condomínio com várias torres, em frente a corredor de ônibus, localização excelente com comércio de todos os segmentos. Condominio com área de lazer completo (piscina, quadra, salão de festas, churrasqueira). Apartamento com 2 dormitórios, com terraço, 1 vaga<br>somente na Revenda imóvel comprou ganhou cozinha finitura; BS:Praça Andréa Dória, BS:Cemitério de Santo Amaro, BS:Parada Bonneville, BS:Parada Dom Francisco de Souza, BS:Parada Eusébio Stevaux B/C, TS:Praça Andréa Dória / Boa Vista Shopping, TS:Praça Andréa Dória, TS:Cemitério de Santo Amaro, TS:Cemitério do Campo Grande, TS:Parada Bonneville, CS:Gêmel, CS:Belfort Panificadora, CS:Panificadora Bandeirantes, CH:Ambulatório Médico de Especialidades Jardim dos Prados, CH:Hospital Vida's
