IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2492239387; APARTMENT; UNIT; BR; Hortolândia; SP; Rua Nelson Pereira Bueno; BR>Sao Paulo>NULL>Hortolandia>Barrios>Vila Sao Francisco; Vila São Francisco; RESIDENTIAL; 0; 70; Comprar; 320000; 1; 1; 2; 3; 320; 13184235; Lindo Apartamento no condomínio Avalon Hortolândia. Excelente localização com toda infraestrutura ao seu entorno. O condomínio possui excelente área de lazer. O apto possui ótimo acabamento com materiais de alta qualidade, piso em porcelanato e armários planejados. Sol da manha, super arejado, virado para a parte interna do condomínio (sem o ruído da rua). Documentação ok, aceita FGTS. Direto com o proprietário.; BS:Linha 694/696, BS:Linha 696/746, SC:Espaço B&B, BR:Romeu
2485995333; APARTMENT; UNIT; BR; Hortolândia; SP; ; BR>Sao Paulo>NULL>Hortolandia>Barrios>Vila Sao Francisco; Vila São Francisco; RESIDENTIAL; 72; 72; Comprar; 320000; 0; 1; 2; 3; 0; ; Lindo Apartamento no cond. Avalon em Hortolândia.<br><br> Apto com 03 dormitórios, sendo um com suite, todos com armários planejados.<br><br> Sala de jantar, estar, wc social.<br><br> Cozinha com armários planejados, área de serviço.<br><br> Uma vaga de garagem.<br><br> Cond.oferece portaria 24 hs, salão de festas, piscina, academia, quadra poliesportiva.<br><br> Localizado no centro, próximo de mercados, bancos, comercio em geral.<br>Fale conosco: -; BS:Linha 694/696, BS:Linha 696/746, SC:Espaço B&B, BR:Romeu
2447155146; APARTMENT; UNIT; BR; Hortolândia; SP; ; BR>Sao Paulo>NULL>Hortolandia>Barrios>Vila Sao Francisco; Vila São Francisco; RESIDENTIAL; 67; 67; Comprar; 350000; 0; 1; 1; 3; 320; ; Apartamento condomínio Avallon em Hortolândia.<br><br> Apto terreo, com 03 dormitórios, sala de estar, jantar, varanda gourmet, banheiro.<br><br> Cozinha, área de serviço, vaga para um carro.<br><br> Apto rico em armários.<br>Fale conosco: -; BS:Linha 694/696, BS:Linha 696/746, SC:Espaço B&B, BR:Romeu
2495398981; APARTMENT; UNIT; BR; Hortolândia; SP; ; BR>Sao Paulo>NULL>Hortolandia>Barrios>Vila Sao Francisco; Vila São Francisco; RESIDENTIAL; 70; 70; Comprar; 310000; 1; 1; 2; 3; 340; 13184235; APARTAMENTO À VENDA - CONDOMÍNIO AVALON - HORTOLÂNDIA/SP<br><br>Maravilhoso apartamento disponível para venda em localização privilegiada na cidade de Hortolândia, o condomínio tem a proximidade de todos os tipos de estabelecimentos comerciais, como Hiper-mercados, Bancos, Redes de Farmácias, Postos de Gasolina, Lojas de conveniência e os melhores restaurantes da cidade, além de pontos de ônibus que vão para toda a região. <br>São 3 Amplos dormitórios, sendo 1 suíte, Ar-Condicionado, Living para 2 ambientes bem iluminado e espaçoso. Varanda Gourmet com churrasqueira e linda vista.<br><br>A Petrucci Gestão Imobiliária oferece todo o suporte na hora da compra, venda e locação de um imóvel. Departamento jurídico em tempo integral, além de profissionais capacitados e especializados em atender e sanar todas as dúvidas, desde a escolha do imóvel até o pós-venda.<br>Somos especialistas em ajustar o negócio de acordo com a realidade de cada cliente, assim adaptamos propostas exclusivas de mercado para você chegar onde deseja. <br>Consulte-nos! <br><br>Petrucci Gestão Imobiliária -; BS:Linha 694/696, BS:Linha 696/746, BR:Romeu, SC:Espaço B&B
2451168373; APARTMENT; UNIT; BR; Hortolândia; SP; ; BR>Sao Paulo>NULL>Hortolandia>Barrios>Vila Sao Francisco; Vila São Francisco; RESIDENTIAL; 143; 70; Comprar; 310000; 2; 1; 2; 3; 0; ; OPORTUNIDADE: Lindo Apartamento - 02 Vagas - Avalon Hortolandia<br><br>Belíssimo apartamento/ Fino acabamento/ Rico em Planejados/ 4º andar/ 02 Vagas garagem.<br><br>Imóvel possui:<br>Living Social para dois ambientes: Sala de Estar/ Jantar;<br>Sacada Gourmet com churrasqueira;<br>Cozinha com planejados de excelente qualidade, equipada com Fogão embutido/ CookTop/ Exaustor;<br>03 Dormitórios, sendo 01 suite;<br>Wc Social;<br>Lavanderia;<br>02 Vagas de garagem<br><br>Condomínio Avalon: Oferece segurança 24 horas com sistema de câmeras, área de lazer completa com piscina, playground, quadra de esportes, academia, salão de festa, churrasqueira.<br>Localização privilegiada: No coração da cidade / Próximo a bancos, lojas, Shopping, ao lado do supermercado Paulistão e frente ao SESI<br><br>Agende sua visita e se encante!<br>Fale conosco: -; BS:Linha 694/696, BS:Linha 696/746, SC:Espaço B&B, BR:Romeu
2496053410; APARTMENT; UNIT; BR; Hortolândia; SP; ; BR>Sao Paulo>NULL>Hortolandia>Barrios>Vila Sao Francisco; Vila São Francisco; RESIDENTIAL; 49; 49; Comprar; 210000; 0; 0; 1; 2; 0; 13184235; Excelente Apartamento a venda / locação no Condomínio Rossi Pitangueiras , Hortolândia! Aceita financiamento! Valor de venda R$ 210.000,00Sobrado dispõe de: - Área útil de 49 m²- Piso porcelanato na casa toda- Sala - Cozinha tipo americana - 02 Dormitórios- Banheiro social possui box- Área de serviço - 1 Vaga de garagem coberta Com uma ampla infraestrutura, o condomínio oferece: - Portaria com segurança 24 horas - Cerca elétrica com arame e grades de proteção - Ronda interna - Cancelas para veículos - Entrada independente para veículos, pedestres e ciclistas - Área de lazer com playground, quadras poliesportivas, churrasqueiras, salões de festa Em ótima localização, o condomínio possui em sua proximidade: - Grande diversidade de comércio local - Escolas- Parque ecológico Chico Mendes- Facilidade de acesso à Campinas, Rod. Dos Bandeirantes e Anhanguera - Transporte público próximo do condomínio - Fácil acesso ao centro comercial de Hortolândia! Imperdível! Agende já sua visita! Saiba mais: WhatsApp<br><br>Fale conosco: -; SC:Espaço B&B, BR:Romeu
2496739498; APARTMENT; UNIT; BR; Hortolândia; SP; Rua Nelson Pereira Bueno; BR>Sao Paulo>NULL>Hortolandia>Barrios>Vila Sao Francisco; Vila São Francisco; RESIDENTIAL; 82; 76; Comprar; 350000; 2; 1; 3; 3; 300; 13184235; Apartamento no Condomínio Avalon, Loteamento Remanso Campineiro, em Hortolândia com 3 dormitórios, sendo 1 suíte, sala de estar e jantar integradas à cozinha e a varanda gourmet com churrasqueira.<br>O apartamento possui laminado de madeira nas salas e dormitórios e piso frio nas áreas úmidas. A sala ainda conta com sanca em gesso e ventilador de teto, além de uma parede inteira de móvel planejada, a cozinha em estilo americana é riquíssima em armários e os dormitórios também.<br>O condomínio oferece muita segurança com portaria 24h e excelente área de lazer com piscina adulto e infantil, salão de festas, quiosques, playground, quadra poliesportiva e academia, além de manutenção contínua com zelador, faxineiros, seguranças e serviços de jardinagem.<br><br>A localização é privilegiada e está a cerca de 10 minutos da Rodovia dos Bandeirantes e a 20 minutos do Centro de Campinas, próximo padarias, supermercados, a rua principal do comércio da cidade e do Shopping Hortolândia, além de agências bancárias, Paço Municipal e escolas. <br>O Avalon foi cuidadosamente pensado para quem quer viver cercado de beleza, tranquilidade e conveniências, sem perder tudo àquilo que o centro de Hortolândia tem de melhor. Tudo isso no coração de Hortolândia com muito lazer e entretenimento para todas as idades. <br>Aceita financiamento.<br>Aceita permuta por casa com valor similar. -; SC:Espaço B&B, BR:Romeu
2495330474; RESIDENTIAL_ALLOTMENT_LAND; UNIT; BR; Hortolândia; SP; ; BR>Sao Paulo>NULL>Hortolandia>Barrios>Vila Sao Francisco; Vila São Francisco; RESIDENTIAL; 250; 250; Comprar; 180200; 0; 0; 0; 0; 275; 13184160; Excelente terreno de Alto Padrão em condomínio fechado.<br>São 250m² de área total com ótima topografia, próximo a portaria.<br>Condomínio fechado com: Portaria 24h com monitoramento por câmeras, Muro Fechado, Cerca Elétrica, Entradas Individualizadas (morador, visitante e serviços), Sede Administrativa; Quadra de Futebol Society em grama natural; Quadra de Tênis de Saibro, Quadra de Vôlei de Areia; Trilhas de Caminhada Integradas á Natureza Piscina Adulto e Infantil; Prainhas e borda infinita; Espaço Gourmet; Academia e muito mais<br><br>Maiores informações e visitas:<br> ou whatsapp <br>www.oppenimoveis.com.br<br>Creci - J27928<br><br>As informações anunciadas foram coletadas com o proprietário do imóvel e são passíveis de atualizações. Solicite-nos confirmação! -; BR:Romeu, SC:Espaço B&B
2487222484; APARTMENT; UNIT; BR; Hortolândia; SP; Rua Nelson Pereira Bueno; BR>Sao Paulo>NULL>Hortolandia>Barrios>Vila Sao Francisco; Vila São Francisco; RESIDENTIAL; 70; 70; Comprar; 265000; 1; 1; 2; 3; 360; 13184235; Lindo apartamento, no condomínio Avalon - possui 70mt; varanda com churrasqueira. 3 dormitórios, sendo um suíte.<br>Apartamento térreo com ótima localização no condomínio<br>área de lazer completa com piscina, playground, quadra de esportes,<br>academia, salão de festa, churrasqueira, portaria 24 horas com sistema de câmeras de segurança.<br>Excelente localização próximo a bancos,<br>lojas e ao lado do supermercado Paulistão e frente ao Sesi. -; BS:Linha 694/696, BS:Linha 696/746, SC:Espaço B&B, BR:Romeu
2497556732; APARTMENT; UNIT; BR; Hortolândia; SP; Rua José da Silva Galvão; BR>Sao Paulo>NULL>Hortolandia>Barrios>Vila Sao Francisco; Vila São Francisco; RESIDENTIAL; 58; 58; Comprar; 250000; 1; 0; 1; 2; 350; 13183091; Apartamento à venda no condomínio Avalon - Hortolândia (centro)<br><br>O condomínio Avalon, está localizado na cidade de Hortolândia, entre as duas avenidas principais da cidade (Luis Camilo de Camargo e avenida Olívio Fraceschini) e a um quarteirão do centro e ao lado de um lindo parque.<br><br>Essa é uma ótima opção para quem busca qualidade de vida e praticidade no dia a dia.<br><br>-Em seu interior contem sala com dois ambientes e acesso à varanda gourmet, cozinha estilo americano (planejada e com pia de mármore), banheiro com box de vidro, área de serviço. <br><br>Seu diferencial é possuir as luzes de led em seu ambiente, uma garagem coberta para seu automóvel e piso lamina nas salas e nos quartos.<br><br>O condomínio Avalon, possui 2 piscinas sendo uma adulto e a outra infantil, playground, quadra poliesportiva, academia, salão de festas, espaço interno para caminhada, portaria 24 horas e monitoriamento por câmeras.<br><br>A sua localização é ótima pois fica a um quarteirão do centro, ao lado dos principais bancos (Caixa, Santander, Banco do Brasil, Bradesco e Itaú),bairro estruturado com supermercados, padarias, escolas, postos de combustível, posto de saúde, escolas, academias e parques para caminhada e ciclovias.<br><br>*Aceita financiamento e FGTS*.<br><br>Agende sua visita com a GV! -; BR:Romeu, SC:Espaço B&B
