IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2479024284; HOME; UNIT; BR; Taubaté; SP; Rua Padre Carlos Corrêa de Toledo; BR>Sao Paulo>NULL>Taubate>Barrios>Vila Sao Jose; Vila São José; RESIDENTIAL; 373; 373; Comprar; 940000; 3; 1; 3; 3; 450; 12070510; Vende-se bela casa no reservado Condomínio Itatiaia, com 373m² muito bem aproveitados no terreno. Sala com pé-direito duplo. Conta com 3 dormitórios, sendo uma suíte e uma ótima área de lazer com piscina, sauna e espaço para churrasco.; BR:WILL BEBIDAS
2435434485; APARTMENT; UNIT; BR; Taubaté; SP; Avenida Helvino Moraes; BR>Sao Paulo>NULL>Taubate>Barrios>Vila Sao Jose; Vila São José; RESIDENTIAL; 73; 63; Comprar; 250000; 1; 1; 2; 2; 280; 12070450; Tratar com o proprietário. Apto no bairro Vila São José, ao lado do Centro. Apartamento muito bem localizado (2min do centro e 5min da Dutra), seguro e tranquilo. Próximo à padarias, farmácia, escolas, petshops, restaurantes,barzinhos e um grande parque. Imóvel amplo com excelentes cômodos. Condomínio conta com portaria 24h, elevador e área de lazer completa: - Piscina; -Churrasqueiras; -Playground; -Salão de festas e jogos; -Academia.; BR:WILL BEBIDAS
2490192931; APARTMENT; UNIT; BR; Taubaté; SP; ; BR>Sao Paulo>NULL>Taubate>Barrios>Vila Sao Jose; Vila São José; RESIDENTIAL; 63; 63; Comprar; 250000; 1; 1; 2; 2; 280; 12070550; *APARTAMENTO A VENDA NO BAIRRO VILA SÃO JOSÉ EM TAUBATÉ*<br><br>A Black Imob Consultoria Imobiliária disponibiliza para venda esse apartamento totalmente diferenciado na região mais procurada na cidade de Taubaté, no bairro Vila São José. Ótima OPORTUNIDADE de morar em um apartamento de 62,59m² com muito conforto e área de lazer completa. Possui 2 dormitórios, sendo 1 suíte, sala para 2 ambientes, área de serviço e móveis planejados em todos os cômodos. Teto com sanca em gesso e led. Cozinha americana com cooktop e bancada em pedra e sacada gourmet com churrasqueira e janela de vidro. 1 Vaga de garagem.<br><br>Entre em contato e agende uma visita.<br><br>Felipe Barbosa<br><br>CRECI 170659 -; 
2473873866; APARTMENT; UNIT; BR; Taubaté; SP; Avenida Helvino Moraes; BR>Sao Paulo>NULL>Taubate>Barrios>Vila Sao Jose; Vila São José; RESIDENTIAL; 74; 71; Comprar; 270000; 1; 1; 2; 2; 288; 12070450; Vendo apartamento com móveis planejados, novo, 2 quartos no bairro Vila São José em Taubaté SP<br>Apartamento 3 andar localizado no condomínio residencial Atlantic <br>possui seus 74 metros quadrados distribuídos assim: 2 dormitórios sendo 1 suíte, sala, banheiro social com box, todos com móveis planejados, cozinha planejada, área de serviço, sacada com blindex, ar condicionado, 1 vaga de garagem.<br>Acabamentos do imóvel em pisos porcelanatos e cômodos todos planejados. Estuda permuta e financiamento.; BR:WILL BEBIDAS
2495647554; APARTMENT; UNIT; BR; Taubaté; SP; ; BR>Sao Paulo>NULL>Taubate>Barrios>Vila Sao Jose; Vila São José; RESIDENTIAL; 77; 77; Comprar; 320000; 1; 1; 2; 2; 400; 12070590; Belo apartamento localizado na Vila São José! Próximo ao Parque Sedes! Fácil acesso às principais avenidas da região e a poucos minutos da Rodovia Presidente Dutra! A poucos minutos também do Poupatempo, Supermercado Shibata, Rodoviária Nova e Horto Florestal!<br><br>O Condomínio Residencial Vila Velha possui portão eletrônico, elevador, salão de festas e vaga para visitantes!<br><br>Imóvel localizado no 8º andar e com 1 vaga de garagem coberta. Linda sala em até 2 ambientes, ótima varanda gourmet, excelente cozinha com armários, 2 dormitórios sendo 1 suíte sendo ambos com armários, banheiro social e área de serviço.<br><br>Apartamento com excelentes planejados em todos os cômodos, telas mosquiteira e persianas nos quartos e na varanda.<br><br>Agende já, faça uma visita e confira essa excelente oportunidade!<br><br>Código do anúncio: AP0493<br><br>Julio Estefano Consultoria Imobiliária<br>CRECI: J-32672<br><br><br> -; CH:UPA San Marino
2478567651; APARTMENT; UNIT; BR; Taubaté; SP; ; BR>Sao Paulo>NULL>Taubate>Barrios>Vila Sao Jose; Vila São José; RESIDENTIAL; 64; 64; Comprar; 250000; 2; 1; 2; 2; 308; 12070450; A Júlio Estefano Consultoria Imobiliária tem o imóvel para você e sua família realizarem o seu sonho!<br><br>Apartamento com 64 m² no Condomínio Residencial Duo Vila São José em Taubaté/SP localizado no 7º andar e com 2 vagas cobertas. Sala em até 2 ambientes, cozinha estilo americana com armários e com ótima bancada em granito, 2 dormitórios sendo 1 suíte (todos com armários), banheiro social, área de serviço privativa e varanda.<br><br>Apartamento com ótimo acabamento, piso em laminado, bem arejado e com bastante iluminação natural, gesso, lâmpadas de led, ótimos planejados, banheiros completos, esquadrias de alumínio.<br><br>O condomínio possui portaria 24h, salão de festas, piscina adulto, piscina infantil, área gourmet com churrasqueira, playground, brinquedoteca.<br><br>Excelente valorização e localização, próximo a serviços, comércio em geral e transporte.<br><br>Agende já e faça uma visita, sem compromisso e confira essa excelente oportunidade de viver com qualidade e segurança. -; BR:WILL BEBIDAS
2494648310; APARTMENT; UNIT; BR; Taubaté; SP; Rua Cláudio José de Camargo; BR>Sao Paulo>NULL>Taubate>Barrios>Vila Sao Jose; Vila São José; RESIDENTIAL; 62; 62; Comprar; 292000; 2; 1; 2; 2; 287; 12070550; Apartamento à venda na Vila São José, em Taubaté-SP<br><br>Com fácil acesso à Rodovia Presidente Dutra, o imóvel encontra-se próximo ao Parque Municipal SEDES, a faculdade UNITAU, e do Carrefour Bairro.<br><br>O apartamento possui 62 m², com 02 dormitórios sendo 01 suíte, cozinha americana, sala dois ambientes, varanda gourmet e 02 vagas cobertas de garagem. <br><br>Área de lazer completa, com salão de festa, sala de ginástica, playground, piscina, mini quadra, salão de jogos e espaço gourmet com churrasqueira. <br><br>Agende uma visita, vamos conversar sobre seu imóvel! -; CH:UPA San Marino
2498411979; TWO_STORY_HOUSE; UNIT; BR; Taubaté; SP; ; BR>Sao Paulo>NULL>Taubate>Barrios>Vila Sao Jose; Vila São José; RESIDENTIAL; 135; 125; Alugar/Comprar; 1100; 2; 1; 3; 3; 0; 12070400; A Júlio Estefano Consultoria Imobiliária tem o imóvel para você e sua família realizarem o seu sonho!<br><br>Sobrado com 125 m² de área construída na Vila São José em Taubaté/SP com 2 vagas descobertas. Piso inferior com sala em até 2 ambientes, cozinha e banheiro social. Piso superior com sala, 3 dormitórios sendo 1 suíte e banheiro social.<br><br>Excelente sobrado em um dos melhores bairros da região. Casa toda em porcelanato, bastante iluminação natural, banheiros completos.<br><br>Excelente valorização e localização, próximo a serviços, comércio em geral e transporte.<br><br>Agende já e faça uma visita, sem compromisso e confira essa excelente oportunidade de viver com qualidade e segurança.<br><br>Código do anúncio: SO0445<br><br>Julio Estefano Consultoria Imobiliária<br>CRECI: J-32672<br><br><br> -; 
2477548183; APARTMENT; UNIT; BR; Taubaté; SP; ; BR>Sao Paulo>NULL>Taubate>Barrios>Vila Sao Jose; Vila São José; RESIDENTIAL; 62; 62; Comprar; 250000; 0; 1; 2; 2; 0; 12070550; Torre única com acabamento de alto padrão!<br><br>Preparação para ar condicionado em todos os ambientes.<br><br>PRONTO PRA MORAR!<br><br>Plantas com 62,59m e 64,08m.<br><br>São 2 dorms sendo uma suíte e com varanda gourmet.<br><br>São 14 andares, com todas as vagas cobertas, 02 subsolos e 02 elevadores.<br>Área de lazer completa com piscina, salão de festas, salão de jogos, fitness, quadra e espaço gourmet.<br><br>Próximo a posto de gasolina, ponto de ônibus, padarias, farmácias, SEDES, escolas e há 10 minutos do centro. <br><br>Gostou?<br><br>Agende sua visita!!!; CH:UPA San Marino
2496155522; CONDOMINIUM; UNIT; BR; Taubaté; SP; ; BR>Sao Paulo>NULL>Taubate>Barrios>Vila Sao Jose; Vila São José; RESIDENTIAL; 410; 373; Comprar; 940000; 4; 1; 4; 3; 700; 12070510; Excelente sobrado de alto padão totalmente mobiliado localizado em condomínio com ótima valorização e localização! Próximo á super mercados, farmácias, restaurantes, padarias e comércio em geral.<br><br>O Condomínio Residencial Itatiaia conta com portria eletrônica, campo de futebol, playground, salão de festa e churrasqueira.<br><br>O imóvel possui no piso inferior, sala ampla em 2 ambientes com sala de estar e sala de jantar montadas, ótimo lavabo, excelente cozinha com armários planejados, torre quente (microondas, forno), cooktop, coifa, geladeira, ótima bancada em granito, copa com mesa de jantar de vidro, dependências de serviço, área de serviço com armários, despensa e adega com planejados. No piso superior conta com sala de TV equipada com belo sofá e TV, ótimo banheiro social, 3 dormitórios sendo 1 suíte master com banheira, closet, sacada e ar condicionado, 1 dormitório com closet, 1 dormitório. Ótimo rancho gourmet com churrasqueira, armários planejados, toldo, quintal com excelente piscina com cascata e sauna.<br><br>O imóvel ainda tem excelente acabamento, pé direito alto proporcionando um imóvel bem arejado e com bastante iluminação natural, revestimentos e madeiramento de alta qualidade, banheiros completos, toda a casa com rebaixo de teto em gesso com projeto de iluminação já instalado com lâmpadas de led, cômodos amplos, integrados e aconchegantes, persianas e cortinas.<br><br>2 vagas de garagem cobertas e 2 descobertas.<br><br>Agende já, faça uma visita e confira essa excelente oportunidade!<br><br>Código do anúncio: SO0576<br><br>Julio Estefano Consultoria Imobiliária<br>CRECI: J-32672<br><br><br> -; BR:WILL BEBIDAS
