IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2173405482; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Sao Vicente; Vila São Vicente; RESIDENTIAL; 98; 98; Comprar; 490000; 2; 1; 3; 3; 722; ; APARTAMENTO EXCELENTE, COM ARMÁRIOS PLANEJADOS.; 
2489727748; HOME; UNIT; BR; São Paulo; SP; Rua das Paisagens; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Sao Vicente; Vila São Vicente; RESIDENTIAL; 106; 125; Comprar; 700000; 3; 0; 2; 3; 0; 02733080; Sobrado duplex com 03 dormitórios, sala ampla, cozinha com armários, 02 banheiros, área de serviço com churrasqueira, 03 vagas de garagem com portão automatizado. -; BS:Parada Editora Abril, BS:Parada Freguesia, TS:Parada Editora Abril, TS:Parada Freguesia, CS:Padaria Cigana, CS:Padaria Champgne, CS:Frango Assado, CS:Bella Floresta, PH:Droga Mina
2478647706; APARTMENT; UNIT; BR; São Paulo; SP; Rua Tucunduva; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Sao Vicente; Vila São Vicente; RESIDENTIAL; 128; 128; Comprar; 680000; 3; 1; 2; 3; 1200; 02733100; Apartamento à venda na Vila São Vicente na Freguesia do Ó na Rua Tucunduva 242 com 3 dormitórios, 1 suíte master com closet, living amplo com 2 ambientes, wc social, lavabo, lavanderia, lazer com fitness, quadra, salão de jogos, churrasqueira, forno e e pizza, bem localizado, próximo da Avenida Itaberaba, próximo delegacia 28 º, será construído metrô bem próximo, agende sua visita com os corretores de plantão. Referência: Vila São Vicente A-680/2; BS:Parada Editora Abril, BS:Parada Freguesia, TS:Parada Editora Abril, TS:Parada Freguesia, CS:Padaria Cigana, CS:Padaria Champgne, CS:Frango Assado, PH:Droga Mina
2499162621; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Sao Vicente; Vila São Vicente; RESIDENTIAL; 137; 137; Alugar/Comprar; 4500; 3; 1; 4; 3; 1550; 02733030; Apto Alto Padrão na Freguesia do Ó<br>137 m²<br>3 DORMITÓRIOS SENDO 1 SUITE COM CLOSED. REPLETO DE ARMÁRIOS <br>4 BANHEIROS <br>3 VAGAS DE GARAGEM<br>2 SACADAS <br>SALA<br>LAVANDERIA<br>COPA E COZINHA<br>LAVANDERIA <br>DEP. DE EMPREGADA<br>Venha fazer uma visita !<br>+ informações <br>WhatsApp <br>www.novojeito.com.br <br>Instagram e Facebook <br>@novojeitoimoveis; BS:Parada Editora Abril, BS:Parada Freguesia, BS:Parada Ponte do Piqueri (norte), BS:Parada Ponte do Piqueri (Oeste), TS:Parada Editora Abril, TS:Parada Freguesia, TS:Parada Ponte do Piqueri (norte), TS:Parada Ponte do Piqueri (Oeste), CS:Padaria Champgne, CS:Padaria Cigana, CS:Frango Assado, CH:Unidade Básica de Saúde Moinho Velho I
2490126482; APARTMENT; UNIT; BR; São Paulo; SP; Rua Tucunduva; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Sao Vicente; Vila São Vicente; RESIDENTIAL; 128; 128; Comprar; 750000; 0; 1; 1; 3; 1350; 02733100; Ótima oportunidade de morar na Vila Vicente <br>Apartamento com 3 dormitórios, sendo 1 suíte e 3 vagas m <br> <br>Aproveite e agende sua visita conosco <br>www.shprime.com.br<br>Sh Prime Imóveis, referência no mercado imobiliário fornecendo serviços inovadores, com excelência e qualidade no atendimento!<br>Agências em Perdizes, Pacaembu, Chácara Klabin, Santana, Vila Nova Conceição e Aclimação. .<br><br>Acesse nosso site e confira outras ofertas: www.shprime.com.br. <br><br>. Pontos de Interesse mais Próximos: <br><br>Metrô PALMEIRAS-BARRA FUNDA a 4464m. <br>Ponto de onibus a 214m. <br>Ciclovia CICLOVIA FREGUESIA DO O, com extensão de 583m a uma distância de 2548m. <br>Escola RICARO UNIDADE II(ENEM: 625.678) a 864m. <br>Parque RODRIGO DE GASPERI (Área: 36832m) a 2930m.; BS:Parada Editora Abril, BS:Parada Freguesia, TS:Parada Editora Abril, TS:Parada Freguesia, CS:Padaria Cigana, CS:Padaria Champgne, CS:Frango Assado, PH:Droga Mina
2480784786; HOME; UNIT; BR; São Paulo; SP; Rua Tucunduva; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Sao Vicente; Vila São Vicente; RESIDENTIAL; 253; 180; Comprar; 742000; 2; 1; 3; 3; 0; 02733100; Sobrado FREGUESIA DO O <br>180 m² de área construída, 3 dormitórios ( sendo 1 suíte ), 253 metros de terreno, quintal,<br>sala de jantar, sala de estar, sacada, cerâmica, área de serviço, armário embutido, <br>armário de cozinha, entrada lateral, edícula, 2 vagas de garagem cobertas.<br>suíte com ar condicionado novo. -; BS:Parada Editora Abril, BS:Parada Freguesia, TS:Parada Editora Abril, TS:Parada Freguesia, CS:Padaria Cigana, CS:Padaria Champgne, CS:Frango Assado, PH:Droga Mina
2497058562; HOME; UNIT; BR; São Paulo; SP; Rua Izabel Velho; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Sao Vicente; Vila São Vicente; RESIDENTIAL; 250; 250; Comprar; 625400; 3; 0; 3; 3; 0; 02733110; Sobrado com 250m², 3 dormitórios, 3 vagas, 3 banheiros, ótimo espaço para seu dia a dia. <br>Marque uma visita ainda hoje, faça uma consulta com nossos corretores, apresente sua proposta, não perca a oportunidade de fechar um excelente negócio!; BS:Parada Editora Abril, BS:Parada Freguesia, TS:Parada Editora Abril, TS:Parada Freguesia, CS:Padaria Champgne, CS:Padaria Cigana, CS:Frango Assado, CS:Bella Floresta, CS:A Lareira, PH:Droga Mina
2497615818; APARTMENT; UNIT; BR; São Paulo; SP; Rua Tucunduva; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Sao Vicente; Vila São Vicente; RESIDENTIAL; 128; 128; Comprar; 680000; 3; 1; 2; 3; 1200; 02733100; Excelente apartamento, 128 m², 2º andar, 2 unidades por andar, 3 dormitórios, suíte com closet, sala 2 ambientes com lavabo, cozinha planejada, 2 banheiros, área de serviço, 3 vagas. Lazer completo, exceto piscina. próximo a futura estação de metrô. <br>Agende sua visita!!!; BS:Parada Editora Abril, BS:Parada Freguesia, TS:Parada Editora Abril, TS:Parada Freguesia, CS:Padaria Cigana, CS:Padaria Champgne, CS:Frango Assado, PH:Droga Mina
2494910993; HOME; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Sao Vicente; Vila São Vicente; RESIDENTIAL; 180; 180; Comprar; 550000; 3; 0; 3; 2; 0; 02675031; Sobrado na Freguesia do Ó com 2 dormitórios, sala ampla para 2 ambientes, cozinha, banheiro social, área de serviço com banheiro, garagem para 3 carros.<br><br>Esclareça suas dúvidas e agende sua visita com nossa corretora Joana pelo WhatsApp .; BS:Parada Editora Abril, BS:Parada Freguesia, BS:Parada Ponte do Piqueri (norte), BS:Parada Ponte do Piqueri (Oeste), TS:Parada Editora Abril, TS:Parada Freguesia, TS:Parada Ponte do Piqueri (norte), TS:Parada Ponte do Piqueri (Oeste), CS:Padaria Cigana, CS:Padaria Champgne, CS:Frango Assado, CH:Unidade Básica de Saúde Moinho Velho I
2489423547; APARTMENT; UNIT; BR; São Paulo; SP; Rua Brigadeiro Araújo; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Sao Vicente; Vila São Vicente; RESIDENTIAL; 56; 52; Comprar; 350000; 0; 0; 1; 2; 0; 02733090; Aptos novos, Torre única com 8and. total 31 aptos. Salão de Festas, Quadra Futsal Mirim, Playground, a 400mt futuro Metrô Linha 6 laranja Freguesia do Ó, 300mt Mac Donald, Farmácias, 500mt Pronto Socorro, 500mt da Marginal Tietê, 600mt Faculdade Thereza Martin, 200mt Cartorio de Registro Civil, 300mt 28o. Distrito Policial Av. Itaberaba, 400mt Supermercado Sondas.<br>agende sua visita -; BS:Parada Editora Abril, BS:Parada Freguesia, TS:Parada Editora Abril, TS:Parada Freguesia, CS:Padaria Cigana, CS:Padaria Champgne, CS:Frango Assado, CS:Bella Floresta, PH:Droga Mina
