IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio; CEP; Descricao; Pros
2479878489; APARTMENT; UNIT; BR; São Paulo; SP; Rua Ibó; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Agua Rasa; Água Rasa; RESIDENTIAL; 175; 104; Comprar; 850000; 3; 1; 3; 3; 905; 03346000; Apartamento à venda, Local nobre , Água Rasa. Ótimo!!! Armários nos dormitórios e cozinha, prédio todo pastilhado com excelente acabamento. São Paulo - AP1820. Próximo do Shopping Analia Franco , Av Regente Feijó , CERET documentação OK , aceita Financiamento,.<br>* As informações e valores anunciados foram fornecidos pelo proprietário do imóvel e poderão ser alterados sem prévio aviso.; BS:Rua Ibó, 496, BS:Avenida Sapopemba 535, BS:Avenida Sapopemba 572, BS:Avenida Sapopemba 735, BS:Avenida Sapopemba 770, TS:Rua Ibó, 496, TS:Avenida Sapopemba 535, TS:Avenida Sapopemba 572, TS:Avenida Sapopemba 735, TS:Avenida Sapopemba 770, CS:Big Pão Panif. e Confeitaria, CS:Rei do Mate Leroy Merlin, CS:Bella Regente, CS:Julio's Casa de Pães, CS:Casa de Carnes Vale do Douro, PH:Drogaria Moretti, PH:Neo Farma  Manipulação, PH:Neo Farma Manipulação, PH:Drogaria Itamonte
2492848890; APARTMENT; UNIT; BR; São Paulo; SP; Rua Pantojo; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Agua Rasa; Água Rasa; RESIDENTIAL; 106; 106; Comprar; 579000; 2; 1; 1; 3; 1100; 03343000; Apartamento Agua Rasa<br><br>Otima localização<br><br>lazer completo<br><br>Bem distribuido com 2 vagas<br><br>marque ja sua visita -; BS:Rua Pirajá 347, BS:Avenida Sapopemba 262, BS:Avenida Sapopemba 331, BS:Avenida Sapopemba 535, BS:Rua Ibó, 496, TS:Rua Pirajá 347, TS:Avenida Sapopemba 262, TS:Avenida Sapopemba 331, TS:Avenida Sapopemba 535, TS:Rua Ibó, 496, CS:Big Pão Panif. e Confeitaria, CS:Padaria Santa Branca, CS:Açogue Bonas, CS:Padaria Falcão, CS:Padaria Lisboa, PH:Drogaria Moretti, PH:Neo Farma  Manipulação, PH:Neo Farma Manipulação, PH:Drogaria Itamonte
2496777572; APARTMENT; UNIT; BR; São Paulo; SP; Rua Atalaia Velha; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Agua Rasa; Água Rasa; RESIDENTIAL; 0; 57; Comprar; 335000; 1; 1; 2; 2; 490; 03191140; Apartamento 2 dormitórios, sendo 1 dormitório (mobiliado) com lavabo, ampla sala 2 ambientes, piso frio, cozinha planejada, uma vaga de garagem (livre). prédio com 3 elevadores ( possui gerador) . Condomínio: salão de festas + churrasqueira, piscina infantil e adulto, quadra poliesportiva e playground . Localização privilegiada, a 5 minutos do Shopping Anália Franco e Clube Ceret, ampla rede de comercio e serviços, escolas e transporte público ( fácil acesso a estação Vila Prudente e Tatuapé do metrô) agende o quanto antes sua visita ou ligue para mais informações. Bauer 99916.2950; BS:Avenida Sapopemba 1088, BS:Avenida Sapopemba 929, BS:Rua Almirante Alexandrino 121, BS:Avenida Sapopemba 1323, BS:Rua Almirante Alexandrino 100, TS:Avenida Sapopemba 1088, TS:Avenida Sapopemba 929, TS:Rua Almirante Alexandrino 121, TS:Avenida Sapopemba 1323, TS:Rua Almirante Alexandrino 100, CS:Bella Regente, CS:Casa de Carnes Vale do Douro, CS:Big Pão Panif. e Confeitaria, CS:Julio's Casa de Pães, CS:Rei do Mate Leroy Merlin, PH:Drogaria Moretti, PH:Drogaria Itamonte
2440896828; HOME; UNIT; BR; São Paulo; SP; Rua Bom Jesus; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Agua Rasa; Água Rasa; RESIDENTIAL; 148; 148; Comprar; 750000; 2; 4; 2; 4; 0; 03344000; SOBRADO - ÁGUA RASA - VILA PARTICULAR FECHADA - C/ 04 SUÍTES / SALA / COZINHA / BANHEIROS / LAVANDERIA / CHURRASQUEIRA / ENTRADA LATERAL / COBERTURA ZETAFLEX / GARAGEM FECHADA P/ 02 CARROS; BS:Avenida Sapopemba 331, BS:Avenida Sapopemba 535, BS:Avenida Sapopemba 262, BS:Rua Ibó, 496, BS:Avenida Sapopemba 572, TS:Avenida Sapopemba 331, TS:Avenida Sapopemba 535, TS:Avenida Sapopemba 262, TS:Rua Ibó, 496, TS:Avenida Sapopemba 572, CS:Big Pão Panif. e Confeitaria, CS:Bella Regente, CS:Açogue Bonas, CS:Padaria Santa Branca, CS:Rei do Mate Leroy Merlin, PH:Drogaria Moretti, PH:Neo Farma  Manipulação, PH:Neo Farma Manipulação, PH:Drogaria Itamonte
2243095480; APARTMENT; UNIT; BR; São Paulo; SP; Rua Barão de Penedo; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Agua Rasa; Água Rasa; RESIDENTIAL; 82; 82; Comprar; 400000; 0; 0; 2; 2; 487; 03179070; apartamento confortável, na Mooca, bem conservado, dois dormitórios, uma vaga coberta, cozinha grande., em condomínio, com quadras, play ground, várias praças para descanso. Condomínio localizado, próximo à tudo, mercados, AMA, etc. -; BS:Rua Pirajá 347, BS:Avenida Sapopemba 262, BS:Avenida Sapopemba 331, BS:Avenida Sapopemba 535, BS:Avenida Sapopemba 572, TS:Rua Pirajá 347, TS:Avenida Sapopemba 262, TS:Avenida Sapopemba 331, TS:Avenida Sapopemba 535, TS:Avenida Sapopemba 572, CS:Padaria Santa Branca, CS:Açogue Bonas, CS:Padaria Falcão, CS:Padaria Lisboa, CS:Big Pão Panif. e Confeitaria, PH:Drogaria Moretti, PH:Neo Farma  Manipulação, PH:Neo Farma Manipulação, PH:Drogaria Itamonte
2446446680; HOME; UNIT; BR; São Paulo; SP; Rua Igaratinga; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Agua Rasa; Água Rasa; RESIDENTIAL; 123; 123; Comprar; 500000; 2; 2; 2; 2; 0; 03273400; Acesse: www.lelloimoveis.com.br - código 199104 Oportunidade! Charmoso sobrado em condomínio, possui 123 m² de área construída, duas suítes (sendo uma com sacada), sala, cozinha com armários planejados, área de serviço e um lavabo. <br>Duas vagas de garagem.<br>Próximo ao monotrilho Oratório. Próximo do monotrilho do Oratório, Avenida Sapopemba e Avenida Prof Luis de Anhaia Melo. Região com farto comércio e serviços.; BS:Avenida Sapopemba 3112, BS:Avenida Sapopemba 3207, BS:Avenida Sapopemba 3013, BS:Avenida Sapopemba 3280, BS:Avenida Sapopemba 2748, TS:Oratório, TS:Avenida Sapopemba 3112, TS:Avenida Sapopemba 3207, TS:Avenida Sapopemba 3013, TS:Avenida Sapopemba 3280, CS:Padaria Novo Cruzeiro, CS:Bonas, CS:Padraira Total Sucesso, CS:Casa de Carnes Vale do Douro, CS:Bella Regente, CH:Consultório Dentário
2457552312; HOME; UNIT; BR; São Paulo; SP; Rua Manoel Gomes; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Agua Rasa; Água Rasa; RESIDENTIAL; 130; 130; Comprar; 798000; 2; 1; 2; 3; 0; 03349045; Acesse: www.lelloimoveis.com.br - código 72000 Belíssimo sobrado, com três dormitórios (sendo uma suíte), quintal com churrasqueira, bastante iluminada e arejada, sala para dois ambiente, banheiros reformados com materiais modernos, móveis planejados nos quartos e cozinha.<br>Duas vagas.<br>Localização privilegiada, próximo ao shopping Anália Franco. Ótima localização próximo ao shopping Anália Franco, clube 7 de Setembro, academia Redfit; BS:Rua Almirante Alexandrino 121, BS:Rua Almirante Alexandrino 100, BS:Avenida Sapopemba 1323, BS:Avenida Sapopemba 1088, BS:Avenida Sapopemba 1444, TS:Rua Almirante Alexandrino 121, TS:Rua Almirante Alexandrino 100, TS:Avenida Sapopemba 1323, TS:Avenida Sapopemba 1088, TS:Avenida Sapopemba 1444, CS:Bella Regente, CS:Casa de Carnes Vale do Douro, CS:Julio's Casa de Pães, CS:Rei do Mate Leroy Merlin, CS:Big Pão Panif. e Confeitaria, PH:Drogaria Moretti, PH:Neo Farma  Manipulação, PH:Neo Farma Manipulação
2436204878; APARTMENT; UNIT; BR; São Paulo; SP; Rua Miguel Mota; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Agua Rasa; Água Rasa; RESIDENTIAL; 65; 64; Comprar; 329000; 1; 0; 1; 2; 424; 03191110; Condomínio de apartamentos construído em 2012 (há 7 anos) pela empresa Edim. O condomínio residencial Felicitá Água Rasa é composto por uma torre única. A unidade é de 64m² com 2 dormitórios e 1 vaga.<br>A Bella Casa é a imobiliária da Mooca que mais tem avaliações positivas no Google. Nosso trabalho é totalmente focado em qualidade e agilidade nos serviços, levando aos clientes a melhor experiência na compra, venda ou locação de imóveis. Possuímos mais de 4 mil imóveis em nossos cadastros, pós venda e jurídico próprio e uma experiente equipe.<br><br>WHATSAPP <br><br>--- 11 .9...6...3.....6....4...9...1...8..2 ---; BS:Avenida Sapopemba 1323, BS:Rua Almirante Alexandrino 121, BS:Rua Almirante Alexandrino 100, BS:Avenida Sapopemba 1444, BS:Avenida Sapopemba 1088, TS:Avenida Sapopemba 1323, TS:Rua Almirante Alexandrino 121, TS:Avenida Sapopemba 1444, TS:Rua Almirante Alexandrino 100, TS:Avenida Sapopemba 1088, CS:Bella Regente, CS:Casa de Carnes Vale do Douro, CS:Big Pão Panif. e Confeitaria, CS:Julio's Casa de Pães, CS:Rei do Mate Leroy Merlin, PH:Drogaria Moretti, PH:Drogaria Itamonte
2451351878; APARTMENT; UNIT; BR; São Paulo; SP; Rua Pantojo; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Agua Rasa; Água Rasa; RESIDENTIAL; 127; 127; Comprar; 985000; 2; 2; 4; 3; 1122; 03343000; Excelente apartamento em ótima localização, 2 vagas fixas e escrituradas, depósito privativo, varanda gourmert, lavabo, 3 dormitórios, sendo 2 suítes, suíte master com closed e banheira, cozinha com armários, cooktop, coifa, lava-louças, mesa em vidro com cadeiras, lavanderia com armários, dependência de empregada repleta de armários. Condomínio com lazer completo. Venha conhecer!!<br>As informações estão sujeitas a alterações.<br>Ligue: (11) 3386_2222 ou Whatsapp (11) 93231_0031<br>EVIDENCE IMÓVEIS; BS:Rua Ibó, 496, BS:Avenida Sapopemba 535, BS:Avenida Sapopemba 331, BS:Avenida Sapopemba 572, BS:Avenida Sapopemba 262, TS:Rua Ibó, 496, TS:Avenida Sapopemba 535, TS:Avenida Sapopemba 572, TS:Avenida Sapopemba 331, TS:Avenida Sapopemba 262, CS:Big Pão Panif. e Confeitaria, CS:Rei do Mate Leroy Merlin, CS:Bella Regente, CS:Julio's Casa de Pães, CS:Padaria Santa Branca, PH:Drogaria Moretti, PH:Neo Farma  Manipulação, PH:Neo Farma Manipulação
2437468983; APARTMENT; UNIT; BR; São Paulo; SP; Rua Val de Palmas; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Agua Rasa; Água Rasa; RESIDENTIAL; 60; 48; Comprar; 325000; 1; 0; 1; 2; 350; 03161080; Condominio Novo <br>2 dormitorios, sala para 2 ambientes com sacada, cozinha, armários planejados, 1 vaga de garagem <br>LAzer com 2 salões de festa, churrasqueira, piscina adulto e infantil, sala de cinema, playground, sala de leitura, salão de jogos, <br>Proximo transporte publico e comercio <br><br>A Bella Casa é a imobiliária da Mooca que mais tem avaliações positivas no Google. Nosso trabalho é totalmente focado em qualidade e agilidade nos serviços, levando aos clientes a melhor experiência na compra, venda ou locação de imóveis. Possuímos mais de 4 mil imóveis em nossos cadastros, pós venda e jurídico próprio e uma experiente equipe.<br><br>WHATSAPP <br><br>--- 11 .9...6...3.....6....4...9...1...8..2 ---; BS:Avenida Adutora do Rio Claro 41, BS:Avenida Sapopemba 2629, BS:Avenida Adutora do Rio Claro 26, BS:Avenida Sapopemba 2748, BS:Rua Doutor Gabriel de Resende 360, TS:Avenida Adutora do Rio Claro 41, TS:Avenida Sapopemba 2629, TS:Avenida Adutora do Rio Claro 26, TS:Avenida Sapopemba 2748, TS:Rua Doutor Gabriel de Resende 360, CS:Padraira Total Sucesso, CS:Casa de Carnes Vale do Douro, CS:Padaria Novo Cruzeiro, CS:Bonas, CS:Bella Regente, CH:Consultório Dentário
