IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio
2492635130; APARTMENT; CONDOMINIUM; BR; São Paulo; SP; Rua Conselheiro Furtado; BR>Sao Paulo>NULL>Sao Paulo>Centro>Liberdade; Liberdade; RESIDENTIAL; 0; 21; Comprar; 0; 0; 0; 1; 1; 0
2476413410; APARTMENT; CONDOMINIUM; BR; São Paulo; SP; Rua Conde de Sarzedas; BR>Sao Paulo>NULL>Sao Paulo>Centro>Liberdade; Liberdade; RESIDENTIAL; 37; 37; Comprar; 227500; 0; 0; 1; 2; 0
2477711505; APARTMENT; CONDOMINIUM; BR; São Paulo; SP; Rua Asdrúbal do Nascimento; BR>Sao Paulo>NULL>Sao Paulo>Centro>Bela Vista; Bela Vista; RESIDENTIAL; 0; 28; Comprar; 189000; 0; 0; 1; 1; 0
2488888278; TWO_STORY_HOUSE; UNIT; BR; São Paulo; SP; Rua Ricardo Paganini; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Granada; Vila Granada; RESIDENTIAL; 189; 189; Comprar; 700000; 5; 1; 4; 3; 0
2470798600; APARTMENT; UNIT; BR; São Paulo; SP; Estrada do Campo Limpo; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Horto do Ipe; Horto do Ipê; RESIDENTIAL; 32; 26; Comprar; 159900; 0; 0; 0; 2; 200
2498022804; APARTMENT; UNIT; BR; São Paulo; SP; Rua Rodrigo Cláudio; BR>Sao Paulo>NULL>Sao Paulo>Centro>Aclimacao; Aclimação; RESIDENTIAL; 162; 162; Comprar; 1400000; 3; 3; 5; 3; 2061
2437373493; APARTMENT; UNIT; BR; São Paulo; SP; Rua General Bagnuolo; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Quinta da Paineira; Quinta da Paineira; RESIDENTIAL; 65; 65; Comprar; 335000; 1; 0; 2; 2; 470
2434599105; APARTMENT; UNIT; BR; São Paulo; SP; Rua Tabajaras; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Mooca; Móoca; RESIDENTIAL; 60; 49; Comprar; 360000; 1; 0; 1; 2; 560
2437374028; APARTMENT; UNIT; BR; São Paulo; SP; Rua Monjolo; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Jardim Monjolo; Jardim Monjolo; RESIDENTIAL; 0; 48; Comprar; 305000; 1; 0; 1; 2; 490
2439610104; APARTMENT; UNIT; BR; São Paulo; SP; Rua Martim Francisco; BR>Sao Paulo>NULL>Sao Paulo>Centro>Higienopolis; Higienópolis; RESIDENTIAL; 100; 64; Comprar; 565000; 0; 0; 1; 2; 670
2461563800; APARTMENT; UNIT; BR; São Paulo; SP; Rua Paula Ney; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Mariana; Vila Mariana; RESIDENTIAL; 68; 68; Comprar; 550000; 0; 0; 1; 2; 643
2480669645; APARTMENT; UNIT; BR; São Paulo; SP; Rua Iososuke Okaue; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Itaquera; Itaquera; RESIDENTIAL; 41; 41; Comprar; 166630; 0; 0; 1; 2; 0
2498916650; HOME; UNIT; BR; São Paulo; SP; Rua Lacedemônia; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Mascote; Vila Mascote; RESIDENTIAL; 135; 150; Alugar/Comprar; 3100; 2; 1; 4; 3; 0
2195015506; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Nove de Julho; BR>Sao Paulo>NULL>Sao Paulo>Centro>Bela Vista; Bela Vista; RESIDENTIAL; 62; 62; Comprar; 420000; 0; 0; 1; 1; 660
2453102993; APARTMENT; UNIT; BR; São Paulo; SP; Rua Paim; BR>Sao Paulo>NULL>Sao Paulo>Centro>Bela Vista; Bela Vista; RESIDENTIAL; 33; 33; Comprar; 185000; 0; 0; 1; 1; 325
2497442094; APARTMENT; UNIT; BR; São Paulo; SP; Rua Francisca Miquelina; BR>Sao Paulo>NULL>Sao Paulo>Centro>Bela Vista; Bela Vista; RESIDENTIAL; 0; 40; Comprar; 230000; 0; 0; 1; 1; 307
2451594501; APARTMENT; UNIT; BR; São Paulo; SP; Rua Doutor Teodoro Baima; BR>Sao Paulo>NULL>Sao Paulo>Centro>Republica; República; RESIDENTIAL; 33; 33; Comprar; 230000; 0; 0; 1; 1; 330
2441653585; APARTMENT; UNIT; BR; São Paulo; SP; Avenida João Paulo da Silva; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila da Paz; Vila da Paz; RESIDENTIAL; 0; 60; Comprar; 260000; 1; 0; 1; 2; 340
2494626601; BUSINESS; UNIT; BR; São Paulo; SP; Rua das Orquideas; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Saude; Saúde; COMMERCIAL; 45; 45; Comprar; 250000; 0; 0; 1; 0; 0
