IdImovel; TipoUnidade; TipoPropriedade; Pais; Cidade; Estado; Rua; Local; Bairro; TipoUso; AreaTotal; AreaUtil; TipoNegocio; Valor; Vagas; Suites; Banheiros; Quartos; ValorCondominio
2493867192; APARTMENT; CONDOMINIUM; BR; Cotia; SP; Avenida Nossa Senhora de Fátima; BR>Sao Paulo>NULL>Cotia>Barrios>Vila Monte Serrat; Vila Monte Serrat; RESIDENTIAL; 0; 60; Comprar; 169900; 1; 0; 1; 2; 0
2493251578; APARTMENT; CONDOMINIUM; BR; Cotia; SP; Avenida Vasco Massafeli; BR>Sao Paulo>NULL>Cotia>Barrios>Jardim Maria Tereza; Jardim Maria Tereza; RESIDENTIAL; 0; 65; Comprar; 0; 1; 0; 2; 2; 0
2492999780; APARTMENT; CONDOMINIUM; BR; Cotia; SP; Rua Azul; BR>Sao Paulo>NULL>Cotia>Barrios>Quinta dos Angicos; Quinta dos Angicos; RESIDENTIAL; 0; 60; Comprar; 0; 1; 0; 1; 2; 0
2479941981; APARTMENT; UNIT; BR; São Paulo; SP; Rua Fortunato Ferraz; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Anastacio; Vila Anastácio; RESIDENTIAL; 79; 79; Comprar; 665900; 2; 1; 0; 3; 0
2482914986; APARTMENT; UNIT; BR; São Paulo; SP; Rua Nova Jerusalém; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Tatuape; Tatuapé; RESIDENTIAL; 0; 73; Comprar; 570000; 2; 1; 2; 3; 550
2278745485; APARTMENT; UNIT; BR; São Paulo; SP; Rua Borges de Barros; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Sumare; Sumaré; RESIDENTIAL; 82; 65; Comprar; 680000; 1; 0; 1; 2; 512
2438628221; APARTMENT; UNIT; BR; São Paulo; SP; Rua Octávio Teixeira Mendes Sobrinho; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Santa Catarina; Vila Santa Catarina; RESIDENTIAL; 0; 55; Comprar; 330000; 2; 0; 1; 2; 578
2442768178; APARTMENT; UNIT; BR; São Paulo; SP; Rua Raul Pompéia; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>POMPEIA; Pompeia; RESIDENTIAL; 0; 84; Comprar; 720000; 2; 1; 2; 3; 1000
2441705486; APARTMENT; UNIT; BR; São Paulo; SP; Rua Monte Caseros; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Gomes; Vila Gomes; RESIDENTIAL; 95; 92; Comprar; 799000; 2; 1; 3; 3; 720
2434758366; APARTMENT; UNIT; BR; São Paulo; SP; Rua Niderau Félix Machado; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Vila Sao Pedro; Vila Sao Pedro; RESIDENTIAL; 0; 64; Comprar; 296000; 1; 0; 1; 2; 640
2427727404; APARTMENT; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Ipiranga; Ipiranga; RESIDENTIAL; 84; 84; Comprar; 500000; 2; 1; 2; 3; 630
2457298375; APARTMENT; UNIT; BR; São Paulo; SP; Avenida Escola Politécnica; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Parque dos Principes; Parque dos Príncipes; RESIDENTIAL; 0; 151; Comprar; 1050000; 2; 3; 4; 3; 1000
2444760909; APARTMENT; UNIT; BR; São Paulo; SP; Rua Bernardo dos Santos; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Butanta; Butantã; RESIDENTIAL; 134; 104; Comprar; 566000; 2; 2; 3; 3; 650
2442628880; CONDOMINIUM; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Gustavo; Vila Gustavo; RESIDENTIAL; 270; 65; Comprar; 340000; 1; 2; 2; 2; 1
2453793592; APARTMENT; UNIT; BR; São Paulo; SP; Avenida General Mac Arthur; BR>Sao Paulo>NULL>Sao Paulo>Zona Oeste>Vila Lageado; Vila Lageado; RESIDENTIAL; 60; 53; Comprar; 425000; 1; 0; 1; 2; 368
2442628774; CONDOMINIUM; UNIT; BR; São Paulo; SP; ; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Vila Gustavo; Vila Gustavo; RESIDENTIAL; 270; 65; Comprar; 340000; 1; 2; 2; 2; 1
2431824290; HOME; UNIT; BR; São Paulo; SP; Rua Dom José Maurício; BR>Sao Paulo>NULL>Sao Paulo>Zona Norte>Carandiru; Carandiru; RESIDENTIAL; 0; 126; Comprar; 390000; 1; 0; 3; 4; 0
2427459166; APARTMENT; UNIT; BR; São Paulo; SP; Rua Pintassilgo; BR>Sao Paulo>NULL>Sao Paulo>Zona Sul>Moema; Moema; RESIDENTIAL; 175; 175; Comprar; 2350000; 2; 3; 5; 3; 1500
