Bairro; Zona; LocationID; Latitude; Longitude; Url
Água Rasa; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Agua Rasa; -23,5603; -46,566217; /venda/imoveis/sp+sao-paulo+zona-leste+agua-rasa/
Alto da Mooca; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Alto da Mooca; -23,564019; -46,587312; /venda/imoveis/sp+sao-paulo+zona-leste+alto-da-mooca/
Chácara Mafalda; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Chacara Mafalda; -23,572201; -46,55599; /venda/imoveis/sp+sao-paulo+zona-leste+ch-mafalda/
Chácara Paraíso; ; BR>Sao Paulo>NULL>Itu>Barrios>Chacara Paraiso; -23,263999; -47,299673; /venda/imoveis/sp+itu++ch-paraiso/
Jardim Guanabara; Ilha do Governador; BR>Rio de Janeiro>NULL>Rio de Janeiro>Ilha do Governador>Jardim Guanabara; -22,808059; -43,20725; /venda/imoveis/rj+rio-de-janeiro+ilha-do-governador+jd-guanabara/
Jardim Itália; ; BR>Mato Grosso>NULL>Cuiaba>Barrios>Jardim Italia; -15,597132; -56,061236; /venda/imoveis/mt+cuiaba++jd-italia/
Jardim Silveira; ; BR>Sao Paulo>NULL>Barueri>Barrios>Jardim Silveira; -23,511567; -46,874382; /venda/imoveis/sp+barueri++jd-silveira/
Vila Bertioga; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Bertioga; -23,561937; -46,57972; /venda/imoveis/sp+sao-paulo+zona-leste+vl-bertioga/
Vila Celeste; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Celeste; -23,574387; -46,567432; /venda/imoveis/sp+sao-paulo+zona-leste+vl-celeste/
Vila Cláudia; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Claudia; -23,559979; -46,586946; /venda/imoveis/sp+sao-paulo+zona-leste+vl-claudia/
Vila Clotilde; ; BR>Sao Paulo>NULL>Guarulhos>Barrios>Vila Clotilde; -23,499246; -46,556464; /venda/imoveis/sp+guarulhos++vl-clotilde/
Vila Diva; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Diva; -23,572201; -46,55599; /venda/imoveis/sp+sao-paulo+zona-leste+vl-diva/
Vila Graciosa; Zona Leste; BR>Sao Paulo>NULL>Sao Paulo>Zona Leste>Vila Graciosa; -23,584811; -46,551172; /venda/imoveis/sp+sao-paulo+zona-leste+vl-graciosa/
